date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000957,4.4200,4.4800,4.4000,4.4100,4.4500,2213317,9819003.9700
2019-01-03,sz.000957,4.4100,4.4600,4.3800,4.3800,4.4100,2211937,9763277.1700
2019-01-04,sz.000957,4.3500,4.5200,4.3200,4.4900,4.3800,3242967,14407775.0400
2019-01-07,sz.000957,4.5100,4.6100,4.5100,4.6000,4.4900,4385820,20017815.4000
2019-01-08,sz.000957,4.6300,4.9300,4.5600,4.8500,4.6000,12747679,60705425.7200
2019-01-09,sz.000957,5.1000,5.2600,4.8500,4.8500,4.8500,16964650,84978340.0600
2019-01-10,sz.000957,4.8500,4.8900,4.6900,4.7300,4.8500,8808012,42051883.4000
2019-01-11,sz.000957,4.7400,5.2000,4.6900,5.2000,4.7300,25552986,129475328.5600
2019-01-14,sz.000957,5.2700,5.7200,5.2000,5.7200,5.2000,40930546,223687515.9000
2019-01-15,sz.000957,5.6200,6.2900,5.4000,5.9200,5.7200,61699572,368405391.3300
2019-01-16,sz.000957,5.7600,6.5000,5.6500,6.3900,5.9200,62558270,381440627.4500
2019-01-17,sz.000957,6.2200,6.6900,6.1300,6.3200,6.3900,57987605,371837029.2600
2019-01-18,sz.000957,6.2100,6.3400,5.7000,5.9600,6.3200,43421610,261979906.6900
2019-01-21,sz.000957,5.8600,6.1400,5.8000,6.0100,5.9600,32442114,194364054.2900
2019-01-22,sz.000957,5.9400,6.1200,5.7800,6.0400,6.0100,28013218,167570878.4600
2019-01-23,sz.000957,5.9200,6.6000,5.8500,6.4100,6.0400,53890018,341909469.7700
2019-01-24,sz.000957,6.2900,6.3200,5.9000,6.1000,6.4100,37279217,227083800.4300
2019-01-25,sz.000957,5.9900,6.2400,5.8300,6.0000,6.1000,32218044,194849031.4200
2019-01-28,sz.000957,5.9000,5.9800,5.5000,5.7300,6.0000,27447173,157278354.7600
2019-01-29,sz.000957,5.5900,5.7300,5.4200,5.5100,5.7300,19291801,107459607.4600
2019-01-30,sz.000957,5.5000,5.5800,5.0500,5.0500,5.5100,25141864,132740421.9400
2019-01-31,sz.000957,5.0200,5.2800,5.0200,5.1100,5.0500,19422109,100782492.8400
2019-02-01,sz.000957,5.2000,5.3300,5.1500,5.1800,5.1100,12841087,67081873.3200
2019-02-11,sz.000957,5.3700,5.7000,5.3100,5.7000,5.1800,16505161,91195268.2300
2019-02-12,sz.000957,5.9800,6.1700,5.8200,6.0200,5.7000,34549095,205981781.3600
2019-02-13,sz.000957,5.8900,6.4500,5.8500,6.1900,6.0200,38303944,235038711.6700
2019-02-14,sz.000957,6.0600,6.3500,5.9900,6.3200,6.1900,35845450,221862038.8700
2019-02-15,sz.000957,6.2300,6.2900,6.1000,6.1300,6.3200,23757186,147169685.7100
2019-02-18,sz.000957,6.2000,6.4000,6.1200,6.3200,6.1300,32496081,203486966.4600
2019-02-19,sz.000957,6.3000,6.6800,6.2000,6.4300,6.3200,39787337,255321914.5600
2019-02-20,sz.000957,6.2900,6.4200,6.0900,6.2200,6.4300,30517506,190333644.1500
2019-02-21,sz.000957,6.2200,6.8400,6.1100,6.8000,6.2200,61986403,409062561.9300
2019-02-22,sz.000957,6.6000,7.1000,6.5000,6.9400,6.8000,57444328,393419173.2900
2019-02-25,sz.000957,6.8200,7.6300,6.8000,7.6300,6.9400,51009327,372901749.8500
2019-02-26,sz.000957,7.7000,8.3900,7.4000,8.3900,7.6300,46217312,369158799.8400
2019-02-27,sz.000957,8.4300,9.0600,7.9300,8.0800,8.3900,63216555,537871104.7700
2019-02-28,sz.000957,8.0800,8.1400,7.5700,7.8000,8.0800,32730297,257189105.1500
2019-03-01,sz.000957,7.7800,8.4500,7.7800,8.3800,7.8000,45272073,370743731.5200
