date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600066,11.8800,11.9200,11.7100,11.9000,11.8500,3838371,45464044.0000
2019-01-03,sh.600066,11.8000,12.1100,11.7600,11.9800,11.9000,4781132,57039918.0000
2019-01-04,sh.600066,11.8200,12.1800,11.6800,12.1700,11.9800,8243646,99032677.0000
2019-01-07,sh.600066,12.1600,12.4600,12.0600,12.3500,12.1700,10884142,133993877.0000
2019-01-08,sh.600066,12.3100,12.5500,12.2300,12.5000,12.3500,7735593,95947355.0000
2019-01-09,sh.600066,12.6500,13.1400,12.4000,12.4300,12.5000,17257435,220817704.0000
2019-01-10,sh.600066,12.4000,12.4100,12.1100,12.1600,12.4300,6847126,83475210.0000
2019-01-11,sh.600066,12.1500,12.2800,11.9800,12.2200,12.1600,7353537,89295705.0000
2019-01-14,sh.600066,11.9900,12.2600,11.9900,12.1300,12.2200,6128846,74237118.0000
2019-01-15,sh.600066,12.0600,12.2500,12.0100,12.1700,12.1300,6141107,74657178.0000
2019-01-16,sh.600066,12.1300,12.1900,11.9000,11.9900,12.1700,9204657,110883511.0000
2019-01-17,sh.600066,11.9500,12.4900,11.9500,12.1400,11.9900,13240610,161865708.0000
2019-01-18,sh.600066,12.1800,12.2500,11.9900,12.2000,12.1400,9482059,114887186.0000
2019-01-21,sh.600066,12.1500,12.3300,12.1200,12.1900,12.2000,8215994,100415308.0000
2019-01-22,sh.600066,12.2000,12.2500,11.7800,11.8100,12.1900,11053764,131862841.0000
2019-01-23,sh.600066,11.7500,11.8600,11.7000,11.7800,11.8100,8490441,100009734.0000
2019-01-24,sh.600066,11.7900,11.8700,11.4200,11.8200,11.7800,12030969,140085350.0000
2019-01-25,sh.600066,11.8200,11.9500,11.7500,11.8700,11.8200,7069119,84038792.0000
2019-01-28,sh.600066,11.9400,12.0500,11.7300,11.8400,11.8700,8473237,100651308.0000
2019-01-29,sh.600066,11.8200,11.8700,11.5400,11.7000,11.8400,5792279,67827361.0000
2019-01-30,sh.600066,11.6600,11.8600,11.5700,11.7400,11.7000,5322422,62473731.0000
2019-01-31,sh.600066,11.6800,11.7700,11.5100,11.5700,11.7400,5223761,60912008.0000
2019-02-01,sh.600066,11.5600,11.6800,11.5200,11.6800,11.5700,4111046,47757893.0000
2019-02-11,sh.600066,11.7000,11.9500,11.6800,11.9100,11.6800,9312957,110110529.0000
2019-02-12,sh.600066,11.9700,12.1600,11.9000,12.0900,11.9100,12707901,153484495.0000
2019-02-13,sh.600066,12.1600,12.4500,12.0800,12.3200,12.0900,16408292,201058206.0000
2019-02-14,sh.600066,12.3400,12.8500,12.2200,12.7100,12.3200,20284196,254303585.0000
2019-02-15,sh.600066,12.6700,12.9400,12.4600,12.4800,12.7100,19171667,242999363.0000
2019-02-18,sh.600066,12.5800,13.5000,12.5800,13.4200,12.4800,23554790,309750429.0000
2019-02-19,sh.600066,13.4900,13.4900,13.1200,13.3700,13.4200,16202405,215326065.0000
2019-02-20,sh.600066,13.3500,13.3500,13.1500,13.2000,13.3700,11542786,152780276.0000
2019-02-21,sh.600066,13.2000,13.7800,13.1500,13.5500,13.2000,20948695,283818658.0000
2019-02-22,sh.600066,13.5600,14.0800,13.4000,14.0400,13.5500,17613522,243994393.0000
2019-02-25,sh.600066,14.1500,14.8800,13.9200,14.5300,14.0400,34929496,498364743.0000
2019-02-26,sh.600066,14.5400,15.7000,14.4800,15.1400,14.5300,36525539,549349893.0000
2019-02-27,sh.600066,15.2000,15.9300,14.6000,14.9800,15.1400,34840396,535410087.0000
2019-02-28,sh.600066,15.3700,15.3700,13.9600,14.0800,14.9800,32544409,464497102.0000
2019-03-01,sh.600066,14.2000,14.3300,13.7700,14.2300,14.0800,28807930,405435055.0000
2019-03-04,sh.600066,14.2200,14.5000,13.8900,14.0500,14.2300,48297523,683051773.0000
2019-03-05,sh.600066,13.8000,13.8800,13.5600,13.8200,14.0500,47426381,649732552.0000
2019-03-06,sh.600066,13.9100,14.5900,13.9100,14.5800,13.8200,61286531,874647409.0000
2019-03-07,sh.600066,14.6300,14.6300,14.2200,14.3300,14.5800,43596122,626610974.0000
2019-03-08,sh.600066,14.1100,14.1100,13.5700,13.5900,14.3300,34178430,473573327.0000
2019-03-11,sh.600066,13.6000,13.9400,13.4200,13.9000,13.5900,31590649,432748009.0000
2019-03-12,sh.600066,13.9500,14.0900,13.7000,13.8800,13.9000,33794059,470847865.0000
2019-03-13,sh.600066,13.8800,13.8800,13.3600,13.4100,13.8800,29613585,400985293.0000
2019-03-14,sh.600066,13.3100,13.5300,12.8200,13.0000,13.4100,32487503,426194694.0000
2019-03-15,sh.600066,13.0000,13.3900,13.0000,13.3700,13.0000,24379849,322393336.0000
2019-03-18,sh.600066,13.4100,13.6600,13.3400,13.6000,13.3700,28963412,391043975.0000
