date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300127,10.7500,10.8700,10.7300,10.7500,10.7500,669900,7233240.0000
2019-01-03,sz.300127,10.7600,10.9000,10.7400,10.7800,10.7500,839700,9100540.0000
2019-01-04,sz.300127,10.7200,11.3600,10.5500,11.1200,10.7800,1624246,17782507.1600
2019-01-07,sz.300127,11.1500,11.3600,11.0800,11.2800,11.1200,2056396,23104958.3400
2019-01-08,sz.300127,11.3000,12.4100,11.2500,11.9500,11.2800,12073981,146538755.5000
2019-01-09,sz.300127,11.6000,11.9700,11.5800,11.8000,11.9500,7590404,88829201.7500
2019-01-10,sz.300127,11.8000,11.8000,11.4500,11.6200,11.8000,3639083,42159840.3200
2019-01-11,sz.300127,11.6200,11.8800,11.5100,11.6100,11.6200,2966288,34611158.4100
2019-01-14,sz.300127,11.6000,11.6800,11.4000,11.4500,11.6100,1986129,22862084.6900
2019-01-15,sz.300127,11.4400,11.6200,11.3600,11.6000,11.4500,1615538,18648377.3400
2019-01-16,sz.300127,11.6100,11.6600,11.4900,11.5500,11.6000,1438202,16638168.0300
2019-01-17,sz.300127,11.5100,11.8200,11.3600,11.4400,11.5500,2564020,29674191.8000
2019-01-18,sz.300127,11.4000,11.5900,11.3100,11.5700,11.4400,2300449,26373570.5100
2019-01-21,sz.300127,11.5700,11.6800,11.4900,11.5600,11.5700,1616650,18710816.0000
2019-01-22,sz.300127,11.5500,11.5500,11.3400,11.3600,11.5600,1190950,13622913.4800
2019-01-23,sz.300127,11.3300,11.5500,11.3200,11.4800,11.3600,1093150,12532991.0000
2019-01-24,sz.300127,11.4800,11.6100,11.3800,11.5700,11.4800,1447302,16712867.0600
2019-01-25,sz.300127,11.6400,11.6400,11.3800,11.3800,11.5700,1120800,12869584.0000
2019-01-28,sz.300127,11.4000,11.5900,11.1700,11.1800,11.3800,1245500,14150546.0000
2019-01-29,sz.300127,11.2100,11.3000,10.8000,10.9700,11.1800,1833300,20114111.8000
2019-01-30,sz.300127,10.9600,11.0300,10.8500,10.8700,10.9700,911100,9982442.0000
2019-01-31,sz.300127,11.0200,11.1400,10.5800,10.7600,10.8700,1462200,15791516.0000
2019-02-01,sz.300127,10.7700,11.0700,10.7700,11.0600,10.7600,1339670,14613427.9000
2019-02-11,sz.300127,11.0400,11.3900,11.0400,11.3700,11.0600,1851089,20814160.2700
2019-02-12,sz.300127,11.3200,11.4700,11.2700,11.4200,11.3700,1897681,21599628.4600
2019-02-13,sz.300127,11.4600,11.7700,11.3500,11.6800,11.4200,4033179,46756885.1700
2019-02-14,sz.300127,11.6600,11.8400,11.6000,11.6900,11.6800,3010434,35224007.2400
2019-02-15,sz.300127,11.7000,11.7900,11.6700,11.7000,11.6900,2418274,28361548.7800
2019-02-18,sz.300127,11.7900,12.0900,11.7300,12.0600,11.7000,3229687,38604413.3700
2019-02-19,sz.300127,12.0300,12.1400,11.8100,12.0000,12.0600,3414481,40881212.5800
2019-02-20,sz.300127,12.1700,12.2900,11.8600,11.9600,12.0000,3572329,43055297.7400
2019-02-21,sz.300127,11.9600,12.2500,11.9000,11.9500,11.9600,4203129,50712512.8000
2019-02-22,sz.300127,11.9000,12.2200,11.8700,12.1900,11.9500,2859902,34512261.0200
2019-02-25,sz.300127,12.2500,12.9000,12.2500,12.8400,12.1900,5842089,73967754.8100
2019-02-26,sz.300127,12.7700,13.1800,12.5400,12.7100,12.8400,6152329,78737015.2800
2019-02-27,sz.300127,12.6000,12.8200,12.4300,12.5700,12.7100,3359403,42407373.8800
2019-02-28,sz.300127,12.6300,12.7400,12.4400,12.5000,12.5700,2941463,36980574.0400
2019-03-01,sz.300127,12.5700,12.6800,12.4100,12.6800,12.5000,3129676,39346367.2100
2019-03-04,sz.300127,12.7400,13.2500,12.6600,13.1400,12.6800,8120210,104730283.2800
2019-03-05,sz.300127,12.9600,13.6600,12.8800,13.2900,13.1400,7527613,99288543.8800
2019-03-06,sz.300127,13.3000,13.8000,13.1000,13.5800,13.2900,8617051,116492005.3700
2019-03-07,sz.300127,13.5000,13.9800,13.3000,13.6800,13.5800,8676276,118645002.8600
2019-03-08,sz.300127,13.4000,13.6700,12.8400,12.8400,13.6800,7219351,96080930.8800
2019-03-11,sz.300127,12.9000,13.7400,12.8700,13.6300,12.8400,5976602,79741604.0000
2019-03-12,sz.300127,13.7700,13.7700,13.3100,13.6100,13.6300,6350688,86167953.4200
2019-03-13,sz.300127,13.6100,13.8000,13.3000,13.3300,13.6100,5661025,76609771.8600
2019-03-14,sz.300127,13.5000,13.7000,12.6900,12.9900,13.3300,5696257,74781362.2000
2019-03-15,sz.300127,13.0500,13.2600,12.8900,13.2600,12.9900,4055913,53111910.3600
2019-03-18,sz.300127,13.5000,13.9800,13.4000,13.5600,13.2600,5722053,77953570.3800
2019-03-19,sz.300127,13.4400,13.6700,13.4200,13.6000,13.5600,4505065,60960815.1600
2019-03-20,sz.300127,13.5400,13.5400,13.0100,13.3000,13.6000,3913602,51956822.3200
2019-03-21,sz.300127,13.2700,13.8000,13.2700,13.6900,13.3000,5678401,77207946.5900
2019-03-22,sz.300127,13.8300,13.8300,13.4500,13.7500,13.6900,5313927,72584099.0500
2019-03-25,sz.300127,13.4700,13.5600,13.3500,13.3500,13.7500,3505009,47154118.2600
2019-03-26,sz.300127,13.4900,13.5400,12.9100,12.9900,13.3500,3060502,40347030.4500
2019-03-27,sz.300127,13.0500,13.1100,12.7800,13.0300,12.9900,2197580,28511043.8000
2019-03-28,sz.300127,13.0300,13.2500,12.8200,12.9000,13.0300,2653773,34509691.5700
2019-03-29,sz.300127,12.9000,13.0700,12.5100,13.0500,12.9000,4753710,60873725.6700
2019-04-01,sz.300127,13.0600,13.4800,13.0400,13.3900,13.0500,5096480,67850473.7600
2019-04-02,sz.300127,13.4700,13.7300,13.2900,13.6000,13.3900,6320880,85363318.7800
2019-04-03,sz.300127,13.5200,13.5500,13.3200,13.5300,13.6000,4098641,55064965.1300
2019-04-04,sz.300127,13.6000,14.7700,13.3700,14.0500,13.5300,9951303,139374372.6800
2019-04-08,sz.300127,14.0500,14.3000,13.7400,13.9000,14.0500,7026868,98546909.1500
2019-04-09,sz.300127,13.8100,13.8800,13.4900,13.7000,13.9000,4045768,55281762.4000
2019-04-10,sz.300127,13.6900,13.7100,13.4200,13.5600,13.7000,3089106,41858772.6600
2019-04-11,sz.300127,13.6500,13.9400,13.4500,13.4900,13.5600,3689700,50341262.6800
2019-04-12,sz.300127,13.4000,13.5700,13.1900,13.4100,13.4900,2736212,36656726.5200
2019-04-15,sz.300127,13.5500,13.7600,13.2100,13.2100,13.4100,3168602,42963014.4900
2019-04-16,sz.300127,13.1800,13.6900,12.9900,13.6400,13.2100,3727040,49858554.5100
2019-04-17,sz.300127,13.6200,13.8800,13.5200,13.7000,13.6400,4434926,60893166.6100
2019-04-18,sz.300127,13.7800,14.0100,13.5900,13.6200,13.7000,4284456,59229506.0800
2019-04-19,sz.300127,13.6500,14.4800,13.3000,13.9600,13.6200,7359112,102172121.4000
2019-04-22,sz.300127,13.9800,14.1000,13.5500,13.6300,13.9600,5049102,70174815.8000
2019-04-23,sz.300127,13.5300,13.8800,13.2600,13.4900,13.6300,4101526,55522878.4900
2019-04-24,sz.300127,13.5300,13.5500,13.2100,13.4600,13.4900,2607900,34998793.4400
2019-04-25,sz.300127,13.4500,13.8300,13.0400,13.0400,13.4600,4519800,60719965.4400
2019-04-26,sz.300127,13.0700,13.2800,12.8900,13.1600,13.0400,2742681,36007229.3500
2019-04-29,sz.300127,13.1700,13.2500,12.4000,12.5300,13.1600,3636673,46368042.8900
2019-04-30,sz.300127,12.5500,12.7800,12.4000,12.6500,12.5300,1821500,23044675.0000
2019-05-06,sz.300127,12.2900,12.5000,11.6100,11.6600,12.6500,3071539,36826010.9900
2019-05-07,sz.300127,11.7900,11.9800,11.6800,11.8400,11.6600,1453600,17210747.0000
2019-05-08,sz.300127,11.6000,12.1500,11.5300,11.9500,11.8400,1901850,22687034.5000
2019-05-09,sz.300127,11.9500,12.3900,11.8200,11.9500,11.9500,2152500,25970349.9600
2019-05-10,sz.300127,11.7500,12.0500,11.5300,12.0300,11.6000,3135880,37277980.6900
2019-05-13,sz.300127,11.9800,12.1300,11.8300,12.0100,12.0300,1998361,23899665.0800
2019-05-14,sz.300127,11.9400,12.7000,11.9400,12.0600,12.0100,2196480,26775462.2700
2019-05-15,sz.300127,12.0800,12.3400,12.0600,12.2400,12.0600,2145847,26228638.2500
2019-05-16,sz.300127,12.2500,13.4600,12.2500,13.4600,12.2400,10906650,143937310.6000
2019-05-17,sz.300127,13.9900,14.2700,13.0500,13.1700,13.4600,16693125,227657204.5000
2019-05-20,sz.300127,12.8100,14.4900,12.5200,14.4900,13.1700,18470396,251630790.2900
2019-05-21,sz.300127,14.6000,15.9400,14.0100,15.9400,14.4900,29318879,448271916.3400
2019-05-22,sz.300127,15.8000,16.7500,14.9000,14.9500,15.9400,26716078,422920946.9000
2019-05-23,sz.300127,15.1800,15.6500,14.6200,15.1000,14.9500,18894560,285429603.2400
2019-05-24,sz.300127,14.3900,15.1800,13.8000,14.1600,15.1000,16241928,234496150.8100
2019-05-27,sz.300127,14.3000,15.1600,14.2000,14.9600,14.1600,15781787,233303934.2800
