date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002230,24.6300,25.3500,24.6100,25.0400,24.6400,32894190,825663125.4900
2019-01-03,sz.002230,24.9800,25.8500,24.8800,25.4400,25.0400,41748458,1061823704.4200
2019-01-04,sz.002230,25.1600,27.4600,25.0100,27.1300,25.4400,68481699,1806189458.5200
2019-01-07,sz.002230,27.4900,29.5800,27.2000,29.2700,27.1300,81114177,2326280208.9300
2019-01-08,sz.002230,29.3900,29.8800,28.6000,29.0200,29.2700,57752434,1679222947.7900
2019-01-09,sz.002230,29.0200,29.5900,28.7000,28.9900,29.0200,46291799,1352046131.6300
2019-01-10,sz.002230,28.8800,30.2800,28.7200,29.2600,28.9900,52383143,1550673208.3800
2019-01-11,sz.002230,29.2100,29.7800,28.5000,28.9700,29.2600,45825202,1331533380.5500
2019-01-14,sz.002230,29.4000,29.6400,28.9100,29.1300,28.9700,27556902,805165543.2500
2019-01-15,sz.002230,29.3600,29.3800,28.3000,29.1500,29.1300,42017934,1211343351.1700
2019-01-16,sz.002230,29.0200,30.1800,28.7000,28.7900,29.1500,52064865,1530768184.0300
2019-01-17,sz.002230,28.3000,28.7500,27.7100,27.8500,28.7900,46366608,1301249266.1700
2019-01-18,sz.002230,28.1300,28.3500,27.6400,28.1300,27.8500,30546454,858065242.5700
2019-01-21,sz.002230,28.4100,28.9700,28.0900,28.4500,28.1300,29891527,852948365.5300
2019-01-22,sz.002230,28.4800,28.8800,27.9200,28.1600,28.4500,21904519,621237604.3700
2019-01-23,sz.002230,28.1200,28.5200,27.7900,28.3800,28.1600,19320703,546411710.0300
2019-01-24,sz.002230,28.4500,28.9200,27.8200,28.7800,28.3800,43413500,1238689102.6200
2019-01-25,sz.002230,28.6000,28.8500,28.0500,28.2000,28.7800,31385296,893578900.3400
2019-01-28,sz.002230,28.6500,29.5500,28.4000,28.8500,28.2000,42267583,1225596915.9800
2019-01-29,sz.002230,28.8000,29.1400,28.1900,28.9500,28.8500,24975935,717880606.4800
2019-01-30,sz.002230,28.8700,28.8700,26.1000,26.4000,28.9500,56227966,1544594819.4100
2019-01-31,sz.002230,27.0000,27.8500,26.9800,27.2900,26.4000,46567153,1278858671.7400
2019-02-01,sz.002230,27.8100,28.5200,27.3800,28.5000,27.2900,29784622,835509163.5300
2019-02-11,sz.002230,28.8800,29.5500,28.8400,29.2900,28.5000,33386289,977390207.9200
2019-02-12,sz.002230,29.6000,29.8700,29.2000,29.3600,29.2900,34198771,1007994809.0300
2019-02-13,sz.002230,29.5600,31.0800,29.4100,30.9000,29.3600,65381688,1984912103.4600
2019-02-14,sz.002230,30.9100,30.9700,30.1500,30.4600,30.9000,42319086,1287020269.4100
2019-02-15,sz.002230,30.5500,30.7900,30.0800,30.1600,30.4600,30399791,922816009.0400
2019-02-18,sz.002230,30.7300,31.3800,30.4200,31.3600,30.1600,49523409,1535235736.8600
2019-02-19,sz.002230,31.3000,31.5600,30.3700,30.7700,31.3600,57675817,1780945720.9900
2019-02-20,sz.002230,30.8000,30.8000,29.7200,30.3700,30.7700,40137205,1212543264.7000
