date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000400,8.9300,8.9800,8.7900,8.8400,8.8900,8912842,79073105.0100
2019-01-03,sz.000400,8.8400,9.1200,8.7900,8.9800,8.8400,10127077,90949358.3700
2019-01-04,sz.000400,8.8800,9.8800,8.8200,9.8500,8.9800,50572008,487357054.6000
2019-01-07,sz.000400,9.8800,10.8000,9.7500,10.6300,9.8500,62436235,645567368.0300
2019-01-08,sz.000400,10.6500,10.6800,10.2600,10.4600,10.6300,41171581,430451094.6800
2019-01-09,sz.000400,10.4600,10.6500,10.2800,10.3900,10.4600,30152822,315540645.8200
2019-01-10,sz.000400,10.3900,10.8000,10.3200,10.4000,10.3900,27727054,292262271.2400
2019-01-11,sz.000400,10.4100,10.5800,10.2700,10.4700,10.4000,18760705,195675468.1800
2019-01-14,sz.000400,10.4300,10.5600,10.2300,10.4100,10.4700,14252515,148078256.5800
2019-01-15,sz.000400,10.4500,11.0800,10.3400,11.0000,10.4100,41932750,453120991.9300
2019-01-16,sz.000400,10.9900,10.9900,10.6300,10.7800,11.0000,24856831,268103314.8900
2019-01-17,sz.000400,10.7100,10.8800,10.4700,10.5700,10.7800,18789764,200614745.2800
2019-01-18,sz.000400,10.5800,10.6000,10.2600,10.5600,10.5700,15977797,167129362.6600
2019-01-21,sz.000400,10.5000,10.8500,10.5000,10.6800,10.5600,18722325,200280874.9900
2019-01-22,sz.000400,10.6900,10.7600,10.4800,10.5800,10.6800,11925619,126220734.8300
2019-01-23,sz.000400,10.2600,10.5100,10.1700,10.4900,10.5800,16246628,168850944.6200
2019-01-24,sz.000400,10.5300,10.5400,10.2700,10.3800,10.4900,14770659,153400521.7800
2019-01-25,sz.000400,10.4000,10.5500,10.2000,10.2100,10.3800,17184168,178324580.9000
2019-01-28,sz.000400,10.2600,10.5500,10.1500,10.3700,10.2100,15262220,158775832.1300
2019-01-29,sz.000400,10.3400,10.3400,9.9000,10.2500,10.3700,17636186,178126986.0500
2019-01-30,sz.000400,10.1000,10.3600,10.0700,10.1300,10.2500,7940190,81129650.1000
2019-01-31,sz.000400,10.1300,10.2800,9.8800,10.0600,10.1300,9252908,93147384.3500
2019-02-01,sz.000400,10.1500,10.4000,10.1100,10.3900,10.0600,11813704,121682166.2000
2019-02-11,sz.000400,10.4100,10.7000,10.4100,10.5800,10.3900,16341390,172639882.8700
2019-02-12,sz.000400,10.6000,10.6700,10.4700,10.6100,10.5800,12900996,136309477.8400
2019-02-13,sz.000400,10.5500,10.8600,10.4900,10.7000,10.6100,17286648,184960718.4900
2019-02-14,sz.000400,10.7100,10.9900,10.6300,10.8300,10.7000,16238922,176198925.0000
2019-02-15,sz.000400,10.7900,10.9500,10.6500,10.6700,10.8300,13880949,149406967.8600
