date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600268,4.2700,4.3000,4.0800,4.1600,4.2400,12058822,50206608.0000
2019-01-03,sh.600268,4.0900,4.5800,4.0500,4.5800,4.1600,30021282,131726989.0000
2019-01-04,sh.600268,4.4800,5.0400,4.4000,5.0400,4.5800,37556592,182022559.0000
2019-01-07,sh.600268,5.3500,5.5400,5.2000,5.5400,5.0400,31816489,172007673.0000
2019-01-08,sh.600268,5.9000,5.9000,5.2000,5.4800,5.5400,61576887,341516802.0000
2019-01-09,sh.600268,5.2500,5.7000,5.2100,5.3600,5.4800,42174607,229200621.0000
2019-01-10,sh.600268,5.2400,5.5500,5.1300,5.3500,5.3600,33331497,178099546.0000
2019-01-11,sh.600268,5.2500,5.2700,5.0900,5.1900,5.3500,26184524,135807497.0000
2019-01-14,sh.600268,5.1500,5.2100,5.0300,5.1100,5.1900,17802239,90722369.0000
2019-01-15,sh.600268,5.0900,5.1700,5.0400,5.1400,5.1100,18371059,93994542.0000
2019-01-16,sh.600268,5.1000,5.1100,4.9000,4.9300,5.1400,22349903,111167745.0000
2019-01-17,sh.600268,4.9400,4.9600,4.8000,4.8500,4.9300,15726140,76437699.0000
2019-01-18,sh.600268,4.8700,4.8800,4.7000,4.7800,4.8500,11747118,56021043.0000
2019-01-21,sh.600268,4.7900,4.8900,4.7500,4.8000,4.7800,12153427,58499046.0000
2019-01-22,sh.600268,4.7700,4.8500,4.7300,4.8000,4.8000,10883205,52218811.0000
2019-01-23,sh.600268,4.7200,4.7800,4.6100,4.7000,4.8000,10086267,47405985.0000
2019-01-24,sh.600268,4.6900,4.7000,4.6100,4.6600,4.7000,8394454,39131644.0000
2019-01-25,sh.600268,4.6600,4.7000,4.5300,4.5500,4.6600,9279300,42774773.0000
2019-01-28,sh.600268,4.6100,4.6700,4.5500,4.5900,4.5500,7187600,33155130.0000
2019-01-29,sh.600268,4.5700,4.5700,4.2500,4.3600,4.5900,10665341,46460944.0000
2019-01-30,sh.600268,4.3800,4.3900,4.2800,4.2900,4.3600,5764614,25028047.0000
2019-01-31,sh.600268,4.3400,4.3400,4.0500,4.1500,4.2900,8503157,35636613.0000
2019-02-01,sh.600268,4.1700,4.3600,4.1600,4.3000,4.1500,7487031,32005838.0000
2019-02-11,sh.600268,4.3400,4.4300,4.3000,4.4100,4.3000,7073078,31058994.0000
2019-02-12,sh.600268,4.4400,4.5600,4.4200,4.5000,4.4100,9442772,42311839.0000
2019-02-13,sh.600268,4.5200,4.5700,4.4200,4.5500,4.5000,10389701,46903089.0000
2019-02-14,sh.600268,4.5200,4.7100,4.4800,4.6400,4.5500,15473222,71448981.0000
2019-02-15,sh.600268,4.5800,4.6700,4.5200,4.5500,4.6400,11085525,50893361.0000
2019-02-18,sh.600268,4.5600,5.0100,4.5600,5.0100,4.5500,24177287,116092752.0000
2019-02-19,sh.600268,5.2500,5.2500,4.9600,5.1000,5.0100,32944640,168601630.0000
2019-02-20,sh.600268,5.1200,5.1300,4.9000,4.9700,5.1000,15456608,76869308.0000
2019-02-21,sh.600268,4.9800,5.0400,4.8600,4.9000,4.9700,14855800,73600302.0000
2019-02-22,sh.600268,4.8900,5.2200,4.8100,5.0600,4.9000,18041092,90338348.0000
2019-02-25,sh.600268,5.0800,5.3000,5.0100,5.2200,5.0600,31378012,161855873.0000
2019-02-26,sh.600268,5.2000,5.2800,5.0800,5.1000,5.2200,23322683,120124534.0000
2019-02-27,sh.600268,5.0500,5.1600,4.9300,5.0100,5.1000,15321704,77423493.0000
2019-02-28,sh.600268,5.0300,5.0800,5.0000,5.0500,5.0100,7204237,36268653.0000
2019-03-01,sh.600268,5.0400,5.0700,4.9200,5.0000,5.0500,7839637,39061105.0000
2019-03-04,sh.600268,5.0000,5.1500,5.0000,5.0400,5.0000,16663023,84527616.0000
2019-03-05,sh.600268,5.0600,5.1800,5.0200,5.1800,5.0400,16819133,85913824.0000
2019-03-06,sh.600268,5.2400,5.5000,5.1200,5.4000,5.1800,30859834,164210510.0000
2019-03-07,sh.600268,5.3600,5.4300,5.2400,5.3800,5.4000,21666543,115667711.0000
2019-03-08,sh.600268,5.3200,5.3200,4.9000,4.9000,5.3800,19950500,102253022.0000
2019-03-11,sh.600268,5.3900,5.3900,5.3900,5.3900,4.9000,4222700,22760353.0000
2019-03-12,sh.600268,5.9300,5.9300,5.9300,5.9300,5.3900,2119062,12566038.0000
2019-03-13,sh.600268,6.5200,6.5200,6.5200,6.5200,5.9300,5874470,38301544.0000
2019-03-14,sh.600268,7.1700,7.1700,7.0400,7.1700,6.5200,99176372,710530524.0000
2019-03-15,sh.600268,6.9700,7.8900,6.7400,7.8900,7.1700,115446839,856966403.0000
2019-03-18,sh.600268,7.2000,8.6800,7.1000,8.6800,7.8900,144618460,1154958478.0000
2019-03-19,sh.600268,8.3800,9.4800,8.1000,8.6700,8.6800,150234375,1320237582.0000
2019-03-20,sh.600268,8.3000,9.1800,7.9300,8.5600,8.6700,121970730,1028095359.0000
2019-03-21,sh.600268,8.5000,9.4200,8.5000,8.9000,8.5600,122578276,1113249487.0000
2019-03-22,sh.600268,9.0800,9.2000,8.3000,8.6900,8.9000,100897949,882255270.0000
2019-03-25,sh.600268,8.3500,8.4400,7.8200,7.8600,8.6900,84356060,680829456.0000
2019-03-26,sh.600268,7.7500,7.9700,7.3300,7.5800,7.8600,62625491,474588943.0000
2019-03-27,sh.600268,7.7000,7.8800,7.3200,7.5000,7.5800,54609646,413495546.0000
2019-03-28,sh.600268,7.3000,7.7500,7.1700,7.5800,7.5000,55274047,413687207.0000
2019-03-29,sh.600268,7.3500,7.6700,7.0300,7.6000,7.5800,56111052,415276606.0000
2019-04-01,sh.600268,7.5800,7.9000,7.5000,7.8500,7.6000,65734043,509099793.0000
2019-04-02,sh.600268,7.8600,8.3900,7.6200,8.0700,7.8500,82846813,665385584.0000
2019-04-03,sh.600268,7.8000,7.8600,7.6200,7.7600,8.0700,46951938,363041299.0000
2019-04-04,sh.600268,7.7900,7.9200,7.6000,7.7900,7.7600,42162501,327316389.0000
2019-04-08,sh.600268,7.7000,7.7800,7.2200,7.3800,7.7900,37385932,280001669.0000
2019-04-09,sh.600268,7.3100,7.6500,7.2300,7.6100,7.3800,32611953,245025451.0000
2019-04-10,sh.600268,7.4500,7.6500,7.2600,7.4800,7.6100,23885718,178115651.0000
2019-04-11,sh.600268,7.4100,8.2300,7.4100,7.9900,7.4800,83160823,663640486.0000
2019-04-12,sh.600268,7.9500,7.9700,7.6000,7.8000,7.9900,50290482,392156502.0000
2019-04-15,sh.600268,7.7800,7.9600,7.4100,7.4600,7.8000,37447940,288429751.0000
2019-04-16,sh.600268,7.2900,7.3900,7.0400,7.3800,7.4600,35139259,253020531.0000
2019-04-17,sh.600268,7.4000,7.5400,7.2600,7.3600,7.3800,27876880,205988436.0000
2019-04-18,sh.600268,7.2800,7.4400,7.2000,7.3400,7.3600,22019131,161315429.0000
2019-04-19,sh.600268,7.3900,7.5400,7.3500,7.4600,7.3400,27312773,203430815.0000
2019-04-22,sh.600268,7.4500,7.4500,7.1500,7.1900,7.4600,23883265,173640642.0000
2019-04-23,sh.600268,7.1700,7.6400,7.0000,7.4000,7.1900,34483520,253044241.0000
2019-04-24,sh.600268,7.3200,8.1400,7.2700,7.7800,7.4000,59457905,458915237.0000
2019-04-25,sh.600268,7.6000,8.2800,7.5000,7.8600,7.7800,69589328,550862401.0000
2019-04-26,sh.600268,7.5500,7.7300,7.0700,7.0900,7.8600,50186146,368720600.0000
2019-04-29,sh.600268,6.6100,6.7900,6.3800,6.3800,7.0900,33444642,216145099.0000
2019-04-30,sh.600268,6.0300,6.2800,5.7400,5.9600,6.3800,28435099,170907737.0000
2019-05-06,sh.600268,5.5100,5.8500,5.4000,5.4100,5.9600,23002774,128686440.0000
2019-05-07,sh.600268,5.5400,5.6600,5.3800,5.5900,5.4100,17923908,99305661.0000
2019-05-08,sh.600268,5.4500,5.8400,5.3400,5.6700,5.5900,19251553,109208713.0000
2019-05-09,sh.600268,5.5700,5.9100,5.5700,5.8000,5.6700,21650280,125837352.0000
2019-05-10,sh.600268,5.8200,6.1000,5.6100,6.0200,5.8000,27473621,162164004.0000
2019-05-13,sh.600268,5.9500,5.9500,5.7700,5.8500,6.0200,14938717,87529170.0000
2019-05-14,sh.600268,5.7100,5.9700,5.7000,5.8300,5.8500,15061217,88444730.0000
2019-05-15,sh.600268,5.9000,6.1000,5.8900,6.0100,5.8300,20188002,121091432.0000
2019-05-16,sh.600268,6.0400,6.4100,6.0300,6.2100,6.0100,27045197,168862773.0000
2019-05-17,sh.600268,6.1000,6.2500,5.7200,5.8400,6.2100,20898628,125052055.0000
2019-05-20,sh.600268,5.8800,6.1600,5.6000,6.0300,5.8400,18548099,110307727.0000
2019-05-21,sh.600268,6.0200,6.3000,5.9600,6.1100,6.0300,19130700,117711997.0000
2019-05-22,sh.600268,6.1600,6.3500,6.0400,6.1700,6.1100,19709200,121992392.0000
2019-05-23,sh.600268,6.0700,6.1200,5.8800,5.9400,6.1700,14342103,85746864.0000
2019-05-24,sh.600268,6.0000,6.1400,5.9000,5.9500,5.9400,11667097,69999283.0000
2019-05-27,sh.600268,5.9800,6.1700,5.8400,6.1400,5.9500,15108013,91544846.0000
2019-05-28,sh.600268,6.1200,6.7500,6.1000,6.7500,6.1400,36424666,238242995.0000
2019-05-29,sh.600268,6.5500,7.0600,6.4400,6.6600,6.7500,49596971,331573420.0000
2019-05-30,sh.600268,6.6000,6.6000,6.2600,6.3800,6.6600,26071801,166615570.0000
2019-05-31,sh.600268,6.3100,6.5000,6.2400,6.3200,6.3800,18926400,120214224.0000
2019-06-03,sh.600268,6.3800,6.4600,6.0600,6.0800,6.3200,15455364,95074376.0000
2019-06-04,sh.600268,6.0800,6.1400,5.7300,5.8000,6.0800,16035044,94317082.0000
2019-06-05,sh.600268,5.9200,5.9800,5.7500,5.8000,5.8000,13156700,77227609.0000
2019-06-06,sh.600268,5.8700,5.8900,5.6200,5.6300,5.8000,10878500,62330023.0000
2019-06-10,sh.600268,5.6300,5.9000,5.5600,5.7900,5.6300,11730501,67376217.0000
2019-06-11,sh.600268,5.7600,6.0500,5.7000,6.0200,5.7900,15633676,92885908.0000
2019-06-12,sh.600268,6.0100,6.0700,5.8400,5.8900,5.9800,10810288,64410717.0000
2019-06-13,sh.600268,5.8200,6.0300,5.8000,5.9400,5.8900,9682800,57436012.0000
2019-06-14,sh.600268,6.0100,6.1300,5.9100,5.9200,5.9400,12078107,72538028.0000
2019-06-17,sh.600268,5.8900,6.4000,5.8200,6.2000,5.9200,22575600,139201510.0000
2019-06-18,sh.600268,6.2000,6.2100,6.0000,6.1400,6.2000,11670811,71131446.0000
2019-06-19,sh.600268,6.3000,6.3400,6.1300,6.2500,6.1400,18704712,116363607.0000
2019-06-20,sh.600268,6.2200,6.2500,6.0500,6.2400,6.2500,19388569,119707035.0000
2019-06-21,sh.600268,6.2200,6.3800,6.1900,6.2500,6.2400,17020540,106481260.0000
2019-06-24,sh.600268,6.2500,6.3000,6.1000,6.1600,6.2500,9041300,55921283.0000
2019-06-25,sh.600268,6.1500,6.2500,6.0100,6.2000,6.1600,11734327,71977720.0000
2019-06-26,sh.600268,6.1200,6.1800,6.0500,6.0900,6.2000,8343190,51005143.0000
2019-06-27,sh.600268,6.1000,6.1800,6.0800,6.0900,6.0900,7375030,45200327.0000
2019-06-28,sh.600268,6.0800,6.1700,5.9300,5.9400,6.0900,11545500,69875454.0000
2019-07-01,sh.600268,6.0600,6.1000,6.0000,6.0800,5.9400,12960376,78373602.0000
2019-07-02,sh.600268,6.1200,6.3800,6.0500,6.1800,6.0800,19214600,119394104.0000
2019-07-03,sh.600268,6.0800,6.1000,6.0000,6.0200,6.1800,11769990,71069054.0000
2019-07-04,sh.600268,6.0200,6.2700,5.9700,6.1100,6.0200,13339278,81545766.0000
2019-07-05,sh.600268,6.0300,6.1000,5.9800,6.0400,6.1100,7927012,47790251.0000
2019-07-08,sh.600268,6.0400,6.0400,5.6500,5.6800,6.0400,12054520,69918689.0000
2019-07-09,sh.600268,5.6800,5.7500,5.6200,5.7000,5.6800,5346469,30489731.0000
2019-07-10,sh.600268,5.7300,5.7900,5.6700,5.6800,5.7000,4505000,25817278.0000
2019-07-11,sh.600268,5.7400,5.7700,5.6000,5.6300,5.6800,4827400,27450359.0000
2019-07-12,sh.600268,5.6000,5.6900,5.5800,5.6300,5.6300,4013610,22643838.0000
2019-07-15,sh.600268,5.6500,5.6800,5.5000,5.6700,5.6300,5535311,31024379.0000
2019-07-16,sh.600268,5.6600,5.9200,5.6300,5.7700,5.6700,7079001,40666315.0000
2019-07-17,sh.600268,5.7200,5.7700,5.6900,5.7100,5.7700,5113900,29260578.0000
2019-07-18,sh.600268,5.6700,5.6700,5.5400,5.5400,5.7100,5207985,29109872.0000
2019-07-19,sh.600268,5.5300,5.6400,5.5300,5.5600,5.5400,3827900,21396876.0000
2019-07-22,sh.600268,5.5600,5.5900,5.2000,5.3300,5.5600,6585093,35202431.0000
2019-07-23,sh.600268,5.2900,5.3900,5.2500,5.3800,5.3300,3822501,20428118.0000
2019-07-24,sh.600268,5.3600,5.5100,5.3600,5.4500,5.3800,4728102,25854472.0000
2019-07-25,sh.600268,5.4600,5.5200,5.4200,5.4500,5.4500,4287702,23392890.0000
2019-07-26,sh.600268,5.4500,5.5000,5.4100,5.4600,5.4500,3170100,17285040.0000
2019-07-29,sh.600268,5.5000,5.5000,5.3800,5.4000,5.4600,3303942,17892148.0000
2019-07-30,sh.600268,5.3800,5.4700,5.3800,5.4000,5.4000,3461174,18786397.0000
2019-07-31,sh.600268,5.4000,5.4200,5.3200,5.3200,5.4000,3554693,19016054.0000
2019-08-01,sh.600268,5.3200,5.3200,5.2500,5.2600,5.3200,3597200,18973539.0000
2019-08-02,sh.600268,5.1600,5.1700,4.9900,5.0600,5.2600,7923100,40125506.0000
2019-08-05,sh.600268,5.0300,5.0600,4.9600,4.9800,5.0600,5203987,26016880.0000
2019-08-06,sh.600268,4.8800,4.8800,4.5500,4.7200,4.9800,8762540,41311664.0000
2019-08-07,sh.600268,4.7800,4.8500,4.7100,4.7200,4.7200,6176128,29509151.0000
2019-08-08,sh.600268,4.7500,4.8200,4.7200,4.7500,4.7200,5191407,24721740.0000
2019-08-09,sh.600268,4.8100,4.8900,4.6700,4.7100,4.7500,5080340,24269659.0000
2019-08-12,sh.600268,4.7100,4.8100,4.6900,4.7800,4.7100,3070304,14592796.0000
2019-08-13,sh.600268,4.7600,4.7600,4.6700,4.7300,4.7800,2434700,11493072.0000
2019-08-14,sh.600268,4.7900,4.8400,4.7500,4.7600,4.7300,4480200,21467322.0000
2019-08-15,sh.600268,4.6500,4.9200,4.5600,4.9000,4.7600,8441400,40457403.0000
2019-08-16,sh.600268,4.8600,4.9100,4.8200,4.8400,4.9000,4017100,19548760.0000
2019-08-19,sh.600268,4.8800,5.0800,4.8400,5.0700,4.8400,8071851,40236030.0000
2019-08-20,sh.600268,5.1000,5.1500,5.0100,5.0300,5.0700,4956616,25004612.0000
2019-08-21,sh.600268,5.0100,5.0800,4.9900,5.0300,5.0300,5676144,28559733.0000
2019-08-22,sh.600268,5.0500,5.1000,4.9900,5.0700,5.0300,5250300,26474561.0000
2019-08-23,sh.600268,5.0800,5.1800,4.9300,4.9800,5.0700,10807526,54336958.0000
2019-08-26,sh.600268,4.8500,5.1400,4.8000,5.0200,4.9800,8745194,43483332.0000
2019-08-27,sh.600268,5.0500,5.1700,5.0000,5.1300,5.0200,9583110,48893011.0000
2019-08-28,sh.600268,5.1400,5.2500,5.1100,5.2000,5.1300,9022430,46768253.0000
2019-08-29,sh.600268,5.1900,5.2700,5.1500,5.1500,5.2000,5964390,30985547.0000
2019-08-30,sh.600268,5.2000,5.2500,4.9700,5.0500,5.1500,7672700,39217214.0000
2019-09-02,sh.600268,5.1100,5.2500,5.0500,5.2200,5.0500,7646192,39673127.0000
2019-09-03,sh.600268,5.2700,5.2700,5.1800,5.2300,5.2200,5365900,28062933.0000
2019-09-04,sh.600268,5.2400,5.6000,5.2200,5.4200,5.2300,18420483,99429666.0000
2019-09-05,sh.600268,5.4300,5.6700,5.3100,5.4900,5.4200,22930108,125470247.0000
2019-09-06,sh.600268,5.4900,5.5200,5.3600,5.4400,5.4900,12042245,65455697.0000
2019-09-09,sh.600268,5.5000,5.6200,5.4200,5.5600,5.4400,14789177,81608922.0000
2019-09-10,sh.600268,5.7000,5.8900,5.6000,5.6300,5.5600,21837220,124737690.0000
2019-09-11,sh.600268,5.6000,5.6500,5.4400,5.4800,5.6300,14376745,79818009.0000
2019-09-12,sh.600268,5.5600,5.6500,5.5200,5.5400,5.4800,12875495,71673987.0000
2019-09-16,sh.600268,5.5300,5.6200,5.5100,5.5500,5.5400,8952743,49838516.0000
2019-09-17,sh.600268,5.5000,5.5300,5.3000,5.3400,5.5500,11468790,61706494.0000
2019-09-18,sh.600268,5.3700,5.4100,5.3100,5.3500,5.3400,6205295,33184749.0000
2019-09-19,sh.600268,5.3600,5.4000,5.2200,5.3600,5.3500,7662330,40653933.0000
2019-09-20,sh.600268,5.3700,5.4800,5.3500,5.4300,5.3600,7658658,41440763.0000
2019-09-23,sh.600268,5.4200,5.4200,5.2200,5.2600,5.4300,7941927,41906367.0000
2019-09-24,sh.600268,5.3000,5.5400,5.3000,5.5200,5.2600,17945552,97639274.0000
2019-09-25,sh.600268,5.4800,5.4900,5.2000,5.2800,5.5200,13239833,70490743.0000
2019-09-26,sh.600268,5.2800,5.3500,4.9800,4.9800,5.2800,9849701,50190103.0000
2019-09-27,sh.600268,5.0400,5.0900,5.0000,5.0300,4.9800,4012348,20252930.0000
2019-09-30,sh.600268,5.0600,5.0600,4.9200,4.9200,5.0300,3514401,17440878.0000
2019-10-08,sh.600268,4.9000,5.0200,4.8900,4.9300,4.9200,3324840,16518730.0000
