date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002028,9.8700,10.0600,9.8600,9.9500,9.8700,3135595,31215377.8800
2019-01-03,sz.002028,9.9000,10.0800,9.8700,9.9600,9.9500,4957123,49415037.3500
2019-01-04,sz.002028,9.8500,10.5800,9.8300,10.4700,9.9600,14625820,151412356.5400
2019-01-07,sz.002028,10.5500,10.9400,10.4100,10.9200,10.4700,17856550,192127014.3000
2019-01-08,sz.002028,10.8000,10.8500,10.6300,10.8400,10.9200,11433016,123173018.6100
2019-01-09,sz.002028,10.8000,11.0800,10.7400,10.8400,10.8400,15356075,167508237.8700
2019-01-10,sz.002028,10.8200,11.0500,10.7200,10.8900,10.8400,12467527,136051159.3700
2019-01-11,sz.002028,10.8500,10.9800,10.7300,10.9700,10.8900,11358527,123410856.3900
2019-01-14,sz.002028,11.0100,11.1100,10.7100,10.7800,10.9700,8097264,87750072.1100
2019-01-15,sz.002028,10.7900,10.9900,10.6700,10.9800,10.7800,10243641,111571092.1700
2019-01-16,sz.002028,11.0500,11.0500,10.7800,10.7800,10.9800,7921420,85939106.0100
2019-01-17,sz.002028,10.8100,10.8300,10.5400,10.5900,10.7800,6238143,66610550.0800
2019-01-18,sz.002028,10.6800,10.7000,10.5400,10.7000,10.5900,5595393,59543824.3400
2019-01-21,sz.002028,10.8400,10.8600,10.5600,10.6400,10.7000,6791982,72762708.6400
2019-01-22,sz.002028,10.6800,10.7500,10.5500,10.6300,10.6400,5416168,57726786.4100
2019-01-23,sz.002028,10.6500,10.7100,10.3900,10.5200,10.6300,6673079,70178779.6200
2019-01-24,sz.002028,10.5000,10.8700,10.4800,10.8100,10.5200,8014211,85944494.2400
2019-01-25,sz.002028,10.7700,10.8900,10.5500,10.5900,10.8100,7596396,81150809.6200
2019-01-28,sz.002028,10.6300,10.7300,10.4800,10.4800,10.5900,5094814,53934467.5600
2019-01-29,sz.002028,10.4000,10.4700,10.0000,10.0800,10.4800,8208567,83252883.9400
2019-01-30,sz.002028,10.0800,10.1900,10.0000,10.0300,10.0800,4165700,42065968.3400
2019-01-31,sz.002028,10.1000,10.1400,9.9100,9.9800,10.0300,4683519,46982288.9400
2019-02-01,sz.002028,10.1000,10.3000,9.9900,10.2600,9.9800,4610028,47018587.4700
2019-02-11,sz.002028,10.3000,10.5700,10.2700,10.5500,10.2600,6149185,64273719.4000
2019-02-12,sz.002028,10.5500,10.7200,10.5200,10.6700,10.5500,5885065,62642360.0000
2019-02-13,sz.002028,10.6500,11.0400,10.5800,10.9200,10.6700,14913422,162152136.6900
2019-02-14,sz.002028,10.9900,11.1900,10.8600,10.9500,10.9200,11366518,125069543.3000
2019-02-15,sz.002028,10.9700,11.3800,10.9500,11.1300,10.9500,16090310,179814303.3900
2019-02-18,sz.002028,11.1600,11.4400,11.0400,11.4300,11.1300,14897274,168244918.7500
2019-02-19,sz.002028,11.4300,11.4400,11.1200,11.2300,11.4300,13162180,148271189.1000
2019-02-20,sz.002028,11.2500,11.3600,11.0600,11.2500,11.2300,9060304,101510637.3900
2019-02-21,sz.002028,11.2400,11.3700,11.0400,11.0900,11.2500,11616738,130374141.3800
2019-02-22,sz.002028,11.0600,11.3300,11.0200,11.2900,11.0900,11641090,130297944.5200
2019-02-25,sz.002028,11.3800,11.8400,11.3400,11.8400,11.2900,22852889,265426887.7000
2019-02-26,sz.002028,11.8000,11.9800,11.5800,11.6800,11.8400,22839050,268496776.8900
2019-02-27,sz.002028,11.7000,11.8700,11.4100,11.5000,11.6800,17078239,199653313.7100
2019-02-28,sz.002028,11.5100,11.9500,11.5100,11.6800,11.5000,14738550,172676818.0400
2019-03-01,sz.002028,11.8000,11.8200,11.3900,11.5900,11.6800,13271031,153315060.7900
2019-03-04,sz.002028,11.6500,12.2500,11.5600,12.0600,11.5900,31282688,373443216.5200
2019-03-05,sz.002028,12.0000,12.2500,11.8400,12.2500,12.0600,27287800,328189421.8200
2019-03-06,sz.002028,12.6400,13.1500,12.3400,12.8800,12.2500,43172037,550365787.7500
2019-03-07,sz.002028,12.8800,13.3700,12.6100,12.7500,12.8800,33596391,434379545.5900
2019-03-08,sz.002028,12.5000,13.3600,12.2600,13.0000,12.7500,45376771,590517412.2700
2019-03-11,sz.002028,14.3000,14.3000,13.6800,14.3000,13.0000,52185064,738793753.4100
2019-03-12,sz.002028,14.9000,15.1800,13.9500,14.4200,14.3000,78918444,1148787803.5100
2019-03-13,sz.002028,14.0300,14.1500,13.2200,13.4000,14.4200,48656282,668888854.9000
2019-03-14,sz.002028,13.4900,13.5500,12.4000,12.6500,13.4000,36098841,464971965.8200
