date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603050,14.0000,14.4900,13.1900,13.2900,13.1700,22010593,307020872.0000
2019-01-03,sh.603050,12.6700,14.4800,12.6700,13.8800,13.2900,19769027,268093693.0000
2019-01-04,sh.603050,13.3400,14.4500,13.1400,13.6300,13.8800,16285977,224123976.0000
2019-01-07,sh.603050,13.4000,14.3800,13.3200,13.9100,13.6300,13601113,187627287.0000
2019-01-08,sh.603050,13.6400,13.8000,13.0300,13.4800,13.9100,10426417,139894476.0000
2019-01-09,sh.603050,13.4800,13.7700,13.1400,13.2700,13.4800,8298734,111705356.0000
2019-01-10,sh.603050,13.2700,14.3000,13.2700,13.8200,13.2700,13272199,183183420.0000
2019-01-11,sh.603050,13.5000,13.6400,13.1800,13.4300,13.8200,7984180,107201262.0000
2019-01-14,sh.603050,13.4500,13.4500,12.8800,13.1500,13.4300,7020186,92373268.0000
2019-01-15,sh.603050,13.1500,13.3000,12.8000,13.1400,13.1500,5059820,66017301.0000
2019-01-16,sh.603050,13.1600,13.4600,13.0300,13.4600,13.1400,7634077,101517854.0000
2019-01-17,sh.603050,13.3300,13.8600,13.0500,13.0900,13.4600,7447727,99347523.0000
2019-01-18,sh.603050,12.8500,13.0900,12.2400,12.3900,13.0900,7429702,93494620.0000
2019-01-21,sh.603050,12.4700,12.6200,12.3900,12.5100,12.3900,3671647,45905598.0000
2019-01-22,sh.603050,12.5700,12.5800,12.2900,12.3200,12.5100,2668740,33013013.0000
2019-01-23,sh.603050,12.3000,12.6500,12.2300,12.6100,12.3200,3597040,44975220.0000
2019-01-24,sh.603050,12.5400,12.6700,12.4600,12.5500,12.6100,2856167,35800973.0000
2019-01-25,sh.603050,12.7100,13.3500,12.6700,12.9300,12.5500,7503719,97770480.0000
2019-01-28,sh.603050,12.9200,13.4100,12.6800,13.3100,12.9300,7282319,95155815.0000
2019-01-29,sh.603050,13.2000,13.4000,12.7400,12.9400,13.3100,4535500,59079853.0000
2019-01-30,sh.603050,12.4800,12.7000,11.8700,11.9500,12.9400,5531720,68000410.0000
2019-01-31,sh.603050,11.9100,12.2400,11.4200,11.5600,11.9500,3546920,42080207.0000
2019-02-01,sh.603050,11.6000,12.1500,11.6000,12.1000,11.5600,3247980,38786577.0000
2019-02-11,sh.603050,12.0700,12.4200,12.0100,12.4000,12.1000,3657280,45028301.0000
2019-02-12,sh.603050,12.5300,12.7300,12.3700,12.5400,12.4000,4361258,54703068.0000
2019-02-13,sh.603050,12.6200,12.8000,12.4400,12.7000,12.5400,4965679,62846806.0000
2019-02-14,sh.603050,12.6900,12.9500,12.5300,12.8100,12.7000,4580560,58478450.0000
2019-02-15,sh.603050,12.8600,12.9400,12.6300,12.8300,12.8100,3773240,48267000.0000
2019-02-18,sh.603050,12.8500,13.3800,12.8500,13.2100,12.8300,5711239,75123650.0000
2019-02-19,sh.603050,13.2600,13.4900,12.9400,13.3800,13.2100,6978979,92046182.0000
2019-02-20,sh.603050,13.3300,13.3600,13.0300,13.1600,13.3800,4101360,53892919.0000
2019-02-21,sh.603050,13.1600,13.2500,12.7900,12.8400,13.1600,5309880,69382511.0000
2019-02-22,sh.603050,12.9000,13.4000,12.8800,13.3700,12.8400,6235626,82220989.0000
2019-02-25,sh.603050,13.5000,14.1700,13.3000,14.0100,13.3700,9535826,131174179.0000
2019-02-26,sh.603050,14.0000,15.0000,13.8100,14.1500,14.0100,9802720,140776959.0000
2019-02-27,sh.603050,14.3000,14.4000,13.7700,13.9500,14.1500,6677777,94029723.0000
2019-02-28,sh.603050,13.9600,14.1000,13.7200,13.9000,13.9500,4011460,55810628.0000
2019-03-01,sh.603050,13.9300,14.3800,13.7000,14.3500,13.9000,6490920,91437854.0000
2019-03-04,sh.603050,14.3400,14.6800,14.0900,14.2300,14.3500,8973260,128560780.0000
2019-03-05,sh.603050,14.2400,14.4400,14.0100,14.4100,14.2300,6478052,91827200.0000
2019-03-06,sh.603050,14.4600,15.1000,14.1600,14.8600,14.4100,9999316,145967045.0000
2019-03-07,sh.603050,14.8500,14.9900,14.5100,14.8900,14.8600,7755222,114194668.0000
2019-03-08,sh.603050,14.6300,14.6600,13.6800,13.7900,14.8900,7097754,101990986.0000
2019-03-11,sh.603050,14.4200,15.1700,14.1200,15.1700,13.7900,9595992,142122270.0000
2019-03-12,sh.603050,16.0600,16.6900,15.5300,15.6400,15.1700,19554617,315062983.0000
2019-03-13,sh.603050,15.8200,15.9800,15.0000,15.1600,15.6400,10732156,166285362.0000
2019-03-14,sh.603050,15.1200,15.1500,14.0800,14.2100,15.1600,7991560,115778300.0000
2019-03-15,sh.603050,14.4900,14.5900,14.1100,14.3300,14.2100,5472434,78633537.0000
2019-03-18,sh.603050,14.4500,14.9400,14.2300,14.8200,14.3300,6496452,94450036.0000
2019-03-19,sh.603050,14.7200,14.8100,14.4900,14.6700,14.8200,5032059,73602148.0000
2019-03-20,sh.603050,14.6400,14.6400,14.3100,14.5500,14.6700,3840732,55593900.0000
2019-03-21,sh.603050,14.6100,14.9800,14.5600,14.7700,14.5500,5405220,79921455.0000
