date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002335,15.0700,15.2000,14.8700,14.9100,15.0700,1511400,22713908.9700
2019-01-03,sz.002335,14.9000,15.0200,14.4100,14.4400,14.9100,1837712,27014962.5700
2019-01-04,sz.002335,14.3700,15.0800,14.1400,15.0300,14.4400,2218563,32557256.4900
2019-01-07,sz.002335,15.2500,16.4200,15.1400,16.1100,15.0300,7036032,112211899.2200
2019-01-08,sz.002335,16.3500,16.7800,16.0200,16.1200,16.1100,6370421,104077837.8400
2019-01-09,sz.002335,16.4900,16.7300,16.1100,16.1500,16.1200,5206899,85040738.1900
2019-01-10,sz.002335,16.2800,16.6500,15.8500,16.0400,16.1500,4355632,70600920.8800
2019-01-11,sz.002335,15.9200,16.2500,15.6700,16.2000,16.0400,3732006,59796602.1000
2019-01-14,sz.002335,16.3000,16.6900,16.1800,16.2500,16.2000,4548167,74759986.2200
2019-01-15,sz.002335,16.0100,16.4000,15.9000,16.3800,16.2500,2694541,43572164.7500
2019-01-16,sz.002335,16.3800,17.5900,16.2600,17.2300,16.3800,8533898,145299186.8300
2019-01-17,sz.002335,17.0300,17.1000,16.6300,16.8000,17.2300,4606969,77710970.0800
2019-01-18,sz.002335,16.6600,16.9300,16.2600,16.4500,16.8000,3622790,59889237.2900
2019-01-21,sz.002335,16.4600,16.7000,16.4000,16.6400,16.4500,2559166,42385502.5400
2019-01-22,sz.002335,16.6000,16.6000,15.9800,16.1200,16.6400,2810377,45455086.3600
2019-01-23,sz.002335,15.9800,16.2200,15.9000,16.0100,16.1200,1808000,28952505.0000
2019-01-24,sz.002335,16.0500,16.3600,16.0000,16.3300,16.0100,2017391,32803374.1700
2019-01-25,sz.002335,16.3300,16.3900,15.8000,15.8100,16.3300,2556862,40975834.9500
2019-01-28,sz.002335,15.8700,16.0900,15.7200,15.9600,15.8100,1507264,23977355.6200
2019-01-29,sz.002335,15.9100,15.9100,15.0700,15.3600,15.9600,2241281,34433756.7800
2019-01-30,sz.002335,15.3500,15.5500,15.1000,15.2500,15.3600,1262610,19428794.7900
2019-01-31,sz.002335,14.6700,14.6800,14.2500,14.4200,15.2500,2739772,39595902.3500
2019-02-01,sz.002335,14.4300,15.0100,14.4300,14.9700,14.4200,1180559,17483676.3500
2019-02-11,sz.002335,14.9700,15.3600,14.9700,15.3100,14.9700,1108532,16880527.1000
2019-02-12,sz.002335,15.3100,15.6500,15.2400,15.5500,15.3100,1492470,23060832.6000
2019-02-13,sz.002335,15.5600,16.2500,15.4400,16.1900,15.5500,3355876,53588878.8600
2019-02-14,sz.002335,16.4400,16.8800,15.9200,16.1000,16.1900,3230200,52480272.0000
2019-02-15,sz.002335,16.1200,16.6400,16.1000,16.5000,16.1000,4169384,68377977.9900
2019-02-18,sz.002335,16.6000,16.8600,16.3000,16.8300,16.5000,4686938,78038140.1400
2019-02-19,sz.002335,16.8300,16.8300,16.5000,16.6500,16.8300,3423600,57064978.2700
2019-02-20,sz.002335,16.6000,16.7900,16.2900,16.5100,16.6500,2666093,44055081.9200
2019-02-21,sz.002335,16.6200,16.8600,16.4000,16.5500,16.5100,3674179,61222339.1000
2019-02-22,sz.002335,16.4800,16.8000,16.3600,16.7700,16.5500,3757254,62396421.9200
2019-02-25,sz.002335,16.9700,17.4800,16.8500,17.4300,16.7700,6671879,115017332.3800
2019-02-26,sz.002335,17.3000,17.7900,17.0400,17.1900,17.4300,6442020,112021393.9200
2019-02-27,sz.002335,17.1800,17.5200,16.8100,17.0500,17.1900,4232500,72891552.9400
2019-02-28,sz.002335,16.9300,17.2500,16.8600,17.0000,17.0500,2550000,43454090.1900
2019-03-01,sz.002335,17.0000,17.3000,16.8300,17.1400,17.0000,2842600,48513449.0000
2019-03-04,sz.002335,17.1800,18.5000,17.1800,18.1000,17.1400,9229102,164343393.7600
2019-03-05,sz.002335,17.9100,18.9600,17.7400,18.9600,18.1000,10973404,201320079.7000
2019-03-06,sz.002335,20.1000,20.8600,19.0900,20.3800,18.9600,14350754,287164558.7300
2019-03-07,sz.002335,20.0500,20.2800,19.1600,19.9300,20.3800,12345479,245421063.1100
2019-03-08,sz.002335,19.0000,21.0000,18.8900,20.1900,19.9300,11213060,223467523.6100
2019-03-11,sz.002335,21.0800,21.9800,20.5900,21.7200,20.1900,12272078,260254417.0700
2019-03-12,sz.002335,21.3600,21.8700,20.8000,21.3000,21.7200,11095395,235283511.4700
2019-03-13,sz.002335,21.2500,21.3000,19.5000,19.8500,21.3000,8843578,179387248.9300
2019-03-14,sz.002335,19.5500,19.7500,18.7000,19.0300,19.8500,5320026,101651786.8800
2019-03-15,sz.002335,19.1100,19.4900,18.8600,19.0400,19.0300,3800639,72854600.1600
2019-03-18,sz.002335,19.2000,19.3700,19.0100,19.3100,19.0400,3176574,61063687.5000
2019-03-19,sz.002335,19.4900,20.1600,19.3800,20.1500,19.3100,5065672,100120938.9600
2019-03-20,sz.002335,19.9000,20.0500,19.4500,19.7600,20.1500,3375841,66531571.0800
2019-03-21,sz.002335,19.7200,19.9300,19.6100,19.7100,19.7600,3599649,71299923.7100
2019-03-22,sz.002335,19.6100,19.6900,19.2000,19.4300,19.7100,3049474,59095970.7200
2019-03-25,sz.002335,19.1800,19.6900,19.0100,19.3500,19.4300,3060756,59130929.6700
2019-03-26,sz.002335,19.3800,19.5500,18.4700,18.5700,19.3500,3313241,62626678.9500
2019-03-27,sz.002335,18.8500,18.8700,18.4500,18.8600,18.5700,2343726,43724735.2200
2019-03-28,sz.002335,18.7900,19.1300,18.5300,18.5700,18.8600,2255701,42521005.7800
2019-03-29,sz.002335,18.7400,19.1800,18.3500,18.9900,18.5700,3239891,60992218.4000
2019-04-01,sz.002335,19.0500,19.8600,19.0000,19.8600,18.9900,4751603,92816363.1300
2019-04-02,sz.002335,19.9000,20.0000,19.5700,19.6600,19.8600,4643079,91768120.4500
2019-04-03,sz.002335,19.5700,20.0000,19.4400,19.8700,19.6600,3630327,71815722.5600
2019-04-04,sz.002335,19.8600,20.0200,19.5400,19.7100,19.8700,3607928,71186999.0800
2019-04-08,sz.002335,19.6800,20.7800,19.6800,20.7700,19.7100,10028123,203531463.4400
