date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002121,4.6000,4.6700,4.5600,4.5800,4.6000,1495250,6876249.0000
2019-01-03,sz.002121,4.5600,4.6400,4.5500,4.5600,4.5800,2181500,9992371.5000
2019-01-04,sz.002121,4.5100,4.6800,4.4500,4.6600,4.5600,3285353,15130130.2200
2019-01-07,sz.002121,4.6900,4.9800,4.6900,4.9700,4.6600,9028266,43822233.8500
2019-01-08,sz.002121,4.9400,4.9700,4.8800,4.8900,4.9700,4909761,24155352.7000
2019-01-09,sz.002121,4.9200,5.0200,4.8700,4.9000,4.8900,6294186,31161996.4600
2019-01-10,sz.002121,4.9100,5.1200,4.9100,4.9700,4.9000,6502069,32635668.3800
2019-01-11,sz.002121,4.9700,5.0600,4.9700,5.0100,4.9700,4322350,21662626.5000
2019-01-14,sz.002121,5.1000,5.2400,4.9800,4.9900,5.0100,6332700,32156309.5000
2019-01-15,sz.002121,4.9900,5.2300,4.9700,5.2100,4.9900,14776352,76305836.6500
2019-01-16,sz.002121,5.2000,5.2000,5.0700,5.1100,5.2100,7450301,38149411.6000
2019-01-17,sz.002121,5.1100,5.1300,5.0000,5.0200,5.1100,4855153,24467052.6500
2019-01-18,sz.002121,4.9900,5.1300,4.9700,5.1200,5.0200,6015903,30516687.8600
2019-01-21,sz.002121,5.2800,5.4800,5.1200,5.1900,5.1200,11178475,58676193.3600
2019-01-22,sz.002121,5.1900,5.1900,4.9200,4.9500,5.1900,10118346,50546595.1100
2019-01-23,sz.002121,4.9000,5.0700,4.8600,5.0700,4.9500,7115214,35362829.2400
2019-01-24,sz.002121,5.0600,5.1500,5.0100,5.1100,5.0700,7665783,39077393.2600
2019-01-25,sz.002121,5.1800,5.2400,4.9000,4.9200,5.1100,11071502,55622793.3900
2019-01-28,sz.002121,4.8700,4.9400,4.6700,4.7200,4.9200,11298638,53785886.2200
2019-01-29,sz.002121,4.2500,4.3000,4.2500,4.2500,4.7200,15231900,64741976.0000
2019-01-30,sz.002121,4.0200,4.1500,3.8300,3.9700,4.2500,26356071,103887262.4900
2019-01-31,sz.002121,3.9500,4.0500,3.8800,4.0000,3.9700,9266962,37002703.7200
2019-02-01,sz.002121,4.0500,4.1700,3.9900,4.1300,4.0000,5828138,23975968.6900
2019-02-11,sz.002121,4.2600,4.4100,4.2100,4.3900,4.1300,8573240,37187388.1800
2019-02-12,sz.002121,4.3900,4.4900,4.3500,4.4400,4.3900,8337410,36965633.5000
2019-02-13,sz.002121,4.4400,4.6200,4.4300,4.6100,4.4400,8067027,36924292.8900
2019-02-14,sz.002121,4.6100,4.7300,4.5400,4.7300,4.6100,9532469,44284666.9200
2019-02-15,sz.002121,4.7200,4.7600,4.6700,4.7600,4.7300,6086809,28741667.7900
2019-02-18,sz.002121,4.7500,4.9200,4.7500,4.9000,4.7600,7283698,35542153.2200
