date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601222,4.8000,4.8000,4.6800,4.6900,4.8400,10347533,48851920.0000
2019-01-03,sh.601222,4.7000,4.7200,4.5500,4.5600,4.6900,11906313,54962941.0000
2019-01-04,sh.601222,4.5500,4.7200,4.5400,4.7200,4.5600,9456638,44046902.0000
2019-01-07,sh.601222,4.7600,4.8400,4.7600,4.8300,4.7200,12102448,58111128.0000
2019-01-08,sh.601222,4.8200,4.8500,4.8000,4.8400,4.8300,7478374,36047215.0000
2019-01-09,sh.601222,4.8200,4.9000,4.8100,4.8200,4.8400,11008092,53463870.0000
2019-01-10,sh.601222,4.8500,5.0400,4.8500,4.9500,4.8200,19849230,98770708.0000
2019-01-11,sh.601222,4.9400,4.9700,4.8600,4.9200,4.9500,9066514,44507941.0000
2019-01-14,sh.601222,4.9400,4.9500,4.8300,4.8400,4.9200,7083471,34581217.0000
2019-01-15,sh.601222,4.8100,4.9600,4.8100,4.9500,4.8400,9753300,47894424.0000
2019-01-16,sh.601222,4.9500,5.0300,4.9200,4.9600,4.9500,12285568,61119205.0000
2019-01-17,sh.601222,4.9800,5.0100,4.8700,4.8900,4.9600,8926858,44059679.0000
2019-01-18,sh.601222,4.9100,5.0000,4.9000,4.9700,4.8900,12365165,61225347.0000
2019-01-21,sh.601222,4.9600,5.0400,4.9500,4.9900,4.9700,13062648,65352986.0000
2019-01-22,sh.601222,5.0100,5.0300,4.9100,4.9500,4.9900,8610227,42711204.0000
2019-01-23,sh.601222,4.9500,4.9500,4.8900,4.9200,4.9500,7067236,34778489.0000
2019-01-24,sh.601222,4.9000,5.2700,4.9000,5.2000,4.9200,28172497,144344477.0000
2019-01-25,sh.601222,5.2600,5.2900,5.1200,5.1600,5.2000,18471846,95752934.0000
2019-01-28,sh.601222,5.1800,5.2900,5.0800,5.1300,5.1600,11969353,61595878.0000
2019-01-29,sh.601222,5.1000,5.1100,4.8600,5.0100,5.1300,14794538,73519696.0000
2019-01-30,sh.601222,5.0000,5.2600,4.9400,5.0500,5.0100,22699649,116395690.0000
2019-01-31,sh.601222,5.0100,5.1500,4.9500,5.0000,5.0500,14614741,73331431.0000
2019-02-01,sh.601222,4.9900,5.5000,4.9900,5.4500,5.0000,43709060,233642761.0000
2019-02-11,sh.601222,5.4800,5.5300,5.3700,5.5200,5.4500,37880110,206343652.0000
2019-02-12,sh.601222,5.5200,5.6700,5.4200,5.6000,5.5200,36180645,200944852.0000
2019-02-13,sh.601222,5.5500,5.6800,5.5300,5.5900,5.6000,27452569,153368486.0000
2019-02-14,sh.601222,5.5700,5.7500,5.5600,5.5600,5.5900,23926002,134653711.0000
2019-02-15,sh.601222,5.5800,5.6900,5.5500,5.5600,5.5600,22128204,124036462.0000
2019-02-18,sh.601222,5.6200,5.6900,5.5100,5.6800,5.5600,28802818,161829313.0000
2019-02-19,sh.601222,5.7000,5.9000,5.4700,5.5300,5.6800,47307006,267319174.0000
2019-02-20,sh.601222,5.5500,5.5500,5.2800,5.4200,5.5300,45284657,244003648.0000
2019-02-21,sh.601222,5.3700,5.5100,5.2800,5.3100,5.4200,40088275,215932681.0000
2019-02-22,sh.601222,5.3100,5.6200,5.2000,5.6200,5.3100,56998708,307010924.0000
2019-02-25,sh.601222,5.6600,6.0700,5.5500,5.9500,5.6200,84696662,491588108.0000
2019-02-26,sh.601222,5.9300,5.9500,5.7700,5.8000,5.9500,55103406,322774653.0000
2019-02-27,sh.601222,5.7800,5.8100,5.4800,5.6000,5.8000,52424000,295535807.0000
2019-02-28,sh.601222,5.5500,5.6500,5.5100,5.5800,5.6000,22213323,123772575.0000
2019-03-01,sh.601222,5.5900,5.6300,5.4800,5.6100,5.5800,27746643,153680100.0000
2019-03-04,sh.601222,5.6200,5.7500,5.5800,5.7300,5.6100,56417775,319814673.0000
2019-03-05,sh.601222,5.6800,5.8500,5.6400,5.8400,5.7300,44919665,256687055.0000
2019-03-06,sh.601222,5.8600,5.9800,5.8100,5.9000,5.8400,58141767,341678735.0000
2019-03-07,sh.601222,6.0300,6.0800,5.8600,5.9300,5.9000,59477496,354753919.0000
2019-03-08,sh.601222,5.8600,5.8800,5.5800,5.5800,5.9300,44938893,257783300.0000
2019-03-11,sh.601222,6.0400,6.1400,5.7100,6.1400,5.5800,96754145,582501559.0000
2019-03-12,sh.601222,6.5800,6.7400,6.2300,6.4000,6.1400,126071574,815218940.0000
2019-03-13,sh.601222,6.3100,6.4500,6.0100,6.1200,6.4000,56828380,354936626.0000
2019-03-14,sh.601222,6.1300,6.1500,5.8300,5.9400,6.1200,41140153,245122300.0000
2019-03-15,sh.601222,5.9600,6.0700,5.9000,5.9700,5.9400,28345709,170057447.0000
2019-03-18,sh.601222,5.9600,6.1300,5.9600,6.1300,5.9700,24516796,148378785.0000
2019-03-19,sh.601222,6.1300,6.1300,6.0200,6.0600,6.1300,27376262,165927806.0000
2019-03-20,sh.601222,6.0500,6.0800,5.8800,6.0000,6.0600,22737400,135888723.0000
2019-03-21,sh.601222,5.9600,6.0900,5.9600,6.0200,6.0000,22966532,138406597.0000
2019-03-22,sh.601222,5.9800,6.0200,5.8900,5.9800,6.0200,23194639,137874972.0000
2019-03-25,sh.601222,5.8900,5.9400,5.8200,5.8400,5.9800,22333196,131277913.0000
2019-03-26,sh.601222,5.8400,5.8800,5.6300,5.6400,5.8400,24185952,139269371.0000
2019-03-27,sh.601222,5.6900,5.7200,5.5600,5.6300,5.6400,21097443,118751608.0000
2019-03-28,sh.601222,5.5900,5.7100,5.5700,5.6000,5.6300,15248664,85927660.0000
2019-03-29,sh.601222,5.6100,5.8800,5.5500,5.8300,5.6000,26504769,151783076.0000
