date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601877,24.2300,24.2400,22.8800,23.5500,24.2400,8354507,194995384.0000
2019-01-03,sh.601877,23.3100,23.3200,22.5100,22.5100,23.5500,6458332,147431380.0000
2019-01-04,sh.601877,22.1200,22.6600,22.0000,22.4000,22.5100,12627964,282689910.0000
2019-01-07,sh.601877,22.4600,23.1800,22.4600,23.0700,22.4000,8891679,203580010.0000
2019-01-08,sh.601877,22.9700,23.1100,22.5200,22.8100,23.0700,7011267,159447805.0000
2019-01-09,sh.601877,22.7300,23.4400,22.6000,23.1100,22.8100,8992879,207913486.0000
2019-01-10,sh.601877,23.0100,24.0000,22.9500,23.8500,23.1100,10991225,261076171.0000
2019-01-11,sh.601877,23.7500,23.8700,23.5500,23.7000,23.8500,7248559,171543854.0000
2019-01-14,sh.601877,24.2000,24.3600,23.5500,23.9000,23.7000,7518593,179901340.0000
2019-01-15,sh.601877,23.8800,24.9200,23.8000,24.8800,23.9000,11317906,276515721.0000
2019-01-16,sh.601877,25.0000,25.3400,24.6200,25.1000,24.8800,9087417,227836573.0000
2019-01-17,sh.601877,25.0800,26.0000,24.8000,25.3900,25.1000,11683573,299267504.0000
2019-01-18,sh.601877,25.6400,25.8700,25.3600,25.5300,25.3900,5915492,151424234.0000
2019-01-21,sh.601877,25.8800,26.1800,25.0000,25.4300,25.5300,8191259,208408506.0000
2019-01-22,sh.601877,25.6000,25.6900,25.2500,25.4000,25.4300,4905118,124798606.0000
2019-01-23,sh.601877,25.5500,25.9800,25.4100,25.7000,25.4000,5205504,133827808.0000
2019-01-24,sh.601877,25.6500,26.1000,25.4600,25.6600,25.7000,6729532,173597813.0000
2019-01-25,sh.601877,25.5600,26.5400,25.4400,26.0200,25.6600,8006938,210259461.0000
2019-01-28,sh.601877,26.3600,26.5900,25.8100,25.9500,26.0200,6184260,162116143.0000
2019-01-29,sh.601877,26.0500,26.1700,25.5200,25.9900,25.9500,6898928,178635453.0000
2019-01-30,sh.601877,25.9500,26.0500,25.4400,25.5900,25.9900,5248030,135386467.0000
2019-01-31,sh.601877,25.8400,26.1200,25.4600,25.5600,25.5900,5619838,145294189.0000
2019-02-01,sh.601877,25.7000,26.5900,25.6900,26.4100,25.5600,8352599,219230810.0000
2019-02-11,sh.601877,26.5700,26.7600,26.1100,26.6200,26.4100,7116535,188527565.0000
2019-02-12,sh.601877,26.5800,26.7400,26.2800,26.5000,26.6200,7213111,191032823.0000
2019-02-13,sh.601877,26.7700,27.4000,26.4300,27.2300,26.5000,8701696,235580632.0000
2019-02-14,sh.601877,27.2500,27.2500,26.7000,26.8300,27.2300,5924001,159279809.0000
2019-02-15,sh.601877,26.8100,26.8100,26.2100,26.3000,26.8300,9024263,238718261.0000
2019-02-18,sh.601877,26.3900,27.5400,26.3900,26.9000,26.3000,13710744,368842458.0000
2019-02-19,sh.601877,26.9300,27.0700,25.7300,26.2100,26.9000,17335714,453897175.0000
2019-02-20,sh.601877,26.2000,26.2000,25.6000,25.8600,26.2100,14107446,364304232.0000
2019-02-21,sh.601877,25.8400,26.4900,25.6500,25.8200,25.8600,11643239,303707697.0000
2019-02-22,sh.601877,25.8200,25.8300,25.1000,25.6000,25.8200,19094714,484726724.0000
2019-02-25,sh.601877,25.8100,27.1000,25.8100,26.5600,25.6000,28319174,754739073.0000
2019-02-26,sh.601877,26.7000,26.7900,25.7400,25.9000,26.5600,29588222,769941737.0000
2019-02-27,sh.601877,25.8700,25.8700,25.2300,25.3900,25.9000,15247716,390311193.0000
2019-02-28,sh.601877,25.3900,25.6300,25.1200,25.2400,25.3900,10897596,275835377.0000
2019-03-01,sh.601877,25.4100,25.9100,24.9500,25.8600,25.2400,14946098,381727530.0000
2019-03-04,sh.601877,26.0300,26.5900,25.7300,26.3000,25.8600,17972087,471170538.0000
2019-03-05,sh.601877,26.2500,26.2500,25.3900,25.8800,26.3000,22667474,583448463.0000
2019-03-06,sh.601877,25.9500,26.3100,25.7000,25.9100,25.8800,15529853,402923156.0000
2019-03-07,sh.601877,25.8900,26.0800,25.2000,25.6000,25.9100,17541567,448956250.0000
2019-03-08,sh.601877,25.2900,25.5400,24.7200,24.7800,25.6000,15012346,377381825.0000
2019-03-11,sh.601877,24.9600,26.1500,24.9200,26.0300,24.7800,19327549,496701349.0000
2019-03-12,sh.601877,26.2200,26.8900,26.1200,26.4300,26.0300,19786416,523733906.0000
2019-03-13,sh.601877,26.4000,27.1600,26.2000,26.7500,26.4300,18805900,503436814.0000
2019-03-14,sh.601877,26.7800,27.1200,26.0300,26.5200,26.7500,14982756,396068880.0000
2019-03-15,sh.601877,26.5400,26.7900,25.8700,26.4100,26.5200,17697645,464458091.0000
2019-03-18,sh.601877,26.4900,27.2600,25.9500,27.2200,26.4100,16213725,434676598.0000
2019-03-19,sh.601877,27.2700,27.6800,26.8200,27.0000,27.2200,11297724,306721557.0000
2019-03-20,sh.601877,27.0000,27.1500,26.4300,26.7300,27.0000,8333304,223158038.0000
2019-03-21,sh.601877,26.7500,27.5000,26.6400,26.7500,26.7300,12290702,332346500.0000
2019-03-22,sh.601877,26.7600,26.8300,26.1900,26.6800,26.7500,8698235,230411007.0000
2019-03-25,sh.601877,26.3200,27.0900,26.2100,26.6000,26.6800,8877397,236534621.0000
2019-03-26,sh.601877,26.6300,26.7300,25.6500,26.0200,26.6000,11023600,288298367.0000
2019-03-27,sh.601877,26.0000,26.2000,25.7500,25.8400,26.0200,7310923,189724907.0000
2019-03-28,sh.601877,25.9600,26.0500,25.6600,26.0200,25.8400,7252507,187729984.0000
2019-03-29,sh.601877,26.0300,26.8800,25.9200,26.8000,26.0200,13005232,344286853.0000
2019-04-01,sh.601877,26.9000,28.2200,26.8600,28.2200,26.8000,22832382,632627297.0000
2019-04-02,sh.601877,28.4200,28.5900,27.8100,28.0000,28.2200,11288175,316918912.0000
2019-04-03,sh.601877,27.9600,28.7500,27.7500,28.2000,28.0000,14897418,422000390.0000
2019-04-04,sh.601877,28.1500,28.5000,27.9800,28.1200,28.2000,11406417,321621153.0000
2019-04-08,sh.601877,28.1600,28.6800,27.7500,27.8900,28.1200,13186539,371440183.0000
