date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300458,20.0900,20.4900,19.9300,20.2000,20.0000,2819303,57104363.3100
2019-01-03,sz.300458,20.2400,20.8000,19.5000,19.5000,20.2000,5311279,106598499.3700
2019-01-04,sz.300458,19.2000,19.9900,18.8300,19.9600,19.5000,4904731,95769915.1500
2019-01-07,sz.300458,19.9600,20.5900,19.9600,20.4300,19.9600,5262580,107230814.0200
2019-01-08,sz.300458,20.3100,20.6600,20.2000,20.5000,20.4300,4480095,91626421.4800
2019-01-09,sz.300458,20.5000,21.2100,20.2400,20.5300,20.5000,6950628,143733779.2000
2019-01-10,sz.300458,20.4800,20.7600,20.2000,20.2900,20.5300,4584528,93738607.6900
2019-01-11,sz.300458,20.2000,20.5900,20.2000,20.5500,20.2900,3683321,75304404.0300
2019-01-14,sz.300458,20.5500,20.5500,19.1800,19.5300,20.5500,9485760,186430518.0900
2019-01-15,sz.300458,19.2500,19.7000,19.2500,19.5700,19.5300,4763074,93012322.2500
2019-01-16,sz.300458,19.6100,19.8300,19.3700,19.4100,19.5700,5097591,99613603.1100
2019-01-17,sz.300458,19.3200,19.4200,18.9000,19.0000,19.4100,5584176,106493389.1500
2019-01-18,sz.300458,18.9800,19.0900,18.5500,19.0900,19.0000,5708960,107587001.5500
2019-01-21,sz.300458,19.1600,19.4000,18.9800,19.3500,19.0900,5034518,96703780.4700
2019-01-22,sz.300458,19.2500,19.2800,18.8000,18.8900,19.3500,3866782,73522482.1600
2019-01-23,sz.300458,18.7900,18.9600,18.7000,18.8000,18.8900,2108225,39671507.6900
2019-01-24,sz.300458,18.9300,19.6600,18.8100,19.4600,18.8000,8218923,159422436.4200
2019-01-25,sz.300458,19.4800,19.6200,19.1700,19.3400,19.4600,5362088,104123826.0500
2019-01-28,sz.300458,19.4500,19.5900,19.2100,19.3700,19.3400,3565023,69149789.5100
2019-01-29,sz.300458,19.2900,19.3700,18.5100,18.8200,19.3700,4057260,76360743.6500
2019-01-30,sz.300458,18.7200,19.0800,18.6300,18.6500,18.8200,2192804,41265870.3900
2019-01-31,sz.300458,18.7900,18.9900,18.2500,18.2500,18.6500,3906609,72686223.6400
2019-02-01,sz.300458,18.3000,18.8400,18.3000,18.7500,18.2500,3385560,63022211.0800
2019-02-11,sz.300458,18.7500,19.3700,18.7000,19.3400,18.7500,5622442,107726874.6400
2019-02-12,sz.300458,19.4300,20.0100,19.4300,19.8000,19.3400,7475914,147811666.2800
2019-02-13,sz.300458,19.7700,20.5800,19.6300,20.3800,19.8000,10940625,222155280.0300
2019-02-14,sz.300458,20.3000,20.3300,19.9900,20.2100,20.3800,6282932,126614792.8200
2019-02-15,sz.300458,20.1100,20.3500,19.9100,19.9200,20.2100,6180017,124297384.3700
2019-02-18,sz.300458,20.1200,21.1000,20.1100,20.9600,19.9200,11118378,230115660.7000
2019-02-19,sz.300458,21.1500,21.2500,20.5000,20.8400,20.9600,10511074,219148086.9500
2019-02-20,sz.300458,20.8400,20.8400,20.2000,20.5700,20.8400,6827532,140110925.1300
2019-02-21,sz.300458,20.3900,21.1000,20.3500,20.4700,20.5700,9901943,205553087.6500
2019-02-22,sz.300458,20.3700,21.0300,20.2700,21.0300,20.4700,9058082,187762193.3300
2019-02-25,sz.300458,21.4200,22.4500,21.4200,22.2700,21.0300,14647878,320043787.0600
2019-02-26,sz.300458,22.3000,23.1400,21.7500,22.0300,22.2700,14031536,314021688.2100
2019-02-27,sz.300458,22.2000,22.8800,22.0400,22.4900,22.0300,12531998,281645512.0900
2019-02-28,sz.300458,23.4000,23.6500,22.1600,22.4500,22.4900,13071094,299209426.1700
2019-03-01,sz.300458,22.3000,22.5900,21.8700,22.3100,22.4500,7834655,173514350.4400
2019-03-04,sz.300458,24.5400,24.5400,22.8200,23.0200,22.3100,20819375,494192375.2700
2019-03-05,sz.300458,23.2900,24.8700,23.2000,24.7900,23.0200,20967875,504395964.4300
2019-03-06,sz.300458,25.5000,25.6600,23.8900,24.6000,24.7900,17943443,438917463.9700
2019-03-07,sz.300458,24.3000,25.2000,23.9000,24.8700,24.6000,17462543,428950655.2800
2019-03-08,sz.300458,25.0000,26.9900,24.4800,25.3600,24.8700,25046565,653022257.8600
2019-03-11,sz.300458,26.3300,26.7700,25.2100,26.3100,25.3600,19465109,506619350.7100
2019-03-12,sz.300458,26.0000,27.0000,25.7800,27.0000,26.3100,20068632,526251952.5300
2019-03-13,sz.300458,26.1100,26.6600,24.7900,25.1300,27.0000,16068636,415574775.9800
2019-03-14,sz.300458,24.8000,25.1000,23.5900,24.1700,25.1300,11376110,274581514.2400
2019-03-15,sz.300458,24.5700,24.6600,23.7300,23.9600,24.1700,8557452,207005117.0500
2019-03-18,sz.300458,23.9500,24.5500,23.6500,24.5500,23.9600,7455595,179976769.0700
2019-03-19,sz.300458,24.5400,25.0800,24.1300,24.5400,24.5500,9914482,243439097.1900
2019-03-20,sz.300458,24.8200,24.9600,23.6600,24.3200,24.5400,9158011,221060448.1000
2019-03-21,sz.300458,24.2200,24.7800,24.2200,24.7100,24.3200,10369522,254751269.8500
2019-03-22,sz.300458,25.1000,25.4800,24.6800,25.2700,24.7100,13701731,343574963.2600
2019-03-25,sz.300458,25.2800,26.2500,25.0200,25.3300,25.2700,14732980,377599545.8100
2019-03-26,sz.300458,25.0500,25.2800,23.6400,23.7000,25.3300,11950951,291125055.7100
2019-03-27,sz.300458,23.7800,23.9700,22.9600,23.4700,23.7000,7654847,179145719.4000
2019-03-28,sz.300458,23.4400,24.1000,23.0500,23.2200,23.4700,7278354,171953301.3600
2019-03-29,sz.300458,23.1200,24.1600,22.7100,24.1400,23.2200,9623316,226727154.3900
2019-04-01,sz.300458,24.2200,25.1000,24.2200,24.9200,24.1400,11007510,272121002.7600
2019-04-02,sz.300458,24.9000,25.3800,24.7300,25.0000,24.9200,11055846,276729443.4300
2019-04-03,sz.300458,24.7500,25.0800,24.5200,24.8500,25.0000,7585307,188009277.2800
2019-04-04,sz.300458,25.5800,25.8700,24.8200,24.9500,24.8500,10312560,260213386.2300
2019-04-08,sz.300458,25.0000,25.1700,23.5000,23.8500,24.9500,10036498,242712061.8100
2019-04-09,sz.300458,23.8500,24.3800,23.6200,24.0100,23.8500,5186420,124605494.9000
2019-04-10,sz.300458,23.9000,24.1600,23.4000,23.9100,24.0100,5027078,119545785.7100
2019-04-11,sz.300458,24.0100,24.0100,23.4600,23.4600,23.9100,4060511,96148563.8300
2019-04-12,sz.300458,23.4000,23.6900,23.0100,23.2900,23.4600,4546864,105998088.1100
2019-04-15,sz.300458,23.6600,23.9500,23.1300,23.1500,23.2900,4832492,113991670.4800
2019-04-16,sz.300458,23.0800,24.0400,22.7600,24.0000,23.1500,6662730,156713938.8600
2019-04-17,sz.300458,24.0500,24.5900,23.7000,23.7500,24.0000,7609179,183245720.7700
2019-04-18,sz.300458,23.7200,24.0000,23.5500,23.6900,23.7500,4195396,99519856.1200
2019-04-19,sz.300458,23.8100,23.8200,23.2800,23.7400,23.6900,3699575,87159617.9900
2019-04-22,sz.300458,23.7500,23.9200,23.5200,23.8000,23.7400,4305220,102176939.9900
2019-04-23,sz.300458,23.6100,23.7200,23.0200,23.0700,23.8000,4156384,96637994.0500
2019-04-24,sz.300458,23.3000,23.7900,22.9400,23.6500,23.0700,4646244,108680680.3600
2019-04-25,sz.300458,23.5000,23.6900,22.6500,22.6500,23.6500,4696709,108891819.0800
2019-04-26,sz.300458,22.4900,22.9600,22.2000,22.5600,22.6500,3908931,88456661.4100
2019-04-29,sz.300458,22.5700,22.7600,21.5100,21.6000,22.5600,4745748,104201020.4000
2019-04-30,sz.300458,21.6800,21.9300,21.3800,21.6900,21.6000,3053073,66246186.3200
2019-05-06,sz.300458,20.8100,20.8500,19.5200,19.5200,21.6900,5939567,119072570.7900
2019-05-07,sz.300458,19.5500,19.8500,19.2300,19.6800,19.5200,3508774,68614982.6300
2019-05-08,sz.300458,19.2300,20.1700,19.1100,19.7100,19.6800,4476056,88327595.0600
2019-05-09,sz.300458,19.9000,20.3700,19.8000,19.8100,19.7100,4298959,86297402.7500
2019-05-10,sz.300458,19.9500,20.9800,19.3800,20.9700,19.8100,7142362,146124324.6500
2019-05-13,sz.300458,20.6300,20.8500,20.4400,20.5800,20.9700,3906681,80522205.5900
