date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002240,7.3400,7.4600,7.3300,7.3600,7.2900,3164716,23360194.5700
2019-01-03,sz.002240,7.3600,7.5200,7.3600,7.3900,7.3600,3163386,23540605.7200
2019-01-04,sz.002240,7.3300,7.7600,7.2300,7.7200,7.3900,6406494,48503024.3800
2019-01-07,sz.002240,7.7800,7.8700,7.6900,7.7700,7.7200,5247846,40786623.1700
2019-01-08,sz.002240,7.7900,7.8700,7.6800,7.7700,7.7700,4243818,32997166.1400
2019-01-09,sz.002240,7.7800,7.9200,7.7100,7.7500,7.7700,4925913,38584847.7800
2019-01-10,sz.002240,7.8000,8.0600,7.8000,7.9000,7.7500,6133003,48524270.6600
2019-01-11,sz.002240,7.8600,7.9400,7.8100,7.8900,7.9000,3708373,29212575.8200
2019-01-14,sz.002240,7.9200,8.0200,7.8600,7.9200,7.8900,3739290,29630223.6000
2019-01-15,sz.002240,7.9100,8.0600,7.8600,8.0100,7.9200,4383520,34972402.2000
2019-01-16,sz.002240,8.0200,8.1500,8.0100,8.0100,8.0100,4178983,33727094.1100
2019-01-17,sz.002240,8.0100,8.0700,7.8600,7.9600,8.0100,4336037,34501874.7700
2019-01-18,sz.002240,8.0100,8.2100,7.9700,8.1300,7.9600,4929086,39834031.8800
2019-01-21,sz.002240,8.1300,8.3100,8.1300,8.1500,8.1300,4789607,39227677.4100
2019-01-22,sz.002240,8.1900,8.2700,8.0600,8.1300,8.1500,3938298,32184409.9300
2019-01-23,sz.002240,8.0700,8.2300,8.0300,8.2200,8.1300,3437763,27975237.8200
2019-01-24,sz.002240,8.2100,8.4200,8.1300,8.4000,8.2200,6768787,56164635.0500
2019-01-25,sz.002240,8.3300,8.4200,8.2500,8.3000,8.4000,5505295,45930667.4500
2019-01-28,sz.002240,8.3000,8.6700,8.3000,8.3400,8.3000,5222468,43972156.1700
2019-01-29,sz.002240,8.3600,8.3900,7.8200,8.0600,8.3400,6657510,53529302.9600
2019-01-30,sz.002240,8.0800,8.4800,8.0000,8.2900,8.0600,7686094,63498066.7300
2019-01-31,sz.002240,8.3000,8.4500,7.4600,7.4700,8.2900,12043076,93284278.8500
2019-02-01,sz.002240,7.7200,8.0800,7.6200,8.0000,7.4700,9965144,78306598.6000
2019-02-11,sz.002240,8.1100,8.4900,8.0400,8.4800,8.0000,10559055,87800031.3500
2019-02-12,sz.002240,8.5000,8.5200,8.3600,8.4200,8.4800,10367845,87373834.7500
2019-02-13,sz.002240,8.4300,8.6700,8.3800,8.5600,8.4200,12519592,106789502.7700
2019-02-14,sz.002240,8.6600,8.6800,8.4600,8.5200,8.5600,7619098,65083016.5600
2019-02-15,sz.002240,8.5000,8.5200,8.3700,8.4000,8.5200,7768766,65486051.5200
2019-02-18,sz.002240,8.4700,8.6700,8.4100,8.6600,8.4000,9985287,85474777.4700
2019-02-19,sz.002240,9.1800,9.2000,8.7700,8.8300,8.6600,20384722,183120778.1800
2019-02-20,sz.002240,8.8200,9.7100,8.8200,9.5200,8.8300,27582020,262057704.5000
2019-02-21,sz.002240,9.1900,9.4300,9.1200,9.2500,9.5200,20101112,186026497.1800
2019-02-22,sz.002240,9.2000,9.3300,9.0600,9.2600,9.2500,11833138,108556835.3000
2019-02-25,sz.002240,9.2400,9.6600,9.1600,9.6400,9.2600,28672054,270491428.2600
2019-02-26,sz.002240,9.5100,9.6000,9.2500,9.3200,9.6400,21932286,206122758.4200
2019-02-27,sz.002240,9.2600,9.3300,9.0200,9.1200,9.3200,14043372,129217574.8600
2019-02-28,sz.002240,9.1300,9.2400,8.9800,9.0600,9.1200,10023039,91104236.4700
2019-03-01,sz.002240,9.1000,9.1300,8.9600,9.1200,9.0600,7134917,64417123.3600
2019-03-04,sz.002240,9.1300,9.3400,9.1000,9.2000,9.1200,16048086,148242735.3200
2019-03-05,sz.002240,9.1800,9.3000,9.0700,9.3000,9.2000,15515864,142242218.3200
2019-03-06,sz.002240,9.4200,9.8800,9.4200,9.6300,9.3000,24756991,238227284.1600
2019-03-07,sz.002240,9.6000,10.3700,9.4500,10.1300,9.6300,28568130,282203482.5800
2019-03-08,sz.002240,9.7700,9.9600,9.2200,9.2300,10.1300,22312703,215606140.3900
2019-03-11,sz.002240,9.2300,9.5500,9.2300,9.5400,9.2300,13908851,131179703.3200
2019-03-12,sz.002240,9.6300,9.8000,9.5000,9.7400,9.5400,19234273,186150137.8900
2019-03-13,sz.002240,9.7100,10.0700,9.6500,9.7600,9.7400,21113545,208097341.8900
2019-03-14,sz.002240,9.7800,10.0200,9.4800,9.8000,9.7600,17642699,171918589.3500
2019-03-15,sz.002240,9.9800,10.4700,9.8800,10.3700,9.8000,37640752,382721150.4100
2019-03-18,sz.002240,10.5200,10.7800,10.1900,10.3500,10.3700,29255886,305425391.7400
2019-03-19,sz.002240,10.3900,10.7600,10.1400,10.6700,10.3500,25690084,267571330.8200
2019-03-20,sz.002240,10.5500,10.6300,10.1000,10.2300,10.6700,22719370,234365972.6000
2019-03-21,sz.002240,10.2200,10.3300,10.0700,10.1900,10.2300,15822615,161570892.2600
2019-03-22,sz.002240,10.1400,10.2800,10.0800,10.2400,10.1900,13529500,137811380.9800
