date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300077,7.4400,7.5800,7.3400,7.5500,7.3900,19105631,143024590.2400
2019-01-03,sz.300077,7.4800,7.6000,7.4400,7.4600,7.5500,16999549,127550438.1200
2019-01-04,sz.300077,7.3800,7.6800,7.2600,7.6700,7.4600,24448254,184175543.6000
2019-01-07,sz.300077,7.6900,7.9400,7.6300,7.8500,7.6700,29615932,231076739.9800
2019-01-08,sz.300077,7.8000,7.8800,7.7000,7.7400,7.8500,20523925,159472056.5600
2019-01-09,sz.300077,7.7500,8.0500,7.7200,7.8500,7.7400,35382642,279410696.8400
2019-01-10,sz.300077,7.8200,7.9200,7.7700,7.8000,7.8500,22397416,175761359.3900
2019-01-11,sz.300077,7.8100,7.8800,7.7000,7.8000,7.8000,22921548,178424814.0600
2019-01-14,sz.300077,7.7700,7.7700,7.5000,7.5900,7.8000,23835720,181386485.5800
2019-01-15,sz.300077,7.6000,7.7700,7.5300,7.7600,7.5900,20589616,157902597.8600
2019-01-16,sz.300077,7.7700,7.9300,7.7500,7.7800,7.7600,25951082,203022738.9900
2019-01-17,sz.300077,7.7300,7.7300,7.5700,7.5800,7.7800,19556604,149001114.5800
2019-01-18,sz.300077,7.6000,7.6900,7.4900,7.6600,7.5800,16781040,127486206.0200
2019-01-21,sz.300077,7.6500,7.7800,7.6100,7.7400,7.6600,17253402,133030436.3400
2019-01-22,sz.300077,7.7400,7.8400,7.6700,7.7300,7.7400,17537522,135926533.1800
2019-01-23,sz.300077,7.7100,7.7500,7.5300,7.6400,7.7300,11931050,90980666.1800
2019-01-24,sz.300077,7.6200,8.3500,7.5600,7.9700,7.6400,51688462,412848496.1200
2019-01-25,sz.300077,7.8600,8.0700,7.8200,7.8400,7.9700,31506634,249979130.1800
2019-01-28,sz.300077,7.8600,7.9200,7.6600,7.6700,7.8400,21316034,166006986.9800
2019-01-29,sz.300077,7.6300,7.6500,7.0100,7.2900,7.6700,24896402,182004749.1000
2019-01-30,sz.300077,7.1800,7.4300,7.1800,7.1900,7.2900,12978300,94856686.2100
2019-01-31,sz.300077,7.1500,7.3400,7.0400,7.1300,7.1900,16466705,118322650.2400
2019-02-01,sz.300077,7.2000,7.3800,7.1600,7.3700,7.1300,14111841,102970433.4100
2019-02-11,sz.300077,7.3700,7.6500,7.3700,7.6300,7.3700,18187429,137359512.8500
2019-02-12,sz.300077,7.6200,7.8300,7.5700,7.7200,7.6300,22575996,174546525.7800
2019-02-13,sz.300077,7.7300,8.0500,7.7000,8.0000,7.7200,37518201,298364940.7700
2019-02-14,sz.300077,7.9900,7.9900,7.8500,7.9800,8.0000,25011578,198215795.5800
2019-02-15,sz.300077,7.9800,8.0800,7.9000,7.9900,7.9800,26506846,212313350.7200
2019-02-18,sz.300077,8.0500,8.6900,8.0300,8.4700,7.9900,48766416,406874124.0600
2019-02-19,sz.300077,8.6000,8.7000,8.3100,8.5700,8.4700,51182680,436650740.4000
2019-02-20,sz.300077,8.5100,8.5300,8.3200,8.5000,8.5700,34188085,288487393.8900
2019-02-21,sz.300077,8.4900,8.9800,8.4000,8.6000,8.5000,60650599,527751005.0700
2019-02-22,sz.300077,8.5600,8.8800,8.5200,8.8700,8.6000,45630550,399687011.8100
2019-02-25,sz.300077,9.1000,9.4200,8.9200,9.2800,8.8700,62730985,575995492.8900
2019-02-26,sz.300077,9.2600,9.2800,8.9300,9.0300,9.2800,58132031,529105685.7100
2019-02-27,sz.300077,8.9800,9.1000,8.7200,8.8400,9.0300,42989169,385186663.2200
2019-02-28,sz.300077,7.9900,8.4800,7.9900,8.2700,8.8400,74907211,617256482.7700
2019-03-01,sz.300077,8.2100,8.5700,8.2000,8.5200,8.2700,52889408,445096677.7200
2019-03-04,sz.300077,8.6100,8.8600,8.4900,8.5400,8.5200,57726546,500209910.8800
2019-03-05,sz.300077,8.6500,9.3900,8.5900,9.3900,8.5400,98822674,896824067.7700
2019-03-06,sz.300077,9.5800,9.5800,9.0800,9.3600,9.3900,89385866,832134675.9900
2019-03-07,sz.300077,9.4500,10.0900,9.1900,9.6900,9.3600,91206891,877071273.9800
2019-03-08,sz.300077,9.6200,10.6600,9.4300,10.3700,9.6900,146044880,1522468402.0600
2019-03-11,sz.300077,10.8000,10.8000,10.0100,10.5000,10.3700,127383560,1332765508.9700
2019-03-12,sz.300077,10.5300,11.1900,10.2000,11.0700,10.5000,124349260,1319762260.9600
2019-03-13,sz.300077,10.8000,11.3800,10.3000,10.4700,11.0700,96137437,1039191722.4900
2019-03-14,sz.300077,10.0800,10.2600,9.5600,9.9400,10.4700,62931550,622030921.8100
2019-03-15,sz.300077,10.0000,10.1800,9.8100,10.0100,9.9400,44120721,442447929.8000
2019-03-18,sz.300077,10.0100,10.1200,9.6800,10.0800,10.0100,34735508,344680272.3000
2019-03-19,sz.300077,10.0800,10.2700,9.8600,9.9900,10.0800,39598740,397415361.8400
2019-03-20,sz.300077,9.9600,9.9600,9.5900,9.8400,9.9900,37270743,364599219.5700
2019-03-21,sz.300077,9.7900,10.3500,9.7900,10.1400,9.8400,54670443,551217459.9800
2019-03-22,sz.300077,10.0700,10.1900,9.8000,10.0000,10.1400,38495359,384820741.5700
2019-03-25,sz.300077,9.8500,10.2300,9.7100,10.0000,10.0000,38229954,381774008.3700
2019-03-26,sz.300077,9.9000,10.0400,9.4300,9.5000,10.0000,39166238,383468713.6800
2019-03-27,sz.300077,9.5200,9.6800,9.1200,9.4700,9.5000,39391713,369869008.2500
2019-03-28,sz.300077,9.3400,9.8000,9.2400,9.3400,9.4700,40505584,386058467.9000
2019-03-29,sz.300077,9.3000,9.6000,9.1300,9.5500,9.3400,36766188,345172173.1100
2019-04-01,sz.300077,9.5700,9.9900,9.5700,9.9600,9.5500,39623703,389512488.0000
2019-04-02,sz.300077,9.9700,10.2000,9.8400,9.9100,9.9600,46166711,461802758.3400
2019-04-03,sz.300077,9.7800,9.9500,9.7300,9.9100,9.9100,31035763,305514740.1900
2019-04-04,sz.300077,9.9000,9.9600,9.7400,9.8000,9.9100,30793421,302890376.0600
2019-04-08,sz.300077,9.8200,9.8500,9.3300,9.4500,9.8000,37803329,361526148.6400
2019-04-09,sz.300077,9.4300,9.6800,9.3700,9.5600,9.4500,22049563,210590745.5600
2019-04-10,sz.300077,9.2900,9.4400,9.1800,9.3400,9.5600,33452579,310269516.4500
2019-04-11,sz.300077,9.3100,9.4500,9.2300,9.2900,9.3400,21760122,202703410.6900
2019-04-12,sz.300077,9.2500,9.3400,9.2200,9.3200,9.2900,14975006,138941799.5300
2019-04-15,sz.300077,9.4500,9.5600,9.2100,9.2200,9.3200,21480350,202265988.3500
2019-04-16,sz.300077,9.1900,9.5400,9.0300,9.4800,9.2200,32743362,304918302.3100
2019-04-17,sz.300077,9.4400,9.6100,9.4000,9.4600,9.4800,27431157,260418205.7500
2019-04-18,sz.300077,9.4100,9.4900,9.3100,9.3400,9.4600,19616027,184227705.7100
2019-04-19,sz.300077,9.2900,9.3700,9.1800,9.3600,9.3400,17976735,166862383.8900
2019-04-22,sz.300077,9.3300,9.5800,9.2600,9.3700,9.3600,29062994,274312946.1800
2019-04-23,sz.300077,9.3000,9.3200,9.0500,9.0800,9.3700,21262710,194572967.3900
2019-04-24,sz.300077,9.1000,9.1300,8.8200,9.0700,9.0800,24056392,216267040.8600
2019-04-25,sz.300077,9.0400,9.0600,8.4800,8.4900,9.0700,27410948,240145969.7000
2019-04-26,sz.300077,8.2000,8.5200,8.2000,8.3500,8.4900,19660600,164590735.0000
2019-04-29,sz.300077,8.3300,8.3400,7.7000,7.7700,8.3500,26229809,208610018.8900
2019-04-30,sz.300077,7.7900,7.9600,7.7800,7.8700,7.7700,12030105,94729738.2000
2019-05-06,sz.300077,7.6800,7.6800,7.1300,7.1900,7.8700,24065684,177893476.4400
2019-05-07,sz.300077,7.2300,7.3400,7.1800,7.2900,7.1900,13796645,100229795.0400
2019-05-08,sz.300077,7.1700,7.5500,7.0600,7.3900,7.2900,19587581,144104353.0400
2019-05-09,sz.300077,7.6900,8.1300,7.5900,7.7500,7.3900,47881935,380715024.9100
2019-05-10,sz.300077,7.6500,8.5000,7.6100,8.2000,7.7500,52494937,418870205.3800
2019-05-13,sz.300077,8.0000,8.1700,7.8500,7.9500,8.2000,29306515,233956657.1200
2019-05-14,sz.300077,7.7000,7.8700,7.6600,7.7100,7.9500,19625602,152637254.6200
2019-05-15,sz.300077,7.8200,7.8500,7.7100,7.7900,7.7100,16305432,126992106.6500
2019-05-16,sz.300077,7.7700,7.8400,7.6700,7.7700,7.7900,17511604,135835720.7200
2019-05-17,sz.300077,7.8400,8.1800,7.7300,7.7800,7.7700,36193585,288334120.0900
2019-05-20,sz.300077,8.0300,8.2300,7.8600,8.2000,7.7800,38515129,311547720.1900
2019-05-21,sz.300077,8.1000,8.2500,7.9000,8.1600,8.2000,30251238,243930965.4600
2019-05-22,sz.300077,8.1600,8.4400,8.1000,8.2900,8.1600,30936342,255286448.3500
2019-05-23,sz.300077,9.1200,9.1200,8.6100,8.6400,8.2900,90111689,807285821.2600
2019-05-24,sz.300077,8.2000,8.3900,7.7800,7.7800,8.6400,68914000,553890353.2400
2019-05-27,sz.300077,7.5500,8.1300,7.5100,8.0800,7.7800,36225079,287874152.3800
2019-05-28,sz.300077,8.0600,8.1500,7.9300,8.0400,8.0800,29051100,233665073.0000
2019-05-29,sz.300077,7.9400,8.3300,7.9000,8.1500,8.0400,34278228,279088737.9800
2019-05-30,sz.300077,8.0800,8.0800,7.7800,7.9600,8.1500,26632704,210370392.7200
2019-05-31,sz.300077,7.9700,8.1100,7.8700,7.9500,7.9600,20466600,163433683.0000
2019-06-03,sz.300077,7.9500,8.0300,7.6100,7.7300,7.9500,20932233,163363346.5100
2019-06-04,sz.300077,7.7300,7.8900,7.5400,7.6000,7.7300,17592134,135917756.3000
2019-06-05,sz.300077,7.7100,7.9200,7.5900,7.7400,7.6000,19766854,153046865.8000
2019-06-06,sz.300077,7.7500,7.7800,7.4000,7.4100,7.7400,18186409,137060718.3100
2019-06-10,sz.300077,7.4200,7.5700,7.4100,7.4900,7.4100,11204922,84042150.7800
2019-06-11,sz.300077,7.4900,7.7800,7.4600,7.7600,7.4900,18571498,142532171.5400
2019-06-12,sz.300077,7.7500,8.0800,7.6900,7.9400,7.7600,28099669,220999930.8100
2019-06-13,sz.300077,7.8800,8.0200,7.8200,7.8800,7.9400,17165156,135640925.9200
2019-06-14,sz.300077,7.8800,8.1300,7.6200,7.6400,7.8800,18398324,144912907.6900
2019-06-17,sz.300077,7.5100,7.6100,7.4400,7.5500,7.6400,12955688,97534633.8200
2019-06-18,sz.300077,7.5300,7.6200,7.4600,7.5300,7.5500,8050000,60600755.0000
2019-06-19,sz.300077,7.7100,7.8100,7.6400,7.6800,7.5300,15727725,121268432.7200
2019-06-20,sz.300077,7.6500,7.7900,7.5500,7.7700,7.6800,15706624,120870265.8300
