date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002126,7.4200,7.5300,7.3300,7.3800,7.4400,3781991,28064019.3400
2019-01-03,sz.002126,7.3800,7.3800,7.2500,7.2900,7.3800,4370329,31898207.3400
2019-01-04,sz.002126,7.2100,7.4900,7.1900,7.4800,7.2900,6153760,45275285.5200
2019-01-07,sz.002126,7.4800,7.5900,7.4500,7.5400,7.4800,5329067,39979054.9100
2019-01-08,sz.002126,7.5400,7.6800,7.4900,7.6000,7.5400,5784852,43948326.6800
2019-01-09,sz.002126,7.7100,7.9000,7.4800,7.5200,7.6000,10192920,78248891.9700
2019-01-10,sz.002126,7.5500,7.6500,7.4600,7.6400,7.5200,7438938,56234630.4400
2019-01-11,sz.002126,7.6200,7.7000,7.5300,7.6600,7.6400,4808899,36592875.6000
2019-01-14,sz.002126,7.6500,7.8000,7.5800,7.7400,7.6600,7337150,56579776.9900
2019-01-15,sz.002126,7.6900,7.7900,7.6600,7.7800,7.7400,5244274,40661277.2500
2019-01-16,sz.002126,7.7800,7.8300,7.6600,7.6900,7.7800,5156249,39839219.2300
2019-01-17,sz.002126,7.7200,7.7200,7.4900,7.5300,7.6900,4941598,37454960.1500
2019-01-18,sz.002126,7.5600,7.8000,7.4900,7.8000,7.5300,12580640,96996497.4000
2019-01-21,sz.002126,7.8000,7.8600,7.6600,7.7100,7.8000,7130792,55386173.7900
2019-01-22,sz.002126,7.7900,7.7900,7.5400,7.5900,7.7100,4569150,34843021.1800
2019-01-23,sz.002126,7.5800,7.8200,7.4900,7.7700,7.5900,7059122,54098729.5900
2019-01-24,sz.002126,7.9000,7.9600,7.7200,7.8200,7.7700,11803676,92464594.8600
2019-01-25,sz.002126,8.0300,8.3800,7.8800,7.9100,7.8200,21004621,169303660.9700
2019-01-28,sz.002126,7.9700,8.0900,7.6500,7.6800,7.9100,12307854,96313477.4300
2019-01-29,sz.002126,7.6400,7.6800,7.4500,7.5300,7.6800,7564247,57081031.1200
2019-01-30,sz.002126,7.4900,7.6000,7.4800,7.5500,7.5300,4245315,32048428.8800
2019-01-31,sz.002126,7.5800,7.6000,7.4700,7.5200,7.5500,3866560,29140082.1000
2019-02-01,sz.002126,7.5400,7.7600,7.5300,7.7400,7.5200,4569465,35106088.9700
2019-02-11,sz.002126,7.7400,7.9400,7.7200,7.8900,7.7400,8277850,65072625.3400
2019-02-12,sz.002126,7.8900,8.0300,7.8200,7.9800,7.8900,7951311,63152013.2500
2019-02-13,sz.002126,7.9700,8.1700,7.9100,8.1200,7.9800,10914057,87689143.3800
2019-02-14,sz.002126,8.1000,8.1000,7.9800,8.0600,8.1200,5818057,46805957.3800
2019-02-15,sz.002126,8.0800,8.0800,7.9500,8.0200,8.0600,6842722,54912419.2600
2019-02-18,sz.002126,8.0600,8.2200,7.9800,8.2000,8.0200,10955848,88973475.1500
2019-02-19,sz.002126,8.2200,8.2500,8.0300,8.1100,8.2000,10197735,82688697.2500
2019-02-20,sz.002126,8.1300,8.3400,8.1000,8.2600,8.1100,11265517,92855145.4200
2019-02-21,sz.002126,8.2700,8.3300,8.1900,8.2600,8.2600,8486932,70096340.3700
2019-02-22,sz.002126,8.2600,8.4800,8.2200,8.4600,8.2600,8103244,68081005.5400
2019-02-25,sz.002126,8.5100,8.7800,8.4200,8.7600,8.4600,14502263,124622408.2100
2019-02-26,sz.002126,8.7200,8.7200,8.4200,8.5000,8.7600,18425397,157310691.1300
2019-02-27,sz.002126,8.4600,8.6700,8.3100,8.4000,8.5000,15700089,133509428.2300
2019-02-28,sz.002126,8.4400,8.5100,8.3500,8.4400,8.4000,7391746,62327380.3600
2019-03-01,sz.002126,8.4600,8.5700,8.4200,8.5200,8.4400,7269531,61685214.1200
2019-03-04,sz.002126,8.7000,8.7500,8.4700,8.5100,8.5200,19729786,169496018.6400
