date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002454,4.0900,4.2800,4.0400,4.1500,4.0900,2670675,11035641.6100
2019-01-03,sz.002454,4.1300,4.1800,4.0900,4.1400,4.1500,2109968,8740433.1600
2019-01-04,sz.002454,4.0800,4.2500,4.0600,4.2500,4.1400,2818388,11814652.9000
2019-01-07,sz.002454,4.2700,4.3100,4.2300,4.2800,4.2500,3360959,14363798.6500
2019-01-08,sz.002454,4.2700,4.3300,4.2500,4.3100,4.2800,2200457,9457244.7800
2019-01-09,sz.002454,4.3700,4.4300,4.3100,4.3100,4.3100,4406448,19310970.1200
2019-01-10,sz.002454,4.3200,4.3800,4.2700,4.2800,4.3100,3706192,16005737.8000
2019-01-11,sz.002454,4.3100,4.4100,4.2800,4.3600,4.2800,3505745,15223079.0100
2019-01-14,sz.002454,4.3600,4.4000,4.3300,4.3400,4.3600,2640424,11522766.3000
2019-01-15,sz.002454,4.3400,4.4200,4.3400,4.4000,4.3400,2818164,12342063.5800
2019-01-16,sz.002454,4.4100,4.4300,4.3100,4.3800,4.4000,2426961,10631354.7200
2019-01-17,sz.002454,4.3500,4.3800,4.3000,4.3000,4.3800,1865590,8103122.7000
2019-01-18,sz.002454,4.3400,4.3900,4.3200,4.3800,4.3000,2280568,9932577.4400
2019-01-21,sz.002454,4.3800,4.8200,4.3700,4.8200,4.3800,9387513,44799980.2300
2019-01-22,sz.002454,4.9000,5.0800,4.6500,4.7000,4.8200,25248950,122974176.6000
2019-01-23,sz.002454,4.6000,5.1700,4.5200,5.1700,4.7000,50912294,256854520.4300
2019-01-24,sz.002454,5.0000,5.2500,4.9300,5.0900,5.1700,39473880,198990218.1600
2019-01-25,sz.002454,4.9800,5.1600,4.7800,4.8100,5.0900,26756615,131726321.2700
2019-01-28,sz.002454,4.8700,4.8900,4.5900,4.6600,4.8100,17812951,84146857.8000
2019-01-29,sz.002454,4.6100,4.6400,4.3900,4.5200,4.6600,12703789,57150865.1000
2019-01-30,sz.002454,4.4900,4.4900,4.2900,4.2900,4.5200,10826632,47513062.5900
2019-01-31,sz.002454,4.2800,4.3300,4.0700,4.1100,4.2900,10756617,44996644.9700
2019-02-01,sz.002454,4.1300,4.2500,4.1300,4.2100,4.1100,6612874,27756958.3300
2019-02-11,sz.002454,4.2400,4.3500,4.2100,4.3500,4.2100,5590651,24024492.2100
2019-02-12,sz.002454,4.3300,4.4000,4.3100,4.3900,4.3500,7538472,32841953.8600
2019-02-13,sz.002454,4.4800,4.8300,4.4100,4.6500,4.3900,19237296,89684358.3800
2019-02-14,sz.002454,4.5600,4.6700,4.5300,4.6400,4.6500,11025092,50747363.8200
2019-02-15,sz.002454,4.6500,4.6600,4.5900,4.6200,4.6400,6974544,32263924.3400
2019-02-18,sz.002454,4.6300,4.7700,4.6300,4.7600,4.6200,11074550,52340923.7600
2019-02-19,sz.002454,4.7500,4.7800,4.6600,4.7200,4.7600,10270302,48504341.7900
2019-02-20,sz.002454,4.7400,4.7600,4.6600,4.7400,4.7200,6676850,31413415.5100
2019-02-21,sz.002454,4.7500,4.8400,4.6600,4.7000,4.7400,12004067,57205267.5900
2019-02-22,sz.002454,4.6700,4.8100,4.6300,4.7800,4.7000,9669625,45815838.0700
2019-02-25,sz.002454,4.8200,5.0400,4.7500,4.9900,4.7800,17278302,84854109.8400
2019-02-26,sz.002454,5.0000,5.1000,4.9200,4.9800,4.9900,14831712,74522061.3000
2019-02-27,sz.002454,4.9700,5.0400,4.9000,4.9600,4.9800,12319368,61338240.9200
2019-02-28,sz.002454,4.9100,5.0100,4.8800,4.9400,4.9600,10198657,50282557.1000
2019-03-01,sz.002454,4.9400,4.9600,4.8100,4.8900,4.9400,9802641,47831556.8700
2019-03-04,sz.002454,4.9200,5.0600,4.9100,4.9800,4.8900,14698264,73384281.5600
2019-03-05,sz.002454,4.9500,5.1500,4.9300,5.1500,4.9800,13792136,69764169.9900
2019-03-06,sz.002454,5.2000,5.2800,5.0800,5.2800,5.1500,15943021,82787011.9900
2019-03-07,sz.002454,5.2600,5.5000,5.2100,5.4300,5.2800,19008029,101899480.3200
2019-03-08,sz.002454,5.2900,5.5500,5.1000,5.1200,5.4300,15249823,81148152.4400
2019-03-11,sz.002454,5.1200,5.4500,5.1000,5.4400,5.1200,12949308,68691545.9800
2019-03-12,sz.002454,5.5000,5.5400,5.3200,5.4700,5.4400,14099007,76630537.1100
2019-03-13,sz.002454,5.4600,5.6700,5.3900,5.4200,5.4700,17020170,94278446.6700
2019-03-14,sz.002454,5.3500,5.4300,5.1500,5.2600,5.4200,10295959,54213797.4700
2019-03-15,sz.002454,5.2800,5.3700,5.2000,5.2700,5.2600,9056574,47899125.5400
2019-03-18,sz.002454,5.3400,5.3800,5.2200,5.3700,5.2700,7021507,37258092.4000
2019-03-19,sz.002454,5.3900,5.4300,5.2900,5.3500,5.3700,6696046,35838615.6400
2019-03-20,sz.002454,5.3500,5.3700,5.2200,5.3400,5.3500,7322321,38781803.7500
2019-03-21,sz.002454,5.3500,5.4800,5.3300,5.4100,5.3400,8942145,48301558.1300
2019-03-22,sz.002454,5.3900,5.4400,5.2500,5.4200,5.4100,7888734,42325410.6000
2019-03-25,sz.002454,5.3000,5.5600,5.2600,5.4800,5.4200,10846148,59098421.8100
2019-03-26,sz.002454,5.5200,5.6000,5.1600,5.1900,5.4800,10451107,55766994.8300
2019-03-27,sz.002454,5.2400,5.2500,5.0600,5.1200,5.1900,8616336,44178798.9300
2019-03-28,sz.002454,5.1100,5.1600,5.0300,5.0400,5.1200,5548278,28222382.6900
2019-03-29,sz.002454,5.1000,5.2100,5.0400,5.1700,5.0400,7402421,38032317.7600
2019-04-01,sz.002454,5.2500,5.4300,5.2000,5.4100,5.1700,11639973,62272731.7300
2019-04-02,sz.002454,5.5400,5.5400,5.4300,5.4800,5.4100,9321412,51081275.9000
2019-04-03,sz.002454,5.4800,5.5500,5.4500,5.5400,5.4800,8560166,47213229.9000
2019-04-04,sz.002454,5.5700,5.8500,5.5100,5.7400,5.5400,19212012,109752677.6000
2019-04-08,sz.002454,5.7900,5.8000,5.5000,5.6300,5.7400,15859694,89303784.2500
2019-04-09,sz.002454,5.5900,5.6200,5.5100,5.6100,5.6300,6633211,36921867.5900
2019-04-10,sz.002454,5.5500,5.7100,5.5000,5.6700,5.6100,9447003,53220515.0500
2019-04-11,sz.002454,5.6700,5.7800,5.5800,5.6000,5.6700,8861158,50329748.7400
2019-04-12,sz.002454,5.7400,6.1600,5.6600,6.1600,5.6000,7798745,47575585.7900
2019-04-15,sz.002454,6.7800,6.7800,6.2200,6.3500,6.1600,55361108,364753518.8000
2019-04-16,sz.002454,6.4700,6.4700,5.9600,6.1800,6.3500,34639000,212576325.6500
2019-04-17,sz.002454,6.1400,6.8000,6.1400,6.5900,6.1800,52560923,342933656.7500
2019-04-18,sz.002454,6.4100,6.5200,6.2500,6.2900,6.5900,28676453,182479392.1800
2019-04-19,sz.002454,6.1900,6.3300,6.0400,6.2800,6.2900,16092375,99485288.4800
2019-04-22,sz.002454,6.2700,6.2700,6.0600,6.0900,6.2800,11041217,67802227.0300
2019-04-23,sz.002454,6.0700,6.1400,5.8500,5.9200,6.0900,11424751,68391470.4200
2019-04-24,sz.002454,5.9300,6.1700,5.9300,6.1500,5.9200,11622545,70547693.2300
2019-04-25,sz.002454,6.1600,6.2400,6.0000,6.0000,6.1500,11691656,71485521.9300
2019-04-26,sz.002454,5.9000,6.2000,5.8700,6.1400,6.0000,12580872,76465201.9700
2019-04-29,sz.002454,5.9800,5.9800,5.6000,5.6900,6.1400,16895970,97952513.6800
2019-04-30,sz.002454,5.7000,5.8500,5.6900,5.8200,5.6900,6880075,39860659.5700
2019-05-06,sz.002454,5.6900,5.7000,5.2400,5.2500,5.8200,11135553,60276838.0500
2019-05-07,sz.002454,5.2700,5.4200,5.2700,5.3000,5.2500,9355971,49912875.1800
2019-05-08,sz.002454,5.1400,5.4900,5.1400,5.4200,5.3000,9262821,49799486.0000
2019-05-09,sz.002454,5.4100,5.6000,5.3700,5.4800,5.4200,6298847,34610392.3900
2019-05-10,sz.002454,5.5700,5.6800,5.5000,5.6800,5.4800,8939677,50169110.8300
2019-05-13,sz.002454,5.5700,5.7500,5.5700,5.5900,5.6800,6387554,36065616.4300
2019-05-14,sz.002454,5.5900,5.6100,5.4400,5.4900,5.5900,6227364,34281695.0000
2019-05-15,sz.002454,5.5500,5.5900,5.4900,5.5800,5.4900,4862896,26957134.4700
2019-05-16,sz.002454,5.5900,5.7500,5.5400,5.7000,5.5800,7539168,42700864.7600
2019-05-17,sz.002454,5.7100,5.7300,5.3500,5.4700,5.7000,6711273,37110362.7800
2019-05-20,sz.002454,5.4700,5.4700,5.1800,5.3700,5.4700,4417200,23503623.0000
2019-05-21,sz.002454,5.3600,5.4700,5.3200,5.4100,5.3700,4734164,25610015.4600
2019-05-22,sz.002454,5.4100,5.4100,5.2800,5.3300,5.4100,4364637,23237126.7300
2019-05-23,sz.002454,5.2600,5.3300,5.1600,5.2300,5.3300,4268650,22374768.9900
2019-05-24,sz.002454,5.1700,5.2000,5.1000,5.1700,5.2300,4309709,22206414.7600
2019-05-27,sz.002454,5.1600,5.3000,5.1200,5.2900,5.1700,5031472,26195679.6600
2019-05-28,sz.002454,5.2800,5.3300,5.2200,5.2500,5.2900,4152541,21931904.6200
2019-05-29,sz.002454,5.2400,5.3100,5.2000,5.2800,5.2500,3622815,19075658.4500
2019-05-30,sz.002454,5.3000,5.3000,5.1500,5.2100,5.2800,3661400,19026450.5000
2019-05-31,sz.002454,5.2100,5.3000,5.1700,5.2200,5.2100,3884750,20369409.5000
2019-06-03,sz.002454,5.1700,5.1900,5.0500,5.0700,5.1600,3964681,20270141.0900
2019-06-04,sz.002454,5.0600,5.1100,5.0100,5.0800,5.0700,2525300,12785581.0200
2019-06-05,sz.002454,5.1000,5.1300,5.0600,5.0800,5.0800,2551116,12987223.1200
2019-06-06,sz.002454,5.1000,5.1100,4.9600,4.9800,5.0800,3662100,18348540.5000
2019-06-10,sz.002454,5.0200,5.1400,4.9900,5.1000,4.9800,3257800,16577274.2000
2019-06-11,sz.002454,5.1100,5.2900,5.0800,5.2900,5.1000,4554210,23750711.7400
2019-06-12,sz.002454,5.2400,5.3000,5.2100,5.2100,5.2900,2738800,14380127.8400
2019-06-13,sz.002454,5.2000,5.3100,5.2000,5.2900,5.2100,3101736,16354498.1000
2019-06-14,sz.002454,5.3000,5.3300,5.1100,5.1500,5.2900,3578610,18626330.5200
2019-06-17,sz.002454,5.1500,5.1900,5.0700,5.1200,5.1500,4146520,21222131.8000
2019-06-18,sz.002454,5.0700,5.1400,5.0400,5.0700,5.1200,3319716,16830315.6000
2019-06-19,sz.002454,5.1500,5.2500,5.1000,5.1200,5.0700,4741203,24462924.4800
2019-06-20,sz.002454,5.1200,5.2500,5.0800,5.2100,5.1200,5903258,30518900.9800
2019-06-21,sz.002454,5.2200,5.3100,5.2100,5.3000,5.2100,5507449,29100285.7000
2019-06-24,sz.002454,5.2800,5.3500,5.2400,5.3300,5.3000,3721269,19690359.7500
2019-06-25,sz.002454,5.3300,5.3300,5.1700,5.2300,5.3300,4071728,21316592.9500
2019-06-26,sz.002454,5.2400,5.2800,5.1800,5.2300,5.2300,3052254,15966380.8600
2019-06-27,sz.002454,5.2300,5.2800,5.2100,5.2200,5.2300,3481773,18248836.3300
2019-06-28,sz.002454,5.2500,5.2500,5.1400,5.1900,5.2200,3599812,18672201.7000
2019-07-01,sz.002454,5.2700,5.3300,5.2300,5.3200,5.1900,5726528,30231727.3600
2019-07-02,sz.002454,5.3100,5.3500,5.2600,5.2900,5.3200,4585900,24345932.0000
2019-07-03,sz.002454,5.2900,5.3000,5.2100,5.2600,5.2900,3691751,19386164.7300
2019-07-04,sz.002454,5.2700,5.3400,5.2500,5.3400,5.2600,5626319,29874234.0700
2019-07-05,sz.002454,5.3300,5.3300,5.2400,5.2700,5.3400,3713634,19561485.3500
2019-07-08,sz.002454,5.2800,5.2800,5.0700,5.1000,5.2700,4848450,24959817.0000
2019-07-09,sz.002454,5.0900,5.1300,5.0400,5.0700,5.1000,4583720,23246981.2400
2019-07-10,sz.002454,5.0900,5.1600,5.0300,5.0600,5.0700,2519838,12811124.9200
2019-07-11,sz.002454,5.0800,5.1100,5.0100,5.0300,5.0600,3276712,16549753.6400
2019-07-12,sz.002454,5.0400,5.0900,4.9700,5.0500,5.0300,2452553,12366943.9700
2019-07-15,sz.002454,5.0800,5.1600,5.0100,5.1000,5.0500,4206747,21423406.7900
2019-07-16,sz.002454,5.0900,5.1500,5.0800,5.1200,5.1000,3286965,16800210.8500
2019-07-17,sz.002454,5.1200,5.1500,5.0600,5.0800,5.1200,3354153,17121060.8000
2019-07-18,sz.002454,5.0600,5.1200,5.0400,5.0600,5.0800,2809909,14247371.3600
2019-07-19,sz.002454,5.0600,5.1200,5.0300,5.0400,5.0600,3830701,19441053.5400
2019-07-22,sz.002454,5.0600,5.0700,4.7200,4.7400,5.0400,7494114,36287348.8700
2019-07-23,sz.002454,4.7800,4.8200,4.7300,4.8100,4.7400,4798072,22925227.6600
2019-07-24,sz.002454,4.8200,4.9100,4.8000,4.8300,4.8100,4669550,22664858.0000
2019-07-25,sz.002454,4.8500,4.8500,4.7700,4.7800,4.8300,4513150,21621870.6800
2019-07-26,sz.002454,4.8000,4.8000,4.7100,4.7500,4.7800,5620915,26624149.1500
2019-07-29,sz.002454,4.7400,4.7900,4.6900,4.7400,4.7500,5243800,24778450.8400
2019-07-30,sz.002454,4.7600,4.8600,4.7000,4.8100,4.7400,7199335,34553066.4200
2019-07-31,sz.002454,4.9000,4.9000,4.6900,4.7100,4.8100,8036500,38273042.5600
2019-08-01,sz.002454,4.6600,4.7400,4.6500,4.6900,4.7100,4727602,22149050.8800
2019-08-02,sz.002454,4.6000,4.6300,4.5200,4.5500,4.6900,6506826,29715451.0400
