date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002850,18.3200,19.5600,18.0200,19.5300,18.4500,5642823,107037751.1200
2019-01-03,sz.002850,19.2000,19.6500,18.8200,19.0300,19.5300,3142045,60113888.1700
2019-01-04,sz.002850,18.8200,19.4900,18.6500,19.3200,19.0300,2935395,56289297.6500
2019-01-07,sz.002850,19.0100,19.8800,18.8000,19.8600,19.3200,3945922,76294205.5700
2019-01-08,sz.002850,19.8000,19.8000,19.3400,19.3500,19.8600,2108952,41222862.0200
2019-01-09,sz.002850,19.2000,19.5100,18.9400,19.0000,19.3500,2266684,43492676.8500
2019-01-10,sz.002850,19.0500,19.1700,18.8700,18.8700,19.0000,1194698,22666972.1200
2019-01-11,sz.002850,18.8800,19.0000,18.5200,18.8200,18.8700,1732295,32466177.8600
2019-01-14,sz.002850,18.7700,19.3400,18.7100,18.9000,18.8200,1591245,30329313.1500
2019-01-15,sz.002850,18.8500,19.0000,18.4000,18.9700,18.9000,1408763,26348402.1600
2019-01-16,sz.002850,18.9800,19.0800,18.7300,18.8700,18.9700,1198500,22640220.0700
2019-01-17,sz.002850,18.8500,18.9700,18.5200,18.5300,18.8700,773414,14463871.0800
2019-01-18,sz.002850,18.4600,18.8000,18.4000,18.7000,18.5300,844717,15726264.0600
2019-01-21,sz.002850,18.7000,19.8300,18.7000,19.8300,18.7000,3666266,71617406.2800
2019-01-22,sz.002850,19.7200,19.9800,19.5200,19.8000,19.8300,2084863,41060841.2000
2019-01-23,sz.002850,19.7500,20.6800,19.6000,20.6300,19.8000,3526837,71839126.8700
2019-01-24,sz.002850,20.6600,20.6600,20.2000,20.2000,20.6300,1990843,40507189.1900
2019-01-25,sz.002850,20.3400,21.3300,20.2000,20.2600,20.2000,3405746,70928920.5200
2019-01-28,sz.002850,20.2400,21.3300,19.8200,20.7600,20.2600,4077148,84171748.6900
2019-01-29,sz.002850,20.6600,20.6600,19.6100,19.9600,20.7600,1923995,38763374.4600
2019-01-30,sz.002850,19.9000,20.3000,19.6800,19.6900,19.9600,933745,18724032.8300
2019-01-31,sz.002850,19.7000,20.1600,19.1100,19.3000,19.6900,1649799,32717093.6900
2019-02-01,sz.002850,19.5200,20.5800,19.5200,20.4900,19.3000,2031775,41180525.4700
2019-02-11,sz.002850,20.6200,20.9500,20.4000,20.8900,20.4900,2589571,53475567.3900
2019-02-12,sz.002850,20.8900,21.3300,20.7200,20.8200,20.8900,1741600,36613166.6100
2019-02-13,sz.002850,20.8200,21.5400,20.6700,21.3000,20.8200,1960098,41341485.8700
2019-02-14,sz.002850,21.3000,22.5100,21.0300,22.0700,21.3000,3339289,73076010.5700
2019-02-15,sz.002850,22.6800,23.9600,22.0100,22.1600,22.0700,4646348,106101012.8700
2019-02-18,sz.002850,22.5300,23.1800,21.9200,22.8500,22.1600,4062652,91815942.7000
2019-02-19,sz.002850,22.8500,23.0900,22.3600,22.6400,22.8500,3018192,68183563.5600
2019-02-20,sz.002850,22.5900,22.8200,22.1900,22.8100,22.6400,2270092,51099520.9800
2019-02-21,sz.002850,22.8000,23.2300,22.4400,22.5000,22.8100,2256422,51346915.9500
2019-02-22,sz.002850,22.3800,22.9200,22.3000,22.7800,22.5000,1823999,41132070.3400
2019-02-25,sz.002850,23.1700,24.6900,22.8000,24.2500,22.7800,4573444,108655299.2500
2019-02-26,sz.002850,24.0000,24.5900,23.8100,23.9000,24.2500,2986990,72004308.2800
2019-02-27,sz.002850,24.1000,25.6100,23.8700,24.2200,23.9000,4234608,104647647.3800
2019-02-28,sz.002850,24.8000,24.9400,24.3000,24.6800,24.2200,1788561,44071575.0900
2019-03-01,sz.002850,24.7000,25.9000,24.7000,25.5800,24.6800,2670178,68085391.0200
2019-03-04,sz.002850,25.9800,27.3500,25.9800,26.8200,25.5800,4559771,121781176.2900
2019-03-05,sz.002850,26.8100,27.1000,26.3600,26.9500,26.8200,2776163,74480336.5100
2019-03-06,sz.002850,26.9500,27.3700,26.1600,26.7800,26.9500,2565463,68377097.2100
2019-03-07,sz.002850,26.5900,27.0900,25.9100,26.2200,26.7800,3505438,92482745.4200
2019-03-08,sz.002850,25.6300,26.5000,25.0000,25.0300,26.2200,3743333,95515746.1000
2019-03-11,sz.002850,24.9900,25.9800,24.8000,25.9300,25.0300,2402638,61263119.0900
2019-03-12,sz.002850,26.6900,27.7700,26.6800,26.9600,25.9300,4515350,123020494.9400
2019-03-13,sz.002850,27.1100,27.6800,25.9000,26.0800,26.9600,3223776,86159880.2600
2019-03-14,sz.002850,26.2700,26.2700,24.9700,25.1000,26.0800,2085069,53088127.6100
2019-03-15,sz.002850,25.4200,26.2000,25.3200,25.6900,25.1000,1650011,42575911.8700
2019-03-18,sz.002850,25.6900,26.0800,25.1400,26.0700,25.6900,1657414,42497535.4200
2019-03-19,sz.002850,28.2000,28.2000,26.1800,26.2500,26.0700,2522750,67738043.3100
2019-03-20,sz.002850,26.4900,26.4900,25.1300,25.9500,26.2500,1872089,48064205.0600
2019-03-21,sz.002850,25.8600,26.0300,25.5600,25.8000,25.9500,1665007,43030759.3400
2019-03-22,sz.002850,25.9800,25.9800,25.0000,25.6200,25.8000,1508188,38351799.2500
2019-03-25,sz.002850,25.2300,25.4700,24.9800,25.1400,25.6200,1348750,34039718.0000
2019-03-26,sz.002850,25.2600,25.3700,24.0200,24.2000,25.1400,1778478,43780309.2000
2019-03-27,sz.002850,24.2300,24.7600,23.6300,24.0400,24.2000,1558174,37604025.4100
2019-03-28,sz.002850,24.0600,24.5600,23.9900,24.0600,24.0400,1238308,30081122.7400
2019-03-29,sz.002850,24.0800,24.5000,23.4000,24.3700,24.0600,2080777,49988675.9400
2019-04-01,sz.002850,24.3300,25.2000,24.3300,25.0800,24.3700,2798646,69519179.2400
2019-04-02,sz.002850,24.9200,25.3500,24.5100,24.6000,25.0800,2623863,64906957.7700
2019-04-03,sz.002850,24.6100,24.7500,24.1400,24.6000,24.6000,2949039,71731188.6000
2019-04-04,sz.002850,24.6500,24.6500,23.6600,23.9000,24.6000,5088498,121812332.5700
2019-04-08,sz.002850,24.1000,24.1000,22.7900,23.4600,23.9000,3533752,82484156.7200
2019-04-09,sz.002850,23.4600,24.0600,23.0300,24.0500,23.4600,2241847,53330666.6500
2019-04-10,sz.002850,23.9700,24.4000,23.5000,24.2000,24.0500,2125079,51079031.8100
2019-04-11,sz.002850,24.2000,24.5700,23.8200,24.2500,24.2000,2209600,53510425.7600
2019-04-12,sz.002850,24.1000,24.2400,23.6600,23.9500,24.2500,1066400,25501034.0900
2019-04-15,sz.002850,24.1100,24.3000,23.7800,23.9100,23.9500,1837584,44269791.2300
