date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002179,34.1000,34.7600,33.8300,33.9300,33.6800,8412966,289010722.6300
2019-01-03,sz.002179,34.0000,35.6300,33.7000,34.3300,33.9300,8545965,296551609.2300
2019-01-04,sz.002179,34.1900,34.6400,33.4900,34.5000,34.3300,4650879,159154401.1300
2019-01-07,sz.002179,34.8000,35.9400,34.8000,35.8600,34.5000,7319781,260003037.9800
2019-01-08,sz.002179,35.9400,36.2100,35.3800,35.8800,35.8600,4860137,174285405.1000
2019-01-09,sz.002179,35.8000,36.1800,35.5300,35.7000,35.8800,3652070,130949464.5500
2019-01-10,sz.002179,35.7000,36.3300,35.5400,36.1400,35.7000,3435126,124265423.7900
2019-01-11,sz.002179,36.1800,36.9900,36.1300,36.9000,36.1400,3578468,131118795.6500
2019-01-14,sz.002179,36.9400,37.2500,36.2500,36.6600,36.9000,2884723,105792515.0700
2019-01-15,sz.002179,36.6200,36.9800,36.2600,36.8800,36.6600,4352700,159432926.8100
2019-01-16,sz.002179,36.8200,37.6400,36.6000,37.3000,36.8800,4820914,180019908.3600
2019-01-17,sz.002179,37.3400,37.5300,35.9100,36.1000,37.3000,4761901,174083293.0500
2019-01-18,sz.002179,36.0800,36.7000,35.9100,36.6400,36.1000,2999384,109571794.4800
2019-01-21,sz.002179,36.9900,37.1500,36.2100,36.8000,36.6400,3627268,133573623.2800
2019-01-22,sz.002179,36.8000,36.9400,35.7000,35.9600,36.8000,3752491,135686298.2000
2019-01-23,sz.002179,35.9800,36.5000,35.7000,36.1000,35.9600,3343823,120823770.8600
2019-01-24,sz.002179,36.4000,36.6000,35.8000,36.5200,36.1000,3150949,114396593.3400
2019-01-25,sz.002179,36.5000,36.9500,35.5600,35.8500,36.5200,4185498,150456219.4200
2019-01-28,sz.002179,35.8800,36.4900,35.3900,35.4000,35.8500,3101534,111307862.2700
2019-01-29,sz.002179,35.8000,35.8000,35.0200,35.3900,35.4000,3135500,110630060.2800
2019-01-30,sz.002179,35.1500,35.8500,34.8500,35.3000,35.3900,2991403,106025653.1300
2019-01-31,sz.002179,35.7500,35.7500,34.8500,35.1700,35.3000,2610966,91618091.1000
2019-02-01,sz.002179,35.5100,36.5700,34.9000,36.3800,35.1700,3959520,141332091.8000
2019-02-11,sz.002179,36.3800,36.7600,36.0300,36.7400,36.3800,4750972,173457626.3200
2019-02-12,sz.002179,36.6600,37.0300,36.5100,37.0100,36.7400,4333118,159510485.3700
2019-02-13,sz.002179,37.0800,37.9600,36.6600,37.7400,37.0100,4439809,166534833.7700
2019-02-14,sz.002179,37.9600,38.1200,37.4300,37.8700,37.7400,3257649,123282322.1900
2019-02-15,sz.002179,38.0000,38.0800,37.0000,37.2400,37.8700,3427632,128466190.6800
2019-02-18,sz.002179,37.3700,39.9900,37.2800,39.4700,37.2400,7774774,301691293.6600
2019-02-19,sz.002179,39.4700,40.4900,39.0900,39.9400,39.4700,7200293,285781864.6300
2019-02-20,sz.002179,39.5000,40.1700,39.0100,39.8100,39.9400,2966935,117717150.7800
2019-02-21,sz.002179,39.8400,40.0400,38.9100,39.0800,39.8100,6930901,272863025.0900
2019-02-22,sz.002179,38.6000,40.3800,38.6000,40.2500,39.0800,5394309,213973731.0900
2019-02-25,sz.002179,40.2500,42.1200,40.2500,41.8300,40.2500,8034505,332489501.6400
2019-02-26,sz.002179,41.4000,42.3000,41.2100,41.8000,41.8300,6251687,261804114.3200
2019-02-27,sz.002179,42.1100,43.6000,41.0500,41.7200,41.8000,6247255,264310722.3800
2019-02-28,sz.002179,41.8000,42.4500,40.5000,40.9900,41.7200,5432016,223290866.2700
2019-03-01,sz.002179,41.4000,42.0000,41.0000,41.7700,40.9900,5400719,224944760.6100
2019-03-04,sz.002179,41.8600,43.5900,41.7300,41.7700,41.7700,7425335,316003485.4100
2019-03-05,sz.002179,41.8000,43.0800,41.8000,42.9200,41.7700,5785381,245930523.6300
2019-03-06,sz.002179,43.0000,43.5600,42.2800,42.9500,42.9200,5773285,247480845.5400
2019-03-07,sz.002179,42.9500,42.9500,41.5600,42.1200,42.9500,6046084,254504063.9100
2019-03-08,sz.002179,41.0900,42.2900,40.5000,40.8000,42.1200,6300047,260254724.1900
2019-03-11,sz.002179,41.0000,41.9100,40.5100,41.8500,40.8000,5903123,244374585.6400
2019-03-12,sz.002179,42.3000,45.1500,42.1000,45.0900,41.8500,11954846,520837609.9700
2019-03-13,sz.002179,45.8000,45.8000,42.8600,43.0000,45.0900,8511883,376775889.6900
2019-03-14,sz.002179,43.5000,43.6600,42.3100,42.5700,43.0000,4701131,201905172.9300
2019-03-15,sz.002179,43.1400,44.1700,42.8000,42.9500,42.5700,5128575,222682438.1000
2019-03-18,sz.002179,43.0000,43.8900,42.2400,43.7300,42.9500,6029023,260820371.7100
2019-03-19,sz.002179,43.6900,44.7000,43.5200,44.3200,43.7300,5223447,230409610.5600
2019-03-20,sz.002179,44.3000,44.9100,43.0500,43.8100,44.3200,5806848,253523475.9200
2019-03-21,sz.002179,43.9500,44.3000,43.5500,43.6500,43.8100,4018636,176579393.9500
2019-03-22,sz.002179,43.5600,43.8100,41.9100,42.3200,43.6500,8381016,355491013.3900
2019-03-25,sz.002179,42.0000,42.9700,41.6000,42.4000,42.3200,10889173,462396424.8800
2019-03-26,sz.002179,42.0000,42.3500,39.2000,39.5500,42.4000,15646001,626959571.8400
2019-03-27,sz.002179,39.6600,40.4700,39.1100,40.0100,39.5500,8678644,344824557.4000
2019-03-28,sz.002179,39.8500,40.7200,39.7200,39.9800,40.0100,4469640,179457487.3800
2019-03-29,sz.002179,39.9800,40.7600,39.7900,40.6400,39.9800,7775686,314162388.5100
2019-04-01,sz.002179,40.7300,41.9700,40.7300,41.5400,40.6400,8454677,351160296.8100
2019-04-02,sz.002179,42.0000,42.1300,41.3400,41.6600,41.5400,6747053,281551999.4100
2019-04-03,sz.002179,41.4200,41.5200,40.6000,41.0800,41.6600,8321679,340561920.7100
2019-04-04,sz.002179,41.1500,41.3900,40.4600,40.6600,41.0800,9334534,380145621.4500
2019-04-08,sz.002179,40.6600,40.8900,39.6300,40.0500,40.6600,9134742,367219411.0500
2019-04-09,sz.002179,40.0500,40.7000,39.3800,40.6000,40.0500,7227003,291331482.4800
