date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002055,9.6900,10.0300,9.6800,9.8800,9.6700,2741873,27079056.3700
2019-01-03,sz.002055,9.8100,10.0900,9.7700,9.9000,9.8800,2345966,23407821.5100
2019-01-04,sz.002055,9.8000,10.1700,9.6200,10.1600,9.9000,3763814,37723487.9000
2019-01-07,sz.002055,10.2500,10.6400,10.1200,10.5400,10.1600,4969993,51727163.9600
2019-01-08,sz.002055,10.5400,10.6500,10.4400,10.5500,10.5400,2914498,30739634.0400
2019-01-09,sz.002055,10.5700,10.8500,10.5000,10.5200,10.5500,5485430,58730360.3300
2019-01-10,sz.002055,10.5200,10.6800,10.4300,10.4900,10.5200,3197227,33798256.7800
2019-01-11,sz.002055,10.5400,11.0300,10.4800,10.8700,10.4900,8185533,88833598.2900
2019-01-14,sz.002055,10.8500,11.0800,10.7100,10.8800,10.8700,5186484,56452264.2900
2019-01-15,sz.002055,10.7400,10.8900,10.6000,10.8900,10.8800,3909806,42124494.0200
2019-01-16,sz.002055,10.9000,10.9000,10.6500,10.6600,10.8900,2878100,30879975.6000
2019-01-17,sz.002055,10.7100,10.7100,10.4900,10.5500,10.6600,2312877,24477349.0400
2019-01-18,sz.002055,10.5500,10.7200,10.5400,10.6300,10.5500,2354055,24958939.9500
2019-01-21,sz.002055,10.6800,10.7400,10.5300,10.6200,10.6300,2480437,26390119.3000
2019-01-22,sz.002055,10.6200,10.6200,10.3200,10.3900,10.6200,2826873,29520591.9600
2019-01-23,sz.002055,10.3900,10.4400,10.1900,10.3100,10.3900,2149395,22164170.8100
2019-01-24,sz.002055,10.3900,10.5500,10.2700,10.4700,10.3100,2971087,31012280.6500
2019-01-25,sz.002055,10.4600,10.5700,10.3000,10.3000,10.4700,2696858,28154583.1300
2019-01-28,sz.002055,10.3300,10.5800,10.3300,10.4300,10.3000,3587933,37605021.8600
2019-01-29,sz.002055,10.6000,11.4700,10.6000,11.4700,10.4300,14373310,159511840.6700
2019-01-30,sz.002055,11.7500,11.8800,11.1600,11.3700,11.4700,18103098,208015916.7900
2019-01-31,sz.002055,11.3500,11.3800,10.7300,10.8900,11.3700,13007014,143934044.0400
2019-02-01,sz.002055,10.9600,11.2800,10.9200,11.2300,10.8900,10136274,112671391.7400
2019-02-11,sz.002055,11.3700,11.6400,11.2800,11.6000,11.2300,11447962,131100977.5400
2019-02-12,sz.002055,11.8100,12.5900,11.7200,12.0100,11.6000,17786632,215167731.1800
2019-02-13,sz.002055,12.1900,12.5800,12.0000,12.3800,12.0100,19853585,243973101.9100
2019-02-14,sz.002055,12.2200,12.4000,12.1000,12.2300,12.3800,12742195,155774982.8600
2019-02-15,sz.002055,12.2500,12.6900,12.1400,12.3800,12.2300,14097505,174766928.5400
2019-02-18,sz.002055,12.6100,13.0200,12.4000,12.9800,12.3800,17433318,222812780.1700
2019-02-19,sz.002055,12.9000,13.3900,12.6100,12.8600,12.9800,15919226,205832104.5300
2019-02-20,sz.002055,12.7700,12.8900,12.3300,12.5400,12.8600,11087748,139114197.8100
2019-02-21,sz.002055,12.4500,12.9700,12.4100,12.4600,12.5400,13008627,164709661.9900
2019-02-22,sz.002055,12.5600,13.1500,12.4800,13.1000,12.4600,13151246,169133476.3900
2019-02-25,sz.002055,13.3000,13.9800,13.1000,13.8500,13.1000,18679700,252174513.7100
2019-02-26,sz.002055,13.7700,13.7700,13.2700,13.2900,13.8500,16336011,221159774.8100
2019-02-27,sz.002055,13.2900,13.4700,12.9400,13.1000,13.2900,12075229,159814233.3200
2019-02-28,sz.002055,13.4000,13.9300,13.2000,13.7300,13.1000,17357983,236176572.4400
2019-03-01,sz.002055,13.7300,13.7300,13.1600,13.4500,13.7300,10954994,146617441.5500
