date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002741,15.8900,15.9500,15.6000,15.6100,15.8500,774468,12191242.7400
2019-01-03,sz.002741,15.6600,15.6800,14.9300,14.9700,15.6100,2410576,36602814.4400
2019-01-04,sz.002741,14.7600,15.2500,14.5400,15.1900,14.9700,1212262,18299042.7300
2019-01-07,sz.002741,15.3000,15.3700,15.1000,15.3100,15.1900,1432600,21817269.8000
2019-01-08,sz.002741,15.3900,15.9000,15.1800,15.6000,15.3100,2033895,31816995.7300
2019-01-09,sz.002741,15.6000,15.6600,15.2500,15.3400,15.6000,2200235,34003874.3200
2019-01-10,sz.002741,15.2800,15.4400,15.1100,15.1800,15.3400,899295,13684553.2500
2019-01-11,sz.002741,15.3300,15.3300,14.8900,15.0800,15.1800,1420109,21331685.3200
2019-01-14,sz.002741,15.0100,15.1600,14.5000,14.7300,15.0800,1570110,23177134.5000
2019-01-15,sz.002741,14.7300,15.0200,14.6200,15.0000,14.7300,1097047,16304683.6000
2019-01-16,sz.002741,15.1800,15.2300,14.7500,14.7700,15.0000,1398540,20811241.0000
2019-01-17,sz.002741,14.7200,14.8100,14.3700,14.3800,14.7700,1720716,25027836.4800
2019-01-18,sz.002741,14.3900,14.6900,14.3800,14.5300,14.3800,1618006,23428148.0100
2019-01-21,sz.002741,14.5400,14.7800,14.5400,14.7600,14.5300,1409565,20713461.4900
2019-01-22,sz.002741,14.7600,14.8300,14.5200,14.5700,14.7600,1241019,18177700.7700
2019-01-23,sz.002741,14.5000,14.6200,14.4200,14.5900,14.5700,961600,13945115.0000
2019-01-24,sz.002741,14.7000,14.8400,14.4700,14.8400,14.5900,1547358,22759076.6200
2019-01-25,sz.002741,14.8500,15.0700,14.7200,14.9000,14.8400,2061410,30656758.0200
2019-01-28,sz.002741,14.9300,15.2300,14.9300,15.0600,14.9000,2597807,39189071.6900
2019-01-29,sz.002741,15.0700,15.0700,14.0100,14.2200,15.0600,3212654,46209877.5800
2019-01-30,sz.002741,14.2000,14.2000,12.8000,12.8000,14.2200,10665897,139130615.5000
2019-01-31,sz.002741,12.9400,13.1800,12.8100,13.0000,12.8000,3962351,51510344.5700
2019-02-01,sz.002741,13.0200,13.2800,12.9100,13.2400,13.0000,1656968,21739281.0600
2019-02-11,sz.002741,13.2500,13.5500,13.1000,13.5300,13.2400,2359149,31700024.0200
2019-02-12,sz.002741,13.6100,13.7900,13.4400,13.5900,13.5300,2703713,36795067.3700
2019-02-13,sz.002741,13.6700,14.1400,13.5500,13.9300,13.5900,3984903,55041649.7400
2019-02-14,sz.002741,13.9800,14.3000,13.9800,14.1000,13.9300,3666971,51941661.3800
2019-02-15,sz.002741,14.0900,14.4000,14.0000,14.1800,14.1000,2683645,38191805.0100
2019-02-18,sz.002741,14.1800,14.5300,14.0600,14.4900,14.1800,3871793,55333409.4200
2019-02-19,sz.002741,14.5300,14.5800,14.1200,14.2400,14.4900,3678738,52706996.8900
2019-02-20,sz.002741,14.3500,14.3500,13.9700,14.1800,14.2400,2508074,35395182.8400
2019-02-21,sz.002741,14.2000,14.5000,14.1300,14.2100,14.1800,3531544,50659434.6000
2019-02-22,sz.002741,14.0700,14.4400,14.0700,14.4300,14.2100,2676181,38229131.5400
2019-02-25,sz.002741,14.5600,15.1100,14.5300,15.0700,14.4300,6762870,100105871.0900
2019-02-26,sz.002741,15.1200,15.6600,14.7800,15.1900,15.0700,6260695,95423100.3600
2019-02-27,sz.002741,15.1900,15.3100,14.6300,14.9400,15.1900,5207248,78123037.0500
2019-02-28,sz.002741,14.8900,15.1000,14.7500,14.8800,14.9400,3647838,54391979.6400
2019-03-01,sz.002741,14.8900,15.0900,14.7900,14.9900,14.8800,2509173,37455268.3700
2019-03-04,sz.002741,15.0900,15.6600,14.9900,15.5000,14.9900,6362276,97847069.6300
2019-03-05,sz.002741,15.4700,15.6600,15.3000,15.6500,15.5000,4931306,76262776.9600
2019-03-06,sz.002741,15.8000,15.8600,15.3600,15.7300,15.6500,6076018,94623235.4600
2019-03-07,sz.002741,15.8000,16.4500,15.7100,16.0600,15.7300,6806294,109851713.3900
2019-03-08,sz.002741,15.8000,16.5400,15.5000,15.5000,16.0600,6387691,101633947.7700
2019-03-11,sz.002741,15.4900,16.0800,15.4900,16.0500,15.5000,4335260,68653183.8400
2019-03-12,sz.002741,16.3500,16.4500,15.8400,16.0000,16.0500,7171638,115804029.7400
2019-03-13,sz.002741,16.1800,16.3000,15.5600,15.7500,16.0000,6012915,96531537.9900
2019-03-14,sz.002741,15.7600,15.7800,15.0300,15.2300,15.7500,4437019,68143057.5500
2019-03-15,sz.002741,15.2700,15.5500,15.1100,15.3200,15.2300,4232047,64796615.8000
2019-03-18,sz.002741,15.4200,15.8700,15.2800,15.8500,15.3200,3487606,54282802.6800
2019-03-19,sz.002741,15.9000,16.0400,15.7200,15.8700,15.8500,3642810,57803794.9200
2019-03-20,sz.002741,15.8000,15.9700,15.4400,15.7600,15.8700,3905791,61233893.0100
2019-03-21,sz.002741,15.7500,15.9300,15.6500,15.7600,15.7600,4624966,73128264.3100
2019-03-22,sz.002741,15.8200,15.8200,15.3300,15.4800,15.7600,4648945,72137096.5100
2019-03-25,sz.002741,15.4000,15.5900,15.2000,15.2800,15.4800,3900598,60001847.5200
2019-03-26,sz.002741,15.4400,15.5300,14.8100,14.8500,15.2800,3421738,51996976.7200
2019-03-27,sz.002741,15.0700,15.1300,14.6600,14.9800,14.8500,2705402,40393554.9000
2019-03-28,sz.002741,14.9700,15.0600,14.6700,14.7000,14.9800,2613972,38851071.3200
2019-03-29,sz.002741,14.7300,15.0800,14.5200,15.0800,14.7000,3117937,46320425.5700
2019-04-01,sz.002741,15.2000,15.4800,15.1000,15.4400,15.0800,5139687,78757901.5300
2019-04-02,sz.002741,15.5500,15.7800,15.3300,15.6700,15.4400,7462423,115967447.7300
2019-04-03,sz.002741,15.5400,15.7600,15.4900,15.7100,15.6700,5629011,88175071.8300
2019-04-04,sz.002741,15.7600,15.9600,15.5200,15.6400,15.7100,5369229,84313647.2600
2019-04-08,sz.002741,15.8100,16.2000,15.6300,15.8700,15.6400,10310320,164418357.4400
2019-04-09,sz.002741,15.9100,17.2000,15.3800,16.3400,15.8700,18000965,289853577.8800
2019-04-10,sz.002741,16.2700,16.2800,15.8200,15.9800,16.3400,9147252,146812625.6400
2019-04-11,sz.002741,16.1000,16.7200,15.9700,16.4400,15.9800,12801328,209940653.8400
2019-04-12,sz.002741,16.3900,16.6000,15.9800,16.2800,16.4400,7890231,127982276.1500
2019-04-15,sz.002741,16.3000,16.6200,15.8000,15.8000,16.2800,6692824,108832963.8400
2019-04-16,sz.002741,15.4300,15.7800,15.1600,15.7200,15.8000,6773302,105096225.3700
2019-04-17,sz.002741,15.7200,16.5500,15.6000,16.3800,15.7200,9856916,159101989.3600
2019-04-18,sz.002741,16.4100,16.4400,15.8600,15.9300,16.3800,6086547,97918645.7000
2019-04-19,sz.002741,15.7700,15.9600,15.6100,15.8400,15.9300,4685744,73932262.0200
2019-04-22,sz.002741,15.8000,15.8000,15.3900,15.4400,15.8400,5067178,78703722.0500
2019-04-23,sz.002741,15.5100,15.7500,15.2100,15.4800,15.4400,3963156,61264231.0700
2019-04-24,sz.002741,15.4200,15.6900,15.3500,15.5800,15.4800,3319023,51647875.1400
2019-04-25,sz.002741,15.5500,15.6000,14.5500,14.6900,15.5800,6830629,103146681.1600
2019-04-26,sz.002741,14.6300,14.6300,14.0400,14.1200,14.6900,5210669,74538508.6900
2019-04-29,sz.002741,14.1100,14.3200,13.8100,14.0100,14.1200,3002947,42241237.4900
2019-04-30,sz.002741,13.8000,14.0900,13.7000,13.8000,14.0100,3725584,51819812.0000
2019-05-06,sz.002741,13.4900,13.4900,12.8100,12.9700,13.8000,4856046,63837059.0000
2019-05-07,sz.002741,13.1300,13.2300,12.8800,13.1500,12.9700,2430983,31862027.6700
2019-05-08,sz.002741,12.9000,13.3800,12.9000,13.1200,13.1500,2843542,37352941.4000
2019-05-09,sz.002741,13.0000,13.1500,12.9100,12.9600,13.1200,2581834,33580694.3200
2019-05-10,sz.002741,13.0300,13.3200,12.8200,13.2600,12.9600,4466571,58622874.7500
2019-05-13,sz.002741,13.1400,13.2500,13.0300,13.1700,13.2600,2174583,28612261.3600
2019-05-14,sz.002741,13.0000,13.1800,12.9300,13.1000,13.1700,1562641,20449048.5700
2019-05-15,sz.002741,13.1800,13.3200,13.1200,13.3200,13.1000,3196552,42225715.5400
2019-05-16,sz.002741,13.3000,13.3200,13.2000,13.2400,13.3200,2229561,29542045.4200
2019-05-17,sz.002741,13.2500,13.3000,12.8000,12.8600,13.2400,4146789,53904364.4800
2019-05-20,sz.002741,12.9000,12.9400,12.0300,12.3700,12.8600,3865819,47548686.5700
2019-05-21,sz.002741,12.3400,12.5400,12.3100,12.4500,12.3700,2245369,27905462.7800
2019-05-22,sz.002741,12.4400,12.4500,12.1300,12.2200,12.4500,2230683,27353708.0000
2019-05-23,sz.002741,12.2700,12.2900,11.7500,11.8000,12.2200,2999737,35889956.9700
2019-05-24,sz.002741,11.7000,11.9500,11.6800,11.8500,11.8000,2385900,28122172.0000
2019-05-27,sz.002741,11.8400,12.2600,11.7600,12.2600,11.8500,2717994,32678726.7200
2019-05-28,sz.002741,12.3600,12.4100,12.1400,12.1500,12.2600,2387090,29346731.1000
2019-05-29,sz.002741,12.1500,12.2600,12.1000,12.1600,12.1500,1794400,21854767.0000
2019-05-30,sz.002741,12.0500,12.1500,11.9000,12.0300,12.1600,1871400,22451920.0000
2019-05-31,sz.002741,12.0700,12.1200,11.9500,12.0200,12.0300,1261300,15201191.0000
2019-06-03,sz.002741,12.0200,12.0700,11.7200,11.8000,12.0200,1915590,22710843.2300
2019-06-04,sz.002741,11.7700,11.8900,11.6800,11.8000,11.8000,1397236,16451441.1400
2019-06-05,sz.002741,11.9000,11.9700,11.6900,11.7400,11.8000,1264003,14919120.1000
2019-06-06,sz.002741,11.7000,11.8100,11.3200,11.3400,11.7400,2075090,23747457.8000
2019-06-10,sz.002741,11.3700,12.4700,11.2300,12.0200,11.3400,3289721,39153136.5900
2019-06-11,sz.002741,11.9400,12.4400,11.9300,12.2800,12.0200,3410900,41549312.6700
2019-06-12,sz.002741,12.1900,12.2300,11.9500,11.9900,12.2800,2281191,27526319.6200
2019-06-13,sz.002741,11.9500,12.0800,11.8700,12.0400,11.9100,1507753,18071375.9800
2019-06-14,sz.002741,12.1000,12.1000,11.7100,11.7500,12.0400,1400434,16622921.4600
2019-06-17,sz.002741,11.7500,11.8600,11.5900,11.7200,11.7500,820800,9604436.0000
2019-06-18,sz.002741,11.7200,11.8200,11.5900,11.7900,11.7200,1013800,11898658.0000
2019-06-19,sz.002741,11.9300,12.0800,11.9200,11.9500,11.7900,1698245,20374012.8000
2019-06-20,sz.002741,11.9600,12.2000,11.8400,12.1900,11.9500,2274565,27459664.6200
2019-06-21,sz.002741,12.2100,12.5500,12.1300,12.3300,12.1900,3039862,37518726.4600
2019-06-24,sz.002741,12.3000,12.9400,12.2500,12.7000,12.3300,3406110,42976760.1700
2019-06-25,sz.002741,12.6000,12.7700,12.2900,12.3500,12.7000,2632826,32685795.5700
2019-06-26,sz.002741,12.3500,12.4300,12.1900,12.3900,12.3500,1452885,17956206.8900
2019-06-27,sz.002741,12.3800,12.5100,12.2100,12.2400,12.3900,1842973,22759580.0400
2019-06-28,sz.002741,12.2800,12.2800,11.8800,11.9300,12.2400,2003940,24094134.3600
2019-07-01,sz.002741,12.2200,12.3400,12.1500,12.2800,11.9300,2587794,31715323.9400
2019-07-02,sz.002741,12.6000,12.8700,12.3400,12.4100,12.2800,3944097,49661505.1800
2019-07-03,sz.002741,12.3300,12.4200,12.1500,12.1600,12.4100,1751264,21392381.6500
2019-07-04,sz.002741,12.1600,12.2700,12.0600,12.1500,12.1600,1493558,18157285.9600
2019-07-05,sz.002741,12.1100,12.2600,12.0500,12.2000,12.1500,1062487,12911903.7100
2019-07-08,sz.002741,12.2400,12.2400,11.7700,11.8000,12.2000,1877684,22305684.2000
2019-07-09,sz.002741,11.4900,11.7000,11.0700,11.3700,11.8000,3645524,41278452.8000
2019-07-10,sz.002741,11.3700,11.5200,11.1700,11.2500,11.3700,1585600,17983221.0000
2019-07-11,sz.002741,11.2400,11.3700,11.2100,11.2800,11.2500,1441500,16242435.0000
2019-07-12,sz.002741,11.3000,11.3400,11.1700,11.3200,11.2800,1053200,11869872.1600
2019-07-15,sz.002741,11.3100,11.5000,11.1800,11.4400,11.3200,1395612,15909603.0400
2019-07-16,sz.002741,11.4200,12.5800,11.3900,12.5800,11.4400,5723666,69920848.1300
2019-07-17,sz.002741,13.6000,13.8400,12.9100,13.8400,12.5800,14155615,193283919.0100
2019-07-18,sz.002741,15.2200,15.2200,12.9500,12.9500,13.8400,31269726,439556243.1700
2019-07-19,sz.002741,12.2200,12.6800,12.1500,12.3600,12.9500,19256325,238263056.4600
2019-07-22,sz.002741,12.2000,12.3000,11.6200,11.7100,12.3600,13164701,156471649.9300
2019-07-23,sz.002741,11.6500,12.0600,11.6100,11.9300,11.7100,9341179,110949886.0000
2019-07-24,sz.002741,11.9200,12.6100,11.8300,12.2800,11.9300,12847170,156839114.2600
2019-07-25,sz.002741,12.1900,12.4400,11.9300,12.3000,12.2800,10336861,126369362.0100
2019-07-26,sz.002741,12.3400,12.3400,11.9400,12.1000,12.3000,7783826,94372777.3300
2019-07-29,sz.002741,12.1200,12.2500,11.7800,11.8000,12.1000,6200300,73790097.0000
2019-07-30,sz.002741,11.8200,11.9600,11.7400,11.7900,11.8000,4599800,54525585.0000
2019-07-31,sz.002741,11.6800,11.7800,11.5100,11.6200,11.7900,4187905,48753987.2600
2019-08-01,sz.002741,11.5600,11.9300,11.5000,11.8500,11.6200,5517426,65204655.6100
2019-08-02,sz.002741,11.5500,11.7800,11.4000,11.6500,11.8500,4439008,51524090.3200
2019-08-05,sz.002741,11.5000,11.8900,11.5000,11.6800,11.6500,3606304,42186200.6000
2019-08-06,sz.002741,11.4500,11.4500,10.7100,11.1000,11.6800,5465276,60900585.2400
2019-08-07,sz.002741,11.1000,11.3700,11.0300,11.0300,11.1000,3185399,35605971.1900
2019-08-08,sz.002741,11.0500,11.2500,11.0500,11.1400,11.0300,1991992,22163395.2800
2019-08-09,sz.002741,11.1900,11.3200,11.1100,11.1200,11.1400,2922092,32677037.4000
2019-08-12,sz.002741,11.1500,11.2100,10.9100,11.2100,11.1200,2961840,32703949.4800
2019-08-13,sz.002741,11.0700,11.2700,10.9800,11.1000,11.2100,2738600,30427995.0000
2019-08-14,sz.002741,11.2200,11.2700,11.1300,11.1400,11.1000,2935365,32851076.3600
2019-08-15,sz.002741,10.7600,11.1200,10.7100,11.0500,11.1400,3382983,36982984.3800
2019-08-16,sz.002741,11.0800,11.1700,11.0000,11.0300,11.0500,2315020,25692315.6000
2019-08-19,sz.002741,11.0700,11.3000,11.0700,11.2700,11.0300,4224820,47371385.8000
2019-08-20,sz.002741,11.3300,11.3800,11.1700,11.1800,11.2700,3920715,44062593.8500
2019-08-21,sz.002741,11.1800,11.3900,11.1600,11.2900,11.1800,4318651,48620594.6900
2019-08-22,sz.002741,11.2500,11.3000,11.1300,11.2200,11.2900,3201722,35894315.7700
2019-08-23,sz.002741,11.2500,11.2600,11.0800,11.1000,11.2200,2659625,29647338.0000
2019-08-26,sz.002741,10.7300,10.9900,10.7300,10.9200,11.1000,2282264,24901086.0400
2019-08-27,sz.002741,10.9400,11.2100,10.9400,11.1800,10.9200,2560054,28423556.1500
2019-08-28,sz.002741,11.1800,11.2300,11.0800,11.1200,11.1800,1827200,20367968.0000
2019-08-29,sz.002741,11.1800,11.2200,11.0800,11.1100,11.1200,1850800,20631733.0000
2019-08-30,sz.002741,11.1400,11.1600,10.8600,10.9300,11.1100,3128154,34417930.9800
2019-09-02,sz.002741,10.9000,12.0200,10.8200,11.4300,10.9300,7923718,90766276.8600
2019-09-03,sz.002741,11.3500,11.4900,11.2300,11.3700,11.4300,4879799,55243717.8000
2019-09-04,sz.002741,11.3900,11.9200,11.3200,11.8000,11.3700,10082215,118141131.6700
2019-09-05,sz.002741,12.0000,12.4500,11.7800,11.7900,11.8000,11193100,134757622.0000
2019-09-06,sz.002741,11.8300,12.1700,11.7300,11.9100,11.7900,7241700,86424505.0200
2019-09-09,sz.002741,12.0000,12.2600,11.9600,12.2000,11.9100,7779884,94237953.0400
2019-09-10,sz.002741,12.1900,12.4300,12.1200,12.2300,12.2000,6741809,82649014.1800
2019-09-11,sz.002741,12.3300,12.3900,12.0200,12.0400,12.2300,5079909,61619729.3500
2019-09-12,sz.002741,12.1300,12.1300,12.0000,12.0500,12.0400,3414259,41143939.7700
2019-09-16,sz.002741,12.0800,12.1700,11.9200,11.9500,12.0500,3724888,44789833.8400
2019-09-17,sz.002741,11.9400,11.9400,11.6300,11.7100,11.9500,3945215,46301060.4500
2019-09-18,sz.002741,11.7200,11.7600,11.6300,11.6800,11.7100,2290031,26750850.4600
2019-09-19,sz.002741,11.7100,12.3200,11.6900,12.1900,11.6800,8677832,104849387.9100
2019-09-20,sz.002741,12.1100,12.3300,12.0400,12.2100,12.1900,6611310,80473288.5000
2019-09-23,sz.002741,12.2200,12.3100,11.9500,12.1300,12.2100,5831319,70777840.0000
2019-09-24,sz.002741,12.2000,12.8800,12.0700,12.6700,12.1300,12589354,157457126.2800
2019-09-25,sz.002741,12.6000,12.9400,12.3400,12.5300,12.6700,9771200,123150263.0800
2019-09-26,sz.002741,12.5500,12.7900,12.1100,12.1400,12.5300,7757300,95879196.8200
2019-09-27,sz.002741,12.0200,12.7700,12.0200,12.6700,12.1400,9447405,118556553.5100
2019-09-30,sz.002741,12.7000,13.2900,12.6100,12.8000,12.6700,12598241,162961733.1200
2019-10-08,sz.002741,12.5600,12.9900,12.3600,12.5700,12.8000,7632719,96699372.3500
2019-10-09,sz.002741,12.5200,12.9500,12.1900,12.9400,12.5700,9220130,116037427.0600
2019-10-10,sz.002741,12.9600,13.2000,12.8000,12.8600,12.9400,10596065,137571416.9500
2019-10-11,sz.002741,12.9000,12.9300,12.4300,12.5500,12.8600,8059540,101522741.6000
2019-10-14,sz.002741,12.6200,12.6800,12.4100,12.6500,12.5500,6825256,85862394.6100
2019-10-15,sz.002741,12.5900,12.5900,12.0500,12.1100,12.6500,7463400,91166042.0000
2019-10-16,sz.002741,12.1000,12.2100,11.6900,11.8000,12.1100,5222745,62234524.0400
2019-10-17,sz.002741,11.7500,11.8600,11.7100,11.7700,11.8000,2648074,31191123.1400
2019-10-18,sz.002741,11.7700,11.8400,11.4300,11.4700,11.7700,3102900,35995984.2100
2019-10-21,sz.002741,11.4700,11.5300,11.2400,11.3800,11.4700,2012674,22794031.9800
2019-10-22,sz.002741,11.3600,11.5600,11.3600,11.5300,11.3800,1981840,22711505.5000
2019-10-23,sz.002741,11.5700,11.5700,11.2700,11.2900,11.5300,2328500,26497976.0000
2019-10-24,sz.002741,11.3800,11.3800,11.0800,11.1900,11.2900,2299366,25715354.3800
2019-10-25,sz.002741,11.1900,11.3000,11.1100,11.2700,11.1900,1531301,17179969.2800
2019-10-28,sz.002741,11.3100,11.5600,11.1700,11.5600,11.2700,3095498,35435271.3900
2019-10-29,sz.002741,11.5800,11.5900,11.3600,11.4800,11.5600,2130771,24376272.5600
2019-10-30,sz.002741,11.4200,11.6800,11.3800,11.5700,11.4800,2463694,28455048.2200
2019-10-31,sz.002741,11.5600,11.6600,11.3800,11.4700,11.5700,1795900,20677416.0000
2019-11-01,sz.002741,11.4000,11.5800,11.3000,11.4500,11.4700,1638600,18837525.0000
2019-11-04,sz.002741,11.3600,11.4500,11.3200,11.3200,11.4500,1683200,19154052.0000
2019-11-05,sz.002741,11.3100,11.3500,11.1000,11.1600,11.3200,2074200,23217077.0000
2019-11-06,sz.002741,11.1800,11.5000,11.1800,11.2400,11.1600,2242200,25369573.0000
2019-11-07,sz.002741,11.1900,11.5400,11.1600,11.4900,11.2400,2462940,28034474.2600
2019-11-08,sz.002741,11.7100,12.1000,11.6900,11.7100,11.4900,6245874,74085326.9000
2019-11-11,sz.002741,11.5400,11.6500,11.2900,11.3900,11.7100,2874526,32819152.4000
2019-11-12,sz.002741,11.3000,11.4100,11.1400,11.4100,11.3900,1773374,20014507.6400
2019-11-13,sz.002741,11.4100,11.4100,11.1800,11.2100,11.4100,1581000,17764806.0000
2019-11-14,sz.002741,11.1500,11.3000,11.1500,11.2400,11.2100,1146900,12887934.2600
2019-11-15,sz.002741,11.2000,11.3100,11.0500,11.0500,11.2400,1799926,20001206.6000
2019-11-18,sz.002741,11.0500,11.1400,10.9000,11.0400,11.0500,1755400,19334708.0000
2019-11-19,sz.002741,11.0400,11.2400,10.9800,11.2100,11.0400,1433500,15995555.0000
2019-11-20,sz.002741,11.1900,11.2100,11.0800,11.0800,11.2100,1299800,14469015.0000
2019-11-21,sz.002741,11.0300,11.1600,11.0300,11.1400,11.0800,854400,9506062.0000
2019-11-22,sz.002741,11.1300,11.3000,11.1000,11.1900,11.1400,1651300,18464722.0000
2019-11-25,sz.002741,11.2000,11.2400,11.1000,11.1000,11.1900,1194100,13314531.0000
2019-11-26,sz.002741,11.1200,11.1600,11.0600,11.1200,11.1000,874601,9718082.1000
2019-11-27,sz.002741,11.1800,11.1800,11.0700,11.0900,11.1200,930200,10333954.0000
2019-11-28,sz.002741,11.1500,11.1700,11.0600,11.0600,11.0900,888935,9860067.1000
2019-11-29,sz.002741,11.0200,11.1000,11.0200,11.0500,11.0600,736300,8137924.0000
2019-12-02,sz.002741,11.0300,11.1200,11.0000,11.0400,11.0500,992047,10957748.4700
2019-12-03,sz.002741,11.0400,11.0600,10.9100,11.0400,11.0400,1092000,11982319.0000
2019-12-04,sz.002741,10.9800,11.2300,10.9700,11.1900,11.0400,1598100,17761053.0000
2019-12-05,sz.002741,11.2000,11.2900,11.1600,11.2500,11.1900,1543467,17334903.4400
2019-12-06,sz.002741,11.2500,11.4800,11.2500,11.4500,11.2500,2348247,26697743.8900
2019-12-09,sz.002741,11.6000,11.6000,11.3700,11.3700,11.4500,2213773,25335070.8500
2019-12-10,sz.002741,11.3300,11.4500,11.3200,11.4400,11.3700,1515373,17278240.6600
2019-12-11,sz.002741,11.4000,11.5800,11.4000,11.4800,11.4400,1910400,21952425.0000
2019-12-12,sz.002741,11.4900,11.6800,11.4500,11.5500,11.4800,2294026,26548195.8300
2019-12-13,sz.002741,11.6500,11.6500,11.4600,11.5300,11.5500,1955494,22541822.8800
2019-12-16,sz.002741,11.5400,11.7300,11.5400,11.7100,11.5300,1877294,21901285.7400
2019-12-17,sz.002741,11.7400,11.8000,11.6300,11.6900,11.7100,2963900,34680342.7800
2019-12-18,sz.002741,11.6600,11.7300,11.6000,11.6100,11.6900,2219374,25886569.6600
2019-12-19,sz.002741,11.6200,11.7200,11.6000,11.7100,11.6100,1823774,21279243.8000
2019-12-20,sz.002741,11.7100,11.7500,11.4300,11.4500,11.7100,1965400,22814531.0000
2019-12-23,sz.002741,11.4300,11.6000,11.2900,11.3000,11.4500,2005147,22910005.7400
2019-12-24,sz.002741,11.2900,12.4300,11.2900,12.4300,11.3000,12649736,152784828.1700
2019-12-25,sz.002741,12.6500,12.6500,12.1000,12.1600,12.4300,15026580,186509305.6600
2019-12-26,sz.002741,12.1000,13.3800,12.0800,12.8600,12.1600,18220677,234104056.2500
2019-12-27,sz.002741,12.6000,12.7500,12.4300,12.4800,12.8600,11768862,147841925.9800
2019-12-30,sz.002741,12.5000,12.5600,12.0200,12.2900,12.4800,6942302,84876577.4100
2019-12-31,sz.002741,12.2900,12.4600,12.1200,12.4600,12.2900,4921999,60499761.7000
2020-01-02,sz.002741,12.5000,12.7300,12.3500,12.7000,12.4600,7462810,94070433.3800
2020-01-03,sz.002741,12.6500,12.6600,12.4100,12.5300,12.7000,6175532,77460226.1400
2020-01-06,sz.002741,12.3800,12.7900,12.3200,12.6400,12.5300,7657716,96501556.2800
2020-01-07,sz.002741,12.6300,12.8800,12.5000,12.8800,12.6400,7165311,90871245.9500
2020-01-08,sz.002741,12.7400,12.8500,12.4800,12.4800,12.8800,6683440,84513212.4300
2020-01-09,sz.002741,12.6400,13.6300,12.5800,12.9800,12.4800,10638103,139686853.1000
2020-01-10,sz.002741,13.1900,13.8000,12.8900,13.6700,12.9800,13785660,185556201.1300
2020-01-13,sz.002741,13.6800,14.3200,13.4200,14.1500,13.6700,11271727,157804013.1600
2020-01-14,sz.002741,14.0500,14.5100,13.6600,13.7100,14.1500,14236500,199743432.5000
2020-01-15,sz.002741,13.8200,13.9000,13.2000,13.5500,13.7100,9359411,126041030.7800
2020-01-16,sz.002741,13.5500,14.4000,13.3200,13.9600,13.5500,12580891,176461616.8200
2020-01-17,sz.002741,13.8900,14.0400,13.5700,13.6300,13.9600,7191214,98638438.9200
2020-01-20,sz.002741,13.5100,13.7800,13.2200,13.7800,13.6300,6614495,89613025.8900
2020-01-21,sz.002741,13.6500,13.6500,13.2300,13.2400,13.7800,6676729,89204566.4700
2020-01-22,sz.002741,13.1000,13.4000,12.6500,13.2500,13.2400,7324762,95298100.0500
2020-01-23,sz.002741,13.0500,13.1200,12.0700,12.6000,13.2500,5760213,73444645.6400
2020-02-03,sz.002741,11.3400,11.3400,11.3400,11.3400,12.6000,992000,11249280.0000
2020-02-04,sz.002741,10.2100,11.2000,10.2100,11.0100,11.3400,7671642,83045964.5600
2020-02-05,sz.002741,11.0100,11.6700,11.0100,11.4800,11.0100,6410877,73242772.8600
2020-02-06,sz.002741,11.5800,12.1000,11.3400,11.9900,11.4800,7633796,90316335.9800
2020-02-07,sz.002741,12.0100,12.3500,11.7900,12.1600,11.9900,6207275,74835841.5000
2020-02-10,sz.002741,12.0300,12.2700,11.9300,12.0900,12.1600,6491128,78389089.5200
2020-02-11,sz.002741,12.1500,12.1900,11.8400,11.9800,12.0900,3512264,42077819.7100
2020-02-12,sz.002741,11.9500,12.2700,11.8200,12.2000,11.9800,6016003,72721372.7400
2020-02-13,sz.002741,12.0700,12.2500,11.7700,11.9100,12.2000,5648585,67639702.2300
2020-02-14,sz.002741,11.9400,12.4700,11.8000,12.4700,11.9100,10022500,122590776.8200
2020-02-17,sz.002741,13.0000,13.5000,12.8100,12.9400,12.4700,15017115,196209226.4200
2020-02-18,sz.002741,13.0700,13.9400,12.7300,13.6200,12.9400,14912094,198286039.6200
2020-02-19,sz.002741,14.9800,14.9800,14.8000,14.9800,13.6200,21364555,319982056.8200
2020-02-20,sz.002741,15.0000,15.0000,14.1500,14.3900,14.9800,33936732,493214920.3900
