date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002009,7.5800,7.6700,7.4400,7.5400,7.5600,3137587,23635874.6900
2019-01-03,sz.002009,7.5400,7.6000,7.3500,7.3800,7.5400,4477600,33540148.9500
2019-01-04,sz.002009,7.2300,7.6500,7.2100,7.6100,7.3800,4867147,36492056.3400
2019-01-07,sz.002009,7.7600,7.8100,7.6500,7.7800,7.6100,4954221,38271657.2100
2019-01-08,sz.002009,7.7700,7.9600,7.7000,7.8500,7.7800,4792694,37651210.6400
2019-01-09,sz.002009,7.8900,8.0700,7.8100,7.9600,7.8500,7879964,62659635.5900
2019-01-10,sz.002009,7.9500,8.0000,7.8500,7.8600,7.9600,4158940,32961060.6800
2019-01-11,sz.002009,7.8400,8.0300,7.8000,8.0000,7.8600,4414766,34899414.7400
2019-01-14,sz.002009,7.9900,8.0500,7.8300,7.8800,8.0000,3332296,26357632.9400
2019-01-15,sz.002009,7.8800,8.4800,7.8500,8.2200,7.8800,10677325,87651767.5900
2019-01-16,sz.002009,8.2200,8.2900,8.1100,8.1400,8.2200,6466708,52871969.4400
2019-01-17,sz.002009,8.1600,8.1900,7.9000,7.9300,8.1400,6197612,49734368.9100
2019-01-18,sz.002009,7.9600,8.1400,7.9000,8.1300,7.9300,5316411,42637397.6000
2019-01-21,sz.002009,8.1000,8.2200,8.0600,8.1200,8.1300,4927192,40098760.4400
2019-01-22,sz.002009,8.1300,8.1300,7.9000,7.9500,8.1200,9365273,74936832.0000
2019-01-23,sz.002009,7.9200,7.9200,7.6700,7.7300,7.9500,7191500,55788917.3500
2019-01-24,sz.002009,7.7500,7.8400,7.6800,7.8000,7.7300,6656573,51755629.3100
2019-01-25,sz.002009,7.7900,8.0600,7.7000,7.9200,7.8000,10858712,85729372.8700
2019-01-28,sz.002009,7.9800,8.1600,7.9300,8.0700,7.9200,10776500,86620410.7100
2019-01-29,sz.002009,8.0600,8.0800,7.5400,7.7700,8.0700,9390873,72804449.3200
2019-01-30,sz.002009,7.6700,7.8100,7.6100,7.6300,7.7700,4283164,33051585.0000
2019-01-31,sz.002009,7.6600,7.8100,7.5000,7.6100,7.6300,5927092,45316311.2000
2019-02-01,sz.002009,7.6500,7.9200,7.6500,7.9000,7.6100,5228341,40880615.4100
2019-02-11,sz.002009,7.9700,8.1700,7.9300,8.1400,7.9000,8904649,71916527.0700
2019-02-12,sz.002009,8.1500,8.4500,8.1500,8.2800,8.1400,13451083,111817861.8100
2019-02-13,sz.002009,8.3300,8.4900,8.2700,8.4000,8.2800,13314751,111454471.8300
2019-02-14,sz.002009,8.4500,9.2400,8.3600,9.0700,8.4000,33999315,302730017.3900
2019-02-15,sz.002009,8.9700,9.2000,8.8100,8.9900,9.0700,23371052,209765777.1600
2019-02-18,sz.002009,9.0500,9.3600,8.9300,9.2400,8.9900,21291353,194597798.1700
2019-02-19,sz.002009,9.1600,9.2700,9.0300,9.2000,9.2400,16441665,150547665.1000
2019-02-20,sz.002009,9.1400,9.1800,8.9100,9.0600,9.2000,12122006,109650818.1300
2019-02-21,sz.002009,9.0900,9.5000,8.9800,9.0800,9.0600,21397583,197373683.1500
2019-02-22,sz.002009,9.0200,9.3800,8.9600,9.2800,9.0800,13726114,126221094.3900
2019-02-25,sz.002009,9.4600,9.7600,9.2400,9.6600,9.2800,21993102,209129973.9200
2019-02-26,sz.002009,9.7500,10.4600,9.5400,9.9700,9.6600,29815990,300015572.6400
2019-02-27,sz.002009,10.0000,10.3000,9.7600,9.9600,9.9700,15297545,153015791.8900
2019-02-28,sz.002009,9.8200,10.7800,9.8200,10.5100,9.9600,22382526,231838091.3400
2019-03-01,sz.002009,10.5100,10.9500,10.4000,10.6800,10.5100,15622659,166708300.9800
2019-03-04,sz.002009,10.8300,11.3800,10.6700,10.8200,10.6800,21222425,233012455.8600
2019-03-05,sz.002009,10.7900,11.2700,10.7500,11.2400,10.8200,14554461,161003940.0300
2019-03-06,sz.002009,11.2800,12.3600,11.0500,12.1700,11.2400,28916980,340218934.6500
2019-03-07,sz.002009,11.9000,12.7200,11.8000,12.0500,12.1700,22168218,269648575.3000
2019-03-08,sz.002009,11.7600,11.8700,11.1100,11.1700,12.0500,18727877,214588755.2200
2019-03-11,sz.002009,11.4000,12.1600,11.1600,12.0900,11.1700,17147546,199541941.2900
2019-03-12,sz.002009,12.5500,12.5500,11.6200,11.8800,12.0900,21848450,261660477.5500
2019-03-13,sz.002009,11.8800,11.8800,11.3000,11.4600,11.8800,11204667,130128251.3500
2019-03-14,sz.002009,11.4000,11.4000,10.6500,10.9500,11.4600,14160762,155327840.4600
2019-03-15,sz.002009,10.8500,11.2100,10.8300,11.0000,10.9500,9739077,107683256.3500
2019-03-18,sz.002009,11.0200,11.3300,10.9300,11.2800,11.0000,9324667,103992331.0700
2019-03-19,sz.002009,11.2800,11.4600,11.0500,11.1700,11.2800,9152020,103067627.6200
2019-03-20,sz.002009,11.2300,11.3700,10.9100,11.3400,11.1700,8669054,96530506.1900
2019-03-21,sz.002009,11.3100,11.5400,11.2000,11.3500,11.3400,11748077,133703627.5800
2019-03-22,sz.002009,11.3000,11.3700,11.0400,11.2200,11.3500,8794695,98231102.4900
2019-03-25,sz.002009,11.0000,11.1500,10.8100,10.9500,11.2200,7384712,81241000.4900
2019-03-26,sz.002009,11.0200,11.0900,10.5100,10.5700,10.9500,9693012,103900395.1200
2019-03-27,sz.002009,10.6800,10.7000,10.3800,10.7000,10.5700,7124492,75214946.4600
2019-03-28,sz.002009,10.7100,10.7900,10.5000,10.5900,10.7000,6920067,73457845.3100
2019-03-29,sz.002009,10.6200,10.9500,10.4400,10.8600,10.5900,10936109,117453563.5300
