date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600141,10.3200,10.3800,10.1000,10.1200,10.2900,5245201,53542554.0000
2019-01-03,sh.600141,10.1500,10.2800,10.0700,10.1300,10.1200,4015565,40784771.0000
2019-01-04,sh.600141,9.9900,10.3200,9.9700,10.2900,10.1300,6140059,62444507.0000
2019-01-07,sh.600141,10.4000,10.4000,10.1900,10.3400,10.2900,8712210,89449328.0000
2019-01-08,sh.600141,10.3200,10.3200,10.1000,10.1400,10.3400,7246977,73638145.0000
2019-01-09,sh.600141,10.1500,10.3500,10.1300,10.1700,10.1400,8602553,88173086.0000
2019-01-10,sh.600141,10.1900,10.2000,10.0300,10.0600,10.1700,5910257,59788916.0000
2019-01-11,sh.600141,10.0800,10.1600,10.0000,10.1500,10.0600,6246394,62839619.0000
2019-01-14,sh.600141,10.1300,10.1600,10.0300,10.0500,10.1500,3981331,40127840.0000
2019-01-15,sh.600141,10.0600,10.1400,9.9300,10.1200,10.0500,6745819,67868408.0000
2019-01-16,sh.600141,10.1300,10.1600,9.9800,10.0500,10.1200,5687629,57182681.0000
2019-01-17,sh.600141,10.0500,10.0600,9.7900,9.9100,10.0500,9790787,96815621.0000
2019-01-18,sh.600141,10.5300,10.9000,10.1600,10.2500,9.9100,19961530,207153203.0000
2019-01-21,sh.600141,10.3100,10.3700,10.1500,10.2400,10.2500,13462832,137734606.0000
2019-01-22,sh.600141,10.2200,10.6900,10.1600,10.5400,10.2400,26451240,277696951.0000
2019-01-23,sh.600141,10.3800,10.7200,10.3400,10.6800,10.5400,19877068,209485808.0000
2019-01-24,sh.600141,10.5000,10.6900,10.4300,10.4900,10.6800,14735334,155098495.0000
2019-01-25,sh.600141,10.4300,10.4700,10.3100,10.3200,10.4900,10775429,111779411.0000
2019-01-28,sh.600141,10.3800,10.4300,10.1100,10.1500,10.3200,7899848,80972571.0000
2019-01-29,sh.600141,10.1400,10.1700,9.9000,10.0600,10.1500,9029296,90265995.0000
2019-01-30,sh.600141,9.9300,10.0500,9.8600,9.9200,10.0600,6620105,65814619.0000
2019-01-31,sh.600141,9.9400,9.9600,9.6500,9.6600,9.9200,8954595,87762106.0000
2019-02-01,sh.600141,9.7000,9.8500,9.6800,9.8300,9.6600,6227849,60809089.0000
2019-02-11,sh.600141,9.9000,10.1100,9.8700,10.0900,9.8300,9454123,94664314.0000
2019-02-12,sh.600141,10.0700,10.1600,10.0200,10.1000,10.0900,8935092,90079181.0000
2019-02-13,sh.600141,10.1000,10.3400,10.0600,10.2900,10.1000,13301004,136158562.0000
2019-02-14,sh.600141,10.2600,10.3800,10.2300,10.2700,10.2900,8670314,89191943.0000
2019-02-15,sh.600141,10.2900,10.3100,10.1700,10.2200,10.2700,10697771,109417238.0000
2019-02-18,sh.600141,10.2600,10.5400,10.2300,10.5100,10.2200,16473712,171142795.0000
2019-02-19,sh.600141,10.5300,10.7300,10.3500,10.4400,10.5100,15084998,158682097.0000
2019-02-20,sh.600141,10.5000,10.7600,10.5000,10.7200,10.4400,19026477,202649598.0000
2019-02-21,sh.600141,10.6100,10.7200,10.4600,10.5100,10.7200,17925549,189691467.0000
2019-02-22,sh.600141,10.4700,10.6400,10.4100,10.6300,10.5100,11352628,119622551.0000
2019-02-25,sh.600141,10.7400,11.1600,10.7200,11.0500,10.6300,29662854,324479042.0000
2019-02-26,sh.600141,11.0200,11.5000,10.9500,11.1700,11.0500,31857762,356751752.0000
2019-02-27,sh.600141,11.1300,11.2400,10.9200,10.9700,11.1700,21100418,234507985.0000
2019-02-28,sh.600141,11.0500,11.3300,11.0000,11.1100,10.9700,13511633,150515230.0000
2019-03-01,sh.600141,11.1700,11.2300,10.9400,11.1500,11.1100,16253337,180340529.0000
2019-03-04,sh.600141,11.1900,11.4200,11.1000,11.1800,11.1500,27983815,314505261.0000
2019-03-05,sh.600141,11.0800,11.4400,11.0300,11.4200,11.1800,21647452,244177685.0000
2019-03-06,sh.600141,11.4000,11.6400,11.2900,11.5900,11.4200,24247192,278428618.0000
2019-03-07,sh.600141,11.5300,11.7800,11.4400,11.5600,11.5900,26249221,304269177.0000
2019-03-08,sh.600141,11.3900,11.8400,11.2000,11.2500,11.5600,31524282,362858054.0000
2019-03-11,sh.600141,11.2900,11.7300,11.2300,11.6800,11.2500,21915271,253558596.0000
2019-03-12,sh.600141,11.7000,11.9600,11.6300,11.7900,11.6800,27324619,322207545.0000
2019-03-13,sh.600141,11.8700,11.8700,11.4400,11.4800,11.7900,18110311,210387228.0000
2019-03-14,sh.600141,11.4900,11.7500,11.2700,11.7000,11.4800,23093748,266938189.0000
