date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000422,2.8800,2.9800,2.8700,2.9400,2.8900,7784004,22746786.5700
2019-01-03,sz.000422,2.9800,3.0100,2.9300,2.9400,2.9400,6098694,18114923.3900
2019-01-04,sz.000422,2.9000,2.9800,2.9000,2.9700,2.9400,5453626,16120534.4400
2019-01-07,sz.000422,3.0100,3.0200,2.9500,3.0100,2.9700,8278580,24685162.3200
2019-01-08,sz.000422,3.0100,3.0300,2.9700,3.0200,3.0100,5377678,16126659.0700
2019-01-09,sz.000422,3.0100,3.1700,3.0000,3.1400,3.0200,18164881,56443683.2000
2019-01-10,sz.000422,3.1300,3.1500,3.1000,3.1100,3.1400,8426314,26317083.2400
2019-01-11,sz.000422,3.1100,3.2200,3.0900,3.2100,3.1100,10704263,33859153.1800
2019-01-14,sz.000422,3.2200,3.3700,3.1900,3.3700,3.2100,23387219,78107326.0100
2019-01-15,sz.000422,3.3300,3.4100,3.2800,3.3800,3.3700,16579929,55371464.8500
2019-01-16,sz.000422,3.3800,3.3900,3.2100,3.2100,3.3800,14318100,46869446.5100
2019-01-17,sz.000422,3.1900,3.2500,3.1700,3.2200,3.2100,8042317,25831888.2300
2019-01-18,sz.000422,3.2000,3.2900,3.0600,3.1700,3.2200,11119378,35319014.7600
2019-01-21,sz.000422,3.1700,3.3300,3.1200,3.3300,3.1700,14382274,46775095.5500
2019-01-22,sz.000422,3.3300,3.4300,3.3100,3.3200,3.3300,13740963,46252414.9300
2019-01-23,sz.000422,3.3200,3.4800,3.3200,3.4800,3.3200,14223044,48516990.2700
2019-01-24,sz.000422,3.4400,3.5200,3.3900,3.4800,3.4800,12162216,42042618.4700
2019-01-25,sz.000422,3.4800,3.5900,3.4500,3.5000,3.4800,13777816,48441228.7800
2019-01-28,sz.000422,3.5100,3.5500,3.4100,3.4600,3.5000,9818112,34258667.9900
2019-01-29,sz.000422,3.5600,3.6300,3.5200,3.6300,3.4600,20245988,72933671.7700
2019-01-30,sz.000422,3.5600,3.5900,3.4500,3.4500,3.6300,21385000,74754924.3900
