date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000902,8.9300,8.9400,8.7400,8.8000,8.9600,7509321,66115728.5800
2019-01-03,sz.000902,8.8000,8.8800,8.6100,8.6200,8.8000,5273221,46122969.9400
2019-01-04,sz.000902,8.5700,8.7600,8.5200,8.7000,8.6200,3145146,27260020.1100
2019-01-07,sz.000902,8.7600,8.9200,8.7000,8.8900,8.7000,4357762,38327740.9600
2019-01-08,sz.000902,8.8100,8.8900,8.7600,8.7900,8.8900,3743748,32973873.4700
2019-01-09,sz.000902,8.7900,9.0000,8.7400,8.9300,8.7900,5900129,52586022.8600
2019-01-10,sz.000902,8.9300,8.9500,8.8500,8.8700,8.9300,2750508,24460205.8800
2019-01-11,sz.000902,8.9500,8.9500,8.7600,8.8700,8.8700,2049016,18143849.6000
2019-01-14,sz.000902,8.8200,8.8700,8.7400,8.8300,8.8700,2158300,18988629.5000
2019-01-15,sz.000902,8.7700,8.9400,8.7500,8.8900,8.8300,3620201,32015877.8400
2019-01-16,sz.000902,8.8400,8.9400,8.8400,8.9300,8.8900,2946567,26227354.3000
2019-01-17,sz.000902,8.9400,8.9800,8.7300,8.7400,8.9300,3544520,31339904.6200
2019-01-18,sz.000902,8.7300,8.8700,8.7300,8.8100,8.7400,4002420,35200715.3400
2019-01-21,sz.000902,8.8200,8.9100,8.8100,8.8500,8.8100,3759622,33285536.2000
2019-01-22,sz.000902,8.8300,9.0600,8.8000,8.9400,8.8500,5323857,47587685.8400
2019-01-23,sz.000902,8.8900,9.0000,8.8500,8.9500,8.9400,2877899,25646906.7000
2019-01-24,sz.000902,8.9600,9.0300,8.8900,9.0200,8.9500,3170105,28423468.0000
2019-01-25,sz.000902,9.0200,9.1200,8.9500,8.9800,9.0200,5255344,47501065.4800
2019-01-28,sz.000902,9.0900,9.2400,8.9800,9.1300,8.9800,6720769,61469430.8700
2019-01-29,sz.000902,9.1600,9.1800,8.9700,9.0400,9.1300,4653200,42240558.0000
2019-01-30,sz.000902,9.0200,9.1900,8.9600,9.0300,9.0400,3890135,35451011.8400
2019-01-31,sz.000902,9.0200,9.0600,8.6900,8.6900,9.0300,7152470,63285385.7100
2019-02-01,sz.000902,8.7800,9.1000,8.7700,9.0800,8.6900,5948013,53401011.3800
2019-02-11,sz.000902,9.1100,9.2000,9.0800,9.1600,9.0800,9629640,87933951.0500
2019-02-12,sz.000902,9.1700,9.4900,9.1700,9.4600,9.1600,13931941,130067403.5300
2019-02-13,sz.000902,9.5000,9.5400,9.3900,9.4800,9.4600,7981249,75601542.3900
2019-02-14,sz.000902,9.4200,9.6500,9.4200,9.5200,9.4800,5813859,55530200.1200
2019-02-15,sz.000902,9.5300,9.5500,9.3800,9.4200,9.5200,4476851,42320986.2700
2019-02-18,sz.000902,9.5200,9.6100,9.4400,9.6000,9.4200,9347424,89167208.0200
2019-02-19,sz.000902,9.6100,9.7900,9.5100,9.5700,9.6000,6564386,62977959.8200
2019-02-20,sz.000902,9.7400,9.8500,9.5300,9.5700,9.5700,9889303,95450800.1800
2019-02-21,sz.000902,9.5000,9.6900,9.3600,9.5000,9.5700,8213539,78167619.3500
2019-02-22,sz.000902,9.4500,9.5900,9.3800,9.5600,9.5000,6693921,63568290.7600
2019-02-25,sz.000902,9.5300,9.8200,9.5200,9.7800,9.5600,20669778,200003232.4700
2019-02-26,sz.000902,9.8100,9.8400,9.5000,9.5000,9.7800,24643942,239059005.6100
2019-02-27,sz.000902,9.4500,9.5300,9.2300,9.3300,9.5000,20504417,192804467.3200
2019-02-28,sz.000902,9.3000,9.5700,9.3000,9.4800,9.3300,10172316,96037730.9000
2019-03-01,sz.000902,9.5000,9.5700,9.3600,9.5000,9.4800,9104344,86145371.1800
2019-03-04,sz.000902,9.5900,9.7900,9.4100,9.6200,9.5000,22224372,212879707.1800
2019-03-05,sz.000902,9.5400,10.0400,9.5200,9.9300,9.6200,23634019,232549420.6000
2019-03-06,sz.000902,10.0100,10.1500,9.8200,9.9800,9.9300,17060538,170029248.1500
2019-03-07,sz.000902,9.9900,10.0900,9.8400,10.0300,9.9800,14425756,143905155.1200
2019-03-08,sz.000902,9.9400,10.0500,9.5900,9.7600,10.0300,15274715,149960881.6600
2019-03-11,sz.000902,9.9100,10.7200,9.8400,10.6200,9.7600,27284188,279992386.2700
2019-03-12,sz.000902,10.6200,10.9600,10.4100,10.6700,10.6200,25143448,267690246.0700
2019-03-13,sz.000902,10.7200,10.8800,10.4700,10.5600,10.6700,15988146,170296500.8300
2019-03-14,sz.000902,10.5700,11.0900,10.4800,10.8800,10.5600,18056782,193619576.7600
2019-03-15,sz.000902,10.9100,11.3100,10.8000,10.9100,10.8800,19564137,216249376.1500
2019-03-18,sz.000902,10.8500,11.1800,10.7500,10.9000,10.9100,15360218,167810305.9300
2019-03-19,sz.000902,10.9300,11.0200,10.7100,10.8200,10.9000,12521819,135579165.4100
2019-03-20,sz.000902,10.8100,10.8400,10.4900,10.6800,10.8200,14624109,155690310.4800
2019-03-21,sz.000902,10.6500,10.8300,10.6100,10.6300,10.6800,11176084,119829497.3300
2019-03-22,sz.000902,10.6200,10.8700,10.5500,10.8700,10.6300,12721418,136877034.7200
2019-03-25,sz.000902,10.6600,10.7800,10.4600,10.5500,10.8700,11899293,126269286.5800
2019-03-26,sz.000902,10.5600,10.7200,10.4200,10.4300,10.5500,9215478,97336620.2000
2019-03-27,sz.000902,10.4600,10.5800,10.3600,10.5600,10.4300,8473315,88714703.5700
2019-03-28,sz.000902,10.6600,10.8300,10.5000,10.5700,10.5600,8650298,92281676.6100
2019-03-29,sz.000902,10.5200,10.8700,10.5000,10.8500,10.5700,12247189,131452535.8100
