date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600160,6.7200,6.7300,6.5700,6.6100,6.6300,6928752,45942978.0000
2019-01-03,sh.600160,6.6000,6.6600,6.4800,6.5200,6.6100,10565540,69208912.0000
2019-01-04,sh.600160,6.4500,6.6600,6.4200,6.6400,6.5200,14946517,97872352.0000
2019-01-07,sh.600160,6.6800,6.7500,6.6400,6.7100,6.6400,13681226,91650340.0000
2019-01-08,sh.600160,6.7200,6.7300,6.6700,6.7000,6.7100,7769159,52048535.0000
2019-01-09,sh.600160,6.7300,6.8400,6.6900,6.7100,6.7000,14085553,95358263.0000
2019-01-10,sh.600160,6.7200,6.7600,6.6700,6.6900,6.7100,7951059,53393470.0000
2019-01-11,sh.600160,6.6800,6.7500,6.6500,6.7300,6.6900,8206263,54988810.0000
2019-01-14,sh.600160,6.7200,6.7600,6.6000,6.6200,6.7300,10032805,66899247.0000
2019-01-15,sh.600160,6.6200,6.7000,6.5900,6.7000,6.6200,9697833,64500205.0000
2019-01-16,sh.600160,6.7200,6.7300,6.6700,6.7000,6.7000,8209917,55026324.0000
2019-01-17,sh.600160,6.7000,6.7100,6.6200,6.6400,6.7000,7233871,48232467.0000
2019-01-18,sh.600160,6.6300,6.8300,6.6300,6.7800,6.6400,14691539,99013427.0000
2019-01-21,sh.600160,6.8100,6.9200,6.7400,6.8800,6.7800,15813919,108440306.0000
2019-01-22,sh.600160,6.8800,6.9400,6.8300,6.8500,6.8800,18174593,125157229.0000
2019-01-23,sh.600160,6.8900,7.1000,6.8900,7.0800,6.8500,23818314,167590788.0000
2019-01-24,sh.600160,7.0800,7.1400,7.0300,7.0800,7.0800,17970085,127302988.0000
2019-01-25,sh.600160,7.0800,7.3000,7.0500,7.1800,7.0800,22981016,165749080.0000
2019-01-28,sh.600160,7.2600,7.3300,7.1400,7.1900,7.1800,16604734,120062917.0000
2019-01-29,sh.600160,7.1900,7.2800,7.0400,7.1400,7.1900,17593905,125338492.0000
2019-01-30,sh.600160,7.1600,7.2300,7.0600,7.0700,7.1400,14629918,104372344.0000
2019-01-31,sh.600160,7.1100,7.2400,7.0800,7.1100,7.0700,15348591,109817421.0000
2019-02-01,sh.600160,7.1900,7.2200,7.1200,7.2100,7.1100,15880929,114055203.0000
2019-02-11,sh.600160,7.2600,7.4500,7.2100,7.4100,7.2100,25925068,190798557.0000
2019-02-12,sh.600160,7.3900,7.4300,7.3400,7.4100,7.4100,21532321,158985251.0000
2019-02-13,sh.600160,7.3900,7.5700,7.3200,7.4900,7.4100,34815004,259349693.0000
2019-02-14,sh.600160,7.4500,7.4700,7.3400,7.3900,7.4900,24227794,179137807.0000
2019-02-15,sh.600160,7.3700,7.4100,7.2800,7.2900,7.3900,18830172,138136207.0000
2019-02-18,sh.600160,7.3300,7.5600,7.3300,7.5600,7.2900,33320315,248247093.0000
2019-02-19,sh.600160,7.5600,7.5700,7.3600,7.4300,7.5600,27217468,203167723.0000
2019-02-20,sh.600160,7.4200,7.5200,7.3800,7.4800,7.4300,17002799,126699795.0000
2019-02-21,sh.600160,7.5300,7.5300,7.3000,7.3300,7.4800,27489712,204505641.0000
2019-02-22,sh.600160,7.3200,7.4700,7.2700,7.4700,7.3300,22491721,165763909.0000
2019-02-25,sh.600160,7.4900,7.8400,7.4800,7.8100,7.4700,57669192,443264574.0000
