date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300382,5.4500,5.7500,5.3200,5.5300,5.5100,6236110,34329464.3000
2019-01-03,sz.300382,5.5000,5.6900,5.4000,5.5700,5.5300,6805220,37497411.2200
2019-01-04,sz.300382,5.4900,5.9900,5.4600,5.7400,5.5700,7470189,42416134.3600
2019-01-07,sz.300382,5.7700,5.9600,5.6600,5.7000,5.7400,4649060,26589770.2100
2019-01-08,sz.300382,5.6300,5.8300,5.6300,5.7200,5.7000,4035888,23092299.7300
2019-01-09,sz.300382,5.7400,5.8400,5.6900,5.8100,5.7200,5269960,30457124.1300
2019-01-10,sz.300382,5.7700,5.8200,5.6700,5.7200,5.8100,3767100,21601636.2000
2019-01-11,sz.300382,5.6900,5.7400,5.6600,5.7100,5.7200,2759760,15731578.8000
2019-01-14,sz.300382,5.6800,5.7100,5.6000,5.6500,5.7100,2424980,13687147.2000
2019-01-15,sz.300382,5.6500,5.7100,5.6100,5.6900,5.6500,1615400,9153122.5000
2019-01-16,sz.300382,5.6900,5.7300,5.6500,5.6900,5.6900,1251400,7110582.0000
2019-01-17,sz.300382,5.6600,5.8200,5.6600,5.7400,5.6900,4973320,28514904.6000
2019-01-18,sz.300382,5.7200,5.7600,5.6500,5.6900,5.7400,2886480,16416370.8000
2019-01-21,sz.300382,5.6900,5.7300,5.6500,5.6900,5.6900,2093330,11894850.1000
2019-01-22,sz.300382,5.6800,5.7000,5.6200,5.6700,5.6900,2087690,11817115.2000
2019-01-23,sz.300382,5.7000,5.7000,5.6200,5.7000,5.6700,2686300,15191994.4000
2019-01-24,sz.300382,5.7200,5.7400,5.6500,5.7100,5.7000,3618620,20591811.1000
2019-01-25,sz.300382,5.7000,5.7100,5.6100,5.6700,5.7100,4707002,26627305.5200
2019-01-28,sz.300382,5.6600,5.6600,5.5700,5.6200,5.6700,2338004,13142467.1800
2019-01-29,sz.300382,5.5700,5.6400,5.5200,5.6300,5.6200,1459014,8157483.9600
2019-01-30,sz.300382,5.5900,5.6400,5.3700,5.3900,5.6300,4456820,24515774.2000
2019-01-31,sz.300382,5.3600,5.4300,5.3000,5.3500,5.3900,3332130,17896257.4000
2019-02-01,sz.300382,5.3200,5.5100,5.3200,5.4700,5.3500,4888210,26278318.6200
2019-02-11,sz.300382,5.4500,5.5400,5.4000,5.5000,5.4700,4868893,26514091.4300
2019-02-12,sz.300382,5.4500,5.5100,5.4400,5.4900,5.5000,4096929,22453354.9100
2019-02-13,sz.300382,5.5100,5.6200,5.4900,5.5900,5.4900,3056480,16990156.1000
