date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603032,28.8000,30.5000,28.5000,29.6700,28.7800,14370665,425014005.0000
2019-01-03,sh.603032,28.7000,29.0600,26.7000,26.7100,29.6700,15087286,414859737.0000
2019-01-04,sh.603032,25.8800,27.5000,25.0100,27.1700,26.7100,9660700,257819905.0000
2019-01-07,sh.603032,26.9100,27.6000,26.9100,27.3200,27.1700,9512699,258762887.0000
2019-01-08,sh.603032,27.3800,28.3600,26.8100,27.3300,27.3200,10934676,302183032.0000
2019-01-09,sh.603032,26.9200,28.3300,26.9200,27.6200,27.3300,11983249,330097979.0000
2019-01-10,sh.603032,27.4000,27.4800,26.8000,26.8400,27.6200,8184977,221889345.0000
2019-01-11,sh.603032,26.5000,27.0700,26.3100,26.5700,26.8400,6836360,182051974.0000
2019-01-14,sh.603032,26.8000,26.8200,26.0900,26.3300,26.5700,5158510,136451529.0000
2019-01-15,sh.603032,26.0600,26.5800,26.0600,26.4100,26.3300,4731679,124516645.0000
2019-01-16,sh.603032,26.6800,29.0500,26.5100,29.0500,26.4100,23961722,678036924.0000
2019-01-17,sh.603032,28.1000,28.2800,27.1700,27.2100,29.0500,17275430,475248760.0000
2019-01-18,sh.603032,27.2100,27.2100,26.1000,26.3800,27.2100,10127298,268324315.0000
2019-01-21,sh.603032,26.2500,27.1700,26.2500,26.7900,26.3800,7260680,193793786.0000
2019-01-22,sh.603032,26.8000,26.8900,26.3000,26.4400,26.7900,5268640,139195439.0000
2019-01-23,sh.603032,26.3000,26.6700,26.2900,26.5600,26.4400,4520602,119757584.0000
2019-01-24,sh.603032,26.5000,26.5100,25.6300,25.9100,26.5600,6347800,164736765.0000
2019-01-25,sh.603032,25.8300,26.1800,25.0800,25.3000,25.9100,5297080,135580772.0000
2019-01-28,sh.603032,25.3500,25.7800,24.8200,25.0100,25.3000,4307342,108887163.0000
2019-01-29,sh.603032,25.0200,25.6600,22.5100,24.4800,25.0100,5086720,125530202.0000
2019-01-30,sh.603032,24.5000,24.5200,22.6900,22.7600,24.4800,6027142,139630292.0000
2019-01-31,sh.603032,23.1900,24.4100,22.5200,23.2300,22.7600,7597725,179394309.0000
2019-02-01,sh.603032,23.3100,23.5000,22.7300,23.3700,23.2300,4524804,105008401.0000
2019-02-11,sh.603032,23.5800,24.6400,23.5800,24.3900,23.3700,5691964,138206916.0000
2019-02-12,sh.603032,24.3900,24.8000,23.8800,24.6300,24.3900,6424272,156637994.0000
2019-02-13,sh.603032,24.5600,25.9900,24.3400,25.1500,24.6300,8443341,211470659.0000
2019-02-14,sh.603032,24.8900,25.5800,24.7100,25.1800,25.1500,6288413,158061222.0000
2019-02-15,sh.603032,25.0000,26.4000,24.9900,25.5700,25.1800,9019420,232318324.0000
2019-02-18,sh.603032,25.5700,26.2700,25.4600,26.1800,25.5700,9047142,234799936.0000
2019-02-19,sh.603032,26.2900,28.0000,26.0000,26.9200,26.1800,12852914,343506346.0000
2019-02-20,sh.603032,26.5400,26.6000,25.5400,26.0000,26.9200,8964244,233851291.0000
2019-02-21,sh.603032,26.1000,26.8100,25.6900,26.0100,26.0000,9960205,262092137.0000
2019-02-22,sh.603032,25.8800,27.3800,25.5000,26.5500,26.0100,11434994,302389818.0000
2019-02-25,sh.603032,26.4300,28.0000,26.1000,27.8200,26.5500,16308351,443614919.0000
2019-02-26,sh.603032,27.8100,27.9800,26.8700,26.9200,27.8200,14443717,395460448.0000
2019-02-27,sh.603032,26.7900,27.1800,25.6000,26.1800,26.9200,9584240,253341682.0000
2019-02-28,sh.603032,26.8100,28.8000,26.8100,28.8000,26.1800,23200567,652326111.0000
2019-03-01,sh.603032,29.9900,31.6800,29.5200,31.6800,28.8000,28341285,875049445.0000
2019-03-04,sh.603032,33.0000,34.8500,32.3200,34.8500,31.6800,23083098,793137796.0000
2019-03-05,sh.603032,36.4800,38.3400,32.8900,38.3400,34.8500,29617491,1043090453.0000
2019-03-06,sh.603032,39.3000,42.1700,39.0200,42.1700,38.3400,24923550,1018601683.0000
2019-03-07,sh.603032,44.0000,46.3900,42.2800,46.3900,42.1700,19805347,892604036.0000
2019-03-08,sh.603032,41.7500,44.8900,41.7500,41.7500,46.3900,16394026,695853131.0000
2019-03-11,sh.603032,38.5000,40.8400,37.5800,38.1300,41.7500,19952433,764303686.0000
2019-03-12,sh.603032,38.7000,40.7300,38.6800,39.0000,38.1300,18237589,716734283.0000
2019-03-13,sh.603032,38.0800,38.2500,35.1000,35.9600,39.0000,19967587,726808977.0000
2019-03-14,sh.603032,36.4100,37.8400,35.1900,36.8200,35.9600,16171928,594840050.0000
2019-03-15,sh.603032,37.2000,37.2800,35.3100,35.5000,36.8200,12452783,454778744.0000
2019-03-18,sh.603032,34.9800,38.5300,33.7000,37.3600,35.5000,16768697,604636733.0000
2019-03-19,sh.603032,36.4100,38.2000,36.0100,36.8600,37.3600,14798777,546690159.0000
2019-03-20,sh.603032,36.7000,40.5500,36.0600,40.5500,36.8600,19363375,748358889.0000
2019-03-21,sh.603032,42.0000,44.6100,38.5000,39.0000,40.5500,32263696,1380249580.0000
2019-03-22,sh.603032,37.3300,38.3700,36.0500,37.2000,39.0000,21941809,811079446.0000
2019-03-25,sh.603032,35.1800,36.3000,35.0000,35.1600,37.2000,12816997,454700034.0000
2019-03-26,sh.603032,35.0500,35.7600,33.6100,34.1000,35.1600,10177780,352805735.0000
2019-03-27,sh.603032,34.5000,35.2800,34.3100,35.0200,34.1000,9034517,315004155.0000
2019-03-28,sh.603032,34.3000,34.4800,32.7000,32.9700,35.0200,9690069,324350808.0000
2019-03-29,sh.603032,33.1700,34.2000,32.1600,33.7500,32.9700,8635691,288229023.0000
2019-04-01,sh.603032,33.7500,35.8000,33.7500,35.1900,33.7500,10865280,379822220.0000
2019-04-02,sh.603032,35.5000,36.8300,34.8600,35.8300,35.1900,13428389,482411440.0000
2019-04-03,sh.603032,35.0000,35.6000,34.8900,35.3900,35.8300,8299320,292649731.0000
2019-04-04,sh.603032,35.3900,37.2700,35.3900,36.1100,35.3900,13322639,486676436.0000
2019-04-08,sh.603032,36.2500,36.4800,34.0000,34.3900,36.1100,10004186,348696110.0000
2019-04-09,sh.603032,34.0200,37.8300,34.0200,37.8300,34.3900,16633514,607794486.0000
2019-04-10,sh.603032,39.3000,41.5000,37.0900,37.1800,37.8300,26002407,1029802248.0000
2019-04-11,sh.603032,35.4700,36.7000,34.5000,34.6000,37.1800,15451860,544824742.0000
2019-04-12,sh.603032,34.7100,35.1000,34.2100,34.4500,34.6000,6713174,232225770.0000
2019-04-15,sh.603032,35.0000,35.8700,34.8200,34.9000,34.4500,7299093,257667932.0000
2019-04-16,sh.603032,34.6100,35.5800,33.9800,35.3200,34.9000,6357664,221518319.0000
2019-04-17,sh.603032,35.2500,36.9600,34.9000,36.2200,35.3200,10340379,373309790.0000
2019-04-18,sh.603032,36.0000,37.5600,35.5500,36.4000,36.2200,11592352,423421118.0000
2019-04-19,sh.603032,36.5000,39.0000,36.4000,38.1000,36.4000,16035608,606591355.0000
2019-04-22,sh.603032,38.0000,39.8000,37.1100,38.6800,38.1000,14726892,569490574.0000
2019-04-23,sh.603032,37.7000,38.7900,35.0000,35.7400,38.6800,10765505,399766328.0000
2019-04-24,sh.603032,36.5500,38.2400,36.3000,36.4000,35.7400,9081120,337391316.0000
2019-04-25,sh.603032,36.7700,37.7700,35.0000,35.2000,36.4000,9203120,334534948.0000
2019-04-26,sh.603032,35.0000,35.8000,33.2500,33.7100,35.2000,6855140,238550530.0000
2019-04-29,sh.603032,33.7100,35.9800,33.7100,34.9500,33.7100,10100401,354851919.0000
2019-04-30,sh.603032,34.0000,35.8800,33.9500,34.4800,34.9500,7044764,245602554.0000
2019-05-06,sh.603032,33.7800,33.8200,31.0300,31.0300,34.4800,5001593,156901028.0000
2019-05-07,sh.603032,28.3200,30.9600,28.3200,29.3400,31.0300,8157852,240471198.0000
2019-05-08,sh.603032,28.5100,29.3000,27.7100,28.5100,29.3400,5489740,156700736.0000
2019-05-09,sh.603032,28.4200,29.1500,28.1300,28.4000,28.5100,4453580,127583935.0000
2019-05-10,sh.603032,28.9800,29.5600,27.3200,29.5500,28.4000,7722800,223298671.0000
2019-05-13,sh.603032,29.4000,29.8000,28.8100,28.9900,29.5500,4833856,141223067.0000
2019-05-14,sh.603032,28.6700,29.5000,28.3400,29.2300,28.9900,4732980,137893376.0000
2019-05-15,sh.603032,29.7600,32.1500,29.2500,32.1500,29.2300,5771885,179958676.0000
2019-05-16,sh.603032,33.3000,33.5800,31.2000,31.3000,32.1500,12069077,392690045.0000
2019-05-17,sh.603032,30.5000,31.5300,28.5000,29.2700,31.3000,7333355,221313657.0000
2019-05-20,sh.603032,29.3600,29.8000,26.5000,28.7000,29.2700,5839075,163842627.0000
2019-05-21,sh.603032,28.5600,29.7800,28.0200,29.3000,28.7000,5331859,155561357.0000
2019-05-22,sh.603032,29.4600,31.0800,29.1200,29.5600,29.3000,6206619,186232337.0000
2019-05-23,sh.603032,29.1500,30.3000,28.5700,29.2400,29.5600,5259701,154905848.0000
2019-05-24,sh.603032,29.0900,30.1900,28.8400,29.8600,29.2400,5845262,174165210.0000
2019-05-27,sh.603032,30.2300,30.4000,29.4400,30.3800,29.8600,6078363,182446668.0000
2019-05-28,sh.603032,30.2500,30.5800,29.3800,29.7000,30.3800,7105279,213189507.0000
2019-05-29,sh.603032,29.4800,29.7000,28.9900,29.0900,29.7000,4911510,143731019.0000
2019-05-30,sh.603032,28.9900,29.3100,27.9200,28.4100,29.0900,4932722,140446523.0000
2019-05-31,sh.603032,28.5000,29.0000,28.2000,28.3200,28.4100,3876080,110504303.0000
2019-06-03,sh.603032,28.3200,28.8900,28.2700,28.4600,28.3200,4073950,116377833.0000
2019-06-04,sh.603032,28.4600,28.4800,26.8500,27.0000,28.4600,4862509,132654371.0000
2019-06-05,sh.603032,27.4800,27.4800,26.5200,26.6000,27.0000,3152380,84561048.0000
2019-06-06,sh.603032,26.6200,26.8400,24.7400,25.0200,26.6000,4430860,112278715.0000
2019-06-10,sh.603032,24.9500,25.0000,23.6500,24.9700,25.0200,4884140,119021989.0000
2019-06-11,sh.603032,24.9700,27.4700,24.8100,27.4700,24.9700,5436030,144037848.0000
2019-06-12,sh.603032,28.1100,29.1000,27.3800,27.3900,27.4700,12251330,346840435.0000
2019-06-13,sh.603032,26.4000,26.9800,26.2800,26.5600,27.3900,6662880,177400076.0000
2019-06-14,sh.603032,26.6300,26.9500,25.2800,25.6600,26.5600,5324460,138395273.0000
2019-06-17,sh.603032,25.2700,25.9700,25.2700,25.6200,25.6600,2629240,67433786.0000
2019-06-18,sh.603032,25.4500,26.0000,25.0200,26.0000,25.6200,3327800,85572213.0000
2019-06-19,sh.603032,26.6000,26.9900,25.9100,25.9600,26.0000,4709760,124414851.0000
2019-06-20,sh.603032,25.9000,26.8900,25.2700,26.4500,25.9600,5407900,142705640.0000
2019-06-21,sh.603032,26.1500,28.3000,26.1500,27.3700,26.4500,7619890,206759040.0000
2019-06-24,sh.603032,26.9500,27.0000,26.5600,26.7800,27.3700,4243640,113600550.0000
2019-06-25,sh.603032,26.7800,26.7800,25.7100,26.2500,26.7800,3771460,98460994.0000
2019-06-26,sh.603032,26.2500,26.7900,26.1600,26.4300,26.2500,3179000,84079267.0000
2019-06-27,sh.603032,26.4500,26.6600,26.2000,26.2400,26.4300,3175100,83854310.0000
2019-06-28,sh.603032,26.5000,26.5300,25.4300,25.5600,26.2400,2830760,72971417.0000
2019-07-01,sh.603032,26.4500,26.4500,26.0300,26.2200,25.5600,3887000,101774534.0000
2019-07-02,sh.603032,26.4000,28.2200,26.0800,26.8800,26.2200,7798860,209862901.0000
2019-07-03,sh.603032,26.4500,26.5300,26.0000,26.1000,26.8800,4100680,107214692.0000
2019-07-04,sh.603032,26.0900,26.3000,26.0200,26.1400,26.1000,2041201,53328475.0000
2019-07-05,sh.603032,26.0400,26.0400,25.5000,25.8200,26.1400,2456500,63358032.0000
2019-07-08,sh.603032,25.8100,25.8100,24.6600,24.9500,25.8200,3024500,75819130.0000
2019-07-09,sh.603032,25.1900,25.4100,24.9700,25.2700,24.9500,1899931,47953057.0000
2019-07-10,sh.603032,25.2700,25.4100,24.8000,24.8400,25.2700,1894341,47599451.0000
2019-07-11,sh.603032,24.9000,25.4500,24.8300,24.8800,24.8400,1850500,46462277.0000
2019-07-12,sh.603032,24.8800,25.0800,23.0000,24.3900,24.8200,2252460,54721694.0000
2019-07-15,sh.603032,24.1000,25.2500,24.1000,24.9700,24.3900,2440660,60334364.0000
2019-07-16,sh.603032,25.0100,25.3300,24.9000,25.0000,24.9700,1969810,49384979.0000
2019-07-17,sh.603032,25.0000,25.1700,24.8400,24.8700,25.0000,1779600,44465730.0000
2019-07-18,sh.603032,24.8000,24.8000,23.9000,24.0500,24.8700,2270800,54952326.0000
2019-07-19,sh.603032,24.0800,24.4000,23.9700,24.0400,24.0500,1711740,41400504.0000
2019-07-22,sh.603032,24.0500,24.2800,22.8800,23.1900,24.0400,2842220,66239118.0000
2019-07-23,sh.603032,23.1900,23.4500,22.8200,23.3700,23.1900,1997520,46264530.0000
2019-07-24,sh.603032,23.2000,25.2900,23.2000,23.8300,23.3700,4787983,115711410.0000
2019-07-25,sh.603032,23.3700,23.9600,23.3700,23.6700,23.8300,2539964,60113442.0000
2019-07-26,sh.603032,23.6100,24.3100,23.3700,23.9200,23.6700,2520320,60284014.0000
2019-07-29,sh.603032,23.9900,24.1800,23.6200,23.7100,23.9200,1964644,46722313.0000
2019-07-30,sh.603032,23.5100,24.1100,23.5100,23.7700,23.7100,2192851,52243881.0000
2019-07-31,sh.603032,23.6500,23.7300,23.3100,23.4000,23.7700,1867395,43832445.0000
2019-08-01,sh.603032,23.2300,23.5500,23.0700,23.1900,23.4000,1730500,40330792.0000
2019-08-02,sh.603032,22.7800,22.7800,22.4600,22.6000,23.1900,2481020,56088116.0000
2019-08-05,sh.603032,22.6000,23.1000,22.6000,22.6400,22.6000,2508420,57306410.0000
2019-08-06,sh.603032,22.2000,22.2000,21.0000,21.7000,22.6400,3824320,81967551.0000
2019-08-07,sh.603032,21.8700,22.8000,21.5100,21.9700,21.7000,2851784,63095269.0000
2019-08-08,sh.603032,21.9700,23.4000,21.9000,22.4500,21.9700,4214720,95125985.0000
2019-08-09,sh.603032,22.3900,22.5300,21.5000,21.6000,22.4500,3465120,75955559.0000
2019-08-12,sh.603032,21.8000,22.1000,21.5000,21.8500,21.6000,2120700,46106605.0000
2019-08-13,sh.603032,21.5800,21.7400,21.2000,21.2600,21.8500,2339556,50033772.0000
2019-08-14,sh.603032,21.5500,22.2900,21.4500,21.7100,21.2600,3745155,81702533.0000
2019-08-15,sh.603032,20.9200,23.8800,20.5100,23.8800,21.7100,6449515,149010556.0000
2019-08-16,sh.603032,25.3000,26.1700,24.2200,25.1300,23.8800,17938612,448995268.0000
2019-08-19,sh.603032,24.3300,26.0600,24.3000,25.1200,25.1300,12039138,301291472.0000
2019-08-20,sh.603032,24.7100,25.8000,24.4200,25.1200,25.1200,9097097,228198418.0000
2019-08-21,sh.603032,24.9900,26.4700,24.6600,26.0500,25.1200,13206154,342451544.0000
2019-08-22,sh.603032,25.9800,26.2500,25.0800,25.6800,26.0500,7664015,195996191.0000
2019-08-23,sh.603032,25.6300,25.6300,25.0100,25.1600,25.6800,4892169,123285288.0000
2019-08-26,sh.603032,24.4500,24.9900,24.3000,24.4900,25.1600,3722367,91702103.0000
2019-08-27,sh.603032,24.8100,25.1600,24.5800,24.7200,24.4900,4124426,102357885.0000
2019-08-28,sh.603032,24.7400,25.4900,24.7400,24.9800,24.7200,4782121,119953038.0000
2019-08-29,sh.603032,25.0500,25.3400,24.3000,24.4000,24.9800,4458236,109755572.0000
2019-08-30,sh.603032,24.5600,24.6600,23.5800,23.8200,24.4000,4089543,98495168.0000
2019-09-02,sh.603032,23.8200,24.2700,23.8100,24.1300,23.8200,2564085,61840751.0000
2019-09-03,sh.603032,24.3600,26.5400,24.3600,26.5400,24.1300,7247312,188878201.0000
2019-09-04,sh.603032,27.1500,29.1900,26.6600,29.1900,26.5400,23239221,653289344.0000
2019-09-05,sh.603032,30.3800,30.5600,28.0000,28.1000,29.1900,23712011,691646198.0000
2019-09-06,sh.603032,27.7000,28.0100,26.6900,26.9900,28.1000,13536955,369358483.0000
2019-09-09,sh.603032,27.1500,27.2600,26.7000,27.2500,26.9900,8157818,220854175.0000
2019-09-10,sh.603032,27.4000,28.1600,27.0200,27.4700,27.2500,10860493,301009610.0000
2019-09-11,sh.603032,27.2300,28.2100,27.0200,27.6800,27.4700,7239399,200023755.0000
2019-09-12,sh.603032,28.0200,28.0200,27.1900,27.3500,27.6800,5724878,157962380.0000
2019-09-16,sh.603032,27.3000,27.7600,27.0300,27.2200,27.3500,4615659,126016113.0000
2019-09-17,sh.603032,27.0800,27.1500,26.1100,26.3600,27.2200,5142011,136586792.0000
2019-09-18,sh.603032,26.4200,27.9800,26.4200,27.4900,26.3600,8696155,237245723.0000
2019-09-19,sh.603032,27.0700,27.8500,27.0700,27.5400,27.4900,6572013,180921908.0000
2019-09-20,sh.603032,28.7700,30.2000,28.0600,28.1000,27.5400,15025874,435966979.0000
2019-09-23,sh.603032,27.5200,28.7800,26.9000,26.9900,28.1000,9546244,265043688.0000
2019-09-24,sh.603032,26.9900,27.2000,26.0200,26.2100,26.9900,7664239,202006911.0000
2019-09-25,sh.603032,26.0300,26.2000,25.1100,25.1500,26.2100,5360517,136332851.0000
2019-09-26,sh.603032,25.3000,26.1000,25.2800,25.6700,25.1500,6565076,168905770.0000
2019-09-27,sh.603032,25.3600,25.8000,24.0900,25.2800,25.6700,4396065,110515572.0000
2019-09-30,sh.603032,25.0000,25.7100,24.5100,24.5100,25.2800,2982438,74389274.0000
2019-10-08,sh.603032,24.6600,25.0700,24.5100,24.5800,24.5100,2117552,52449429.0000
2019-10-09,sh.603032,24.3000,24.9800,24.1100,24.9800,24.5800,2442638,60509120.0000
2019-10-10,sh.603032,24.9800,25.6100,24.9200,25.2600,24.9800,3109573,78773574.0000
2019-10-11,sh.603032,25.2400,25.6000,24.9000,25.4500,25.2600,3854792,97575605.0000
2019-10-14,sh.603032,25.8500,26.0000,25.5000,25.6600,25.4500,3587900,92214167.0000
2019-10-15,sh.603032,25.4700,26.7000,24.6800,26.5900,25.6600,6337560,161723982.0000
2019-10-16,sh.603032,26.2000,26.4800,25.6000,25.6000,26.5900,4606931,120109944.0000
2019-10-17,sh.603032,25.6000,26.2100,25.1300,25.3400,25.6000,3536637,90784880.0000
2019-10-18,sh.603032,25.0200,25.4400,24.6500,24.6800,25.3400,2718900,67754379.0000
2019-10-21,sh.603032,24.4000,24.8500,24.1100,24.5800,24.6800,2141932,52452606.0000
2019-10-22,sh.603032,24.7000,24.8500,24.3100,24.5600,24.5800,1794604,44030549.0000
2019-10-23,sh.603032,24.5600,24.7300,24.1600,24.4700,24.5600,2181376,53318623.0000
