date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300532,10.0500,10.1800,10.0000,10.0000,10.0400,753574,7574177.2400
2019-01-03,sz.300532,10.0900,10.0900,9.9100,10.0000,10.0000,1108520,11085961.2800
2019-01-04,sz.300532,9.8300,10.4600,9.8200,10.4100,10.0000,3379233,34239052.6200
2019-01-07,sz.300532,10.4200,10.7400,10.3100,10.6400,10.4100,3828262,40235294.3900
2019-01-08,sz.300532,10.5700,10.7300,10.5400,10.5800,10.6400,2208446,23490800.0600
2019-01-09,sz.300532,10.5700,10.8300,10.4300,10.4700,10.5800,1980636,21077491.4800
2019-01-10,sz.300532,10.4400,10.6400,10.4000,10.5900,10.4700,1739476,18299535.1200
2019-01-11,sz.300532,10.6000,10.7000,10.4000,10.6600,10.5900,1346084,14236330.8900
2019-01-14,sz.300532,10.6300,10.7300,10.3800,10.4200,10.6600,1266421,13292592.3000
2019-01-15,sz.300532,10.2800,11.1600,10.2800,10.9200,10.4200,5912816,64469781.3500
2019-01-16,sz.300532,10.8500,11.0000,10.7900,10.8700,10.9200,3180434,34664008.1500
2019-01-17,sz.300532,10.7200,10.8600,10.4400,10.4600,10.8700,2765856,29278614.1600
2019-01-18,sz.300532,10.4300,10.6000,10.3500,10.5700,10.4600,1471928,15448975.0600
2019-01-21,sz.300532,10.5900,10.6400,10.4400,10.4700,10.5700,1660480,17485596.4400
2019-01-22,sz.300532,10.4900,10.5500,10.1500,10.2300,10.4700,2103500,21626784.5200
2019-01-23,sz.300532,10.2300,10.3400,10.1400,10.3000,10.2300,1023508,10487518.8100
2019-01-24,sz.300532,10.2200,10.4500,10.2200,10.3200,10.3000,1168741,12079015.7200
2019-01-25,sz.300532,10.3400,10.3700,10.1100,10.3400,10.3200,1285024,13212512.8800
2019-01-28,sz.300532,10.4200,10.4200,10.2200,10.3100,10.3400,1430728,14747578.4000
2019-01-29,sz.300532,10.3900,10.9800,10.1900,10.6400,10.3100,3900349,41467026.5100
2019-01-30,sz.300532,10.4700,10.8000,10.4700,10.5500,10.6400,2872204,30576140.0800
2019-01-31,sz.300532,10.5000,10.9700,10.4900,10.9600,10.5500,4327563,46538272.2100
2019-02-01,sz.300532,11.0200,11.0900,10.8300,11.0500,10.9600,3060719,33542092.4800
2019-02-11,sz.300532,11.0500,11.3200,10.9000,11.2600,11.0500,3700133,41144853.5000
