date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002860,18.7500,19.2500,18.6300,19.1700,18.7100,2541859,48493342.8300
2019-01-03,sz.002860,18.9600,19.0000,17.8000,17.9000,19.1700,2912581,53603483.5300
2019-01-04,sz.002860,17.7900,18.4500,17.4700,18.2400,17.9000,2225466,40149467.7000
2019-01-07,sz.002860,18.2100,18.8000,18.0600,18.6000,18.2400,2321721,42906458.4700
2019-01-08,sz.002860,18.5300,18.7700,18.2900,18.7700,18.6000,1997925,37103811.7900
2019-01-09,sz.002860,19.2200,19.8000,18.6900,18.7600,18.7700,4037550,77050777.8500
2019-01-10,sz.002860,18.3700,18.6300,18.2000,18.3600,18.7600,2107255,38787802.4800
2019-01-11,sz.002860,18.3000,19.8000,18.2100,19.5200,18.3600,7004389,134842454.5200
2019-01-14,sz.002860,19.2200,19.7300,19.1000,19.4100,19.5200,4439623,86051193.1600
2019-01-15,sz.002860,19.4300,19.5900,19.0000,19.5900,19.4100,2922086,56415881.0000
2019-01-16,sz.002860,19.4300,19.4900,18.8900,18.9200,19.5900,3110845,59420934.9800
2019-01-17,sz.002860,18.9200,20.3700,18.9200,19.6000,18.9200,7507175,147828821.9000
2019-01-18,sz.002860,19.3700,19.5000,19.0100,19.4000,19.6000,4091618,78641091.3900
2019-01-21,sz.002860,19.4600,20.8800,19.3200,20.3300,19.4000,8288726,167057401.9700
2019-01-22,sz.002860,20.2600,21.3000,19.8200,20.8300,20.3300,7808168,159487167.0000
2019-01-23,sz.002860,20.4000,21.0400,20.2000,20.4700,20.8300,5368070,110337840.0700
2019-01-24,sz.002860,20.3000,20.7100,20.1500,20.5500,20.4700,4177996,85274763.1000
2019-01-25,sz.002860,20.5000,20.5000,19.9100,20.0200,20.5500,3133089,63141240.4700
2019-01-28,sz.002860,20.2000,20.3000,19.5200,19.6300,20.0200,2372275,46796555.4200
2019-01-29,sz.002860,19.4700,19.7500,17.6700,18.5600,19.6300,2978314,56006800.1900
2019-01-30,sz.002860,18.3400,18.9500,18.1900,18.3200,18.5600,1664000,30938923.5000
2019-01-31,sz.002860,18.5000,18.7000,17.8500,18.1400,18.3200,1670229,30631790.1900
2019-02-01,sz.002860,18.2000,18.7900,18.2000,18.7500,18.1400,1328968,24667549.0800
2019-02-11,sz.002860,18.6800,19.2300,18.6800,19.1500,18.7500,1697628,32406295.3100
