date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002506,5.0000,5.0500,4.9600,4.9900,5.0000,9958500,49622602.4600
2019-01-03,sz.002506,4.9800,5.0100,4.9600,4.9900,4.9900,5701800,28425032.0000
2019-01-04,sz.002506,4.9900,5.0300,4.9600,5.0300,4.9900,12757154,63670482.5600
2019-01-07,sz.002506,5.0500,5.0500,4.9800,5.0100,5.0300,15016500,75067509.3100
2019-01-08,sz.002506,5.0100,5.0200,4.9900,5.0100,5.0100,7972665,39908918.2100
2019-01-09,sz.002506,5.0200,5.0600,4.9800,5.0200,5.0100,14107260,70918973.4500
2019-01-10,sz.002506,5.0000,5.0400,4.9900,5.0300,5.0200,25431025,127557315.0900
2019-01-11,sz.002506,5.0300,5.1600,5.0100,5.0600,5.0300,26727971,135416217.2600
2019-01-14,sz.002506,5.0600,5.0600,5.0000,5.0200,5.0600,16844074,84511168.4000
2019-01-15,sz.002506,5.0000,5.0300,4.9600,4.9900,5.0200,19348405,96514245.8500
2019-01-16,sz.002506,4.9800,4.9900,4.9500,4.9600,4.9900,15231800,75765503.1600
2019-01-17,sz.002506,4.9500,4.9800,4.9200,4.9600,4.9600,26136400,129381052.1400
2019-01-18,sz.002506,4.9600,5.0000,4.9400,5.0000,4.9600,22292200,110751760.1300
2019-01-21,sz.002506,5.0000,5.0500,4.9000,5.0100,5.0000,20849655,104256899.6200
2019-01-22,sz.002506,5.0100,5.0200,4.9500,4.9800,5.0100,15961439,79503024.4300
2019-01-23,sz.002506,4.9800,4.9900,4.9100,4.9300,4.9800,19560135,96593270.5500
2019-01-24,sz.002506,4.9100,4.9600,4.9000,4.9300,4.9300,10139851,49993372.2900
2019-01-25,sz.002506,4.9200,4.9400,4.8800,4.8900,4.9300,6022660,29532971.1400
2019-01-28,sz.002506,4.9000,4.9500,4.8500,4.9300,4.8900,40187400,196926450.5400
2019-01-29,sz.002506,4.9200,4.9800,4.9100,4.9700,4.9300,24077900,118973107.3800
2019-01-30,sz.002506,4.9600,5.0000,4.9500,4.9800,4.9700,10116706,50338597.9800
2019-01-31,sz.002506,4.9700,5.0100,4.8900,4.9300,4.9800,32944865,162753092.8900
2019-02-01,sz.002506,4.9200,5.0600,4.9200,5.0500,4.9300,19737947,99248962.4300
2019-02-11,sz.002506,5.0400,5.0900,5.0300,5.0800,5.0500,16595579,84200384.9400
2019-02-12,sz.002506,5.0600,5.1500,5.0600,5.1200,5.0800,24708722,126438971.3200
2019-02-13,sz.002506,5.1500,5.1700,5.0500,5.1200,5.1200,17489960,89161195.0100
2019-02-14,sz.002506,5.1000,5.1200,5.0600,5.0900,5.1200,9611613,48770151.3600
2019-02-15,sz.002506,5.0800,5.1200,5.0400,5.1100,5.0900,14873900,75487743.5800
2019-02-18,sz.002506,5.1100,5.1600,5.0900,5.1500,5.1100,19748100,101365835.9700
2019-02-19,sz.002506,5.1500,5.1800,5.0800,5.1300,5.1500,17496320,89694846.9900
2019-02-20,sz.002506,5.1700,5.6100,5.1600,5.5200,5.1300,62841587,341400332.8000
2019-02-21,sz.002506,5.5100,5.5200,5.2900,5.3500,5.5200,57310302,309065719.1100
2019-02-22,sz.002506,5.3100,5.3600,5.2100,5.3300,5.3500,45225551,238306991.3400
2019-02-25,sz.002506,5.3300,5.5800,5.2800,5.4500,5.3300,64251908,346899580.2000
2019-02-26,sz.002506,5.4200,5.4300,5.2800,5.3300,5.4500,53482101,285372925.4600
2019-02-27,sz.002506,5.3100,5.3400,5.1700,5.1800,5.3300,36525394,191750416.0900
2019-02-28,sz.002506,5.1900,5.2600,5.1600,5.2100,5.1800,24703803,128692752.5300
2019-03-01,sz.002506,5.3000,5.3000,5.1600,5.2100,5.2100,26572417,138366124.1500
2019-03-04,sz.002506,5.2100,5.3500,5.2000,5.2700,5.2100,48574096,256196173.3200
2019-03-05,sz.002506,5.2500,5.2900,5.1900,5.2600,5.2700,39756719,207859970.5500
2019-03-06,sz.002506,5.2800,5.3000,5.2000,5.2800,5.2600,48626866,255333359.4200
2019-03-07,sz.002506,5.3000,5.4900,5.2900,5.3900,5.2800,74065720,400060910.5600
2019-03-08,sz.002506,5.3800,5.4400,5.2300,5.2400,5.3900,63068700,337073003.3500
2019-03-11,sz.002506,5.2400,5.5000,5.2400,5.4600,5.2400,77451971,416134404.3500
2019-03-12,sz.002506,5.5800,5.6500,5.3700,5.4500,5.4600,74822668,409576855.9100
2019-03-13,sz.002506,5.4700,5.4900,5.2500,5.3100,5.4500,51294192,275060742.7800
2019-03-14,sz.002506,5.2600,5.3200,5.1300,5.1700,5.3100,33834234,176153935.4200
2019-03-15,sz.002506,5.1800,5.2600,5.1400,5.1900,5.1700,28844739,149850190.6100
2019-03-18,sz.002506,5.1800,5.2300,5.1500,5.2200,5.1900,23741105,123410794.9400
2019-03-19,sz.002506,5.2200,5.2700,5.1800,5.2000,5.2200,31847160,166200431.0000
2019-03-20,sz.002506,5.2000,5.2600,5.0400,5.1100,5.2000,35487360,182522389.5700
2019-03-21,sz.002506,5.1200,5.1600,5.1000,5.1400,5.1100,27747993,142577953.8200
2019-03-22,sz.002506,5.1300,5.1500,5.0100,5.1200,5.1400,37309340,189625329.7400
2019-03-25,sz.002506,5.0600,5.2100,5.0400,5.1600,5.1200,28877795,148284835.9500
2019-03-26,sz.002506,5.1900,5.3200,5.1200,5.2700,5.1600,43180462,225622241.2200
2019-03-27,sz.002506,5.3100,5.3200,5.2000,5.2800,5.2700,26687280,140278085.3900
2019-03-28,sz.002506,5.2600,5.2800,5.2000,5.2800,5.2800,25298669,132666145.0300
2019-03-29,sz.002506,5.2900,5.3300,5.2700,5.3100,5.2800,34203892,181370804.8800
2019-04-01,sz.002506,5.3400,5.4800,5.3400,5.4700,5.3100,58236081,316442207.0100
2019-04-02,sz.002506,5.5000,6.0200,5.4500,6.0200,5.4700,107660312,622093905.1300
2019-04-03,sz.002506,6.0000,6.1100,5.9100,6.0000,6.0200,117839988,707869997.0500
2019-04-04,sz.002506,5.9700,6.6000,5.8400,6.4700,6.0000,135440209,852568051.9700
2019-04-08,sz.002506,6.4600,6.9000,6.4000,6.8500,6.4700,137393183,913970421.6400
2019-04-09,sz.002506,7.0100,7.5400,6.7700,7.5400,6.8500,168168833,1210991278.7700
2019-04-10,sz.002506,7.8800,8.2700,7.5400,7.5500,7.5400,186469495,1473777473.5800
2019-04-11,sz.002506,7.5400,7.7500,7.2200,7.5500,7.5500,144209735,1081649204.9900
2019-04-12,sz.002506,7.5500,7.5500,6.9500,7.2000,7.5500,95183178,696737749.8400
2019-04-15,sz.002506,7.5400,7.8200,7.2700,7.4000,7.2000,93373422,703265895.4700
2019-04-16,sz.002506,7.3800,7.5400,7.1400,7.4700,7.4000,72068545,530105414.1800
2019-04-17,sz.002506,7.5500,7.7500,7.2500,7.3500,7.4700,60384051,447519783.1100
2019-04-18,sz.002506,7.2700,7.4400,7.0800,7.2000,7.3500,57207144,414066460.0400
2019-04-19,sz.002506,7.1300,7.4500,7.1000,7.2900,7.2000,58237779,423415776.2100
2019-04-22,sz.002506,7.3300,7.5900,7.1800,7.4100,7.2900,71079277,524107486.6600
