date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300724,28.4800,29.4500,28.1100,29.3400,28.4800,3208205,92587971.3900
2019-01-03,sz.300724,29.2300,29.9700,28.8900,28.8900,29.3400,3029453,89241556.3300
2019-01-04,sz.300724,28.9700,30.2600,28.7100,29.9800,28.8900,4149323,123110267.1400
2019-01-07,sz.300724,30.0500,30.9800,29.6200,30.9600,29.9800,5086793,154539461.3500
2019-01-08,sz.300724,30.7000,31.1800,30.1100,30.4200,30.9600,2758996,84384638.9300
2019-01-09,sz.300724,30.4000,30.6000,29.3600,29.5800,30.4200,4295000,129077745.1100
2019-01-10,sz.300724,29.8800,31.4000,29.8000,30.4900,29.5800,5753080,175758199.8700
2019-01-11,sz.300724,30.2000,30.9900,29.6300,30.9500,30.4900,3596259,108941262.4700
2019-01-14,sz.300724,30.9000,30.9300,28.9200,29.4900,30.9500,3637680,108276713.5400
2019-01-15,sz.300724,29.4900,30.2200,29.2200,29.8800,29.4900,2317370,69230636.4600
2019-01-16,sz.300724,29.8800,31.7800,29.8100,31.0500,29.8800,4767120,147841444.5400
2019-01-17,sz.300724,30.8300,31.3200,29.6400,29.8800,31.0500,4121497,125677391.2700
2019-01-18,sz.300724,29.9500,30.3800,29.4800,30.1500,29.8800,3931507,117897983.6100
2019-01-21,sz.300724,30.1000,30.3900,29.6000,30.0600,30.1500,1975863,59270115.3800
2019-01-22,sz.300724,29.8900,30.9400,29.5000,30.6800,30.0600,3468525,105539869.5000
2019-01-23,sz.300724,30.4800,31.0400,30.0100,30.6500,30.6800,2327530,71083468.3200
2019-01-24,sz.300724,30.5900,31.2300,29.5100,30.7300,30.6500,5278525,160809687.8500
2019-01-25,sz.300724,30.6400,33.3300,30.6400,32.7000,30.7300,6161022,198221022.0400
2019-01-28,sz.300724,32.6500,34.5600,32.4800,33.7600,32.7000,5090768,171634916.3000
2019-01-29,sz.300724,33.7000,34.0500,32.5800,33.8500,33.7600,3243304,108437310.8600
2019-01-30,sz.300724,33.8800,35.8800,31.5000,32.3200,33.8500,6505247,219015221.8300
2019-01-31,sz.300724,32.1300,32.5500,31.2000,31.8500,32.3200,3534118,112570540.8700
2019-02-01,sz.300724,31.9900,34.0100,31.9100,33.4000,31.8500,3255510,107453694.7000
2019-02-11,sz.300724,33.5900,35.2800,33.2000,34.6900,33.4000,3540721,122422765.7200
2019-02-12,sz.300724,34.8700,34.9300,34.1500,34.5700,34.6900,2674618,92108571.7200
2019-02-13,sz.300724,34.5000,35.2200,34.0200,34.8100,34.5700,3513102,121433212.5300
2019-02-14,sz.300724,34.6800,35.5000,34.2300,35.4300,34.8100,4335437,151231248.6700
2019-02-15,sz.300724,35.2700,35.3800,34.6500,34.6700,35.4300,2676678,93763671.4200
2019-02-18,sz.300724,34.6700,36.1900,34.2800,35.8000,34.6700,4144740,146843550.1700
2019-02-19,sz.300724,36.1000,39.2800,36.0800,36.9400,35.8000,6139264,230361214.6500
2019-02-20,sz.300724,37.0600,38.5600,36.5200,37.9800,36.9400,2765891,104102776.8500
2019-02-21,sz.300724,37.7600,40.1200,37.2000,38.6000,37.9800,4039951,157470807.9500
2019-02-22,sz.300724,38.3000,40.1000,38.2100,39.4500,38.6000,3083340,120099033.8700
2019-02-25,sz.300724,39.8900,43.4000,39.8000,43.4000,39.4500,4803245,200682483.6300
2019-02-26,sz.300724,43.3500,43.3500,39.0600,39.0600,43.4000,11220743,448517684.2600
2019-02-27,sz.300724,37.6000,38.3000,35.6500,37.6200,39.0600,8832532,327282618.7000
2019-02-28,sz.300724,36.7000,38.9800,36.7000,38.0800,37.6200,4193923,159598169.2300
2019-03-01,sz.300724,38.1000,38.7700,37.5200,38.1000,38.0800,2978543,113693487.8900
2019-03-04,sz.300724,38.3300,39.2800,36.3500,37.0000,38.1000,8515756,320022501.0000
2019-03-05,sz.300724,37.0000,37.3600,36.6800,37.0600,37.0000,4680362,173126276.7300
2019-03-06,sz.300724,37.5800,38.3000,37.0900,37.7100,37.0600,6823102,257589171.3700
2019-03-07,sz.300724,37.4900,37.6400,35.1800,37.3200,37.7100,11285744,412447844.9600
2019-03-08,sz.300724,36.0900,36.9600,33.8300,34.8600,37.3200,8057290,288318565.2600
2019-03-11,sz.300724,34.5500,36.5800,34.4100,36.0700,34.8600,8141196,291063507.4800
2019-03-12,sz.300724,36.3900,38.7900,35.7500,37.4100,36.0700,10750580,402296449.6600
2019-03-13,sz.300724,37.3000,37.9400,35.0500,35.1300,37.4100,5311439,193444110.0300
2019-03-14,sz.300724,34.6500,36.7800,34.6500,36.1500,35.1300,5329811,193555190.4200
2019-03-15,sz.300724,36.0000,36.7700,35.3000,35.8000,36.1500,3024534,109292716.7800
2019-03-18,sz.300724,35.9900,36.2700,35.4000,36.1000,35.8000,3170161,113214415.4900
2019-03-19,sz.300724,36.3100,36.8000,35.8900,36.0200,36.1000,2564711,93165649.8600
2019-03-20,sz.300724,36.1700,36.7500,35.1000,35.5500,36.0200,2779671,99590003.7000
2019-03-21,sz.300724,35.5000,35.7900,34.5500,35.5000,35.5500,3975447,139527981.0700
2019-03-22,sz.300724,35.4900,35.4900,33.8800,34.1100,35.5000,4323243,148323150.6800
2019-03-25,sz.300724,34.0700,34.6900,33.7000,34.1300,34.1100,2960920,101282280.7300
