date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300316,10.0300,10.0400,9.7500,9.8000,10.0200,9497660,93910147.8100
2019-01-03,sz.300316,9.8000,9.8200,9.5200,9.5400,9.8000,10430806,100285649.4200
2019-01-04,sz.300316,9.3100,9.9300,9.2000,9.8600,9.5400,17080779,163941371.3000
2019-01-07,sz.300316,9.9800,10.2900,9.8500,10.2000,9.8600,14257839,144032250.4000
2019-01-08,sz.300316,10.1000,10.2600,10.0600,10.1200,10.2000,9229150,93811255.6700
2019-01-09,sz.300316,10.1800,10.4600,10.0900,10.2400,10.1200,13955527,143960564.9200
2019-01-10,sz.300316,10.2700,10.6500,10.2300,10.3400,10.2400,17290440,180300816.8500
2019-01-11,sz.300316,10.3400,10.4100,10.0800,10.2400,10.3400,11977398,122525355.1800
2019-01-14,sz.300316,10.2000,10.2300,10.0600,10.0900,10.2400,8295363,83959248.1700
2019-01-15,sz.300316,10.0600,10.3600,9.9300,10.3600,10.0900,14161766,144106028.7000
2019-01-16,sz.300316,10.3200,10.4400,10.1200,10.1500,10.3600,11325926,116360661.4700
2019-01-17,sz.300316,10.1300,10.1700,9.9200,9.9200,10.1500,10392874,103846505.2200
2019-01-18,sz.300316,9.9900,10.2500,9.8800,10.1900,9.9200,11839527,119168633.5700
2019-01-21,sz.300316,10.2900,10.4400,10.1200,10.2500,10.1900,15269433,156826405.4800
2019-01-22,sz.300316,10.2500,10.2500,9.2400,9.3800,10.2500,39252757,377761139.2900
2019-01-23,sz.300316,9.3200,9.4500,9.0300,9.2300,9.3800,18310073,168786641.7400
2019-01-24,sz.300316,9.2500,9.7200,9.2200,9.5700,9.2300,22626495,215670191.1800
2019-01-25,sz.300316,9.5700,9.7500,9.4000,9.4600,9.5700,14937025,143308115.2500
2019-01-28,sz.300316,9.5500,9.8000,9.4700,9.5700,9.4600,13541908,130659631.1400
2019-01-29,sz.300316,9.5700,9.6500,9.1000,9.5300,9.5700,15519608,146126377.2400
2019-01-30,sz.300316,9.4300,10.4800,9.4300,10.4800,9.5300,58227203,596442366.9500
2019-01-31,sz.300316,10.3400,10.6600,10.1900,10.3400,10.4800,41559787,432281303.0000
2019-02-01,sz.300316,10.5700,11.3700,10.3800,11.2300,10.3400,50857540,556485070.1000
2019-02-11,sz.300316,11.2900,11.9800,11.2900,11.6500,11.2300,38665677,449724661.2400
2019-02-12,sz.300316,11.6600,11.8400,11.5200,11.6700,11.6500,22648409,263666415.7100
2019-02-13,sz.300316,11.6800,11.8500,11.5500,11.8400,11.6700,25863960,303594953.7800
2019-02-14,sz.300316,11.7200,12.8800,11.6100,12.3500,11.8400,36120670,438632799.4300
2019-02-15,sz.300316,12.2500,12.2500,11.9100,12.1000,12.3500,22170778,267548582.2300
2019-02-18,sz.300316,12.1500,12.6500,12.1000,12.6100,12.1000,22495590,281112282.9600
2019-02-19,sz.300316,12.6400,12.9800,11.9200,12.1300,12.6100,32358411,400472177.3300
2019-02-20,sz.300316,12.0500,12.3800,11.9600,12.2500,12.1300,23322681,284144593.1500
2019-02-21,sz.300316,12.1500,12.8500,12.0000,12.1000,12.2500,39207903,486283972.2300
2019-02-22,sz.300316,12.1000,13.3100,12.1000,13.1800,12.1000,46371622,592028785.3800
2019-02-25,sz.300316,13.4000,14.5000,13.2900,14.2200,13.1800,58917820,827503292.1000
2019-02-26,sz.300316,14.2200,14.8600,13.8000,13.8500,14.2200,41582001,588112205.3100
2019-02-27,sz.300316,13.8800,13.9900,13.0600,13.2800,13.8500,35897518,483115828.1000
2019-02-28,sz.300316,13.3000,13.6700,13.1100,13.4200,13.2800,21666432,292322841.6600
2019-03-01,sz.300316,13.4700,14.3500,13.3000,14.1500,13.4200,22614206,309226268.9600
2019-03-04,sz.300316,14.3500,15.2600,14.1000,14.5100,14.1500,42816420,626498304.5400
2019-03-05,sz.300316,14.3500,15.9000,14.2600,15.6800,14.5100,39901251,603539560.1700
2019-03-06,sz.300316,15.6800,16.1600,15.1300,15.5700,15.6800,25520346,395666195.0800
2019-03-07,sz.300316,15.3000,15.4500,14.6100,15.1100,15.5700,46401641,697482230.7700
2019-03-08,sz.300316,14.5500,15.8500,14.3000,14.8500,15.1100,44416692,673230526.0500
2019-03-11,sz.300316,15.1600,15.7800,15.0300,15.5700,14.8500,32803503,506925881.2500
2019-03-12,sz.300316,15.7200,16.0300,15.2100,15.4800,15.5700,32516908,505802836.2600
2019-03-13,sz.300316,15.5500,15.5500,14.7800,14.9100,15.4800,24503553,370793985.7400
2019-03-14,sz.300316,14.9700,15.2000,14.1800,14.5100,14.9100,23552372,342829609.0600
2019-03-15,sz.300316,14.6000,15.1000,14.5300,14.7700,14.5100,20080602,297520512.4200
2019-03-18,sz.300316,14.8800,14.9700,14.4700,14.8200,14.7700,24165306,356278969.2000
2019-03-19,sz.300316,14.8300,16.3000,14.8000,16.3000,14.8200,62492899,991718240.3400
2019-03-20,sz.300316,16.3100,16.3400,15.2700,15.6300,16.3000,49816900,786065922.0600
2019-03-21,sz.300316,15.6900,16.2900,15.4000,15.8200,15.6300,29590864,467188301.4800
2019-03-22,sz.300316,15.8000,16.0000,15.2500,15.4600,15.8200,21727300,336828745.3800
2019-03-25,sz.300316,15.0600,15.4500,14.9700,15.0400,15.4600,17935384,271905502.6200
2019-03-26,sz.300316,14.9200,15.1800,13.7900,14.0300,15.0400,37949344,542326766.6700
2019-03-27,sz.300316,14.2200,14.3000,13.5800,13.9700,14.0300,21398134,298453952.0900
2019-03-28,sz.300316,13.9700,14.4800,13.7100,13.8400,13.9700,22408435,316941672.8400
2019-03-29,sz.300316,13.9900,14.4400,13.8300,14.3400,13.8400,20835813,295348342.8800
2019-04-01,sz.300316,14.7200,15.0800,14.4500,14.9800,14.3400,27184886,402192501.9800
2019-04-02,sz.300316,15.1200,15.3700,14.7200,14.8500,14.9800,22280879,334631143.8700
2019-04-03,sz.300316,14.7500,14.9300,14.4900,14.7300,14.8500,21196822,311607621.7200
2019-04-04,sz.300316,14.8300,15.1500,14.6200,14.6700,14.7300,20637908,305389362.6200
2019-04-08,sz.300316,14.8000,14.8000,13.6600,13.8900,14.6700,36021411,505558960.4900
2019-04-09,sz.300316,13.7400,14.1900,13.5900,13.7900,13.8900,21143298,292465996.5900
2019-04-10,sz.300316,13.6500,14.0300,13.5100,13.8600,13.7900,27948208,383396557.9900
2019-04-11,sz.300316,13.9800,13.9800,13.2600,13.6000,13.8600,26177127,354164127.3100
2019-04-12,sz.300316,13.6400,13.7900,13.4400,13.7700,13.6000,16886171,230051775.6400
2019-04-15,sz.300316,13.9200,14.0300,13.4000,13.4000,13.7700,23238328,318776232.5700
2019-04-16,sz.300316,13.3000,13.8200,13.1800,13.7200,13.4000,20425301,275963507.1200
2019-04-17,sz.300316,13.7500,13.9500,13.5600,13.9000,13.7200,25421325,351560910.6700
2019-04-18,sz.300316,13.8800,14.3400,13.6200,14.0700,13.9000,32252246,452692386.6300
2019-04-19,sz.300316,14.1000,14.1000,13.7200,14.0000,14.0700,15354449,213578271.2900
2019-04-22,sz.300316,14.0800,14.3000,13.6200,13.6800,14.0000,17419590,242909229.6400
2019-04-23,sz.300316,13.6800,13.6800,13.1800,13.2700,13.6800,15310918,204978920.8100
2019-04-24,sz.300316,13.3000,13.5000,13.0000,13.4700,13.2700,17019367,225179545.9500
2019-04-25,sz.300316,13.3500,13.4500,12.7400,12.7500,13.4700,15413288,201923089.7500
2019-04-26,sz.300316,12.6400,13.1000,12.6100,12.8400,12.7500,17642645,228108131.6900
2019-04-29,sz.300316,12.8000,13.1600,12.6800,12.8600,12.8400,15283681,198059934.8900
2019-04-30,sz.300316,12.8400,13.0900,12.6300,12.8000,12.8600,11759517,151384402.5600
2019-05-06,sz.300316,12.3300,12.3300,11.5200,11.5200,12.8000,18667556,221516374.2900
2019-05-07,sz.300316,11.5100,11.6500,10.9000,11.2900,11.5200,24091382,272283247.6800
2019-05-08,sz.300316,10.9200,11.6400,10.8100,11.4100,11.2900,19465343,221584246.0700
2019-05-09,sz.300316,11.4400,12.3400,11.4400,12.0000,11.4100,28057943,336370119.8100
2019-05-10,sz.300316,12.1200,12.6100,11.6300,12.4300,12.0000,26868637,328968656.2700
2019-05-13,sz.300316,12.2000,12.2900,11.7800,11.8800,12.4300,15452880,185873181.9100
