date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002249,3.3100,3.3200,3.2500,3.2600,3.3000,4059900,13293344.0000
2019-01-03,sz.002249,3.2600,3.3400,3.2400,3.3000,3.2600,4998884,16505787.5800
2019-01-04,sz.002249,3.2600,3.4000,3.2600,3.3900,3.3000,6236017,20906857.5400
2019-01-07,sz.002249,3.4100,3.4800,3.4000,3.4700,3.3900,8799208,30383996.6000
2019-01-08,sz.002249,3.4700,3.5400,3.4500,3.5100,3.4700,8793834,30854376.5800
2019-01-09,sz.002249,3.5800,3.6900,3.5400,3.6000,3.5100,20830200,75518023.8800
2019-01-10,sz.002249,3.5900,3.7900,3.5600,3.6700,3.6000,23148741,85263844.8200
2019-01-11,sz.002249,3.6300,4.0400,3.6200,4.0400,3.6700,45292130,176861059.1500
2019-01-14,sz.002249,4.3200,4.4400,4.2100,4.4400,4.0400,96148440,422786453.3200
2019-01-15,sz.002249,4.1900,4.3700,4.1200,4.2500,4.4400,86967703,369996221.3300
2019-01-16,sz.002249,4.2300,4.5100,4.1200,4.3300,4.2500,80718548,346895115.1700
2019-01-17,sz.002249,4.3000,4.6800,4.2600,4.5100,4.3300,90969735,407367095.2600
2019-01-18,sz.002249,4.4300,4.4700,4.1700,4.2700,4.5100,67070468,287560569.7800
2019-01-21,sz.002249,4.2600,4.4200,4.2000,4.3000,4.2700,44290484,191041268.4900
2019-01-22,sz.002249,4.3100,4.3400,4.1200,4.1700,4.3000,36493841,153060125.9100
2019-01-23,sz.002249,4.1300,4.5200,4.1100,4.3900,4.1700,73251769,320297346.4300
2019-01-24,sz.002249,4.3300,4.3500,4.1400,4.2300,4.3900,46764503,197351440.4800
2019-01-25,sz.002249,4.2300,4.4700,4.1300,4.2800,4.2300,53990225,232776145.7300
2019-01-28,sz.002249,4.2800,4.4000,4.1400,4.2000,4.2800,42624522,179716567.6200
2019-01-29,sz.002249,4.1900,4.1900,3.8800,4.0200,4.2000,36803796,148031018.3600
2019-01-30,sz.002249,3.6200,3.6200,3.6200,3.6200,4.0200,7792900,28210298.0000
2019-01-31,sz.002249,3.2600,3.4400,3.2600,3.2600,3.6200,64007220,211455022.9200
2019-02-01,sz.002249,3.4100,3.4400,3.2900,3.4200,3.2600,31523319,106520848.8300
2019-02-11,sz.002249,3.4200,3.5700,3.4200,3.5400,3.4200,24956621,87238501.8800
2019-02-12,sz.002249,3.5500,3.7300,3.5100,3.6900,3.5400,24858218,90894690.0100
2019-02-13,sz.002249,3.6800,3.7600,3.6000,3.7100,3.6900,24124956,89018329.4700
2019-02-14,sz.002249,3.7000,3.9000,3.6500,3.8000,3.7100,26173384,98948834.7300
2019-02-15,sz.002249,3.8000,3.8600,3.7200,3.7800,3.8000,20059427,75982880.9100
2019-02-18,sz.002249,3.8300,4.1600,3.8300,4.1600,3.7800,44426063,180961225.7200
2019-02-19,sz.002249,4.3700,4.5600,4.2200,4.3900,4.1600,65256460,284251128.2800
2019-02-20,sz.002249,4.3200,4.6800,4.2700,4.5000,4.3900,65990432,297710864.2800
2019-02-21,sz.002249,4.3000,4.5500,4.3000,4.3700,4.5000,54367500,239710960.1400
2019-02-22,sz.002249,4.3400,4.4500,4.1900,4.3800,4.3700,51133029,220498454.6900
2019-02-25,sz.002249,4.4100,4.5900,4.3000,4.5500,4.3800,63580069,284818239.4100
2019-02-26,sz.002249,4.5800,4.7800,4.4400,4.5500,4.5500,71163456,329466273.7400
2019-02-27,sz.002249,4.5100,4.7300,4.4300,4.6800,4.5500,68019609,312663903.0900
2019-02-28,sz.002249,4.5600,4.7100,4.4600,4.4800,4.6800,39621813,180399375.3900
2019-03-01,sz.002249,4.4800,4.5700,4.4000,4.5200,4.4800,26570213,119440695.2400
2019-03-04,sz.002249,4.5500,4.8500,4.4700,4.7300,4.5200,68935812,320687565.2000
2019-03-05,sz.002249,4.6600,4.7900,4.6000,4.7400,4.7300,48327867,226443186.4600
2019-03-06,sz.002249,4.7600,4.7700,4.6200,4.7400,4.7400,51831357,243559251.9700
2019-03-07,sz.002249,4.7000,4.9700,4.6600,4.8600,4.7400,58273198,283071633.8100
2019-03-08,sz.002249,4.7200,4.7600,4.4000,4.4400,4.8600,58221671,268314723.3500
2019-03-11,sz.002249,4.4600,4.8800,4.4600,4.8800,4.4400,40809330,193472906.1500
2019-03-12,sz.002249,5.1200,5.1900,4.7800,4.9100,4.8800,72463595,360417349.0800
2019-03-13,sz.002249,4.9000,5.1200,4.8000,4.8400,4.9100,52645451,261801451.1800
2019-03-14,sz.002249,4.8400,5.1800,4.7900,5.0200,4.8400,69198594,345773472.5300
2019-03-15,sz.002249,5.0400,5.2300,4.8500,5.2300,5.0200,69148899,347939385.7200
2019-03-18,sz.002249,5.5800,5.7500,5.1700,5.2800,5.2300,81372227,438720599.3500
2019-03-19,sz.002249,5.1800,5.6300,5.1200,5.6000,5.2800,74553173,400796085.1300
2019-03-20,sz.002249,5.4200,5.5700,5.3000,5.4300,5.6000,51144632,277535840.4400
2019-03-21,sz.002249,5.4600,5.6200,5.3900,5.4900,5.4300,49611698,273145738.1000
2019-03-22,sz.002249,5.4300,5.5400,5.2300,5.4200,5.4900,40746400,219280848.5000
2019-03-25,sz.002249,5.2600,5.6000,5.2200,5.4000,5.4200,44418923,240887487.9900
2019-03-26,sz.002249,5.4200,5.6800,5.2500,5.2700,5.4000,56970722,311707075.9000
2019-03-27,sz.002249,5.6000,5.8000,5.5000,5.8000,5.2700,134436294,772554009.8000
2019-03-28,sz.002249,5.6000,5.6800,5.3200,5.3700,5.8000,79113754,435726209.1300
2019-03-29,sz.002249,5.3600,5.5800,5.2000,5.4900,5.3700,53795686,291331434.1400
2019-04-01,sz.002249,5.4600,5.7700,5.3800,5.6000,5.4900,80999977,455548886.4200
2019-04-02,sz.002249,5.5900,5.9800,5.4900,5.7400,5.6000,98072803,562559589.9600
2019-04-03,sz.002249,5.6700,5.8000,5.5000,5.6900,5.7400,55364097,313927498.7500
2019-04-04,sz.002249,5.7500,6.1100,5.6600,5.9800,5.6900,88735356,522003702.6700
2019-04-08,sz.002249,5.9500,6.2200,5.7800,6.1600,5.9800,92351871,555261610.3200
2019-04-09,sz.002249,6.0300,6.1400,5.8800,6.0100,6.1600,61909262,371211091.3900
2019-04-10,sz.002249,5.9100,6.1200,5.8200,5.8800,6.0100,53139649,317366071.7500
2019-04-11,sz.002249,5.8200,5.9600,5.6500,5.6600,5.8800,48770100,282477498.2200
2019-04-12,sz.002249,5.7500,6.1500,5.6800,5.9400,5.6600,66624392,394273672.1700
2019-04-15,sz.002249,6.0000,6.1300,5.8200,5.8900,5.9400,53993075,321943264.0800
2019-04-16,sz.002249,5.8100,6.0900,5.7500,6.0900,5.8900,57808450,345415140.8600
2019-04-17,sz.002249,6.1100,6.6600,6.0400,6.5300,6.0900,108240356,691535180.5700
2019-04-18,sz.002249,6.4300,6.5800,6.2600,6.3600,6.5300,74759149,478167604.2600
2019-04-19,sz.002249,6.2600,7.0000,6.2300,7.0000,6.3600,140644738,958331258.3300
2019-04-22,sz.002249,7.1400,7.4500,6.6500,7.1500,7.0000,146891308,1027800706.2400
2019-04-23,sz.002249,7.0100,7.0900,6.5000,6.6600,7.1500,79998796,546876738.1700
2019-04-24,sz.002249,6.8200,7.1200,6.7100,6.9300,6.6600,64917174,447825281.4100
2019-04-25,sz.002249,6.8500,6.8500,6.2400,6.2500,6.9300,83371120,542058869.4900
2019-04-26,sz.002249,6.1700,6.4100,6.1300,6.1500,6.2500,43220057,270039382.5700
2019-04-29,sz.002249,6.2500,6.3300,5.5500,5.6100,6.1500,73658212,431728730.8900
2019-04-30,sz.002249,5.6200,5.7400,5.5000,5.6200,5.6100,38697856,218171648.5100
2019-05-06,sz.002249,5.3000,5.3300,5.0600,5.0600,5.6200,34938600,180498299.0000
2019-05-07,sz.002249,4.5500,4.8900,4.5500,4.6300,5.0600,78954859,368543053.1300
2019-05-08,sz.002249,4.4000,4.6600,4.2900,4.4600,4.6300,45343329,202385211.8200
2019-05-09,sz.002249,4.4000,4.6300,4.3900,4.5200,4.4600,37417892,169812607.6200
2019-05-10,sz.002249,4.6100,4.6900,4.3000,4.6700,4.5200,47439862,218271560.8400
2019-05-13,sz.002249,4.6000,4.6200,4.4400,4.5500,4.6700,26432276,119952414.8600
2019-05-14,sz.002249,4.4900,4.5500,4.4100,4.4400,4.5500,25677606,115063893.1400
2019-05-15,sz.002249,4.5300,4.6800,4.4600,4.6500,4.4400,39210189,180072849.0100
2019-05-16,sz.002249,4.7000,4.9800,4.6500,4.8800,4.6500,53744751,260466128.8900
2019-05-17,sz.002249,4.8200,4.9300,4.5100,4.5500,4.8800,38593085,181945099.8600
2019-05-20,sz.002249,4.4800,4.5600,4.2300,4.4900,4.5500,30778770,135681843.6500
2019-05-21,sz.002249,4.5400,4.8300,4.4800,4.7300,4.4900,38846242,180697517.9400
2019-05-22,sz.002249,4.7000,4.7300,4.5300,4.5800,4.7300,26451047,122284665.0100
2019-05-23,sz.002249,4.4900,4.6500,4.4400,4.5000,4.5800,21137895,96175842.7000
2019-05-24,sz.002249,4.5000,4.6500,4.4700,4.5700,4.5000,21989628,100347728.4200
2019-05-27,sz.002249,4.5800,4.6900,4.4100,4.6700,4.5700,26097589,119502704.3600
2019-05-28,sz.002249,4.6300,4.7800,4.6000,4.6200,4.6700,26224425,122827240.2000
2019-05-29,sz.002249,4.6100,4.7300,4.6000,4.6900,4.6200,22669909,105674042.8500
2019-05-30,sz.002249,4.6400,4.6400,4.5000,4.5800,4.6900,18205000,82983264.0000
2019-05-31,sz.002249,4.5600,4.5700,4.3600,4.4200,4.5800,25523922,113794059.0800
2019-06-03,sz.002249,4.3300,4.4000,4.0000,4.1200,4.4200,33240311,139307828.3000
