date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603396,26.1000,26.7300,26.0700,26.1300,26.5600,276100,7285213.0000
2019-01-03,sh.603396,25.9100,26.4500,25.0100,25.0700,26.1300,503000,12904996.0000
2019-01-04,sh.603396,25.0700,25.8300,24.8200,25.7900,25.0700,626600,16008169.0000
2019-01-07,sh.603396,25.8300,26.5900,25.8300,26.5200,25.7900,495300,13093106.0000
2019-01-08,sh.603396,26.4000,26.8700,26.1800,26.5500,26.5200,435400,11539484.0000
2019-01-09,sh.603396,26.5500,26.9100,26.3000,26.3200,26.5500,555800,14813463.0000
2019-01-10,sh.603396,26.1800,27.4800,26.1800,26.8000,26.3200,924000,24887584.0000
2019-01-11,sh.603396,26.8600,26.9800,26.4300,26.7800,26.8000,773900,20609651.0000
2019-01-14,sh.603396,27.0500,27.0500,25.6500,25.6800,26.7800,982300,25724482.0000
2019-01-15,sh.603396,25.5000,26.1500,25.5000,26.0800,25.6800,635000,16452605.0000
2019-01-16,sh.603396,26.0800,26.5900,26.0800,26.3000,26.0800,517500,13596999.0000
2019-01-17,sh.603396,26.3000,26.3400,25.6600,25.8400,26.3000,368500,9574301.0000
2019-01-18,sh.603396,25.7200,26.1000,25.7000,26.0400,25.8400,412000,10651883.0000
2019-01-21,sh.603396,25.9000,26.6000,25.9000,26.4800,26.0400,656707,17295437.0000
2019-01-22,sh.603396,26.2100,26.7800,26.1700,26.5200,26.4800,732962,19445962.0000
2019-01-23,sh.603396,26.5000,27.3700,26.3100,27.1700,26.5200,1186731,32057630.0000
2019-01-24,sh.603396,27.1000,27.7700,26.9000,27.5600,27.1700,1020300,27888359.0000
2019-01-25,sh.603396,27.2800,27.7000,26.9500,27.4600,27.5600,1192307,32573306.0000
2019-01-28,sh.603396,27.6000,27.6700,26.7400,27.0900,27.4600,703599,19068938.0000
2019-01-29,sh.603396,27.4900,27.4900,25.4000,26.0000,27.0900,985000,25689054.0000
2019-01-30,sh.603396,25.7000,28.3000,25.6000,26.6200,26.0000,1365599,36802800.0000
2019-01-31,sh.603396,26.1400,26.5800,24.5600,24.8800,26.6200,1525899,38973527.0000
2019-02-01,sh.603396,25.0100,25.7600,24.8700,25.5200,24.8800,648800,16505836.0000
2019-02-11,sh.603396,25.5800,28.0100,25.3100,27.8900,25.5200,1772200,47874582.0000
2019-02-12,sh.603396,27.5400,28.9200,27.5400,28.4500,27.8900,2231081,63562729.0000
2019-02-13,sh.603396,28.5100,30.3300,28.5100,30.1900,28.4500,2845579,84085831.0000
2019-02-14,sh.603396,30.3200,31.3500,29.6000,30.9100,30.1900,2324014,71440707.0000
2019-02-15,sh.603396,31.1900,33.6800,30.6800,32.3200,30.9100,2594214,84137835.0000
2019-02-18,sh.603396,32.4000,35.0000,32.3300,34.7900,32.3200,2886250,98303076.0000
2019-02-19,sh.603396,35.7900,36.1800,33.8600,35.0300,34.7900,2794310,97507437.0000
2019-02-20,sh.603396,35.5000,38.5300,35.4000,38.5300,35.0300,3105332,115209621.0000
2019-02-21,sh.603396,39.0000,39.0500,37.0300,37.5100,38.5300,1779031,67418939.0000
2019-02-22,sh.603396,38.0100,38.8000,36.7400,37.5200,37.5100,2940881,111568754.0000
2019-02-25,sh.603396,38.7000,41.2700,38.7000,41.2700,37.5200,2065302,84177554.0000
2019-02-26,sh.603396,41.0800,45.2000,41.0600,42.6500,41.2700,2104981,92085638.0000
2019-02-27,sh.603396,43.6200,45.3900,39.0600,41.7000,42.6500,3069044,127020795.0000
2019-02-28,sh.603396,43.3000,43.4200,41.0400,41.7000,41.7000,1216423,50957394.0000
2019-03-01,sh.603396,41.9800,42.3100,40.1900,41.7000,41.7000,1168243,48482407.0000
2019-03-04,sh.603396,43.1000,45.1600,41.4900,42.3000,41.7000,2449649,106164522.0000
2019-03-05,sh.603396,43.0000,43.6600,42.0000,42.9300,42.3000,1103037,47262541.0000
2019-03-06,sh.603396,42.7700,43.4300,40.4300,42.3300,42.9300,2022552,84895079.0000
2019-03-07,sh.603396,42.0600,42.7500,41.1800,41.6000,42.3300,1540292,64478585.0000
2019-03-08,sh.603396,40.4200,41.9800,38.5000,39.9900,41.6000,1515142,61468750.0000
2019-03-11,sh.603396,40.4000,43.9900,40.4000,43.9900,39.9900,2297251,97869042.0000
2019-03-12,sh.603396,47.0000,48.3900,45.6500,48.3900,43.9900,3209886,153967760.0000
2019-03-13,sh.603396,49.3800,49.6900,46.1800,47.0100,48.3900,2113787,101774264.0000
2019-03-14,sh.603396,47.4700,48.4200,44.6800,44.9000,47.0100,1873113,85795543.0000
2019-03-15,sh.603396,45.0000,46.9500,43.0000,43.1900,44.9000,1516953,67262310.0000
2019-03-18,sh.603396,43.4200,44.7500,42.1000,44.5400,43.1900,2230679,97340360.0000
2019-03-19,sh.603396,44.0200,45.3400,43.9300,44.9400,44.5400,1315194,58736597.0000
2019-03-20,sh.603396,45.0000,45.5000,42.9000,43.9900,44.9400,1291737,57073315.0000
2019-03-21,sh.603396,43.6100,45.4500,43.6100,44.7400,43.9900,974756,43764783.0000
2019-03-22,sh.603396,45.5000,46.4600,44.9100,45.7800,44.7400,1608179,73367964.0000
2019-03-25,sh.603396,45.7800,46.5000,42.9500,43.9200,45.7800,1206089,53111954.0000
2019-03-26,sh.603396,44.4500,44.9100,42.2300,43.4800,43.9200,1101550,47784268.0000
2019-03-27,sh.603396,43.2200,43.3800,41.6000,41.7900,43.4800,905994,38210887.0000
2019-03-28,sh.603396,41.6000,42.9900,41.1700,41.9100,41.7900,655038,27593551.0000
2019-03-29,sh.603396,41.5100,42.8000,39.7000,42.0000,41.9100,1323095,55228081.0000
2019-04-01,sh.603396,43.3100,45.4400,42.5900,44.6900,42.0000,1719285,75857383.0000
2019-04-02,sh.603396,46.5500,46.8700,43.6500,44.1500,44.6900,1557775,70567102.0000
2019-04-03,sh.603396,44.1200,44.8400,41.9000,42.9800,44.1500,1570182,67624357.0000
2019-04-04,sh.603396,42.7900,43.6000,41.0000,42.2900,42.9800,1722694,72834726.0000
2019-04-08,sh.603396,41.2700,42.7500,40.2800,40.6900,42.2900,1552984,64500475.0000
2019-04-09,sh.603396,40.9000,41.9900,40.2800,40.6800,40.6900,1149499,47152113.0000
2019-04-10,sh.603396,41.1000,41.3000,40.1100,40.6100,40.6800,765190,31254187.0000
2019-04-11,sh.603396,40.6100,41.0700,38.8000,39.6500,40.6100,1061768,42179846.0000
2019-04-12,sh.603396,40.0000,40.6000,39.1500,40.2600,39.6500,1122668,44900899.0000
2019-04-15,sh.603396,40.4100,40.5000,36.9900,37.2200,40.2600,1493605,57797770.0000
2019-04-16,sh.603396,38.0500,38.9500,37.2300,38.6800,37.2200,2133211,81228918.0000
2019-04-17,sh.603396,38.7000,39.9000,38.1900,39.1800,38.6800,1586097,62282378.0000
2019-04-18,sh.603396,39.2300,40.4100,38.8000,38.9700,39.1800,1102144,43489205.0000
2019-04-19,sh.603396,39.5800,39.5800,37.5800,38.1400,38.9700,1644550,63105636.0000
2019-04-22,sh.603396,38.9400,40.5200,38.1600,39.7600,38.1400,1896142,75331335.0000
2019-04-23,sh.603396,39.0000,39.0000,36.5500,36.6000,39.7600,2176767,81371788.0000
2019-04-24,sh.603396,37.0000,38.7000,37.0000,38.1400,36.6000,2164780,81878637.0000
2019-04-25,sh.603396,38.3300,39.8000,36.3700,36.8600,38.1400,2130728,82120856.0000
2019-04-26,sh.603396,37.0100,38.2800,36.7100,37.0100,36.8600,1150194,43259469.0000
2019-04-29,sh.603396,37.2000,37.8400,33.8500,34.6000,37.0100,2023590,71249641.0000
2019-04-30,sh.603396,34.6800,36.2800,34.6800,36.0600,34.6000,1539422,54895571.0000
2019-05-06,sh.603396,35.0800,35.3700,32.4500,32.4800,36.0600,2452978,81716131.0000
2019-05-07,sh.603396,33.0100,35.3000,32.8400,35.0800,32.4800,2487324,85468076.0000
2019-05-08,sh.603396,34.9700,36.7200,34.2000,35.9300,35.0800,1826474,65410341.0000
2019-05-09,sh.603396,35.9300,36.4100,34.0000,34.3100,35.9300,1123974,39236686.0000
2019-05-10,sh.603396,34.3800,36.7100,34.3000,36.1500,34.3100,2069411,73767041.0000
2019-05-13,sh.603396,35.9200,35.9600,34.8000,35.5200,36.1500,1815656,64346410.0000
2019-05-14,sh.603396,35.3600,35.9900,34.6200,35.3000,35.5200,1134355,40267631.0000
2019-05-15,sh.603396,35.9000,35.9500,35.2000,35.7700,35.3000,1249745,44489016.0000
2019-05-16,sh.603396,35.0900,35.0900,33.6300,34.0000,35.7700,1963779,66943915.0000
2019-05-17,sh.603396,34.2000,34.5500,31.8600,31.9500,34.0000,1733760,57386158.0000
2019-05-20,sh.603396,32.1800,32.2300,30.2200,31.1000,31.9500,1804249,56017363.0000
2019-05-21,sh.603396,31.1300,31.7300,30.7200,30.8700,31.1000,1367337,42523945.0000
2019-05-22,sh.603396,30.9800,31.6900,30.6000,31.0600,30.8700,1250630,38937421.0000
2019-05-23,sh.603396,30.6000,30.8000,28.3000,29.9400,31.0600,2029965,60422665.0000
2019-05-24,sh.603396,30.0600,30.5000,29.2000,29.3100,29.9400,1196963,35623024.0000
2019-05-27,sh.603396,30.0600,30.4500,29.4000,30.0000,29.3100,1682661,50543809.0000
2019-05-28,sh.603396,30.4000,31.4800,30.4000,30.8800,30.0000,1875430,58111217.0000
2019-05-29,sh.603396,30.8800,31.0200,30.0600,30.5700,30.8800,1351660,41395478.0000
2019-05-30,sh.603396,30.9400,30.9500,28.9200,29.4700,30.5700,1693500,50182415.0000
2019-05-31,sh.603396,29.9900,32.4200,29.9900,32.4200,29.4700,3485055,110043197.0000
2019-06-03,sh.603396,32.8500,33.7000,30.7100,30.7100,32.4200,4172326,134502547.0000
2019-06-04,sh.603396,31.0500,31.0900,29.7600,30.0500,30.7100,2452534,73836355.0000
2019-06-05,sh.603396,30.3000,30.5900,29.1600,29.3000,30.0500,1859231,55231723.0000
2019-06-06,sh.603396,29.5200,29.7800,29.1100,29.3500,29.3000,1173634,34468538.0000
2019-06-10,sh.603396,29.6400,29.6400,28.9100,29.1500,29.3500,1412264,41328455.0000
2019-06-11,sh.603396,29.0100,30.4600,28.9200,30.1400,29.1500,2231226,66515184.0000
2019-06-12,sh.603396,30.0100,30.7800,30.0100,30.3400,30.1400,1537607,46615366.0000
2019-06-13,sh.603396,30.4300,31.6500,30.0600,31.5000,30.3400,2417459,74957970.0000
2019-06-14,sh.603396,31.3000,31.3000,29.3800,29.6200,31.5000,2075469,62902451.0000
2019-06-17,sh.603396,29.7700,30.1500,29.0700,29.7900,29.6200,937473,27880825.0000
2019-06-18,sh.603396,29.7700,30.4700,29.5400,30.4700,29.7900,1126874,34003427.0000
2019-06-19,sh.603396,31.2600,31.2800,30.3200,30.3500,30.4700,1550700,47618950.0000
2019-06-20,sh.603396,30.3500,30.9800,30.1600,30.7100,30.3500,1348300,41229831.0000
2019-06-21,sh.603396,30.7800,31.9200,30.7500,31.7000,30.7100,2379879,74966415.0000
2019-06-24,sh.603396,32.3200,32.3900,31.2500,31.7200,31.7000,1743384,55397196.0000
2019-06-25,sh.603396,32.0500,32.1900,31.2000,31.2000,31.7200,1977365,62400044.0000
2019-06-26,sh.603396,31.4000,31.5700,31.1000,31.4400,31.2000,1039986,32604073.0000
2019-06-27,sh.603396,31.6500,31.6500,30.9800,31.1100,31.4400,1274772,39871330.0000
2019-06-28,sh.603396,22.2200,22.4000,21.5600,21.9900,21.9800,1478126,32428082.0000
2019-07-01,sh.603396,22.2200,22.6700,22.0500,22.6000,21.9900,3355562,75105457.0000
2019-07-02,sh.603396,22.5000,22.5000,21.8200,21.9800,22.6000,2703695,59789921.0000
2019-07-03,sh.603396,21.8100,22.0300,21.2500,21.3500,21.9800,1889152,40798566.0000
2019-07-04,sh.603396,21.4400,21.8300,21.2200,21.3800,21.3500,1272399,27386452.0000
2019-07-05,sh.603396,21.5200,21.6400,21.2200,21.5600,21.3800,932548,20021014.0000
2019-07-08,sh.603396,21.6000,21.6000,20.5200,20.6200,21.5600,1606440,33563425.0000
2019-07-09,sh.603396,20.5100,20.9000,20.3600,20.6200,20.6200,789170,16248896.0000
2019-07-10,sh.603396,20.6600,20.7900,20.4700,20.6200,20.6200,812874,16745722.0000
2019-07-11,sh.603396,20.6300,20.7800,20.2600,20.4100,20.6200,813360,16694184.0000
2019-07-12,sh.603396,20.4100,20.6700,19.9800,20.0800,20.4100,1589920,32080055.0000
2019-07-15,sh.603396,20.0200,20.3000,19.5400,20.1500,20.0800,1520280,30371596.0000
2019-07-16,sh.603396,20.1800,20.5500,20.1000,20.4000,20.1500,1420044,28937045.0000
2019-07-17,sh.603396,20.4000,20.4900,20.1600,20.2800,20.4000,1037244,21080023.0000
2019-07-18,sh.603396,20.2900,20.4400,19.8100,19.8700,20.2800,1166682,23316973.0000
2019-07-19,sh.603396,19.8900,20.4000,19.8100,20.1700,19.8700,1144250,23052731.0000
2019-07-22,sh.603396,20.1800,20.3700,19.2500,19.4200,20.1700,1246698,24422358.0000
2019-07-23,sh.603396,19.4900,19.7400,19.3300,19.5500,19.4200,748348,14601767.0000
2019-07-24,sh.603396,19.5800,20.0800,19.5600,19.9100,19.5500,1126734,22420991.0000
2019-07-25,sh.603396,19.9000,19.9600,19.1700,19.9400,19.9100,1141920,22591880.0000
2019-07-26,sh.603396,19.9000,19.9000,19.5600,19.6600,19.9400,883360,17399342.0000
2019-07-29,sh.603396,19.6800,20.3500,19.6600,20.3500,19.6600,2050146,41227691.0000
2019-07-30,sh.603396,20.4300,20.7700,20.0900,20.5600,20.3500,2053869,42123183.0000
2019-07-31,sh.603396,20.3600,20.5000,20.1400,20.2500,20.5600,1044633,21194406.0000
2019-08-01,sh.603396,20.1800,20.3400,20.0200,20.1300,20.2500,1148380,23158520.0000
2019-08-02,sh.603396,19.5100,20.5800,19.5000,20.5400,20.1300,1723340,34786016.0000
2019-08-05,sh.603396,20.7800,20.9200,19.6800,19.7200,20.5400,2422766,48798246.0000
2019-08-06,sh.603396,19.2900,19.4200,18.2100,18.7300,19.7200,2139337,40224387.0000
2019-08-07,sh.603396,18.8000,19.0400,18.6200,18.6600,18.7300,977122,18376127.0000
2019-08-08,sh.603396,18.8200,19.1600,18.6700,18.9700,18.6600,1262288,23865547.0000
2019-08-09,sh.603396,19.0600,19.3400,18.7600,18.9400,18.9700,1017340,19373743.0000
2019-08-12,sh.603396,18.7300,19.2300,18.7300,19.2200,18.9400,748268,14247082.0000
2019-08-13,sh.603396,19.1000,19.2500,18.8600,18.9900,19.2200,638620,12143219.0000
2019-08-14,sh.603396,19.2300,19.4500,18.9900,19.0200,18.9900,1123106,21605773.0000
2019-08-15,sh.603396,18.5800,18.8700,18.5000,18.7700,19.0200,1110531,20721606.0000
2019-08-16,sh.603396,18.8200,19.0100,18.6600,18.8000,18.7700,1468241,27715894.0000
2019-08-19,sh.603396,18.9000,19.5500,18.8500,19.5100,18.8000,1689506,32487809.0000
2019-08-20,sh.603396,19.5100,20.2200,19.4500,19.8300,19.5100,2082066,41176788.0000
2019-08-21,sh.603396,19.7300,21.3000,19.7300,20.9000,19.8300,3983922,82230553.0000
2019-08-22,sh.603396,20.4800,20.6000,19.9500,20.0500,20.9000,4131649,83716315.0000
2019-08-23,sh.603396,20.0500,20.2400,19.6100,19.6600,20.0500,2046240,40485909.0000
2019-08-26,sh.603396,19.1000,19.3800,18.9100,19.2000,19.6600,1837927,35164146.0000
2019-08-27,sh.603396,19.3000,19.6200,19.1300,19.3300,19.2000,1813858,35101063.0000
2019-08-28,sh.603396,19.3100,19.9500,18.9400,18.9400,19.3300,2345838,45209007.0000
2019-08-29,sh.603396,18.9400,19.1800,18.8200,18.9800,18.9400,1497160,28450541.0000
2019-08-30,sh.603396,19.1800,19.3000,18.7600,18.8700,18.9800,1623278,30904550.0000
2019-09-02,sh.603396,18.9200,19.7800,18.9200,19.2500,18.8700,1690965,32461228.0000
2019-09-03,sh.603396,19.3700,19.4500,19.1600,19.2500,19.2500,1329817,25620252.0000
2019-09-04,sh.603396,19.2000,19.3900,18.9600,19.2100,19.2500,1794827,34357972.0000
2019-09-05,sh.603396,19.2800,19.9000,19.2100,19.8600,19.2100,3790646,74438464.0000
2019-09-06,sh.603396,19.8900,19.9000,19.5800,19.7300,19.8600,1634647,32188347.0000
2019-09-09,sh.603396,19.7800,20.7700,19.7000,20.7200,19.7300,4114140,83506874.0000
2019-09-10,sh.603396,20.6900,21.1800,20.3500,20.8000,20.7200,2579909,53381964.0000
2019-09-11,sh.603396,20.9800,21.0100,20.5000,20.5200,20.8000,1761855,36523262.0000
2019-09-12,sh.603396,20.7100,21.0700,20.5900,20.9500,20.5200,2193468,45736468.0000
2019-09-16,sh.603396,21.2200,21.6700,21.0000,21.0700,20.9500,3294623,70225228.0000
