date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601908,3.1400,3.1700,3.0400,3.0600,3.1500,8187183,25265804.0000
2019-01-03,sh.601908,3.0800,3.1000,2.9900,3.0100,3.0600,6677700,20283296.0000
2019-01-04,sh.601908,2.9800,3.1100,2.9600,3.1000,3.0100,8627587,26388651.0000
2019-01-07,sh.601908,3.1600,3.1700,3.1100,3.1400,3.1000,12756653,40146037.0000
2019-01-08,sh.601908,3.1400,3.3700,3.1400,3.3100,3.1400,20005553,65110376.0000
2019-01-09,sh.601908,3.2900,3.3300,3.2100,3.2700,3.3100,16726099,54669176.0000
2019-01-10,sh.601908,3.2500,3.3600,3.2500,3.3300,3.2700,13901184,46269583.0000
2019-01-11,sh.601908,3.2900,3.3900,3.2800,3.3800,3.3300,13497468,45091089.0000
2019-01-14,sh.601908,3.4000,3.5400,3.3800,3.4300,3.3800,19793346,68563568.0000
2019-01-15,sh.601908,3.4300,3.5000,3.4000,3.4500,3.4300,11141668,38325571.0000
2019-01-16,sh.601908,3.4400,3.4900,3.4100,3.4700,3.4500,9332863,32318120.0000
2019-01-17,sh.601908,3.4700,3.4700,3.3500,3.3800,3.4700,12558400,42601837.0000
2019-01-18,sh.601908,3.4100,3.4600,3.3800,3.4100,3.3800,8618009,29435698.0000
2019-01-21,sh.601908,3.4300,3.4600,3.4000,3.4000,3.4100,6896113,23672549.0000
2019-01-22,sh.601908,3.4200,3.4600,3.3200,3.3600,3.4000,6745933,22789960.0000
2019-01-23,sh.601908,3.3800,3.3900,3.3400,3.3600,3.3600,4307679,14478478.0000
2019-01-24,sh.601908,3.3900,3.4800,3.3500,3.4100,3.3600,8764604,30003485.0000
2019-01-25,sh.601908,3.3900,3.4200,3.3500,3.3500,3.4100,7911824,26726531.0000
2019-01-28,sh.601908,3.3500,3.4100,3.3400,3.3600,3.3500,6322400,21378329.0000
2019-01-29,sh.601908,3.3600,3.3700,3.1500,3.2600,3.3600,11037226,35781824.0000
2019-01-30,sh.601908,3.2600,3.5900,3.2000,3.5900,3.2600,50565413,179152861.0000
2019-01-31,sh.601908,3.6500,3.7400,3.2500,3.2800,3.5900,59408267,205725490.0000
2019-02-01,sh.601908,3.1800,3.6100,3.1800,3.6100,3.2800,37907212,130624670.0000
2019-02-11,sh.601908,3.7200,3.9700,3.6700,3.9700,3.6100,85344677,330484760.0000
2019-02-12,sh.601908,3.9600,4.0500,3.8400,3.9300,3.9700,76491988,299762645.0000
2019-02-13,sh.601908,3.8500,3.9200,3.8000,3.8800,3.9300,55243335,213820510.0000
2019-02-14,sh.601908,3.8800,4.0800,3.8700,3.9100,3.8800,55968554,220658399.0000
2019-02-15,sh.601908,3.9800,4.0600,3.8800,3.9000,3.9100,43934814,173779186.0000
2019-02-18,sh.601908,3.9000,4.2700,3.8500,4.1600,3.9000,67787722,274423572.0000
2019-02-19,sh.601908,4.1900,4.1900,3.9800,4.0400,4.1600,54078919,219993416.0000
2019-02-20,sh.601908,4.0000,4.0700,3.9600,4.0500,4.0400,24460400,98204811.0000
2019-02-21,sh.601908,4.0200,4.0600,3.8800,3.8900,4.0500,40939859,163095904.0000
2019-02-22,sh.601908,3.8900,3.9500,3.8300,3.9500,3.8900,35439412,137688786.0000
2019-02-25,sh.601908,3.9800,4.2700,3.9600,4.2600,3.9500,63702831,260698080.0000
2019-02-26,sh.601908,4.2500,4.2500,4.0900,4.1700,4.2600,46365700,192679577.0000
2019-02-27,sh.601908,4.1300,4.1700,4.0700,4.1000,4.1700,27521170,113199233.0000
2019-02-28,sh.601908,4.1200,4.1700,4.0800,4.1100,4.1000,16895332,69522824.0000
2019-03-01,sh.601908,4.1300,4.1400,4.0700,4.1100,4.1100,16479992,67488905.0000
2019-03-04,sh.601908,4.1200,4.2200,4.1100,4.1200,4.1100,32426204,134633047.0000
2019-03-05,sh.601908,4.0900,4.2600,4.0800,4.2400,4.1200,33951350,141348163.0000
2019-03-06,sh.601908,4.2600,4.3400,4.1400,4.2900,4.2400,33694112,142480960.0000
2019-03-07,sh.601908,4.3300,4.4900,4.2800,4.4000,4.2900,42867929,188282825.0000
2019-03-08,sh.601908,4.3100,4.5500,4.2000,4.2200,4.4000,52360684,227648249.0000
2019-03-11,sh.601908,4.2500,4.4500,4.1900,4.4400,4.2200,36681925,158815370.0000
2019-03-12,sh.601908,4.5000,4.5600,4.3700,4.4300,4.4400,36784559,163886873.0000
2019-03-13,sh.601908,4.4500,4.4700,4.3300,4.3900,4.4300,28202716,123706156.0000
2019-03-14,sh.601908,4.3600,4.3700,4.1400,4.2100,4.3900,30080072,126821214.0000
2019-03-15,sh.601908,4.2100,4.2600,4.1500,4.1800,4.2100,20547921,86511937.0000
2019-03-18,sh.601908,4.2400,4.3000,4.1700,4.2900,4.1800,18816825,79644850.0000
2019-03-19,sh.601908,4.2900,4.3200,4.2400,4.3000,4.2900,13790881,59074630.0000
2019-03-20,sh.601908,4.3000,4.3200,4.1900,4.2500,4.3000,15252377,64847266.0000
2019-03-21,sh.601908,4.2500,4.3500,4.2200,4.3100,4.2500,19549870,84091661.0000
2019-03-22,sh.601908,4.3300,4.3300,4.2100,4.3000,4.3100,16012037,68333529.0000
2019-03-25,sh.601908,4.1100,4.3300,4.1100,4.2500,4.3000,17184577,73191486.0000
2019-03-26,sh.601908,4.2700,4.3200,4.1000,4.1100,4.2500,17795686,74290860.0000
2019-03-27,sh.601908,4.1300,4.1600,4.0300,4.1100,4.1100,10508872,42978149.0000
2019-03-28,sh.601908,4.0900,4.1200,4.0200,4.0300,4.1100,10739375,43642500.0000
2019-03-29,sh.601908,4.0300,4.1800,3.9500,4.1600,4.0300,15849877,64648098.0000
2019-04-01,sh.601908,4.1600,4.3300,4.1500,4.3300,4.1600,18857962,80671617.0000
2019-04-02,sh.601908,4.3500,4.4000,4.3100,4.3700,4.3300,16431899,71678250.0000
2019-04-03,sh.601908,4.3600,4.4400,4.3200,4.4100,4.3700,15497515,68210424.0000
2019-04-04,sh.601908,4.4200,4.5300,4.4000,4.5000,4.4100,24288897,108707137.0000
2019-04-08,sh.601908,4.4800,4.5400,4.3100,4.3600,4.5000,26161671,115132387.0000
2019-04-09,sh.601908,4.3600,4.4800,4.3500,4.4400,4.3600,16900181,74611483.0000
2019-04-10,sh.601908,4.4400,4.4900,4.3600,4.4700,4.4400,14935441,66299578.0000
2019-04-11,sh.601908,4.4700,4.5600,4.3600,4.4100,4.4700,21964913,98139047.0000
2019-04-12,sh.601908,4.3800,4.4800,4.3800,4.4200,4.4100,12287465,54390125.0000
2019-04-15,sh.601908,4.4500,4.5100,4.3200,4.3400,4.4200,15727134,69644706.0000
2019-04-16,sh.601908,4.2900,4.4300,4.2200,4.4300,4.3400,15309400,66304423.0000
2019-04-17,sh.601908,4.4500,4.6500,4.4100,4.6000,4.4300,32965981,150434619.0000
2019-04-18,sh.601908,4.5900,4.8100,4.5200,4.7600,4.6000,29202948,137150702.0000
2019-04-19,sh.601908,4.7200,4.8000,4.5900,4.7700,4.7600,23480388,109773695.0000
2019-04-22,sh.601908,4.7200,4.7900,4.5700,4.5900,4.7700,16537719,77145037.0000
2019-04-23,sh.601908,4.5800,4.6300,4.4500,4.5000,4.5900,12517000,56750069.0000
2019-04-24,sh.601908,4.4900,4.5400,4.4500,4.5200,4.5000,8217487,36953724.0000
2019-04-25,sh.601908,4.4900,4.4900,4.2300,4.2400,4.5200,15944094,69471317.0000
2019-04-26,sh.601908,4.1000,4.1000,3.8200,3.8200,4.2400,32457909,128242678.0000
2019-04-29,sh.601908,3.8200,3.8500,3.6600,3.6600,3.8200,17528900,65399382.0000
2019-04-30,sh.601908,3.6900,3.7400,3.6200,3.6400,3.6600,11816600,43491109.0000
2019-05-06,sh.601908,3.5500,3.5800,3.4100,3.5000,3.6400,18352102,64102899.0000
2019-05-07,sh.601908,3.4900,3.5400,3.3600,3.5000,3.5000,15347611,52928998.0000
2019-05-08,sh.601908,3.4200,3.4900,3.3900,3.4600,3.5000,9966209,34336444.0000
2019-05-09,sh.601908,3.4200,3.4600,3.4100,3.4400,3.4600,7628358,26213532.0000
2019-05-10,sh.601908,3.4500,3.5200,3.3700,3.5100,3.4400,18357692,63623086.0000
2019-05-13,sh.601908,3.4700,3.4700,3.4000,3.4200,3.5100,9033563,30966626.0000
2019-05-14,sh.601908,3.3500,3.4000,3.2800,3.3200,3.4200,13404108,44634309.0000
2019-05-15,sh.601908,3.3500,3.6500,3.3500,3.6500,3.3200,14929063,54037746.0000
2019-05-16,sh.601908,4.0200,4.0200,4.0200,4.0200,3.6500,6638200,26685564.0000
2019-05-17,sh.601908,4.3900,4.3900,3.8000,3.8800,4.0200,88244045,368332050.0000
2019-05-20,sh.601908,3.5200,3.6700,3.4900,3.5700,3.8800,47714819,169108150.0000
2019-05-21,sh.601908,3.5100,3.7900,3.4600,3.6600,3.5700,38116398,138739747.0000
2019-05-22,sh.601908,3.7300,3.8900,3.6300,3.7500,3.6600,42276534,157758580.0000
2019-05-23,sh.601908,3.6300,3.6700,3.3800,3.4800,3.7500,33994034,120529925.0000
2019-05-24,sh.601908,3.4100,3.4900,3.3800,3.3900,3.4800,14776500,50500380.0000
2019-05-27,sh.601908,3.3900,3.6500,3.3400,3.5200,3.3900,20093871,69842933.0000
2019-05-28,sh.601908,3.4600,3.5100,3.4400,3.4600,3.5200,17315700,60154170.0000
2019-05-29,sh.601908,3.4600,3.6100,3.4600,3.5300,3.4600,22120515,78274685.0000
2019-05-30,sh.601908,3.5000,3.5000,3.3800,3.4500,3.5300,17671462,60406005.0000
2019-05-31,sh.601908,3.4900,3.6900,3.4500,3.5800,3.4500,31516351,112776573.0000
2019-06-03,sh.601908,3.5300,3.5400,3.4100,3.4400,3.5800,20223200,70036427.0000
2019-06-04,sh.601908,3.4400,3.4500,3.3600,3.4200,3.4400,11621506,39495680.0000
2019-06-05,sh.601908,3.4600,3.4800,3.3900,3.4100,3.4200,9538269,32807539.0000
2019-06-06,sh.601908,3.4200,3.4500,3.2500,3.2900,3.4100,14026900,46864934.0000
2019-06-10,sh.601908,3.3100,3.3300,3.2500,3.2700,3.2900,14735745,48349258.0000
2019-06-11,sh.601908,3.2600,3.4300,3.2400,3.4200,3.2700,17445574,58574116.0000
2019-06-12,sh.601908,3.4200,3.7600,3.4000,3.7600,3.4200,19635600,72420764.0000
2019-06-13,sh.601908,3.7500,4.1400,3.5100,3.8400,3.7600,80273165,310192736.0000
2019-06-14,sh.601908,3.7300,3.7300,3.5000,3.5400,3.8400,54161843,194718136.0000
2019-06-17,sh.601908,3.5400,3.5400,3.4100,3.4500,3.5400,21066900,72989583.0000
2019-06-18,sh.601908,3.4300,3.6100,3.3800,3.5100,3.4500,24889277,87166699.0000
2019-06-19,sh.601908,3.5500,3.6500,3.5100,3.5300,3.5100,23146616,82557025.0000
2019-06-20,sh.601908,3.5200,3.5900,3.4500,3.5800,3.5300,21554576,76300008.0000
2019-06-21,sh.601908,3.5800,3.6500,3.5600,3.6000,3.5800,24216704,87298307.0000
2019-06-24,sh.601908,3.6000,3.6700,3.5600,3.6500,3.6000,19041895,68977447.0000
2019-06-25,sh.601908,3.6300,3.6300,3.5100,3.5500,3.6500,13553719,48256897.0000
2019-06-26,sh.601908,3.5300,3.5800,3.5000,3.5500,3.5500,8640100,30637354.0000
2019-06-27,sh.601908,3.5600,3.6000,3.5500,3.5800,3.5500,8010802,28628761.0000
2019-06-28,sh.601908,3.5900,3.5900,3.4400,3.4900,3.5800,12279200,42970007.0000
2019-07-01,sh.601908,3.5300,3.5900,3.5300,3.5800,3.4900,12830424,45639828.0000
2019-07-02,sh.601908,3.5500,3.5800,3.5200,3.5400,3.5800,9758000,34578965.0000
2019-07-03,sh.601908,3.5400,3.5400,3.4600,3.4700,3.5400,8169760,28448701.0000
2019-07-04,sh.601908,3.4900,3.5000,3.4400,3.4500,3.4700,6817203,23590791.0000
2019-07-05,sh.601908,3.4700,3.7000,3.4600,3.5400,3.4500,21131717,75294305.0000
2019-07-08,sh.601908,3.5200,3.5200,3.3600,3.3800,3.5400,15450517,52595815.0000
2019-07-09,sh.601908,3.3700,3.4000,3.3500,3.3900,3.3800,5992405,20220705.0000
2019-07-10,sh.601908,3.4000,3.4000,3.3400,3.3600,3.3900,4445824,14947693.0000
2019-07-11,sh.601908,3.3700,3.4100,3.3300,3.3500,3.3600,5867940,19778466.0000
2019-07-12,sh.601908,3.3500,3.3800,3.3300,3.3600,3.3500,3567186,11982244.0000
2019-07-15,sh.601908,3.3500,3.4000,3.3200,3.4000,3.3600,6576333,22110429.0000
2019-07-16,sh.601908,3.3900,3.4200,3.3700,3.4100,3.4000,4794702,16298780.0000
2019-07-17,sh.601908,3.4100,3.4900,3.4000,3.4300,3.4100,7704726,26486116.0000
2019-07-18,sh.601908,3.4200,3.4300,3.3800,3.3800,3.4300,4514898,15364267.0000
2019-07-19,sh.601908,3.3800,3.4300,3.3700,3.3800,3.3800,3998800,13594679.0000
2019-07-22,sh.601908,3.3800,3.4000,3.2500,3.2700,3.3800,9133505,30066564.0000
2019-07-23,sh.601908,3.2600,3.3000,3.2600,3.3000,3.2700,3247202,10684377.0000
2019-07-24,sh.601908,3.3200,3.3600,3.3000,3.3400,3.3000,4506407,15048168.0000
2019-07-25,sh.601908,3.3400,3.3500,3.3200,3.3300,3.3400,3577100,11916092.0000
2019-07-26,sh.601908,3.3600,3.3600,3.3100,3.3300,3.3300,3435402,11462018.0000
2019-07-29,sh.601908,3.3400,3.4300,3.3200,3.3800,3.3300,7040075,23832438.0000
2019-07-30,sh.601908,3.3500,3.3800,3.3200,3.3600,3.3800,5565400,18683742.0000
2019-07-31,sh.601908,3.3600,3.3600,3.3000,3.3100,3.3600,4018900,13349400.0000
2019-08-01,sh.601908,3.3000,3.3300,3.2700,3.2900,3.3100,4098300,13489947.0000
2019-08-02,sh.601908,3.2500,3.2700,3.2100,3.2300,3.2900,6580300,21288600.0000
2019-08-05,sh.601908,3.2000,3.2500,3.1700,3.1800,3.2300,6105300,19558516.0000
2019-08-06,sh.601908,3.1500,3.1500,2.9800,3.0300,3.1800,10672600,32424880.0000
2019-08-07,sh.601908,3.0500,3.0900,3.0000,3.0300,3.0300,5341600,16219659.0000
2019-08-08,sh.601908,3.0500,3.0600,3.0300,3.0500,3.0300,4151479,12645692.0000
2019-08-09,sh.601908,3.0500,3.0800,3.0000,3.0300,3.0500,6033000,18334376.0000
2019-08-12,sh.601908,3.0600,3.0600,3.0100,3.0600,3.0300,3602900,10946779.0000
2019-08-13,sh.601908,3.0400,3.1200,3.0300,3.1100,3.0600,6015600,18470275.0000
2019-08-14,sh.601908,3.1800,3.2300,3.1400,3.1700,3.1100,7919254,25183132.0000
2019-08-15,sh.601908,3.0600,3.1600,3.0600,3.1600,3.1700,5463500,16999861.0000
2019-08-16,sh.601908,3.0900,3.1500,3.0600,3.1000,3.0900,5718400,17745127.0000
2019-08-19,sh.601908,3.1300,3.1800,3.1200,3.1600,3.1000,7158590,22567466.0000
2019-08-20,sh.601908,3.1700,3.2100,3.1600,3.1700,3.1600,4268300,13577795.0000
2019-08-21,sh.601908,3.1700,3.2700,3.1400,3.2400,3.1700,11246276,36262878.0000
2019-08-22,sh.601908,3.2300,3.2600,3.2000,3.2200,3.2400,5290472,17056788.0000
2019-08-23,sh.601908,3.2100,3.2400,3.1800,3.2000,3.2200,4701098,15070233.0000
2019-08-26,sh.601908,3.1500,3.1800,3.1100,3.1700,3.2000,4352300,13714118.0000
2019-08-27,sh.601908,3.1800,3.2600,3.1600,3.2200,3.1700,7106204,22880834.0000
2019-08-28,sh.601908,3.2000,3.2500,3.1800,3.2200,3.2200,5780400,18595914.0000
2019-08-29,sh.601908,3.2100,3.2500,3.2000,3.2200,3.2200,4813132,15520193.0000
2019-08-30,sh.601908,3.2200,3.2500,3.1100,3.1400,3.2200,12818497,40859251.0000
2019-09-02,sh.601908,3.1400,3.2200,3.1400,3.2000,3.1400,10161100,32422772.0000
2019-09-03,sh.601908,3.2000,3.2400,3.2000,3.2400,3.2000,8349900,26904582.0000
2019-09-04,sh.601908,3.2400,3.4100,3.2100,3.3300,3.2400,20561204,68047872.0000
2019-09-05,sh.601908,3.2500,3.3700,3.2300,3.3100,3.3300,21224792,70579160.0000
2019-09-06,sh.601908,3.3100,3.3400,3.2700,3.2900,3.3100,8536400,28169526.0000
2019-09-09,sh.601908,3.3300,3.3400,3.2900,3.3300,3.2900,9303206,30908529.0000
2019-09-10,sh.601908,3.3400,3.3800,3.3200,3.3600,3.3300,8769472,29323519.0000
2019-09-11,sh.601908,3.3500,3.3800,3.3000,3.3100,3.3600,13568712,45261918.0000
2019-09-12,sh.601908,3.3100,3.3500,3.2700,3.3300,3.3100,7904322,26271364.0000
2019-09-16,sh.601908,3.3500,3.3700,3.3100,3.3200,3.3300,7677000,25612071.0000
2019-09-17,sh.601908,3.3100,3.3200,3.1900,3.1900,3.3200,11858900,38432965.0000
2019-09-18,sh.601908,3.2100,3.2200,3.1500,3.1700,3.1900,6806900,21687697.0000
2019-09-19,sh.601908,3.1800,3.1800,3.1300,3.1800,3.1700,6429966,20305488.0000
2019-09-20,sh.601908,3.1800,3.2000,3.1600,3.1900,3.1800,6491034,20651753.0000
2019-09-23,sh.601908,3.1700,3.1900,3.1300,3.1700,3.1900,6097632,19222828.0000
2019-09-24,sh.601908,3.1700,3.1900,3.1400,3.1500,3.1700,6283516,19879703.0000
2019-09-25,sh.601908,3.1600,3.1600,3.0600,3.0700,3.1500,10196312,31552391.0000
2019-09-26,sh.601908,3.0800,3.0900,2.9900,3.0100,3.0700,11843700,35871135.0000
2019-09-27,sh.601908,3.0100,3.0500,2.9900,3.0500,3.0100,8499872,25683880.0000
2019-09-30,sh.601908,3.0300,3.0600,2.9900,3.0300,3.0500,7891202,23883712.0000
2019-10-08,sh.601908,3.0300,3.1400,3.0300,3.0400,3.0300,13290719,40874280.0000
2019-10-09,sh.601908,3.0500,3.0600,2.9800,3.0600,3.0400,11273431,34030245.0000
2019-10-10,sh.601908,3.0400,3.1300,3.0200,3.1200,3.0600,10236153,31703914.0000
2019-10-11,sh.601908,3.1400,3.1600,3.1100,3.1500,3.1200,11806520,36972439.0000
2019-10-14,sh.601908,3.1500,3.2200,3.1400,3.2100,3.1500,14256047,45387547.0000
2019-10-15,sh.601908,3.2000,3.2400,3.1800,3.2100,3.2100,13786127,44135349.0000
2019-10-16,sh.601908,3.2200,3.2400,3.1300,3.1500,3.2100,8876500,28154454.0000
2019-10-17,sh.601908,3.1400,3.1600,3.0800,3.1100,3.1500,7997122,24938592.0000
2019-10-18,sh.601908,3.1200,3.1300,3.0200,3.0300,3.1100,8129170,24899894.0000
2019-10-21,sh.601908,3.0500,3.0500,2.9800,3.0100,3.0300,9457900,28386280.0000
2019-10-22,sh.601908,3.0100,3.0200,2.9900,3.0200,3.0100,9411543,28323002.0000
2019-10-23,sh.601908,3.0200,3.0300,3.0000,3.0000,3.0200,7385109,22225691.0000
2019-10-24,sh.601908,3.0100,3.0300,2.9900,3.0200,3.0000,6121742,18426775.0000
2019-10-25,sh.601908,3.0100,3.0600,3.0000,3.0500,3.0200,4475916,13550740.0000
2019-10-28,sh.601908,3.0500,3.1100,3.0500,3.1100,3.0500,6096166,18805893.0000
2019-10-29,sh.601908,3.1000,3.1100,3.0500,3.0500,3.1100,5193522,15986304.0000
2019-10-30,sh.601908,3.0400,3.0700,3.0300,3.0400,3.0500,5230396,15976540.0000
2019-10-31,sh.601908,3.0500,3.0600,3.0000,3.0000,3.0400,5797500,17486238.0000
2019-11-01,sh.601908,3.0000,3.0300,2.9800,3.0100,3.0000,5934700,17835526.0000
2019-11-04,sh.601908,3.0300,3.0400,2.9900,3.0000,3.0100,6785498,20369870.0000
2019-11-05,sh.601908,3.0000,3.0100,2.9600,2.9900,3.0000,6250689,18645581.0000
2019-11-06,sh.601908,2.9900,2.9900,2.9400,2.9500,2.9900,5058600,14999292.0000
2019-11-07,sh.601908,2.9500,2.9900,2.9200,2.9700,2.9500,4022234,11888183.0000
2019-11-08,sh.601908,2.9700,2.9900,2.9200,2.9400,2.9700,4968780,14666722.0000
2019-11-11,sh.601908,2.9300,2.9500,2.8500,2.8600,2.9400,7117151,20464046.0000
2019-11-12,sh.601908,2.8600,2.8800,2.8300,2.8600,2.8600,3408173,9711841.0000
2019-11-13,sh.601908,2.8500,2.8600,2.8100,2.8200,2.8600,3980300,11247503.0000
2019-11-14,sh.601908,2.8200,2.8400,2.8100,2.8400,2.8200,3474958,9816533.0000
2019-11-15,sh.601908,2.8400,2.8400,2.8000,2.8100,2.8400,3478613,9819857.0000
2019-11-18,sh.601908,2.8100,2.8200,2.7800,2.8200,2.8100,3054806,8563408.0000
2019-11-19,sh.601908,2.8100,2.8600,2.8100,2.8600,2.8200,4748260,13482962.0000
2019-11-20,sh.601908,2.8600,2.8600,2.8200,2.8200,2.8600,3528600,10013960.0000
2019-11-21,sh.601908,2.8300,2.8400,2.8100,2.8400,2.8200,2734460,7739367.0000
2019-11-22,sh.601908,2.8300,3.0900,2.8300,2.9400,2.8400,20509355,61300654.0000
2019-11-25,sh.601908,2.9200,2.9400,2.8500,2.9400,2.9400,12551324,36282308.0000
2019-11-26,sh.601908,2.9500,2.9500,2.9000,2.9100,2.9400,4776144,13932956.0000
2019-11-27,sh.601908,2.9000,2.9200,2.8700,2.8800,2.9100,4744233,13706440.0000
2019-11-28,sh.601908,2.8800,2.8900,2.8200,2.8400,2.8800,6937467,19786323.0000
2019-11-29,sh.601908,2.8300,2.8700,2.8200,2.8600,2.8400,4811405,13673972.0000
2019-12-02,sh.601908,2.8600,2.8900,2.8500,2.8700,2.8600,4889167,14028452.0000
2019-12-03,sh.601908,2.8700,2.9000,2.8400,2.9000,2.8700,4662188,13369502.0000
2019-12-04,sh.601908,2.8900,2.9200,2.8700,2.9200,2.9000,4514145,13069719.0000
2019-12-05,sh.601908,2.9000,2.9500,2.8900,2.9200,2.9200,5902094,17210828.0000
2019-12-06,sh.601908,2.9200,2.9300,2.9100,2.9300,2.9200,2906400,8492810.0000
2019-12-09,sh.601908,2.9300,2.9700,2.9200,2.9500,2.9300,5075704,14968948.0000
2019-12-10,sh.601908,2.9800,2.9800,2.9300,2.9500,2.9500,4233100,12472917.0000
2019-12-11,sh.601908,2.9400,2.9600,2.9300,2.9500,2.9500,3871400,11402252.0000
2019-12-12,sh.601908,2.9400,2.9500,2.8800,2.9000,2.9500,4817220,14054832.0000
2019-12-13,sh.601908,2.9100,2.9300,2.8700,2.9300,2.9000,8834501,25656899.0000
2019-12-16,sh.601908,2.9300,2.9800,2.9100,2.9800,2.9300,9030479,26672092.0000
2019-12-17,sh.601908,2.9700,3.0300,2.9700,3.0100,2.9800,10610776,31805749.0000
2019-12-18,sh.601908,3.0100,3.0300,2.9800,3.0000,3.0100,9132881,27409569.0000
2019-12-19,sh.601908,2.9900,3.0600,2.9900,3.0500,3.0000,8491030,25659797.0000
2019-12-20,sh.601908,3.0500,3.0800,3.0000,3.0000,3.0500,9119851,27737555.0000
2019-12-23,sh.601908,3.0100,3.0400,2.9500,2.9600,3.0000,7768794,23315508.0000
2019-12-24,sh.601908,2.9500,2.9800,2.9300,2.9700,2.9600,6028600,17828788.0000
2019-12-25,sh.601908,2.9700,3.0100,2.9600,2.9800,2.9700,5631216,16806052.0000
2019-12-26,sh.601908,2.9700,3.0200,2.9700,3.0200,2.9800,7323512,21981667.0000
