date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600876,11.2000,11.2400,10.9700,11.0100,11.1200,1028915,11387147.0000
2019-01-03,sh.600876,11.0200,11.1900,10.9700,11.0200,11.0100,910645,10072565.0000
2019-01-04,sh.600876,10.9700,11.2600,10.7800,11.2600,11.0200,1430596,15855182.0000
2019-01-07,sh.600876,11.4000,11.5000,11.2700,11.4800,11.2600,1428344,16272436.0000
2019-01-08,sh.600876,11.4700,11.5500,11.3600,11.4100,11.4800,1261795,14476071.0000
2019-01-09,sh.600876,11.4700,11.6700,11.3900,11.3900,11.4100,1767801,20410815.0000
2019-01-10,sh.600876,11.2900,11.6100,11.2900,11.4600,11.3900,1359401,15572454.0000
2019-01-11,sh.600876,11.3700,11.6400,11.3700,11.6300,11.4600,1740725,20077049.0000
2019-01-14,sh.600876,11.6400,12.5000,11.5300,11.7400,11.6300,3016345,35767591.0000
2019-01-15,sh.600876,11.6000,12.0500,11.6000,11.8500,11.7400,2701504,32007712.0000
2019-01-16,sh.600876,11.7700,11.9200,11.6800,11.7000,11.8500,1645800,19365101.0000
2019-01-17,sh.600876,11.7000,11.8300,11.4900,11.5100,11.7000,1570224,18255345.0000
2019-01-18,sh.600876,11.4400,11.6400,11.4400,11.5500,11.5100,1076110,12405806.0000
2019-01-21,sh.600876,11.5800,11.6900,11.4900,11.5200,11.5500,1116400,12911348.0000
2019-01-22,sh.600876,11.6100,11.6100,11.2800,11.3400,11.5200,1325810,15104182.0000
2019-01-23,sh.600876,11.4000,11.4500,11.2100,11.2600,11.3400,887600,10035688.0000
2019-01-24,sh.600876,11.3300,11.3400,11.2000,11.2800,11.2600,1232100,13887615.0000
2019-01-25,sh.600876,11.2800,11.4200,11.1700,11.1800,11.2800,1230500,13875743.0000
2019-01-28,sh.600876,11.2400,11.3600,11.0700,11.0800,11.1800,1105610,12351414.0000
2019-01-29,sh.600876,11.2700,11.2700,10.7700,10.8700,11.0800,1433311,15608030.0000
2019-01-30,sh.600876,10.8900,10.9100,10.6900,10.6900,10.8700,935800,10086655.0000
2019-01-31,sh.600876,10.6900,10.6900,9.8800,9.9000,10.6900,2490304,25350703.0000
2019-02-01,sh.600876,10.0000,10.2900,9.9600,10.2900,9.9000,1319025,13418056.0000
2019-02-11,sh.600876,10.5000,10.7700,10.3300,10.7000,10.2900,1585666,16852804.0000
2019-02-12,sh.600876,10.7200,10.8800,10.6500,10.7700,10.7000,1441001,15533717.0000
2019-02-13,sh.600876,10.8500,11.1000,10.7100,10.9900,10.7700,2456190,26946149.0000
2019-02-14,sh.600876,11.0600,11.0600,10.8600,10.9500,10.9900,2206290,24153203.0000
2019-02-15,sh.600876,11.0000,11.1800,10.9000,11.0100,10.9500,1944000,21466135.0000
2019-02-18,sh.600876,11.1500,11.3000,11.0500,11.2900,11.0100,2989724,33486546.0000
2019-02-19,sh.600876,11.4000,11.8300,11.3000,11.5200,11.2900,5233338,60522035.0000
2019-02-20,sh.600876,11.6200,12.4400,11.3000,11.9700,11.5200,7254525,85455517.0000
2019-02-21,sh.600876,11.8000,12.1400,11.6600,11.8600,11.9700,6907297,81774317.0000
2019-02-22,sh.600876,11.6900,11.8800,11.6200,11.8500,11.8600,3818698,44952120.0000
2019-02-25,sh.600876,11.9000,12.4300,11.9000,12.2500,11.8500,8426145,102432641.0000
2019-02-26,sh.600876,12.2600,12.5000,12.0100,12.2300,12.2500,7643173,93696162.0000
2019-02-27,sh.600876,11.9900,12.4500,11.9400,12.0500,12.2300,4994475,60751897.0000
2019-02-28,sh.600876,12.1900,12.5700,12.1300,12.2500,12.0500,4906802,60504007.0000
2019-03-01,sh.600876,12.2600,12.5000,12.0900,12.4700,12.2500,6508871,80164151.0000
2019-03-04,sh.600876,12.3800,13.4200,12.3700,12.8500,12.4700,11492443,147590395.0000
2019-03-05,sh.600876,12.7500,13.6500,12.5400,13.2700,12.8500,10904313,142479666.0000
2019-03-06,sh.600876,13.1100,14.0500,13.0000,13.5800,13.2700,11260300,151807107.0000
2019-03-07,sh.600876,13.3500,14.4500,13.3000,14.4000,13.5800,12877316,179488072.0000
2019-03-08,sh.600876,14.0500,15.0900,13.6000,13.6600,14.4000,13148966,186480080.0000
2019-03-11,sh.600876,13.8400,13.9500,13.5100,13.8400,13.6600,7079428,97365863.0000
2019-03-12,sh.600876,13.9000,14.0600,13.5500,13.7300,13.8400,8037712,111165537.0000
2019-03-13,sh.600876,13.6000,13.7200,12.9500,13.1300,13.7300,7115862,95172929.0000
2019-03-14,sh.600876,13.1200,13.3700,12.5900,12.7500,13.1300,5039639,64897996.0000
2019-03-15,sh.600876,12.8000,13.2800,12.7800,12.9900,12.7500,4459907,58000217.0000
2019-03-18,sh.600876,12.9900,13.3300,12.9200,13.2900,12.9900,4245529,56085877.0000
2019-03-19,sh.600876,13.2900,13.4400,13.1100,13.1700,13.2900,3751118,49681675.0000
2019-03-20,sh.600876,13.2500,13.3500,12.9300,13.1200,13.1700,3448000,45229499.0000
2019-03-21,sh.600876,13.1400,13.2900,13.1100,13.1300,13.1200,4064119,53676592.0000
2019-03-22,sh.600876,13.1100,14.4300,12.8900,14.2100,13.1300,13622467,186912795.0000
2019-03-25,sh.600876,13.7200,14.5700,13.6000,13.9800,14.2100,10822438,152028809.0000
2019-03-26,sh.600876,14.0100,14.2000,13.2500,13.3400,13.9800,6220988,84836576.0000
2019-03-27,sh.600876,13.5000,13.5600,12.8800,13.0300,13.3400,4134509,54056821.0000
2019-03-28,sh.600876,13.0400,13.2900,12.8800,12.8800,13.0300,2839400,37144284.0000
2019-03-29,sh.600876,12.8800,13.1800,12.6200,13.1000,12.8800,3408300,44245519.0000
2019-04-01,sh.600876,13.1100,13.6600,13.0800,13.5100,13.1000,5660011,76022818.0000
2019-04-02,sh.600876,13.6000,14.2700,13.5300,13.5600,13.5100,8927261,123662007.0000
2019-04-03,sh.600876,13.5600,14.1200,13.2500,13.7800,13.5600,8163489,111453217.0000
2019-04-04,sh.600876,13.7800,13.8700,13.5900,13.7300,13.7800,5380963,73953420.0000
2019-04-08,sh.600876,13.7800,13.9500,13.3700,13.5300,13.7300,5013042,68516976.0000
2019-04-09,sh.600876,13.5500,14.5000,13.5500,14.2900,13.5300,14478941,204714875.0000
2019-04-10,sh.600876,14.0100,15.0000,13.9500,14.4000,14.2900,12682913,183547379.0000
2019-04-11,sh.600876,14.2100,15.5000,14.0700,14.9600,14.4000,18139514,270649724.0000
2019-04-12,sh.600876,14.8300,15.5000,14.5800,14.9000,14.9600,12394662,185305742.0000
2019-04-15,sh.600876,14.8500,16.0900,14.5600,15.4000,14.9000,19261337,294593931.0000
2019-04-16,sh.600876,15.1000,15.8000,15.0000,15.3600,15.4000,15620943,240043050.0000
2019-04-17,sh.600876,15.1500,15.4200,14.5500,14.7900,15.3600,15161468,225523074.0000
2019-04-18,sh.600876,14.6500,14.7800,14.2500,14.3800,14.7900,8389538,121057704.0000
2019-04-19,sh.600876,14.2800,14.5300,14.2000,14.5000,14.3800,4982892,71695295.0000
2019-04-22,sh.600876,14.5900,14.6700,14.0000,14.0800,14.5000,5587833,79497935.0000
2019-04-23,sh.600876,14.0900,14.4300,13.9100,14.0800,14.0800,4011381,56939236.0000
2019-04-24,sh.600876,14.1500,14.2000,13.9300,14.1100,14.0800,3105252,43663028.0000
2019-04-25,sh.600876,14.1100,14.2600,13.5000,13.5200,14.1100,4785953,66589600.0000
2019-04-26,sh.600876,13.3600,13.4900,13.0500,13.1800,13.5200,3373818,44783061.0000
2019-04-29,sh.600876,13.1800,13.4500,12.8500,12.9700,13.1800,3702715,48537095.0000
2019-04-30,sh.600876,12.7500,13.1900,12.7300,12.9600,12.9700,2132972,27716767.0000
2019-05-06,sh.600876,12.5800,12.6700,11.6600,11.6600,12.9600,4359576,52532728.0000
2019-05-07,sh.600876,11.6600,11.9400,11.3700,11.6700,11.6600,2595391,30296922.0000
2019-05-08,sh.600876,11.5800,11.7300,11.3500,11.5700,11.6700,2452607,28314917.0000
2019-05-09,sh.600876,11.5800,11.8000,11.4200,11.5900,11.5700,1803900,20996943.0000
2019-05-10,sh.600876,11.6800,12.1400,11.6300,11.9800,11.5900,3727224,44289718.0000
2019-05-13,sh.600876,11.8200,12.3600,11.7500,12.0500,11.9800,2763085,33273838.0000
2019-05-14,sh.600876,11.9600,12.1200,11.7000,11.8200,12.0500,2010197,23980994.0000
2019-05-15,sh.600876,11.8900,12.0500,11.8800,12.0300,11.8200,2214370,26504906.0000
2019-05-16,sh.600876,12.0300,12.1200,11.9300,12.0800,12.0300,2034780,24517273.0000
2019-05-17,sh.600876,12.2300,12.2300,11.5500,11.6000,12.0800,2836536,33469124.0000
2019-05-20,sh.600876,11.6500,11.7500,11.3600,11.6400,11.6000,1475900,17006792.0000
2019-05-21,sh.600876,11.6300,11.9000,11.5300,11.7400,11.6400,1555301,18321517.0000
2019-05-22,sh.600876,11.8600,12.2700,11.7000,11.9400,11.7400,3079101,36690533.0000
2019-05-23,sh.600876,11.7800,11.9200,11.6000,11.6100,11.9400,2133130,25085803.0000
2019-05-24,sh.600876,11.6000,11.7600,11.5000,11.5400,11.6100,906900,10494834.0000
2019-05-27,sh.600876,11.6000,11.7500,11.4700,11.7500,11.5400,1521301,17750325.0000
2019-05-28,sh.600876,11.8300,11.8300,11.6500,11.6600,11.7500,1591401,18676011.0000
2019-05-29,sh.600876,11.6600,11.7200,11.5600,11.6600,11.6600,1356412,15797962.0000
2019-05-30,sh.600876,11.5100,11.6600,11.4700,11.5700,11.6600,1391700,16056518.0000
2019-05-31,sh.600876,11.5300,11.6800,11.5300,11.5700,11.5700,1046839,12143369.0000
2019-06-03,sh.600876,11.5200,11.6300,11.3700,11.3800,11.5700,1269826,14554114.0000
2019-06-04,sh.600876,11.3600,11.4600,11.0300,11.0800,11.3800,1435600,16133321.0000
2019-06-05,sh.600876,11.1900,12.1900,11.1300,11.6800,11.0800,3653921,42521381.0000
2019-06-06,sh.600876,11.6000,11.6500,11.1600,11.2600,11.6800,2353700,26710763.0000
2019-06-10,sh.600876,11.2500,11.4600,11.1800,11.2600,11.2600,1404900,15859652.0000
2019-06-11,sh.600876,11.8500,12.1000,11.7000,11.8400,11.2600,4740993,56191163.0000
2019-06-12,sh.600876,11.6100,12.3500,11.6100,11.9200,11.8400,5372930,64222945.0000
2019-06-13,sh.600876,11.8200,11.9000,11.7000,11.8200,11.9200,2881201,33978812.0000
