date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000012,3.9900,4.0400,3.9800,3.9800,3.9900,3565811,14278027.3300
2019-01-03,sz.000012,4.0000,4.0400,3.9800,4.0100,3.9800,4342044,17432605.2900
2019-01-04,sz.000012,4.0100,4.1100,3.9900,4.1000,4.0100,5975518,24285959.3500
2019-01-07,sz.000012,4.1000,4.1500,4.1000,4.1300,4.1000,7062150,29110407.5000
2019-01-08,sz.000012,4.1200,4.1600,4.1100,4.1300,4.1300,4810417,19902195.7900
2019-01-09,sz.000012,4.1500,4.2000,4.1200,4.1300,4.1300,7917973,32975899.5200
2019-01-10,sz.000012,4.1200,4.2000,4.1200,4.1500,4.1300,6579303,27414839.8800
2019-01-11,sz.000012,4.1500,4.1800,4.1200,4.1700,4.1500,6191445,25728498.9600
2019-01-14,sz.000012,4.1800,4.2000,4.1300,4.1500,4.1700,5402146,22466843.0500
2019-01-15,sz.000012,4.1600,4.2000,4.1300,4.1900,4.1500,7639326,31831439.2800
2019-01-16,sz.000012,4.1800,4.2200,4.1600,4.1800,4.1900,4700300,19681486.7400
2019-01-17,sz.000012,4.1900,4.1900,4.1400,4.1500,4.1800,6416491,26736881.8000
2019-01-18,sz.000012,4.1600,4.2100,4.1600,4.2100,4.1500,8121099,34024888.8600
2019-01-21,sz.000012,4.2400,4.2500,4.1800,4.1900,4.2100,6131610,25763510.7900
2019-01-22,sz.000012,4.1800,4.2000,4.1000,4.1200,4.1900,5975961,24737031.9700
2019-01-23,sz.000012,4.1100,4.1500,4.1000,4.1200,4.1200,4577763,18873865.3700
2019-01-24,sz.000012,4.1100,4.1500,4.0600,4.1400,4.1200,6448988,26534386.6300
2019-01-25,sz.000012,4.1300,4.1700,4.1200,4.1400,4.1400,4645712,19272063.0300
2019-01-28,sz.000012,4.1600,4.2000,4.1200,4.1300,4.1400,6701851,27879941.6200
2019-01-29,sz.000012,4.1700,4.5000,4.1400,4.3300,4.1300,31500492,135197917.4400
2019-01-30,sz.000012,4.3400,4.3400,4.1900,4.2100,4.3300,16441139,69857091.1500
2019-01-31,sz.000012,4.1700,4.2500,4.0400,4.0800,4.2100,13714148,56712721.3400
2019-02-01,sz.000012,4.1100,4.1800,4.0800,4.1500,4.0800,7458215,30869854.4600
2019-02-11,sz.000012,4.1700,4.2900,4.1600,4.2800,4.1500,10163157,42988899.0600
2019-02-12,sz.000012,4.2600,4.4900,4.2400,4.4300,4.2800,27626188,120550966.6500
2019-02-13,sz.000012,4.4400,4.8700,4.4000,4.7100,4.4300,70225114,329332908.5100
2019-02-14,sz.000012,4.6500,4.7900,4.6100,4.6600,4.7100,44909520,210186796.6300
2019-02-15,sz.000012,4.6500,4.7200,4.5700,4.6100,4.6600,28241634,131066032.2700
2019-02-18,sz.000012,4.6700,4.8400,4.6100,4.8200,4.6100,46475962,220674426.3400
2019-02-19,sz.000012,5.0000,5.0000,4.7200,4.8000,4.8200,50141852,243591810.0100
2019-02-20,sz.000012,4.8000,4.8000,4.6700,4.7600,4.8000,26362128,124489844.9500
2019-02-21,sz.000012,4.7200,4.7600,4.6000,4.6500,4.7600,30766665,144107115.7400
2019-02-22,sz.000012,4.6300,4.7400,4.6000,4.7300,4.6500,23028184,107693119.8400
2019-02-25,sz.000012,4.7700,4.9800,4.7400,4.9700,4.7300,53275644,260417111.2200
2019-02-26,sz.000012,5.0000,5.1700,4.9100,4.9800,4.9700,56715686,284008003.5500
2019-02-27,sz.000012,4.9300,5.0500,4.8600,4.9100,4.9800,29651028,147320098.8700
2019-02-28,sz.000012,4.9100,5.0000,4.8900,4.9300,4.9100,17417721,85979509.3400
2019-03-01,sz.000012,4.9600,4.9700,4.8700,4.9700,4.9300,17444338,86082847.6500
2019-03-04,sz.000012,5.0000,5.1100,4.9800,5.0100,4.9700,36451261,183887372.2100
2019-03-05,sz.000012,5.0100,5.1900,4.9700,5.1900,5.0100,42698458,218737941.6500
2019-03-06,sz.000012,5.2000,5.5600,5.1500,5.4400,5.1900,58470628,315703991.5800
2019-03-07,sz.000012,5.4600,5.9800,5.3900,5.9800,5.4400,85648464,492329232.4800
2019-03-08,sz.000012,5.8100,6.2900,5.6800,5.7900,5.9800,81912577,487596539.7500
2019-03-11,sz.000012,5.8000,6.0300,5.6700,5.9200,5.7900,46182101,270828931.2300
2019-03-12,sz.000012,5.9800,6.0800,5.7800,5.9100,5.9200,49282936,290894610.9200
2019-03-13,sz.000012,5.9100,5.9200,5.6100,5.6800,5.9100,35053260,201142538.6000
2019-03-14,sz.000012,5.6000,5.7100,5.3600,5.4500,5.6800,31273608,172092988.3900
2019-03-15,sz.000012,5.4900,5.6200,5.4300,5.5700,5.4500,24287265,134282411.7700
2019-03-18,sz.000012,5.5300,5.6500,5.4000,5.6500,5.5700,25027441,138920593.5500
2019-03-19,sz.000012,5.6400,5.7300,5.5600,5.6000,5.6500,19277863,108566584.1500
2019-03-20,sz.000012,5.6300,5.6400,5.4600,5.5900,5.6000,16332002,90763855.8200
2019-03-21,sz.000012,5.6100,5.7900,5.5900,5.6800,5.5900,28071171,159825032.0300
2019-03-22,sz.000012,5.7200,5.8200,5.6200,5.7200,5.6800,19790879,112893029.9400
2019-03-25,sz.000012,5.6000,5.7000,5.4800,5.5600,5.7200,24181619,135568928.4800
2019-03-26,sz.000012,5.5600,5.6300,5.3200,5.3400,5.5600,23909755,130955733.6200
2019-03-27,sz.000012,5.3900,5.4600,5.3200,5.4500,5.3400,19508893,105716015.4900
2019-03-28,sz.000012,5.4100,5.5400,5.3800,5.3900,5.4500,13300752,72873229.0900
2019-03-29,sz.000012,5.4200,5.5600,5.3300,5.5400,5.3900,18575281,101587937.2700
2019-04-01,sz.000012,5.5700,5.7600,5.5600,5.7200,5.5400,26037343,148359893.8100
2019-04-02,sz.000012,5.7100,5.9200,5.7100,5.7600,5.7200,31498510,183070203.9800
2019-04-03,sz.000012,5.7300,5.8200,5.6800,5.8200,5.7600,19313556,111590966.2600
2019-04-04,sz.000012,5.8200,5.8800,5.7200,5.8100,5.8200,22116056,128270976.7100
2019-04-08,sz.000012,5.8300,5.9100,5.6800,5.7600,5.8100,24439051,141814064.7700
2019-04-09,sz.000012,5.7700,5.7800,5.6500,5.7300,5.7600,16822891,96207010.1400
2019-04-10,sz.000012,5.7100,5.7500,5.5900,5.6300,5.7300,18808034,106719301.2600
2019-04-11,sz.000012,5.6600,5.7400,5.5600,5.5800,5.6300,17514685,99038863.2500
2019-04-12,sz.000012,5.6000,5.6200,5.5000,5.5600,5.5800,12782324,71093836.4400
2019-04-15,sz.000012,5.6200,5.6800,5.5200,5.5200,5.5600,11731129,65904668.1100
2019-04-16,sz.000012,5.5200,5.6400,5.4200,5.6300,5.5200,13913608,77044261.6100
2019-04-17,sz.000012,5.6000,5.6800,5.5700,5.6400,5.6300,15826651,89189300.8700
2019-04-18,sz.000012,5.6100,5.6100,5.4600,5.4800,5.6400,14333746,79408446.3900
2019-04-19,sz.000012,5.4800,5.5300,5.3600,5.4700,5.4800,16565558,90039686.6200
2019-04-22,sz.000012,5.4800,5.5200,5.3900,5.4300,5.4700,13367503,72999169.4000
2019-04-23,sz.000012,5.3900,5.4300,5.2500,5.2700,5.4300,15636922,83051181.8900
2019-04-24,sz.000012,5.2800,5.3900,5.2100,5.3500,5.2700,12829014,68136620.9000
2019-04-25,sz.000012,5.3300,5.3500,5.1100,5.1300,5.3500,15559411,81313546.9300
2019-04-26,sz.000012,5.1300,5.1500,4.9600,4.9700,5.1300,16913512,85101743.2500
2019-04-29,sz.000012,4.9800,5.0100,4.7400,4.7500,4.9700,15894775,77050545.4800
2019-04-30,sz.000012,4.7900,4.9400,4.7700,4.9000,4.7500,11838579,57721849.6700
2019-05-06,sz.000012,4.8500,4.8500,4.5200,4.6200,4.9000,19383409,90418323.6300
2019-05-07,sz.000012,4.6400,4.6900,4.6000,4.6700,4.6200,10992251,51146899.9100
2019-05-08,sz.000012,4.6100,4.7300,4.5600,4.6400,4.6700,8771642,40866415.4800
2019-05-09,sz.000012,4.5700,4.6600,4.5600,4.6000,4.6400,8749854,40308631.7200
2019-05-10,sz.000012,4.6200,4.7400,4.5600,4.7100,4.6000,10670264,49888690.4400
2019-05-13,sz.000012,4.7000,4.7000,4.6300,4.6700,4.7100,7215225,33632946.9800
2019-05-14,sz.000012,4.6200,4.6600,4.6000,4.6000,4.6700,6911005,31947688.2200
2019-05-15,sz.000012,4.6300,4.7000,4.6300,4.6700,4.6000,7100741,33102527.7400
2019-05-16,sz.000012,4.6900,4.8000,4.6700,4.8000,4.6700,12354538,58629334.0300
2019-05-17,sz.000012,4.8000,4.8100,4.5800,4.6100,4.8000,11580082,54294789.6200
2019-05-20,sz.000012,4.6900,4.7000,4.5900,4.6900,4.6100,9236613,42994885.6600
2019-05-21,sz.000012,4.6500,4.7700,4.6500,4.7100,4.6900,10423347,49101939.7100
2019-05-22,sz.000012,4.7100,4.7400,4.6400,4.6600,4.7100,8451792,39693382.7700
2019-05-23,sz.000012,4.6400,4.6900,4.5800,4.6000,4.6600,6722594,31165126.3800
2019-05-24,sz.000012,4.5900,4.6400,4.5800,4.5900,4.6000,5522630,25404510.8200
2019-05-27,sz.000012,4.5800,4.6900,4.5500,4.6700,4.5900,6972918,32275312.9700
2019-05-28,sz.000012,4.6600,4.7100,4.6100,4.6300,4.6700,6953210,32507210.8300
2019-05-29,sz.000012,4.6100,4.6900,4.6000,4.6200,4.6300,5574201,25899232.0200
2019-05-30,sz.000012,4.6100,4.6400,4.5700,4.6200,4.6200,7147967,32927430.2100
2019-05-31,sz.000012,4.5800,4.7100,4.5800,4.6600,4.6200,7199080,33543435.6500
2019-06-03,sz.000012,4.6400,4.6800,4.5500,4.5700,4.6600,8492086,39042595.8300
2019-06-04,sz.000012,4.5700,4.5900,4.5000,4.5200,4.5700,5948893,27002526.5900
2019-06-05,sz.000012,4.5500,4.5800,4.5000,4.5000,4.5200,5897391,26715714.9700
2019-06-06,sz.000012,4.4900,4.5000,4.3000,4.3400,4.5000,10684675,46722864.3200
2019-06-10,sz.000012,4.3400,4.4100,4.3400,4.3600,4.3400,5239975,22912892.8000
2019-06-11,sz.000012,4.5500,4.7500,4.5500,4.7200,4.3600,21898673,102191452.9600
2019-06-12,sz.000012,4.6300,4.7100,4.6100,4.6200,4.7200,14404291,66917697.9100
2019-06-13,sz.000012,4.6000,4.6500,4.5600,4.6100,4.6200,9245234,42623353.6400
2019-06-14,sz.000012,4.6100,4.6700,4.4900,4.5000,4.6100,9839448,45001756.2800
2019-06-17,sz.000012,4.5100,4.5500,4.4600,4.4900,4.5000,6113369,27567209.3400
2019-06-18,sz.000012,4.4900,4.5100,4.4400,4.4900,4.4900,5173833,23174901.5100
2019-06-19,sz.000012,4.5500,4.6000,4.5100,4.5200,4.4900,10023404,45713486.4500
2019-06-20,sz.000012,4.5400,4.6400,4.5300,4.6400,4.5200,13237082,60940761.3700
2019-06-21,sz.000012,4.7400,4.7400,4.6500,4.6900,4.6400,11572614,54174994.1800
2019-06-24,sz.000012,4.6900,4.7000,4.6500,4.6900,4.6900,7115846,33242409.0600
2019-06-25,sz.000012,4.7000,4.7000,4.5700,4.6600,4.6900,8211142,37977674.8700
2019-06-26,sz.000012,4.2200,4.2400,4.1800,4.2300,4.1900,12234656,51493767.2300
2019-06-27,sz.000012,4.2300,4.2500,4.2000,4.2100,4.2300,9585073,40486840.6400
2019-06-28,sz.000012,4.2100,4.2200,4.1200,4.1600,4.2100,6841699,28477367.0500
2019-07-01,sz.000012,4.2200,4.4200,4.2100,4.3500,4.1600,22073332,94950278.2500
2019-07-02,sz.000012,4.3100,4.3300,4.2600,4.2900,4.3500,11959607,51358319.5800
2019-07-03,sz.000012,4.2900,4.2900,4.2200,4.2400,4.2900,7997594,33914156.6000
2019-07-04,sz.000012,4.2300,4.3100,4.2200,4.2500,4.2400,6351118,27066963.7400
2019-07-05,sz.000012,4.2500,4.2900,4.2200,4.2700,4.2500,5135806,21895017.3100
2019-07-08,sz.000012,4.2500,4.2600,4.1000,4.1300,4.2700,11296120,46978110.1500
2019-07-09,sz.000012,4.1000,4.1600,4.1000,4.1400,4.1300,3986344,16495314.5700
2019-07-10,sz.000012,4.1500,4.1700,4.1000,4.1000,4.1400,5293831,21797364.6900
2019-07-11,sz.000012,4.1100,4.1600,4.1000,4.1200,4.1000,4237914,17493303.5800
2019-07-12,sz.000012,4.1200,4.1700,4.1200,4.1500,4.1200,5065218,21026283.5200
2019-07-15,sz.000012,4.1600,4.2000,4.0800,4.1900,4.1500,7750419,32207826.8900
2019-07-16,sz.000012,4.1900,4.2300,4.1800,4.2200,4.1900,6018190,25316100.4100
2019-07-17,sz.000012,4.2200,4.2700,4.2000,4.2400,4.2200,6625544,28083462.0900
2019-07-18,sz.000012,4.2100,4.2200,4.1600,4.1600,4.2400,5944740,24870485.5600
2019-07-19,sz.000012,4.1700,4.2600,4.1700,4.2100,4.1600,7310903,30919014.7600
2019-07-22,sz.000012,4.2600,4.2600,4.1300,4.1500,4.2100,7437253,30980018.9700
2019-07-23,sz.000012,4.1500,4.1800,4.1300,4.1700,4.1500,3996202,16610829.9900
2019-07-24,sz.000012,4.1700,4.2200,4.1700,4.2100,4.1700,5094292,21421085.0500
2019-07-25,sz.000012,4.2200,4.2600,4.1900,4.2100,4.2100,6681680,28228377.1700
2019-07-26,sz.000012,4.2200,4.2400,4.1900,4.2200,4.2100,4915837,20714888.6500
2019-07-29,sz.000012,4.2300,4.2500,4.1800,4.1800,4.2200,3681708,15464259.4600
