date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601636,3.8100,3.8200,3.7400,3.7500,3.8000,10317195,38897467.0000
2019-01-03,sh.601636,3.7400,3.8100,3.7300,3.7900,3.7500,12929902,48793885.0000
2019-01-04,sh.601636,3.7400,3.8900,3.7200,3.8600,3.7900,22516116,86338385.0000
2019-01-07,sh.601636,3.9000,3.9100,3.8400,3.8800,3.8600,25381300,98401646.0000
2019-01-08,sh.601636,3.8500,3.8800,3.8300,3.8400,3.8800,15573898,59962777.0000
2019-01-09,sh.601636,3.8600,3.9100,3.8400,3.8600,3.8400,22271054,86343815.0000
2019-01-10,sh.601636,3.8600,3.9700,3.8400,3.9000,3.8600,28851069,112900827.0000
2019-01-11,sh.601636,3.9600,3.9800,3.8800,3.9200,3.9000,23670254,92550983.0000
2019-01-14,sh.601636,3.9300,4.0400,3.9100,4.0200,3.9200,42721926,170459315.0000
2019-01-15,sh.601636,4.0000,4.0600,3.9700,4.0400,4.0200,25616811,102874325.0000
2019-01-16,sh.601636,4.0500,4.0500,3.9600,3.9800,4.0400,26806278,107227480.0000
2019-01-17,sh.601636,3.9800,4.0000,3.8900,3.9200,3.9800,21641467,85046295.0000
2019-01-18,sh.601636,3.9100,4.0400,3.9100,4.0200,3.9200,27401009,109116072.0000
2019-01-21,sh.601636,4.0300,4.1300,4.0100,4.0500,4.0200,33844179,137728139.0000
2019-01-22,sh.601636,4.0600,4.0600,3.9700,4.0000,4.0500,23021095,92036076.0000
2019-01-23,sh.601636,3.9800,4.0200,3.9600,4.0000,4.0000,12343682,49272449.0000
2019-01-24,sh.601636,4.0000,4.0200,3.9600,3.9800,4.0000,10054857,40078050.0000
2019-01-25,sh.601636,3.9900,4.0000,3.9500,3.9600,3.9800,9229100,36715226.0000
2019-01-28,sh.601636,3.9700,4.0100,3.9100,3.9300,3.9600,17996714,71311986.0000
2019-01-29,sh.601636,3.9400,3.9800,3.8500,3.9500,3.9300,18525413,72822877.0000
2019-01-30,sh.601636,3.9400,4.0000,3.9100,3.9600,3.9500,14787426,58737415.0000
2019-01-31,sh.601636,3.9700,3.9800,3.8900,3.9000,3.9600,19328102,75876938.0000
2019-02-01,sh.601636,3.9100,4.0100,3.9000,4.0000,3.9000,23063454,91413460.0000
2019-02-11,sh.601636,4.0100,4.1000,3.9700,4.0900,4.0000,29450253,119095622.0000
2019-02-12,sh.601636,4.0900,4.2600,4.0400,4.2100,4.0900,59015371,246474101.0000
2019-02-13,sh.601636,4.2000,4.3200,4.1800,4.2400,4.2100,47303776,201764442.0000
2019-02-14,sh.601636,4.2600,4.3300,4.2000,4.2600,4.2400,40202715,170725572.0000
2019-02-15,sh.601636,4.2500,4.2600,4.1300,4.1500,4.2600,36882079,154008561.0000
2019-02-18,sh.601636,4.1900,4.2900,4.1700,4.2900,4.1500,43852976,185700511.0000
2019-02-19,sh.601636,4.3600,4.3900,4.2500,4.2900,4.2900,52845477,227770670.0000
2019-02-20,sh.601636,4.2900,4.3100,4.2200,4.2600,4.2900,27677355,118016194.0000
2019-02-21,sh.601636,4.2600,4.2800,4.2000,4.2100,4.2600,35233080,149259911.0000
2019-02-22,sh.601636,4.2000,4.2700,4.1500,4.2700,4.2100,31273780,131417458.0000
2019-02-25,sh.601636,4.3000,4.5200,4.2500,4.4700,4.2700,84364719,368839040.0000
2019-02-26,sh.601636,4.4300,4.5000,4.3800,4.4100,4.4700,60675559,269598448.0000
2019-02-27,sh.601636,4.4100,4.4900,4.3300,4.3700,4.4100,51813063,228900483.0000
2019-02-28,sh.601636,4.3600,4.5500,4.3300,4.4700,4.3700,57398758,256002429.0000
2019-03-01,sh.601636,4.4900,4.5000,4.4200,4.4700,4.4700,25085107,111793596.0000
2019-03-04,sh.601636,4.5200,4.5600,4.4500,4.4800,4.4700,63297874,284944080.0000
2019-03-05,sh.601636,4.4700,4.5200,4.4300,4.5200,4.4800,40402209,180331132.0000
2019-03-06,sh.601636,4.5200,4.6500,4.5000,4.6200,4.5200,61371497,282174829.0000
2019-03-07,sh.601636,4.6000,4.8600,4.5700,4.8300,4.6200,74153606,351035184.0000
2019-03-08,sh.601636,4.7000,4.7800,4.4500,4.4600,4.8300,70142452,324843569.0000
2019-03-11,sh.601636,4.4800,4.5900,4.4500,4.5800,4.4600,42458503,192231331.0000
2019-03-12,sh.601636,4.6100,4.6700,4.5000,4.5700,4.5800,47644952,218997461.0000
2019-03-13,sh.601636,4.5700,4.5800,4.3800,4.4000,4.5700,63538907,283624064.0000
2019-03-14,sh.601636,4.3900,4.4600,4.3000,4.3400,4.4000,43390516,189960211.0000
2019-03-15,sh.601636,4.3600,4.4500,4.3600,4.4300,4.3400,30242390,133272010.0000
2019-03-18,sh.601636,4.4500,4.5700,4.4000,4.5700,4.4300,40696181,183400128.0000
2019-03-19,sh.601636,4.5800,4.6200,4.4600,4.4900,4.5700,44635069,201880520.0000
2019-03-20,sh.601636,4.5000,4.5800,4.4400,4.5200,4.4900,38944016,175043206.0000
2019-03-21,sh.601636,4.5000,4.5600,4.5000,4.5300,4.5200,38302388,173867786.0000
2019-03-22,sh.601636,4.5300,4.5400,4.4600,4.5200,4.5300,26343300,118383774.0000
2019-03-25,sh.601636,4.4400,4.5100,4.4000,4.4300,4.5200,55983328,248668198.0000
2019-03-26,sh.601636,4.4400,4.4700,4.2600,4.2700,4.4300,40354570,175377069.0000
2019-03-27,sh.601636,4.3100,4.3800,4.2700,4.3700,4.2700,29207825,126124545.0000
2019-03-28,sh.601636,4.3500,4.3900,4.3100,4.3500,4.3700,19049663,82989938.0000
2019-03-29,sh.601636,4.3600,4.4900,4.3300,4.4800,4.3500,45792838,202720387.0000
2019-04-01,sh.601636,4.5100,4.7800,4.5100,4.7400,4.4800,104655093,490855271.0000
2019-04-02,sh.601636,4.7700,4.7900,4.7100,4.7600,4.7400,58013451,275315104.0000
2019-04-03,sh.601636,4.7400,4.9800,4.7100,4.9600,4.7600,78152794,382861507.0000
2019-04-04,sh.601636,4.9600,5.0700,4.9000,4.9700,4.9600,56998536,283320555.0000
2019-04-08,sh.601636,5.0100,5.1500,5.0100,5.0700,4.9700,76871499,390551762.0000
2019-04-09,sh.601636,5.0800,5.0900,4.9600,5.0200,5.0700,47377529,237860138.0000
2019-04-10,sh.601636,5.0300,5.1000,4.9400,5.0300,5.0200,43056820,215833370.0000
2019-04-11,sh.601636,5.0400,5.0500,4.8600,4.8900,5.0300,45602100,224665157.0000
2019-04-12,sh.601636,4.8900,4.9200,4.7500,4.8100,4.8900,34269907,165110432.0000
2019-04-15,sh.601636,4.8900,4.9500,4.7200,4.7200,4.8100,34931032,169197754.0000
2019-04-16,sh.601636,4.7300,4.8400,4.6700,4.8400,4.7200,34895387,166348822.0000
2019-04-17,sh.601636,4.8400,4.8800,4.8000,4.8400,4.8400,28481080,137813967.0000
2019-04-18,sh.601636,4.8500,4.8500,4.7600,4.7800,4.8400,24044614,115630933.0000
2019-04-19,sh.601636,4.8000,4.8100,4.7600,4.8100,4.7800,19725998,94502359.0000
2019-04-22,sh.601636,4.8300,4.8400,4.6900,4.7000,4.8100,39681726,187866361.0000
2019-04-23,sh.601636,4.7000,4.7000,4.5700,4.5800,4.7000,28024292,129297699.0000
2019-04-24,sh.601636,4.5900,4.6500,4.5700,4.6400,4.5800,20123209,92826804.0000
2019-04-25,sh.601636,4.6300,4.6300,4.4800,4.4900,4.6400,29615896,134713248.0000
2019-04-26,sh.601636,4.4100,4.4400,4.2600,4.3100,4.4900,39702424,172413693.0000
2019-04-29,sh.601636,4.2900,4.3200,4.1500,4.1700,4.3100,34593922,145907046.0000
2019-04-30,sh.601636,4.1600,4.2100,4.1500,4.1900,4.1700,25700872,107507394.0000
2019-05-06,sh.601636,4.1400,4.1400,3.8100,3.8400,4.1900,45779821,181082302.0000
2019-05-07,sh.601636,3.8800,3.9500,3.8400,3.9000,3.8400,26977469,104906913.0000
2019-05-08,sh.601636,3.8400,3.9500,3.8100,3.9000,3.9000,29237293,113815196.0000
2019-05-09,sh.601636,3.8700,3.9000,3.8200,3.8300,3.9000,24335539,93723389.0000
2019-05-10,sh.601636,3.8800,3.9300,3.8100,3.9100,3.8300,38131919,148146585.0000
2019-05-13,sh.601636,3.8800,3.9000,3.8600,3.8800,3.9100,17928801,69621630.0000
2019-05-14,sh.601636,3.8300,3.9000,3.8300,3.8800,3.8800,16998100,65861866.0000
2019-05-15,sh.601636,3.9000,3.9500,3.8900,3.9500,3.8800,17111348,67180669.0000
2019-05-16,sh.601636,3.9600,4.1000,3.9300,4.0500,3.9500,28618478,115365104.0000
2019-05-17,sh.601636,4.1400,4.1400,4.0000,4.0200,4.0500,33692950,136852719.0000
2019-05-20,sh.601636,3.9900,4.0200,3.9300,3.9700,4.0200,22577777,89603553.0000
2019-05-21,sh.601636,3.9700,4.0700,3.9500,4.0600,3.9700,21699868,87221400.0000
2019-05-22,sh.601636,4.0600,4.0800,3.9800,4.0200,4.0600,23318842,93883121.0000
2019-05-23,sh.601636,3.9800,4.0100,3.9600,3.9600,4.0200,22279309,88699443.0000
2019-05-24,sh.601636,3.6600,3.6700,3.5300,3.5300,3.6700,33236069,118465311.0000
2019-05-27,sh.601636,3.5100,3.6200,3.5100,3.6100,3.5300,18987156,67871668.0000
2019-05-28,sh.601636,3.6100,3.7200,3.5700,3.6600,3.6100,26378667,96217470.0000
2019-05-29,sh.601636,3.6300,3.7100,3.6200,3.6800,3.6600,11949500,43901142.0000
2019-05-30,sh.601636,3.6400,3.6700,3.6200,3.6600,3.6800,12841293,46784733.0000
2019-05-31,sh.601636,3.6700,3.7000,3.6200,3.6400,3.6600,14064982,51460755.0000
2019-06-03,sh.601636,3.6400,3.6700,3.5300,3.5600,3.6400,18684064,66867090.0000
2019-06-04,sh.601636,3.5600,3.5700,3.5100,3.5200,3.5600,11503481,40578727.0000
2019-06-05,sh.601636,3.5600,3.5800,3.5300,3.5400,3.5200,9075732,32204957.0000
2019-06-06,sh.601636,3.5500,3.5500,3.4700,3.4900,3.5400,10717000,37548377.0000
2019-06-10,sh.601636,3.5000,3.5400,3.4900,3.5300,3.4900,7600733,26743247.0000
2019-06-11,sh.601636,3.7500,3.8700,3.6800,3.8100,3.5300,57340460,215273042.0000
2019-06-12,sh.601636,3.7500,3.7700,3.7100,3.7400,3.8100,34696397,129634906.0000
2019-06-13,sh.601636,3.7100,3.7100,3.6200,3.7000,3.7400,20367731,74833421.0000
2019-06-14,sh.601636,3.7000,3.7100,3.6200,3.6400,3.7000,13720815,50252960.0000
2019-06-17,sh.601636,3.6300,3.6700,3.6100,3.6400,3.6400,9342610,33999820.0000
2019-06-18,sh.601636,3.6400,3.6600,3.6200,3.6400,3.6400,8832515,32140222.0000
2019-06-19,sh.601636,3.7100,3.7400,3.6500,3.6600,3.6400,19819300,72912241.0000
2019-06-20,sh.601636,3.6700,3.7400,3.6400,3.7200,3.6600,23312736,86372131.0000
2019-06-21,sh.601636,3.7300,3.7500,3.6900,3.7500,3.7200,31408503,116976195.0000
2019-06-24,sh.601636,3.7400,3.7700,3.7000,3.7200,3.7500,17313426,64524145.0000
2019-06-25,sh.601636,3.7200,3.7300,3.6600,3.7100,3.7200,15818170,58333957.0000
2019-06-26,sh.601636,3.7000,3.8500,3.6700,3.8200,3.7100,40125545,151799121.0000
2019-06-27,sh.601636,3.8200,3.9600,3.8000,3.9000,3.8200,47155395,183941031.0000
2019-06-28,sh.601636,3.9300,3.9300,3.8200,3.8900,3.9000,19836477,76740139.0000
2019-07-01,sh.601636,3.9700,3.9800,3.9100,3.9200,3.8900,21299034,83812786.0000
2019-07-02,sh.601636,3.9300,3.9700,3.8500,3.9500,3.9200,28188399,110819193.0000
2019-07-03,sh.601636,3.9100,3.9500,3.8400,3.8800,3.9500,20134401,78211901.0000
2019-07-04,sh.601636,3.8800,3.9100,3.8500,3.8700,3.8800,11499532,44573456.0000
2019-07-05,sh.601636,3.8700,3.8900,3.8400,3.8700,3.8700,8774478,33884871.0000
2019-07-08,sh.601636,3.8700,3.8700,3.7200,3.7300,3.8700,17684765,66675512.0000
2019-07-09,sh.601636,3.7500,3.7600,3.7100,3.7400,3.7300,9949917,37112998.0000
2019-07-10,sh.601636,3.7300,3.7500,3.6600,3.6700,3.7400,13119709,48376413.0000
2019-07-11,sh.601636,3.6900,3.7100,3.6400,3.6500,3.6700,7572294,27816901.0000
2019-07-12,sh.601636,3.6600,3.6900,3.6400,3.6700,3.6500,6495808,23842630.0000
2019-07-15,sh.601636,3.6700,3.7600,3.6400,3.7400,3.6700,12952174,48167703.0000
2019-07-16,sh.601636,3.7500,3.8600,3.7200,3.8400,3.7400,19526537,74578474.0000
2019-07-17,sh.601636,3.8600,3.8900,3.8100,3.8400,3.8400,13919063,53666719.0000
2019-07-18,sh.601636,3.8400,3.8500,3.7600,3.7600,3.8400,13338538,50462638.0000
