date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300174,11.3200,11.4500,11.0600,11.1700,11.2900,680777,7679500.3800
2019-01-03,sz.300174,11.1700,11.2800,10.8500,10.9100,11.1700,849171,9441063.3300
2019-01-04,sz.300174,10.8200,11.4200,10.5100,11.4100,10.9100,1406877,15673145.0800
2019-01-07,sz.300174,11.4300,11.7900,11.4300,11.6900,11.4100,1255642,14619369.6300
2019-01-08,sz.300174,11.5000,11.7800,11.5000,11.7000,11.6900,679206,7920242.3800
2019-01-09,sz.300174,11.7900,11.9200,11.6400,11.6900,11.7000,1011136,11922972.1600
2019-01-10,sz.300174,11.6900,12.4700,11.6300,12.2000,11.6900,2303233,27771128.6900
2019-01-11,sz.300174,12.0100,12.1700,11.8500,11.9100,12.2000,1619383,19355072.6100
2019-01-14,sz.300174,11.9400,12.0000,11.6100,11.7300,11.9100,1123927,13260156.0200
2019-01-15,sz.300174,11.8400,11.9500,11.5600,11.8500,11.7300,836377,9902800.1300
2019-01-16,sz.300174,11.9400,11.9400,11.3900,11.4700,11.8500,1552752,18080376.2200
2019-01-17,sz.300174,11.5300,11.8000,11.3400,11.5100,11.4700,1222172,14185145.2600
2019-01-18,sz.300174,11.3300,11.4600,11.1100,11.3600,11.5100,1341109,15147449.0600
2019-01-21,sz.300174,11.4000,11.5200,11.2200,11.3600,11.3600,1500712,17085751.9500
2019-01-22,sz.300174,11.4700,11.5000,11.1700,11.3500,11.3600,965859,10985634.4800
2019-01-23,sz.300174,11.2500,11.2500,10.9800,11.0700,11.3500,1086722,12037334.8900
2019-01-24,sz.300174,11.0900,11.2600,10.9900,11.1800,11.0700,862129,9602677.6100
2019-01-25,sz.300174,11.2000,11.4400,11.0400,11.3600,11.1800,1620007,18221985.2800
2019-01-28,sz.300174,11.4000,11.4400,10.6600,10.7300,11.3600,2191249,24054446.5500
2019-01-29,sz.300174,10.7300,10.7300,9.6700,10.0600,10.7300,1752140,17826116.2000
2019-01-30,sz.300174,10.0600,10.3300,9.7700,10.1700,10.0600,813062,8297418.2200
2019-01-31,sz.300174,10.1700,10.3000,9.7800,9.9000,10.1700,1098576,11068027.2400
2019-02-01,sz.300174,10.1400,10.5000,9.9700,10.4500,9.9000,922991,9492080.5100
2019-02-11,sz.300174,10.5200,10.7600,10.4100,10.6900,10.4500,926540,9848048.2000
2019-02-12,sz.300174,10.7000,11.4200,10.6900,11.1100,10.6900,2618840,29237122.2200
2019-02-13,sz.300174,11.1800,11.1800,11.0300,11.1400,11.1100,1513680,16829865.7400
2019-02-14,sz.300174,11.1200,11.2000,11.0600,11.2000,11.1400,1032700,11509877.0000
2019-02-15,sz.300174,11.2200,11.3000,11.1200,11.1500,11.2000,963500,10811709.0000
2019-02-18,sz.300174,11.1500,11.6500,11.1500,11.6400,11.1500,1873160,21511862.6000
2019-02-19,sz.300174,11.6700,12.8000,11.5800,12.8000,11.6400,5186303,64466907.6900
2019-02-20,sz.300174,12.9500,13.3200,12.3000,12.4700,12.8000,7015888,88500864.1500
2019-02-21,sz.300174,12.4700,12.6800,12.0800,12.1800,12.4700,4189714,51665222.4700
2019-02-22,sz.300174,12.1100,12.2800,11.9200,12.2300,12.1800,2822069,34175533.2900
2019-02-25,sz.300174,12.4000,12.7600,12.2300,12.6800,12.2300,4776114,59819608.0300
2019-02-26,sz.300174,12.6600,13.2500,12.2900,12.9100,12.6800,5678547,72203259.4100
2019-02-27,sz.300174,12.8100,13.2900,12.5000,12.6400,12.9100,3412509,44107686.4000
2019-02-28,sz.300174,12.7400,12.9600,12.5100,12.6600,12.6400,1893969,23985612.5300
2019-03-01,sz.300174,12.6800,12.8400,12.4400,12.6800,12.6600,1592300,20035121.0000
2019-03-04,sz.300174,12.7900,13.0700,12.6700,12.7700,12.6800,3951149,50820551.3500
2019-03-05,sz.300174,12.7400,13.3500,12.6300,13.3500,12.7700,4391600,57187420.0900
2019-03-06,sz.300174,13.4100,13.5400,13.0200,13.3900,13.3500,4159585,55163473.8400
2019-03-07,sz.300174,13.4100,14.4400,13.2000,14.0400,13.3900,5626135,77567090.0500
2019-03-08,sz.300174,13.5800,14.0000,13.1500,13.2000,14.0400,4279391,58253849.5600
2019-03-11,sz.300174,13.2400,13.9800,13.2100,13.9000,13.2000,3276182,44522844.0600
2019-03-12,sz.300174,13.9700,14.4200,13.8100,14.2200,13.9000,5412688,76190728.8800
2019-03-13,sz.300174,14.2400,14.2400,13.4100,13.6500,14.2200,3616333,50454301.9700
2019-03-14,sz.300174,13.6800,13.6800,12.6000,12.9800,13.6500,2718177,35682618.1300
2019-03-15,sz.300174,13.0600,13.4300,12.8000,13.0600,12.9800,2795820,36759041.5400
2019-03-18,sz.300174,13.1100,13.4200,13.0000,13.3900,13.0600,2219417,29360794.8100
2019-03-19,sz.300174,13.4800,13.4800,13.1400,13.2300,13.3900,2361507,31442531.3200
2019-03-20,sz.300174,13.3100,13.5100,13.0300,13.3500,13.2300,2443980,32560075.2400
2019-03-21,sz.300174,13.2400,13.6500,13.2400,13.5800,13.3500,2503848,33677727.1600
2019-03-22,sz.300174,13.5800,13.5800,13.0600,13.4500,13.5800,2781037,36986101.9700
2019-03-25,sz.300174,13.2300,14.3400,13.1300,13.9500,13.4500,5930138,82169204.1900
2019-03-26,sz.300174,13.8000,15.3500,13.8000,14.6900,13.9500,8746086,130304318.5100
2019-03-27,sz.300174,14.6000,16.0900,14.2500,15.9200,14.6900,10050326,151805295.1100
2019-03-28,sz.300174,15.6000,17.1700,15.0200,16.8900,15.9200,11606790,191122430.3800
2019-03-29,sz.300174,16.8900,17.7700,16.5100,17.1300,16.8900,10743175,184953495.6600
2019-04-01,sz.300174,16.8500,18.8400,16.8500,18.8400,17.1300,8314413,153003269.3800
2019-04-02,sz.300174,19.9900,20.7200,19.9900,20.7200,18.8400,8031964,165169468.5600
2019-04-03,sz.300174,20.7700,22.7900,20.7500,22.7900,20.7200,5433893,119832992.2800
2019-04-04,sz.300174,25.0700,25.0700,23.9000,25.0700,22.7900,15205084,377011776.4900
2019-04-08,sz.300174,26.9900,27.5800,26.3300,27.5800,25.0700,3082984,84310020.9200
2019-04-09,sz.300174,30.3400,30.3400,28.2400,30.3400,27.5800,17088842,513035102.4500
2019-04-10,sz.300174,29.2000,32.2000,28.9000,29.3900,30.3400,9349603,280616685.0000
2019-04-11,sz.300174,29.3500,29.4200,26.4500,28.0000,29.3900,11375942,316252589.1800
2019-04-12,sz.300174,28.5000,28.5500,27.1300,27.8000,28.0000,6214028,172779441.2000
2019-04-15,sz.300174,28.5500,28.9600,26.9000,27.2700,27.8000,5245599,144573141.4000
2019-04-16,sz.300174,27.4900,28.6000,26.6300,28.5000,27.2700,6147107,168782903.1700
2019-04-17,sz.300174,28.7400,31.3500,28.2700,31.3500,28.5000,11139216,335736404.4000
2019-04-18,sz.300174,32.2700,34.4900,31.4600,32.4900,31.3500,12070626,402015071.2900
2019-04-19,sz.300174,31.0400,33.3300,30.8100,31.7000,32.4900,8399587,267669443.8700
2019-04-22,sz.300174,32.0000,33.1000,31.0500,31.0500,31.7000,5181749,166388785.0300
2019-04-23,sz.300174,30.0000,32.9000,30.0000,30.5200,31.0500,3800368,118408670.7400
2019-04-24,sz.300174,30.9600,32.1600,29.8200,30.9600,30.5200,5831703,178887676.0200
2019-04-25,sz.300174,30.8000,31.3600,29.5900,30.5000,30.9600,3458080,106645106.0000
2019-04-26,sz.300174,30.1800,30.4900,28.6900,29.5400,30.5000,4314217,126456509.9700
2019-04-29,sz.300174,29.5800,29.8900,26.5900,27.9200,29.5400,4186956,117689386.0100
2019-04-30,sz.300174,27.8000,28.8700,27.2000,28.5900,27.9200,3045211,85432721.2000
2019-05-06,sz.300174,26.9000,27.9600,25.7300,25.7300,28.5900,3226485,85845321.8000
2019-05-07,sz.300174,25.9900,26.3900,23.1600,24.1600,25.7300,5099032,125998297.3900
2019-05-08,sz.300174,24.5400,26.4800,23.5100,26.0600,24.1600,4728037,119538452.2800
2019-05-09,sz.300174,26.1900,26.9000,24.7000,25.1500,26.0600,3787239,97802997.7600
2019-05-10,sz.300174,25.6400,26.5000,24.5600,26.2000,25.1500,3242795,83954821.9200
2019-05-13,sz.300174,26.2000,26.9800,26.2000,26.8800,26.2000,2802510,74890625.5000
2019-05-14,sz.300174,27.0700,27.3900,25.7600,26.8100,26.8800,3443470,92952961.5000
2019-05-15,sz.300174,26.8300,27.3400,26.6000,27.1600,26.8100,3196739,86259640.7300
2019-05-16,sz.300174,26.8200,28.9400,26.8200,28.9400,27.1600,4601537,129059690.6400
2019-05-17,sz.300174,29.4900,30.5000,28.6600,28.9500,28.9400,5558554,163809548.4200
2019-05-20,sz.300174,28.9000,29.3400,27.0000,28.1000,28.9500,3097415,86801852.8000
2019-05-21,sz.300174,28.9800,28.9800,27.9100,28.3000,28.1000,2630492,74334659.0100
2019-05-22,sz.300174,28.3000,29.0000,27.1000,27.5600,28.3000,2158126,60112616.1000
2019-05-23,sz.300174,27.6300,27.8500,26.5000,26.5300,27.5600,2929970,79044560.8000
2019-05-24,sz.300174,26.5300,26.9800,26.1000,26.6800,26.5300,2069860,55153639.6000
2019-05-27,sz.300174,27.5000,27.5000,25.0000,26.6700,26.6800,2590020,68909608.4000
2019-05-28,sz.300174,26.7200,27.4800,26.0000,26.8300,26.6700,3872000,104753259.4000
2019-05-29,sz.300174,26.4500,27.1500,25.5300,26.0000,26.8300,3187147,83482781.0100
2019-05-30,sz.300174,26.4600,26.4800,25.5600,26.0200,26.0000,2462188,63912893.3200
2019-05-31,sz.300174,26.2000,26.3700,23.8000,25.3600,26.0200,3276397,82352466.3300
2019-06-03,sz.300174,25.3600,25.3900,24.0500,24.1700,25.3600,2874040,70548796.2000
2019-06-04,sz.300174,24.1200,24.5500,23.3300,23.5600,24.1700,1588762,38070768.3800
2019-06-05,sz.300174,23.9600,24.0900,21.2000,21.2000,23.5600,5552960,121379944.0300
2019-06-06,sz.300174,21.2000,22.0200,20.5000,21.0200,21.2000,3278650,69621934.3000
2019-06-10,sz.300174,21.0000,21.6800,18.9200,18.9200,21.0200,5375785,106035091.4900
2019-06-11,sz.300174,17.6000,20.5100,17.2600,20.0300,18.9200,9506212,180552049.1800
2019-06-12,sz.300174,20.2300,20.3800,19.3700,20.2000,20.0300,4947691,99546539.1500
2019-06-13,sz.300174,20.3400,20.3700,19.3000,19.5400,20.2000,4087165,80446153.1500
2019-06-14,sz.300174,20.3700,20.3700,18.5100,18.5100,19.5400,4011700,77778524.3000
2019-06-17,sz.300174,18.9000,20.3000,18.7600,19.7300,18.5100,3792680,74889312.0000
2019-06-18,sz.300174,19.8100,20.3300,19.7800,19.8900,19.7300,3353326,67135431.8800
2019-06-19,sz.300174,20.9900,21.0800,19.0500,19.8000,19.8900,4548374,90332148.6000
2019-06-20,sz.300174,19.5800,19.9700,19.1200,19.4600,19.8000,4467080,87653531.7300
2019-06-21,sz.300174,20.0600,20.7900,20.0600,20.7900,19.4600,4822636,98541967.6300
2019-06-24,sz.300174,20.9900,21.4900,19.7300,20.0000,20.7900,5412906,108794202.6200
2019-06-25,sz.300174,20.2000,20.2000,19.1900,20.0100,20.0000,2426822,47614039.6200
2019-06-26,sz.300174,20.0100,20.2000,19.4100,19.4800,20.0100,2587409,51215423.0100
2019-06-27,sz.300174,19.5200,20.1800,19.5200,20.1100,19.4800,3358721,67194996.1900
2019-06-28,sz.300174,20.1100,20.4400,19.4300,19.6800,20.1100,2513000,49646942.1500
2019-07-01,sz.300174,20.2600,20.6500,19.7700,20.5800,19.6800,3670793,74385509.9100
2019-07-02,sz.300174,20.6400,21.1400,20.2100,20.8200,20.5800,2565748,53143184.5600
2019-07-03,sz.300174,20.8400,20.9700,19.9000,20.0700,20.8200,1799760,36750589.6000
2019-07-04,sz.300174,20.5400,20.5800,19.3900,19.9000,20.0700,3099677,61677881.5000
2019-07-05,sz.300174,19.6100,20.2000,19.6100,20.1200,19.8500,2842513,56640259.1900
2019-07-08,sz.300174,20.0400,20.8600,19.4000,19.9900,20.1200,4180219,82926138.3300
2019-07-09,sz.300174,20.0100,20.5000,19.5000,20.2800,19.9900,2187922,44179396.9800
2019-07-10,sz.300174,20.3800,20.5300,19.7500,19.9200,20.2800,1618137,32486307.5400
2019-07-11,sz.300174,20.0000,20.1400,19.6300,19.8200,19.9200,995000,19784887.0000
2019-07-12,sz.300174,19.7300,20.1100,19.6100,19.9000,19.8200,1190990,23675296.7600
2019-07-15,sz.300174,19.6500,19.9900,19.3300,19.6900,19.9000,1786480,35104839.7500
2019-07-16,sz.300174,19.3600,20.4400,19.3600,20.4400,19.6900,2539700,51002032.0000
2019-07-17,sz.300174,21.1000,22.4800,21.0000,21.8000,20.4400,5435545,117078327.3800
2019-07-18,sz.300174,21.3200,22.1000,20.7800,21.6000,21.8000,2654719,56600558.3600
2019-07-19,sz.300174,21.2400,21.3400,20.8500,21.0200,21.6000,2044575,42980340.6300
2019-07-22,sz.300174,20.9800,20.9800,20.1000,20.4000,21.0200,1618300,32808587.5000
2019-07-23,sz.300174,19.5200,20.6000,19.5200,20.4000,20.4000,1154300,23327690.4700
2019-07-24,sz.300174,20.4100,20.5000,20.0300,20.0900,20.4000,1058253,21444878.3200
2019-07-25,sz.300174,20.1600,20.1600,19.6900,19.9000,20.0900,1707403,33940022.5500
2019-07-26,sz.300174,19.8800,19.9500,19.6200,19.8900,19.9000,621300,12300715.0000
