date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000009,4.3500,4.4100,4.2600,4.3000,4.3100,10189201,43979784.2400
2019-01-03,sz.000009,4.2800,4.3700,4.2300,4.2400,4.3000,10060634,43139817.2400
2019-01-04,sz.000009,4.2000,4.3900,4.1800,4.3700,4.2400,14053366,60621407.4500
2019-01-07,sz.000009,4.4300,4.5300,4.4100,4.4500,4.3700,16873481,75414218.2000
2019-01-08,sz.000009,4.4600,4.5600,4.4400,4.5200,4.4500,16860794,76235687.4600
2019-01-09,sz.000009,4.5500,4.5700,4.4600,4.4800,4.5200,17954224,81301667.2800
2019-01-10,sz.000009,4.5000,4.5200,4.4100,4.4500,4.4800,10778570,48188377.7900
2019-01-11,sz.000009,4.4500,4.4700,4.4000,4.4700,4.4500,12109981,53761994.1400
2019-01-14,sz.000009,4.5000,4.5300,4.4400,4.4800,4.4700,10961837,49241883.5100
2019-01-15,sz.000009,4.5200,4.5600,4.4400,4.5200,4.4800,18253550,82074404.4400
2019-01-16,sz.000009,4.5200,4.5200,4.4300,4.4600,4.5200,15997200,71452953.3500
2019-01-17,sz.000009,4.4500,4.5000,4.3700,4.3800,4.4600,14893318,66094077.7800
2019-01-18,sz.000009,4.3900,4.4400,4.3300,4.4300,4.3800,16120540,71034627.7700
2019-01-21,sz.000009,4.4500,4.4700,4.4000,4.4500,4.4300,15113491,67034745.4800
2019-01-22,sz.000009,4.4200,4.4200,4.2500,4.2900,4.4500,20100736,86835996.3700
2019-01-23,sz.000009,4.2900,4.3700,4.2600,4.2900,4.2900,10227022,44116825.7400
2019-01-24,sz.000009,4.3400,4.3500,4.2800,4.3000,4.2900,9974141,43063222.0200
2019-01-25,sz.000009,4.3000,4.3500,4.2800,4.2800,4.3000,9455062,40775130.9400
2019-01-28,sz.000009,4.3000,4.3500,4.2200,4.2200,4.2800,13775587,59196668.9800
2019-01-29,sz.000009,4.2300,4.2500,4.0800,4.1900,4.2200,13959013,58099570.9900
2019-01-30,sz.000009,4.1800,4.2100,4.1200,4.1400,4.1900,9668020,40297357.8300
2019-01-31,sz.000009,4.1800,4.1900,4.0200,4.0700,4.1400,14460890,59454079.2500
2019-02-01,sz.000009,4.0900,4.2600,4.0800,4.2400,4.0700,12125186,50851136.3000
