date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603596,22.9000,23.0800,22.4200,22.4300,22.8700,3511392,79994209.0000
2019-01-03,sh.603596,22.3600,22.4200,20.1900,20.1900,22.4300,6257665,130869851.0000
2019-01-04,sh.603596,19.5100,20.3800,19.3000,20.2500,20.1900,3605056,72055728.0000
2019-01-07,sh.603596,20.4000,20.7600,20.3000,20.5900,20.2500,2956445,60775076.0000
2019-01-08,sh.603596,20.4000,20.6400,19.9200,20.0000,20.5900,3229626,65211460.0000
2019-01-09,sh.603596,20.3300,20.8700,20.2400,20.2500,20.0000,4035915,83003432.0000
2019-01-10,sh.603596,20.1000,20.2500,19.8800,20.0500,20.2500,2839044,56859824.0000
2019-01-11,sh.603596,20.0500,20.8600,19.5600,20.7000,20.0500,5034876,101822926.0000
2019-01-14,sh.603596,20.7200,21.5000,20.4800,21.1900,20.7000,6730507,141663728.0000
2019-01-15,sh.603596,20.8600,20.9900,20.4100,20.8900,21.1900,4008018,83129536.0000
2019-01-16,sh.603596,20.8000,21.0800,20.6700,20.8900,20.8900,2996712,62585818.0000
2019-01-17,sh.603596,20.7500,20.8800,20.2400,20.3200,20.8900,2534121,52004291.0000
2019-01-18,sh.603596,20.5000,20.5000,20.0000,20.3100,20.3200,2215121,44931423.0000
2019-01-21,sh.603596,20.3600,20.5000,20.2200,20.3000,20.3100,1827498,37151864.0000
2019-01-22,sh.603596,20.3000,20.9500,20.2100,20.7500,20.3000,3532065,73002742.0000
2019-01-23,sh.603596,21.0200,21.8900,20.8000,21.7900,20.7500,7734876,165973439.0000
2019-01-24,sh.603596,21.3500,21.7200,21.2300,21.2600,21.7900,5045683,107867170.0000
2019-01-25,sh.603596,21.0700,21.2600,20.2200,20.2900,21.2600,3797265,78876044.0000
2019-01-28,sh.603596,20.3700,20.5900,19.9300,20.0800,20.2900,2218133,44844926.0000
2019-01-29,sh.603596,19.9600,20.0800,18.5600,19.4600,20.0800,2430549,47038732.0000
2019-01-30,sh.603596,19.3500,19.6600,19.0000,19.1000,19.4600,1415650,27376974.0000
2019-01-31,sh.603596,19.1000,19.3500,17.6200,17.9700,19.1000,2648980,48980901.0000
2019-02-01,sh.603596,18.1600,18.7900,18.1600,18.6600,17.9700,1413580,26189973.0000
2019-02-11,sh.603596,18.8200,19.2500,18.8200,19.2200,18.6600,1537832,29315976.0000
2019-02-12,sh.603596,19.2500,19.5600,19.1300,19.3400,19.2200,1731317,33491309.0000
2019-02-13,sh.603596,19.4100,19.9000,19.1900,19.7000,19.3400,2394033,46926549.0000
2019-02-14,sh.603596,19.7000,20.0400,19.5100,19.7300,19.7000,2524149,49965813.0000
2019-02-15,sh.603596,19.7800,19.7800,19.4400,19.6000,19.7300,1719432,33721508.0000
2019-02-18,sh.603596,20.5100,20.8500,20.0600,20.4300,19.6000,3828251,77872983.0000
2019-02-19,sh.603596,20.3500,20.4700,19.9100,20.1900,20.4300,3292997,66711888.0000
2019-02-20,sh.603596,20.2300,20.3900,20.0500,20.2700,20.1900,2192153,44353465.0000
2019-02-21,sh.603596,20.2600,20.6400,20.0400,20.1100,20.2700,3616689,73534569.0000
2019-02-22,sh.603596,20.1100,20.4400,19.9600,20.3600,20.1100,3216184,64984046.0000
2019-02-25,sh.603596,20.5600,21.3300,20.3600,21.1900,20.3600,6449345,134719399.0000
2019-02-26,sh.603596,21.1900,21.6700,20.8900,21.2300,21.1900,6577694,140090138.0000
2019-02-27,sh.603596,21.2400,23.2800,21.2300,22.5200,21.2300,10553580,231544297.0000
2019-02-28,sh.603596,22.1500,22.9300,21.9000,22.2100,22.5200,7327014,163614479.0000
2019-03-01,sh.603596,22.2600,22.2900,21.2600,21.6400,22.2100,5253617,113708068.0000
2019-03-04,sh.603596,21.8600,22.2200,21.6000,21.8500,21.6400,5796454,126922020.0000
2019-03-05,sh.603596,21.6500,22.4500,21.6500,22.4500,21.8500,5942395,131639603.0000
2019-03-06,sh.603596,22.5100,23.0000,21.9600,22.7200,22.4500,7054967,158770263.0000
2019-03-07,sh.603596,22.6200,24.9500,22.2000,24.1500,22.7200,12438052,292861684.0000
2019-03-08,sh.603596,23.5000,24.7600,22.6000,24.1700,24.1500,10211873,241599447.0000
2019-03-11,sh.603596,23.9900,25.9800,23.7000,25.6300,24.1700,12001893,298507733.0000
2019-03-12,sh.603596,25.5300,25.6900,24.8700,25.4300,25.6300,8873955,223964528.0000
2019-03-13,sh.603596,25.2000,25.2800,23.7000,23.8600,25.4300,6698280,165489210.0000
2019-03-14,sh.603596,23.7800,24.3000,22.1600,23.0500,23.8600,5104635,117901420.0000
