date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.601799,47.0000,47.7400,46.1000,47.0000,47.5000,1229367,57408895.0000
2019-01-03,sh.601799,47.1400,47.1400,44.9000,46.4100,47.0000,1794534,82567705.0000
2019-01-04,sh.601799,45.4500,45.7100,44.2000,44.8900,46.4100,1910538,85644226.0000
2019-01-07,sh.601799,45.2000,47.7800,44.9500,46.3000,44.8900,1394355,64357450.0000
2019-01-08,sh.601799,46.2400,47.0700,45.4000,45.7800,46.3000,1216860,56231621.0000
2019-01-09,sh.601799,46.4000,50.3400,46.4000,48.8100,45.7800,2735439,134094602.0000
2019-01-10,sh.601799,48.7900,50.0800,48.0900,49.8000,48.8100,1410383,69762344.0000
2019-01-11,sh.601799,49.8000,51.1400,49.3200,49.7300,49.8000,1041425,52245031.0000
2019-01-14,sh.601799,50.4000,51.5100,50.1100,51.1500,49.7300,1467280,74930452.0000
2019-01-15,sh.601799,50.1000,52.4000,50.1000,51.9900,51.1500,1042822,53667861.0000
2019-01-16,sh.601799,52.3100,52.5000,51.4000,52.2000,51.9900,886795,46122399.0000
2019-01-17,sh.601799,51.2600,52.4700,50.9300,51.0600,52.2000,1027133,52645552.0000
2019-01-18,sh.601799,51.5800,52.3000,51.2100,52.1100,51.0600,657720,34131581.0000
2019-01-21,sh.601799,52.1100,54.1700,52.1100,53.6200,52.1100,809487,43074702.0000
2019-01-22,sh.601799,54.1100,54.1100,51.3900,52.7400,53.6200,1211612,63020750.0000
2019-01-23,sh.601799,51.9500,52.9800,51.7300,52.1500,52.7400,792260,41432952.0000
2019-01-24,sh.601799,52.6000,53.7100,52.0000,53.4500,52.1500,894366,47441426.0000
2019-01-25,sh.601799,53.2500,54.0400,52.5200,53.3600,53.4500,747606,39950348.0000
2019-01-28,sh.601799,53.2900,53.5000,51.8800,52.4000,53.3600,619471,32607096.0000
2019-01-29,sh.601799,52.4000,53.4600,51.8400,52.2900,52.4000,668421,35089201.0000
2019-01-30,sh.601799,52.3700,53.2000,51.9800,52.0500,52.2900,419116,21986432.0000
2019-01-31,sh.601799,52.0500,53.5000,51.5100,51.8700,52.0500,531613,27763321.0000
