date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002906,9.8200,9.8500,9.7200,9.7400,9.7600,964400,9429939.0000
2019-01-03,sz.002906,9.7200,9.9600,9.5800,9.7500,9.7400,1243300,12171963.0000
2019-01-04,sz.002906,9.6300,9.9500,9.6200,9.9400,9.7500,1615620,15922514.7500
2019-01-07,sz.002906,9.9900,10.4800,9.9900,10.3500,9.9400,3096521,31757113.9300
2019-01-08,sz.002906,10.3500,10.3500,10.1000,10.2000,10.3500,1995421,20353258.6200
2019-01-09,sz.002906,10.4000,10.6600,10.2800,10.6000,10.2000,4909147,51409528.7200
2019-01-10,sz.002906,10.6000,10.7200,10.2900,10.3600,10.6000,4163720,43490352.0500
2019-01-11,sz.002906,10.5000,10.9000,10.1500,10.5600,10.3600,4034736,42945952.0400
2019-01-14,sz.002906,10.4600,10.5500,10.2200,10.2700,10.5600,2775121,28516289.0400
2019-01-15,sz.002906,10.6200,10.6600,10.2900,10.3900,10.2700,2249136,23482801.2500
2019-01-16,sz.002906,10.4600,10.5400,10.3400,10.3900,10.3900,1762621,18347961.7700
2019-01-17,sz.002906,10.3900,10.3900,10.1000,10.1300,10.3900,2043700,20817968.0000
2019-01-18,sz.002906,10.0800,10.1900,10.0800,10.1400,10.1300,1116400,11306577.0000
2019-01-21,sz.002906,10.1200,10.2300,10.1000,10.1800,10.1400,1088800,11092030.0000
2019-01-22,sz.002906,10.1800,10.2100,10.0400,10.0900,10.1800,960000,9706783.0000
2019-01-23,sz.002906,10.0500,10.1500,10.0500,10.0900,10.0900,894119,9028029.7100
2019-01-24,sz.002906,10.1600,10.2000,10.0900,10.1700,10.0900,1074000,10911173.0000
2019-01-25,sz.002906,10.1400,10.1700,9.9700,9.9900,10.1700,1357685,13645980.3000
2019-01-28,sz.002906,10.0300,10.1300,9.9400,9.9500,9.9900,935500,9373556.0000
2019-01-29,sz.002906,9.9200,9.9900,9.5800,9.7600,9.9500,1351400,13187351.0000
2019-01-30,sz.002906,9.4500,9.5600,9.0000,9.0000,9.7600,2424800,22441232.7900
2019-01-31,sz.002906,8.9600,9.1200,8.5500,8.7700,9.0000,1754436,15524789.5200
2019-02-01,sz.002906,8.7600,9.0700,8.7600,9.0400,8.7700,866921,7761662.4800
2019-02-11,sz.002906,9.0100,9.3200,9.0100,9.2900,9.0400,1082821,9972371.5700
2019-02-12,sz.002906,9.3100,9.4900,9.2900,9.4600,9.2900,1541642,14533599.4300
2019-02-13,sz.002906,9.4500,9.7400,9.4200,9.6800,9.4600,1919485,18451323.3000
2019-02-14,sz.002906,9.6400,9.7700,9.5900,9.7000,9.6800,1419963,13763376.6800
2019-02-15,sz.002906,9.7000,9.8100,9.6400,9.6600,9.7000,1612775,15664403.0000
2019-02-18,sz.002906,9.7800,10.0500,9.6600,10.0200,9.6600,2480842,24640559.3200
2019-02-19,sz.002906,10.1600,10.2400,9.9000,10.0800,10.0200,2258100,22688177.0000
2019-02-20,sz.002906,10.1300,10.1300,9.9600,10.0400,10.0800,1659338,16655063.4700
2019-02-21,sz.002906,10.0300,10.2000,9.9300,9.9600,10.0400,2880240,29077399.3400
2019-02-22,sz.002906,9.9500,10.1600,9.9000,10.1400,9.9600,2673610,26867209.7000
2019-02-25,sz.002906,10.2600,10.7200,10.1700,10.6000,10.1400,4600429,48139307.8500
2019-02-26,sz.002906,10.6600,10.9600,10.5500,10.6400,10.6000,4805021,51878024.8000
2019-02-27,sz.002906,10.6600,10.8500,10.4400,10.7600,10.6400,3376100,36073725.0000
2019-02-28,sz.002906,10.7800,11.4000,10.6800,11.0100,10.7600,5865053,64783754.8000
2019-03-01,sz.002906,11.0300,11.1400,10.7300,10.8200,11.0100,3895282,42144774.7800
2019-03-04,sz.002906,10.8200,11.0700,10.8000,10.8300,10.8200,4030089,44064368.7100
2019-03-05,sz.002906,10.8600,11.2800,10.8000,11.1800,10.8300,4751956,52378980.7900
2019-03-06,sz.002906,11.2900,11.5900,11.0300,11.5700,11.1800,7065135,79841677.9700
2019-03-07,sz.002906,11.2800,11.8800,11.2800,11.6700,11.5700,7601293,87927394.5300
2019-03-08,sz.002906,11.4900,11.9800,11.1200,11.1300,11.6700,6785462,78294812.7600
2019-03-11,sz.002906,11.3800,11.8400,11.2700,11.7800,11.1300,5829266,67536203.6800
2019-03-12,sz.002906,11.8100,12.3000,11.7200,12.2000,11.7800,8331719,99659298.0500
2019-03-13,sz.002906,11.9600,12.5000,11.7100,11.9500,12.2000,9593105,115912668.7900
