date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603197,20.6600,20.8800,19.8700,19.9500,20.6600,888840,17968554.0000
2019-01-03,sh.603197,19.7300,20.5000,19.7100,19.7200,19.9500,427233,8551935.0000
2019-01-04,sh.603197,19.7000,20.3700,19.1200,20.1000,19.7200,836373,16746479.0000
2019-01-07,sh.603197,20.3000,21.2200,20.1900,20.8900,20.1000,1197919,24913393.0000
2019-01-08,sh.603197,20.9700,21.6000,20.7100,20.8900,20.8900,1086280,22760763.0000
2019-01-09,sh.603197,21.0000,21.4900,20.9100,20.9900,20.8900,1425360,30296675.0000
2019-01-10,sh.603197,20.9300,21.2000,20.4000,20.5000,20.9900,982380,20305155.0000
2019-01-11,sh.603197,20.4700,20.9700,20.4600,20.6800,20.5000,708120,14665890.0000
2019-01-14,sh.603197,20.5200,20.9400,20.5200,20.6400,20.6800,428757,8868283.0000
2019-01-15,sh.603197,20.8800,20.8800,20.0000,20.6400,20.6400,556055,11347308.0000
2019-01-16,sh.603197,20.7200,21.5000,20.7200,20.8600,20.6400,602760,12666347.0000
2019-01-17,sh.603197,20.6500,20.6600,19.7200,19.8600,20.8600,1133599,22728577.0000
2019-01-18,sh.603197,19.9100,19.9700,19.4800,19.8300,19.8600,1039573,20500015.0000
2019-01-21,sh.603197,19.7000,19.9600,19.6000,19.6700,19.8300,624210,12333164.0000
2019-01-22,sh.603197,19.7900,19.8000,19.3200,19.4000,19.6700,466111,9106176.0000
2019-01-23,sh.603197,19.4000,19.7200,19.1000,19.2800,19.4000,585648,11327217.0000
2019-01-24,sh.603197,19.3800,19.5800,19.1000,19.3400,19.2800,616742,11935091.0000
2019-01-25,sh.603197,19.5400,20.1000,17.4100,19.7800,19.3400,1080498,20958372.0000
2019-01-28,sh.603197,19.8200,19.9000,19.4100,19.4200,19.7800,684961,13455121.0000
2019-01-29,sh.603197,19.4500,19.6000,18.6200,19.3000,19.4200,624540,11914321.0000
2019-01-30,sh.603197,19.3500,19.3500,18.9000,19.0700,19.3000,394660,7563864.0000
2019-01-31,sh.603197,19.0600,19.3000,18.2700,18.4100,19.0700,467100,8802177.0000
2019-02-01,sh.603197,18.4100,19.1500,18.4100,19.0700,18.4100,660620,12463168.0000
2019-02-11,sh.603197,19.0600,19.4000,19.0000,19.3300,19.0700,534620,10320454.0000
2019-02-12,sh.603197,19.5800,19.7000,19.2000,19.5600,19.3300,514739,10032777.0000
2019-02-13,sh.603197,19.8100,20.8800,19.5900,20.8400,19.5600,2157374,44088774.0000
2019-02-14,sh.603197,20.6800,21.1600,20.0000,20.8900,20.8400,1803408,37326885.0000
2019-02-15,sh.603197,20.9000,21.0400,20.5500,20.6700,20.8900,911859,18927213.0000
2019-02-18,sh.603197,20.8800,21.1000,20.5500,21.0300,20.6700,1370959,28699973.0000
2019-02-19,sh.603197,21.1700,21.1700,20.3500,20.7800,21.0300,1216620,25227771.0000
2019-02-20,sh.603197,20.7800,20.8700,20.4100,20.6600,20.7800,729838,15057041.0000
2019-02-21,sh.603197,20.6600,21.8800,20.2800,21.3400,20.6600,2261771,47994401.0000
2019-02-22,sh.603197,21.1000,21.4000,20.8100,21.3400,21.3400,1439559,30282411.0000
2019-02-25,sh.603197,21.2500,23.4700,21.0000,23.1700,21.3400,3789499,85524541.0000
2019-02-26,sh.603197,23.4600,24.6900,20.8500,23.4900,23.1700,3910253,92512265.0000
2019-02-27,sh.603197,23.0400,24.4800,22.9100,23.2000,23.4900,2853464,67823164.0000
2019-02-28,sh.603197,22.9600,23.1500,22.2900,22.7500,23.2000,1989411,45308502.0000
2019-03-01,sh.603197,22.9200,23.4000,22.4600,23.2500,22.7500,1849881,42515090.0000
2019-03-04,sh.603197,23.6200,24.9800,23.4900,24.4800,23.2500,3625908,88285340.0000
2019-03-05,sh.603197,24.9900,26.9300,24.5800,26.9100,24.4800,3775871,98771846.0000
2019-03-06,sh.603197,26.6500,27.8800,26.0500,26.8800,26.9100,3597240,96506813.0000
2019-03-07,sh.603197,26.6700,28.1900,26.3100,27.4100,26.8800,2910077,79040152.0000
2019-03-08,sh.603197,26.0500,29.0900,26.0500,27.3100,27.4100,3551055,99151748.0000
2019-03-11,sh.603197,27.2900,29.9700,27.2900,29.9700,27.3100,2785003,80714041.0000
2019-03-12,sh.603197,30.0000,32.3500,29.2500,30.3300,29.9700,2759226,83855618.0000
2019-03-13,sh.603197,30.5800,30.7000,28.6000,28.9500,30.3300,2205960,65837737.0000
2019-03-14,sh.603197,28.9800,29.8000,27.4300,29.1600,28.9500,2359228,66977276.0000
2019-03-15,sh.603197,29.7800,29.9800,27.7900,28.2300,29.1600,2444265,69957958.0000
2019-03-18,sh.603197,28.5400,28.7800,28.0100,28.5400,28.2300,1973149,56254097.0000
2019-03-19,sh.603197,28.7700,29.3500,28.1800,28.5200,28.5400,1694933,48722327.0000
2019-03-20,sh.603197,28.7900,28.8800,27.5000,28.4100,28.5200,2009843,56826132.0000
2019-03-21,sh.603197,28.3800,28.5700,27.6000,28.2100,28.4100,2003004,56387337.0000
2019-03-22,sh.603197,28.3700,28.3700,26.6000,27.3000,28.2100,3247880,88647878.0000
2019-03-25,sh.603197,27.4000,28.1200,26.7800,27.0600,27.3000,2622546,72103585.0000
2019-03-26,sh.603197,27.0400,27.5000,25.8100,26.3500,27.0600,2294895,60884152.0000
2019-03-27,sh.603197,26.3900,26.7900,25.7000,26.2900,26.3500,1179935,30908701.0000
2019-03-28,sh.603197,26.3500,26.3500,25.5100,25.5500,26.2900,1480240,38301189.0000
2019-03-29,sh.603197,25.6900,26.2000,25.3300,25.9500,25.5500,2181629,56438658.0000
2019-04-01,sh.603197,26.2700,27.4300,26.2700,26.9000,25.9500,3458338,93222587.0000
2019-04-02,sh.603197,27.0400,29.3800,27.0400,28.3400,26.9000,4280917,121333750.0000
2019-04-03,sh.603197,28.0000,30.3000,27.7000,30.2000,28.3400,4811679,142904158.0000
2019-04-04,sh.603197,30.2100,30.9900,29.3100,29.6000,30.2000,3272250,98322935.0000
2019-04-08,sh.603197,29.6000,30.3500,27.2500,28.0300,29.6000,3220680,91708932.0000
2019-04-09,sh.603197,28.0000,28.5400,27.5000,27.7600,28.0300,2171312,60821452.0000
2019-04-10,sh.603197,27.7100,28.8400,27.4100,28.5700,27.7600,1921881,54191583.0000
2019-04-11,sh.603197,28.5000,29.5600,28.0000,28.0600,28.5700,1777275,51235791.0000
2019-04-12,sh.603197,27.7900,28.5900,27.0000,28.1000,28.0600,2062755,57840607.0000
2019-04-15,sh.603197,28.4800,28.8800,26.5800,27.2700,28.1000,1972200,55554471.0000
2019-04-16,sh.603197,27.6600,27.6600,24.5800,26.6000,27.2700,4710697,121273698.0000
2019-04-17,sh.603197,26.1500,29.0800,26.1500,28.7600,26.6000,5737800,161592611.0000
