date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000559,5.1400,5.1600,5.1000,5.1300,5.1200,3357608,17215113.3600
2019-01-03,sz.000559,5.1300,5.2000,5.0700,5.0900,5.1300,3913216,20089115.2400
2019-01-04,sz.000559,5.0500,5.2300,5.0100,5.2300,5.0900,5069982,26180600.4000
2019-01-07,sz.000559,5.2300,5.3300,5.2300,5.3000,5.2300,5460901,28886085.5100
2019-01-08,sz.000559,5.3000,5.3100,5.2500,5.2700,5.3000,3936165,20767947.3000
2019-01-09,sz.000559,5.3000,5.4900,5.3000,5.4300,5.2700,11366148,61821625.4600
2019-01-10,sz.000559,5.4300,5.5600,5.3900,5.4500,5.4300,8490747,46476268.6200
2019-01-11,sz.000559,5.4500,5.6100,5.4500,5.5900,5.4500,10142138,56331790.8900
2019-01-14,sz.000559,5.6000,5.6400,5.5200,5.5400,5.5900,5282178,29372459.4500
2019-01-15,sz.000559,5.5200,5.6000,5.5200,5.5900,5.5400,6130120,34132411.8600
2019-01-16,sz.000559,5.6000,5.6300,5.5500,5.5700,5.5900,4182899,23360958.4400
2019-01-17,sz.000559,5.5600,5.6000,5.5000,5.5200,5.5700,4835433,26840985.7100
2019-01-18,sz.000559,5.5700,5.5800,5.5100,5.5800,5.5200,4507634,25045095.7000
2019-01-21,sz.000559,5.6000,5.6400,5.5300,5.5400,5.5800,4059060,22654553.8000
2019-01-22,sz.000559,5.5500,5.5800,5.4500,5.5000,5.5400,4578267,25233962.4600
2019-01-23,sz.000559,5.5200,5.5600,5.4300,5.4700,5.5000,6053675,33203449.4600
2019-01-24,sz.000559,5.4800,5.5800,5.4600,5.5500,5.4700,6089431,33703960.1800
2019-01-25,sz.000559,5.5500,5.6000,5.5100,5.5300,5.5500,5567683,30945695.7900
2019-01-28,sz.000559,5.5400,5.6000,5.4900,5.5000,5.5300,5007440,27750401.4500
2019-01-29,sz.000559,5.5000,5.5100,5.3000,5.4600,5.5000,7467517,40443409.0300
2019-01-30,sz.000559,5.4800,5.5200,5.3100,5.3200,5.4600,6140611,33223171.3300
2019-01-31,sz.000559,5.3200,5.4300,5.2600,5.2900,5.3200,6475340,34624283.2100
2019-02-01,sz.000559,5.3000,5.5300,5.3000,5.4900,5.2900,7108274,38729835.5500
2019-02-11,sz.000559,5.5000,5.6400,5.5000,5.6200,5.4900,6818044,38162436.0700
2019-02-12,sz.000559,5.6400,5.7500,5.6000,5.6900,5.6200,9493854,54025026.0200
2019-02-13,sz.000559,5.7000,5.8000,5.6300,5.7800,5.6900,10576171,60696940.7100
2019-02-14,sz.000559,5.7600,5.8100,5.7100,5.7600,5.7800,7526831,43333344.1200
2019-02-15,sz.000559,5.7500,5.8000,5.6900,5.7200,5.7600,7074964,40587031.8600
2019-02-18,sz.000559,5.7200,5.8800,5.7200,5.8700,5.7200,13391069,77867812.3000
2019-02-19,sz.000559,5.8600,5.9600,5.7800,5.8000,5.8700,10979619,64238877.9900
2019-02-20,sz.000559,5.8400,5.8500,5.7500,5.7900,5.8000,7350798,42602193.0400
2019-02-21,sz.000559,5.8100,5.9300,5.7600,5.7900,5.7900,12683945,74240654.2200
2019-02-22,sz.000559,5.7900,5.9100,5.7500,5.9100,5.7900,11817238,68962895.2800
2019-02-25,sz.000559,6.0000,6.2100,5.9300,6.2100,5.9100,25033663,152539607.4600
2019-02-26,sz.000559,6.2500,6.3500,6.1100,6.1800,6.2100,22907232,142617432.5300
2019-02-27,sz.000559,6.2700,6.2900,6.1000,6.1400,6.1800,16732302,103765259.1200
2019-02-28,sz.000559,6.1300,6.2400,6.1000,6.1000,6.1400,11528688,70961868.5500
2019-03-01,sz.000559,6.1500,6.2500,6.1000,6.1800,6.1000,12160037,74973274.3800
2019-03-04,sz.000559,6.2500,6.3800,6.1700,6.2600,6.1800,22400243,140905462.0100
2019-03-05,sz.000559,6.3000,6.4700,6.2200,6.4600,6.2600,20297384,129226377.2700
2019-03-06,sz.000559,6.5200,6.8000,6.5100,6.6900,6.4600,34368312,228943358.8800
2019-03-07,sz.000559,6.8700,7.3600,6.7100,7.3600,6.6900,55254231,392864214.3800
2019-03-08,sz.000559,7.3000,7.7500,7.0300,7.1000,7.3600,57669483,425339632.2300
2019-03-11,sz.000559,7.0800,7.3600,7.0700,7.2800,7.1000,28969514,209347904.6000
2019-03-12,sz.000559,7.2700,7.4600,7.2200,7.4000,7.2800,29596242,216672729.6100
2019-03-13,sz.000559,7.4100,7.4100,7.0500,7.0800,7.4000,27224291,195586521.9100
2019-03-14,sz.000559,7.0800,7.1800,6.7600,6.9200,7.0800,23717730,163932835.9800
2019-03-15,sz.000559,6.9000,7.0300,6.8200,6.8700,6.9200,14963366,103497459.9100
2019-03-18,sz.000559,7.0000,7.0300,6.8700,7.0100,6.8700,12763329,88971535.5600
2019-03-19,sz.000559,7.0400,7.0400,6.9100,6.9500,7.0100,10847123,75606658.1400
2019-03-20,sz.000559,6.9500,6.9900,6.7100,6.8700,6.9500,12990117,88842610.2300
2019-03-21,sz.000559,6.8900,7.4100,6.8500,7.0600,6.8700,26078531,183887675.6100
2019-03-22,sz.000559,7.0500,7.0500,6.8800,7.0100,7.0600,15085820,105054717.0400
2019-03-25,sz.000559,6.8900,7.1700,6.8300,7.0400,7.0100,17791285,123739993.3200
2019-03-26,sz.000559,7.1000,7.1000,6.6700,6.7100,7.0400,16108583,110862012.4800
2019-03-27,sz.000559,6.7300,6.8000,6.5800,6.7100,6.7100,8679138,58259679.6000
2019-03-28,sz.000559,6.6600,6.7100,6.5300,6.5500,6.7100,10033225,66415666.9600
2019-03-29,sz.000559,6.5100,6.7800,6.5100,6.7400,6.5500,11810005,78809252.9300
2019-04-01,sz.000559,6.7800,7.0400,6.7600,7.0000,6.7400,16697702,116293564.2800
2019-04-02,sz.000559,7.0800,7.2000,6.9500,6.9900,7.0000,15191237,107316490.3800
2019-04-03,sz.000559,6.9800,7.0900,6.9400,7.0500,6.9900,14938968,104761978.4600
2019-04-04,sz.000559,7.0400,7.1400,6.9600,7.0700,7.0500,17665797,124475365.2100
2019-04-08,sz.000559,7.2000,7.2000,6.9100,6.9700,7.0700,16740978,117979672.6400
2019-04-09,sz.000559,6.9800,7.1100,6.9100,7.0400,6.9700,12372596,87054277.2000
2019-04-10,sz.000559,7.0100,7.2000,6.9300,7.2000,7.0400,22412091,159524708.9200
2019-04-11,sz.000559,7.2000,7.4700,7.1100,7.1400,7.2000,31305308,228301741.8800
2019-04-12,sz.000559,7.0200,7.1400,6.9600,7.0100,7.1400,15430926,108588772.6500
2019-04-15,sz.000559,7.0500,7.1300,6.8400,6.8600,7.0100,13660634,95896599.3600
2019-04-16,sz.000559,6.8700,7.0000,6.7300,6.9900,6.8600,12974880,89092968.9500
2019-04-17,sz.000559,6.9700,7.2800,6.9400,7.2100,6.9900,25483522,182459239.4800
2019-04-18,sz.000559,7.2500,7.4300,7.1100,7.1300,7.2100,19700871,142915135.7900
2019-04-19,sz.000559,7.1700,7.7000,7.0800,7.6200,7.1300,50681936,376982214.8100
2019-04-22,sz.000559,7.5700,7.5700,7.1500,7.2300,7.6200,36985919,271238108.1100
2019-04-23,sz.000559,7.1900,7.2000,6.9400,7.0000,7.2300,23448827,165048191.7800
2019-04-24,sz.000559,7.0000,7.0700,6.8900,7.0200,7.0000,10962391,76786053.9400
2019-04-25,sz.000559,6.9500,7.0400,6.6400,6.6500,7.0200,15749738,107509049.5500
2019-04-26,sz.000559,6.6500,6.7600,6.6100,6.6300,6.6500,9061925,60593610.9300
2019-04-29,sz.000559,6.6800,6.7000,6.3000,6.3200,6.6300,14675067,94995971.1900
2019-04-30,sz.000559,6.4100,6.5200,6.3300,6.3900,6.3200,6832727,43905404.9000
2019-05-06,sz.000559,6.2000,6.2300,5.8200,5.8600,6.3900,14592745,88073469.9000
2019-05-07,sz.000559,5.9700,6.0500,5.8600,5.9900,5.8600,7993988,47596401.5600
2019-05-08,sz.000559,5.8200,6.3500,5.7000,6.1100,5.9900,14106694,87103819.2700
2019-05-09,sz.000559,6.2500,6.3000,6.1200,6.2500,6.1100,14108849,87771606.2300
2019-05-10,sz.000559,6.2500,6.7500,6.1800,6.5500,6.2500,21199912,138013849.3100
2019-05-13,sz.000559,6.5500,6.7000,6.4800,6.6500,6.5500,10806078,71302413.0900
2019-05-14,sz.000559,6.5200,6.6200,6.4000,6.4500,6.6500,11969064,77451972.3900
2019-05-15,sz.000559,6.4600,6.5500,6.4100,6.5200,6.4500,7659473,49604378.5000
2019-05-16,sz.000559,6.4200,6.5800,6.4200,6.5600,6.5200,7467217,48430303.8800
2019-05-17,sz.000559,6.3600,6.4000,6.0700,6.1000,6.3600,8709003,54215010.3900
2019-05-20,sz.000559,6.0800,6.2000,5.9700,6.1200,6.1000,8092262,49158354.4400
2019-05-21,sz.000559,6.0600,6.2600,6.0600,6.1500,6.1200,5352492,33051109.0000
2019-05-22,sz.000559,6.1700,6.2000,6.0500,6.0900,6.1500,4915572,29989781.2400
2019-05-23,sz.000559,6.0800,6.1100,5.9400,5.9500,6.0900,5676479,34118596.4400
2019-05-24,sz.000559,5.9700,6.0900,5.9500,5.9800,5.9500,4879514,29319419.8400
2019-05-27,sz.000559,5.9800,6.1100,5.9500,6.1000,5.9800,7749995,46934011.8000
2019-05-28,sz.000559,6.1100,6.1500,6.0200,6.0900,6.1000,6899992,42036508.4800
2019-05-29,sz.000559,6.0600,6.1100,6.0000,6.0600,6.0900,5548474,33495809.7200
2019-05-30,sz.000559,6.0100,6.0300,5.8900,5.9600,6.0600,4725713,28137746.4900
2019-05-31,sz.000559,6.0100,6.0400,5.9200,5.9500,5.9600,2753566,16492318.1000
2019-06-03,sz.000559,5.9500,6.0200,5.8400,5.8800,5.9500,4273662,25279684.5100
2019-06-04,sz.000559,5.8800,5.9300,5.7500,5.8000,5.8800,4197266,24473003.0500
2019-06-05,sz.000559,5.8800,5.9100,5.8000,5.8100,5.8000,2810421,16456144.3200
2019-06-06,sz.000559,5.8100,5.8600,5.7200,5.7300,5.8100,4104316,23675310.2400
2019-06-10,sz.000559,5.7700,5.8500,5.7500,5.7700,5.7300,4873850,28298702.3500
2019-06-11,sz.000559,5.7800,5.9700,5.7500,5.9700,5.7700,7890950,46483641.5900
