date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600482,21.9100,22.5600,21.1600,21.9900,22.2700,6702729,147634488.0000
2019-01-03,sh.600482,21.8400,22.0400,21.4400,21.8700,21.9900,2970808,64701240.0000
2019-01-04,sh.600482,21.6500,22.2200,21.6100,22.0000,21.8700,2150703,47227306.0000
2019-01-07,sh.600482,22.0700,22.4900,21.7700,21.9000,22.0000,4388018,97262390.0000
2019-01-08,sh.600482,21.9000,22.3500,21.8900,22.0400,21.9000,3495610,77406079.0000
2019-01-09,sh.600482,22.2600,22.3800,22.0000,22.0000,22.0400,2430610,54043012.0000
2019-01-10,sh.600482,22.0100,22.1800,21.8100,21.9200,22.0000,2144640,47179521.0000
2019-01-11,sh.600482,22.0700,22.3300,21.9900,22.3000,21.9200,2004240,44497794.0000
2019-01-14,sh.600482,22.1600,22.3500,21.9000,21.9300,22.3000,2966348,65349035.0000
2019-01-15,sh.600482,21.9100,22.0700,21.8100,21.9900,21.9300,2675284,58676447.0000
2019-01-16,sh.600482,22.1500,22.2000,21.8200,21.9300,21.9900,2589863,56825192.0000
2019-01-17,sh.600482,21.9900,23.0500,21.8700,22.2900,21.9300,4088880,90536542.0000
2019-01-18,sh.600482,22.2200,22.6800,22.0200,22.3600,22.2900,2631334,58631119.0000
2019-01-21,sh.600482,22.3500,22.7000,22.2500,22.6100,22.3600,2114062,47527063.0000
2019-01-22,sh.600482,22.4400,22.8800,22.4400,22.7800,22.6100,2145930,48745733.0000
2019-01-23,sh.600482,22.8700,22.9600,22.5500,22.7000,22.7800,1967829,44792700.0000
2019-01-24,sh.600482,22.8300,22.8900,22.4400,22.6100,22.7000,2287901,51907929.0000
2019-01-25,sh.600482,22.7600,22.9800,22.6400,22.7800,22.6100,1986798,45357787.0000
2019-01-28,sh.600482,22.8100,23.1000,22.8100,22.8500,22.7800,2218917,50961135.0000
2019-01-29,sh.600482,22.8100,22.9600,22.4200,22.7800,22.8500,1957674,44473370.0000
2019-01-30,sh.600482,22.9000,22.9000,22.5400,22.6000,22.7800,1198288,27257808.0000
2019-01-31,sh.600482,22.7700,22.7700,22.0500,22.0900,22.6000,1613726,36169882.0000
2019-02-01,sh.600482,22.4000,22.4000,21.8500,22.1700,22.0900,1510074,33395700.0000
2019-02-11,sh.600482,22.1800,22.4000,22.1000,22.2300,22.1700,1921669,42712964.0000
2019-02-12,sh.600482,22.1600,22.4400,22.1600,22.4400,22.2300,2459788,54919600.0000
2019-02-13,sh.600482,22.4400,22.8000,22.3500,22.7700,22.4400,2827741,63804392.0000
2019-02-14,sh.600482,22.7600,23.4900,22.7200,23.4700,22.7700,5735401,133405041.0000
2019-02-15,sh.600482,23.4700,23.4700,23.1800,23.2500,23.4700,2690578,62630678.0000
2019-02-18,sh.600482,23.3200,24.6500,23.1900,24.0500,23.2500,5555970,131707126.0000
2019-02-19,sh.600482,24.0600,24.2500,23.7100,23.8800,24.0500,4036244,96471137.0000
2019-02-20,sh.600482,23.9000,24.1600,23.5800,23.8700,23.8800,3561983,85046198.0000
2019-02-21,sh.600482,23.8700,24.0500,23.2500,23.3000,23.8700,4181442,99230191.0000
2019-02-22,sh.600482,23.2300,23.8800,23.1500,23.6300,23.3000,3391983,79856020.0000
2019-02-25,sh.600482,23.8100,25.2300,23.8100,24.9300,23.6300,7623617,186572223.0000
2019-02-26,sh.600482,24.9800,25.4800,24.5000,24.5200,24.9300,6041814,151049912.0000
2019-02-27,sh.600482,24.5400,26.1500,24.5000,25.5600,24.5200,10002041,255650641.0000
2019-02-28,sh.600482,25.8000,26.0100,25.0000,25.0000,25.5600,4666045,118469857.0000
2019-03-01,sh.600482,25.3000,25.5100,24.7100,25.3400,25.0000,3962268,99603194.0000
2019-03-04,sh.600482,25.4900,25.8800,25.0100,25.5500,25.3400,6613589,168829465.0000
2019-03-05,sh.600482,25.5700,25.6900,25.3200,25.6000,25.5500,4593295,116989086.0000
2019-03-06,sh.600482,25.5900,25.9900,25.2800,25.5500,25.6000,5438026,139209668.0000
2019-03-07,sh.600482,25.6500,26.3600,25.5100,25.5500,25.5500,10000905,259208501.0000
2019-03-08,sh.600482,25.0200,25.3000,24.0500,24.0600,25.5500,8495451,210099549.0000
2019-03-11,sh.600482,24.1600,24.6200,23.8800,24.1000,24.0600,11324883,273733048.0000
2019-03-12,sh.600482,24.3400,25.4000,23.9800,25.1100,24.1000,16690939,408566240.0000
2019-03-13,sh.600482,25.0000,25.2000,23.9200,24.2600,25.1100,13477934,330923658.0000
2019-03-14,sh.600482,24.0100,24.0300,23.3100,23.8500,24.2600,7161235,170291710.0000
2019-03-15,sh.600482,23.9800,23.9800,23.5200,23.7600,23.8500,5266880,125425024.0000
2019-03-18,sh.600482,24.2400,24.3900,23.8600,24.2900,23.7600,7846954,188726647.0000
2019-03-19,sh.600482,24.2800,24.4900,24.0300,24.4000,24.2900,6572009,159669009.0000
2019-03-20,sh.600482,24.3900,24.3900,23.6800,23.9200,24.4000,5753717,137777659.0000
2019-03-21,sh.600482,23.9900,24.4000,23.8700,24.2100,23.9200,5739644,138207968.0000
2019-03-22,sh.600482,24.1300,24.5700,23.8200,24.4400,24.2100,6051717,146558994.0000
2019-03-25,sh.600482,24.4500,26.2600,24.4500,25.5000,24.4400,15193132,386534215.0000
2019-03-26,sh.600482,25.5500,25.7100,24.7400,24.7500,25.5000,8258695,207400226.0000
2019-03-27,sh.600482,25.0500,25.4800,24.8700,25.0600,24.7500,7277681,182985188.0000
2019-03-28,sh.600482,25.1000,25.5000,24.8100,25.0500,25.0600,6148063,154599040.0000
2019-03-29,sh.600482,25.6800,26.8000,25.6800,26.4400,25.0500,15428347,406290569.0000
2019-04-01,sh.600482,27.0800,28.9900,26.6600,28.9900,26.4400,19641759,555993953.0000
2019-04-02,sh.600482,28.9900,29.8100,28.2700,28.5700,28.9900,20104515,581550768.0000
2019-04-03,sh.600482,28.1000,28.8200,27.8000,28.3700,28.5700,11942155,335702422.0000
2019-04-04,sh.600482,28.3000,28.7500,27.9100,28.2000,28.3700,11887206,336106214.0000
2019-04-08,sh.600482,29.9900,30.0000,27.5100,27.8200,28.2000,13092740,373860929.0000
2019-04-09,sh.600482,27.9000,28.2800,26.8800,27.1500,27.8200,10813680,294596990.0000
2019-04-10,sh.600482,27.4000,27.4100,26.7000,27.0000,27.1500,7418640,200449818.0000
2019-04-11,sh.600482,27.1400,27.3000,26.7200,26.7300,27.0000,5743426,155004002.0000
2019-04-12,sh.600482,26.5200,26.9500,26.4800,26.7100,26.7300,4151533,110712390.0000
2019-04-15,sh.600482,27.1000,27.3400,26.3100,26.3700,26.7100,6272220,168878913.0000
2019-04-16,sh.600482,26.1000,26.7500,26.1000,26.7200,26.3700,5190515,137217011.0000
2019-04-17,sh.600482,26.6400,27.4800,26.6400,27.3000,26.7200,7460640,202323203.0000
2019-04-18,sh.600482,27.1500,28.1000,26.7200,27.4400,27.3000,11818666,325033167.0000
2019-04-19,sh.600482,27.0000,27.4000,26.7500,27.1700,27.4400,6726829,182068393.0000
2019-04-22,sh.600482,27.2400,28.1200,27.1700,27.4700,27.1700,9030026,248798825.0000
2019-04-23,sh.600482,27.4300,27.4300,25.3000,25.6300,27.4700,9546993,250225065.0000
2019-04-24,sh.600482,25.5500,25.9900,25.1700,25.6900,25.6300,4876790,124788928.0000
2019-04-25,sh.600482,25.5600,25.6500,24.2900,24.3500,25.6900,6446035,159906353.0000
2019-04-26,sh.600482,24.0900,24.3900,23.4800,23.7700,24.3500,5440900,130516464.0000
2019-04-29,sh.600482,23.6000,24.0000,23.0000,23.0000,23.7700,4995265,116760436.0000
2019-04-30,sh.600482,23.0000,24.0500,23.0000,23.8000,23.0000,5258130,123750414.0000
2019-05-06,sh.600482,22.6800,23.1900,21.4800,21.9000,23.8000,7305628,163117200.0000
2019-05-07,sh.600482,22.0000,22.5500,21.7700,22.0400,21.9000,3562642,79093005.0000
2019-05-08,sh.600482,21.7100,22.6300,21.4800,22.2500,22.0400,4308602,95158691.0000
2019-05-09,sh.600482,22.0100,22.4600,21.9700,22.1600,22.2500,3532070,78438145.0000
2019-05-10,sh.600482,22.4500,22.7500,21.8100,22.6500,22.1600,4577599,102926252.0000
2019-05-13,sh.600482,22.7700,22.7800,22.4200,22.6000,22.6500,2709331,61283909.0000
2019-05-14,sh.600482,22.3300,22.8400,22.3000,22.4000,22.6000,2763265,62311316.0000
2019-05-15,sh.600482,22.6800,22.6800,22.2000,22.4200,22.4000,3666823,82099415.0000
2019-05-16,sh.600482,22.4300,22.7400,22.2700,22.4200,22.4200,3178913,71396400.0000
2019-05-17,sh.600482,22.4700,22.5400,21.3800,21.8300,22.4200,5793996,127519168.0000
2019-05-20,sh.600482,21.6000,22.3000,21.4100,22.0300,21.8300,3982652,86898399.0000
2019-05-21,sh.600482,22.1200,22.3800,22.0000,22.2500,22.0300,2346895,52201290.0000
2019-05-22,sh.600482,22.2700,22.4500,22.0000,22.3500,22.2500,2801997,62371252.0000
2019-05-23,sh.600482,22.3800,22.3800,21.9000,22.0800,22.3500,2879516,63612328.0000
2019-05-24,sh.600482,21.8900,22.1600,21.6200,21.6300,22.0800,2240131,49028294.0000
2019-05-27,sh.600482,21.6000,22.4200,21.5600,22.2400,21.6300,2686616,59313991.0000
2019-05-28,sh.600482,22.4000,22.9800,22.1900,22.6900,22.2400,6162157,139690831.0000
2019-05-29,sh.600482,22.5000,22.7900,22.4900,22.6200,22.6900,2017168,45701970.0000
2019-05-30,sh.600482,22.7300,22.7300,22.1800,22.2900,22.6200,1881036,42107981.0000
2019-05-31,sh.600482,22.4500,22.5800,22.3000,22.3000,22.2900,1663986,37331886.0000
2019-06-03,sh.600482,22.2600,22.6500,22.2100,22.5700,22.3000,2479298,55635153.0000
2019-06-04,sh.600482,22.5700,22.6000,21.8400,21.9500,22.5700,2956312,65254795.0000
2019-06-05,sh.600482,22.1300,22.3000,21.9900,22.0200,21.9500,1204556,26664685.0000
2019-06-06,sh.600482,22.0300,22.1900,21.7200,21.9000,22.0200,1931973,42351830.0000
2019-06-10,sh.600482,21.9000,22.2000,21.8700,22.1000,21.9000,1289681,28457900.0000
2019-06-11,sh.600482,22.2000,22.8800,22.0800,22.7600,22.1000,2792375,62976726.0000
2019-06-12,sh.600482,22.6600,22.8200,22.5600,22.6700,22.7600,1814871,41149804.0000
2019-06-13,sh.600482,22.5000,22.8000,22.5000,22.6400,22.6700,1879354,42574301.0000
2019-06-14,sh.600482,22.6000,23.8800,22.6000,22.8200,22.6400,5013238,116434873.0000
2019-06-17,sh.600482,23.2800,23.2800,22.5500,22.9100,22.8200,2015593,45984754.0000
2019-06-18,sh.600482,22.7700,22.8600,22.4000,22.6000,22.9100,1794832,40611220.0000
2019-06-19,sh.600482,22.9300,23.2500,22.8100,22.9900,22.6000,2298755,52903404.0000
2019-06-20,sh.600482,22.9700,23.5800,22.8100,23.4100,22.9900,3183703,74244057.0000
2019-06-21,sh.600482,23.6200,23.7600,23.4200,23.5700,23.4100,2881052,67917501.0000
2019-06-24,sh.600482,23.5700,23.7500,23.4700,23.6800,23.5700,1908252,45089753.0000
2019-06-25,sh.600482,23.4900,23.7000,23.1600,23.4000,23.6800,1892289,44330773.0000
2019-06-26,sh.600482,23.2700,23.9200,23.1600,23.8500,23.4000,2365243,55956207.0000
2019-06-27,sh.600482,26.2300,26.2400,24.3100,24.3800,23.8500,11133576,281826317.0000
2019-06-28,sh.600482,24.3800,24.5300,23.5300,23.6200,24.3800,5059566,120696507.0000
2019-07-01,sh.600482,23.7800,24.0900,23.6900,23.9000,23.6200,4450067,106323498.0000
2019-07-02,sh.600482,26.2000,26.2900,25.0100,25.2600,23.9000,13383234,342699439.0000
2019-07-03,sh.600482,25.2500,27.1500,24.6600,26.4100,25.2600,15516228,403648699.0000
2019-07-04,sh.600482,26.0000,27.4900,25.6800,25.9700,26.4100,17712649,473779500.0000
2019-07-05,sh.600482,25.8300,25.8300,24.8200,25.0200,25.9700,8408258,212232569.0000
2019-07-08,sh.600482,24.8500,25.1800,23.7800,24.1000,25.0200,7736603,187396820.0000
2019-07-09,sh.600482,24.1700,24.6800,23.8200,24.3300,24.1000,4414513,106987024.0000
2019-07-10,sh.600482,24.1800,24.6500,24.0100,24.3600,24.3300,3630703,88339529.0000
2019-07-11,sh.600482,24.3600,24.6900,24.1700,24.2600,24.3600,3309452,80682699.0000
2019-07-12,sh.600482,24.1600,24.4200,23.8800,23.8800,24.2600,2482134,59755345.0000
2019-07-15,sh.600482,23.9900,24.7300,23.7000,24.6100,23.8800,5412655,131816911.0000
2019-07-16,sh.600482,24.3800,24.6600,24.1300,24.3100,24.6100,3118233,75987886.0000
2019-07-17,sh.600482,24.4500,24.6800,24.2800,24.3500,24.3100,2566029,62728176.0000
2019-07-18,sh.600482,24.1000,24.1000,23.6600,23.6600,24.3500,3226500,76833100.0000
2019-07-19,sh.600482,23.7300,24.0500,23.4700,23.7800,23.6600,2052993,49015031.0000
2019-07-22,sh.600482,23.7000,23.8600,23.0600,23.3200,23.7800,3375678,79338970.0000
2019-07-23,sh.600482,23.3400,23.8100,23.3400,23.6100,23.3200,2068151,48911052.0000
2019-07-24,sh.600482,23.8500,24.1300,23.7000,23.9500,23.6100,2491155,59731381.0000
2019-07-25,sh.600482,23.9400,24.0800,23.7300,24.0300,23.9500,1681347,40310299.0000
2019-07-26,sh.600482,23.8400,24.5800,23.8400,24.3800,24.0300,2547375,61891666.0000
2019-07-29,sh.600482,24.2500,24.6900,24.1900,24.6400,24.3800,3083521,75728590.0000
2019-07-30,sh.600482,24.6800,24.8400,24.4100,24.6200,24.6400,3044691,75107346.0000
2019-07-31,sh.600482,24.6900,25.4100,24.3100,25.3100,24.6200,5609456,140447073.0000
2019-08-01,sh.600482,25.0800,25.2600,24.8100,24.8100,25.3100,3687983,92141077.0000
2019-08-02,sh.600482,24.2900,24.6800,24.0400,24.5300,24.8100,3281232,80024417.0000
2019-08-05,sh.600482,24.4000,24.6800,23.7800,23.7800,24.5300,3546459,85922299.0000
2019-08-06,sh.600482,23.4000,23.4000,22.2300,22.8400,23.7800,4641672,106222420.0000
2019-08-07,sh.600482,22.8600,23.2000,22.3300,22.3700,22.8400,2646523,59778048.0000
2019-08-08,sh.600482,22.5600,24.1800,22.4600,24.0200,22.3700,7002455,164368163.0000
2019-08-09,sh.600482,23.9900,24.0000,22.8900,23.0100,24.0200,4498305,104683929.0000
2019-08-12,sh.600482,23.0800,23.2400,22.6900,23.0900,23.0100,2375152,54452173.0000
2019-08-13,sh.600482,22.8300,23.6500,22.7500,23.4000,23.0900,3195432,74538726.0000
2019-08-14,sh.600482,23.5600,24.9600,23.3100,24.6700,23.4000,5092321,122302089.0000
2019-08-15,sh.600482,23.9600,25.6900,23.7100,24.6000,24.6700,7301736,180976556.0000
2019-08-16,sh.600482,24.7800,24.8000,24.0000,24.1800,24.6000,4235370,102868299.0000
2019-08-19,sh.600482,24.1800,24.6900,24.0400,24.5700,24.1800,4745673,115764932.0000
2019-08-20,sh.600482,24.5000,24.8600,24.3300,24.5600,24.5700,4351641,107099721.0000
2019-08-21,sh.600482,24.4800,24.7300,24.3000,24.3600,24.5600,3157651,77339802.0000
2019-08-22,sh.600482,24.4900,24.9500,24.3000,24.6000,24.3600,3738485,92064114.0000
2019-08-23,sh.600482,24.5000,24.7900,24.3300,24.4800,24.6000,2501685,61257597.0000
2019-08-26,sh.600482,23.8600,24.3900,23.8300,23.9300,24.4800,2839458,68197335.0000
2019-08-27,sh.600482,24.2700,24.7700,24.0000,24.5000,23.9300,5132718,125860320.0000
2019-08-28,sh.600482,24.5000,25.0500,24.3000,24.6800,24.5000,4793415,118845695.0000
2019-08-29,sh.600482,24.6800,24.8400,24.3600,24.3800,24.6800,3344730,82064418.0000
2019-08-30,sh.600482,24.7000,25.1700,24.4600,25.1000,24.3800,7328064,182478130.0000
2019-09-02,sh.600482,25.0500,25.7600,25.0500,25.6200,25.1000,8720546,222408877.0000
2019-09-03,sh.600482,25.4400,25.7500,25.1300,25.4400,25.6200,5555928,140792671.0000
2019-09-04,sh.600482,25.4400,25.4400,24.7800,25.0700,25.4400,4911943,122949469.0000
2019-09-05,sh.600482,25.1500,25.5000,25.0100,25.1800,25.0700,5849337,147878891.0000
2019-09-06,sh.600482,25.1800,25.3400,24.9700,25.1700,25.1800,3700658,93003301.0000
2019-09-09,sh.600482,25.2800,25.5200,25.1200,25.4000,25.1700,5051221,127662165.0000
2019-09-10,sh.600482,25.4000,25.8100,24.8900,24.9600,25.4000,8046585,203837540.0000
2019-09-11,sh.600482,25.0200,25.0200,24.3200,24.3500,24.9600,5390678,132480779.0000
2019-09-12,sh.600482,24.4300,24.6800,24.3400,24.6400,24.3500,3250732,79733335.0000
2019-09-16,sh.600482,24.6500,25.1300,24.6200,25.0600,24.6400,4806195,119855778.0000
2019-09-17,sh.600482,24.8000,25.1500,24.4600,24.6700,25.0600,4957466,123218731.0000
2019-09-18,sh.600482,24.5100,24.6600,23.6800,23.9200,24.6700,5215468,125179858.0000
2019-09-19,sh.600482,23.9100,24.1200,23.8000,24.0600,23.9200,2348137,56291205.0000
2019-09-20,sh.600482,24.0000,24.1600,23.8000,24.0600,24.0600,3125412,74905686.0000
2019-09-23,sh.600482,24.0000,24.2800,23.8100,23.9100,24.0600,2621241,62999399.0000
2019-09-24,sh.600482,23.9700,24.0800,23.6700,23.7600,23.9100,2228671,53107893.0000
2019-09-25,sh.600482,23.7200,24.1000,23.5500,23.6300,23.7600,3084373,73573229.0000
2019-09-26,sh.600482,23.5200,23.7900,22.7500,22.8600,23.6300,3777957,87423973.0000
