date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002580,5.0700,5.2500,5.0400,5.2500,5.0600,4528343,23232415.0400
2019-01-03,sz.002580,5.2300,5.3500,5.1600,5.1800,5.2500,5429909,28566439.6200
2019-01-04,sz.002580,5.0900,5.3400,5.0200,5.3000,5.1800,6138258,32026791.6000
2019-01-07,sz.002580,5.3300,5.4800,5.2800,5.4300,5.3000,7107830,38361725.3900
2019-01-08,sz.002580,5.3800,5.5700,5.3800,5.4700,5.4300,6381470,34980972.2300
2019-01-09,sz.002580,5.4500,5.5800,5.4100,5.4800,5.4700,7640851,42019920.2100
2019-01-10,sz.002580,5.4600,5.8200,5.4500,5.5100,5.4800,9049445,50690849.1700
2019-01-11,sz.002580,5.3600,5.8500,5.3600,5.7500,5.5100,14515962,82279454.7100
2019-01-14,sz.002580,5.7000,5.7400,5.4900,5.5400,5.7500,9274827,51932248.7800
2019-01-15,sz.002580,5.5300,6.0900,5.5000,6.0900,5.5400,29060573,173112677.3400
2019-01-16,sz.002580,6.0000,6.1600,5.7900,5.8300,6.0900,27283105,161814317.1700
2019-01-17,sz.002580,5.8300,5.9000,5.6900,5.7500,5.8300,15872221,91484195.0700
2019-01-18,sz.002580,5.7600,5.8000,5.5900,5.6700,5.7500,10319720,58552900.4200
2019-01-21,sz.002580,5.7300,5.9500,5.7000,5.7700,5.6700,12551112,73219173.4400
2019-01-22,sz.002580,5.7300,5.7600,5.5500,5.5700,5.7700,8913351,50132909.5400
2019-01-23,sz.002580,5.5600,5.8500,5.5600,5.7500,5.5700,11401900,65350952.2300
2019-01-24,sz.002580,5.7000,5.7700,5.6200,5.6700,5.7500,8019869,45654539.8200
2019-01-25,sz.002580,5.6300,5.8500,5.6000,5.7300,5.6700,10919214,62485568.1600
2019-01-28,sz.002580,5.6900,5.7500,5.4200,5.5200,5.7300,12411505,68844475.2500
2019-01-29,sz.002580,5.5200,5.5300,5.0900,5.2400,5.5200,7946940,41768769.0000
2019-01-30,sz.002580,5.1600,5.3100,5.1600,5.1800,5.2400,3807948,19852039.0000
2019-01-31,sz.002580,5.2200,5.2300,4.9000,5.0000,5.1800,5452040,27685540.2000
2019-02-01,sz.002580,4.9600,5.3200,4.9600,5.2300,5.0000,4882880,25422447.8400
2019-02-11,sz.002580,5.3600,5.4300,5.2900,5.3800,5.2300,4477516,24099861.7600
2019-02-12,sz.002580,5.4000,5.4800,5.3500,5.4200,5.3800,5225833,28263597.3400
2019-02-13,sz.002580,5.4100,5.5200,5.3500,5.5000,5.4200,7999473,43652632.2300
2019-02-14,sz.002580,5.4800,5.5800,5.4400,5.5600,5.5000,7183513,39718554.7500
2019-02-15,sz.002580,5.5700,5.5700,5.4800,5.5300,5.5600,6578236,36361044.8000
2019-02-18,sz.002580,5.5600,5.7000,5.5500,5.7000,5.5300,8897944,50306147.4800
2019-02-19,sz.002580,5.6900,5.7600,5.6000,5.7300,5.7000,8752954,49706331.7800
2019-02-20,sz.002580,5.7000,5.7700,5.6500,5.7400,5.7300,7912163,45245522.2200
2019-02-21,sz.002580,5.7400,5.8400,5.6600,5.6700,5.7400,10254613,59016493.0000
2019-02-22,sz.002580,5.6500,5.7700,5.6000,5.7600,5.6700,9745973,55682351.5700
2019-02-25,sz.002580,5.8500,6.0400,5.7800,5.9900,5.7600,14915148,88221212.4300
2019-02-26,sz.002580,5.9900,6.1100,5.9100,5.9700,5.9900,15818355,94907996.8500
2019-02-27,sz.002580,5.9500,6.0200,5.8000,5.8600,5.9700,12265296,72723234.8400
2019-02-28,sz.002580,5.9300,6.1200,5.8500,5.9300,5.8600,10853360,64579873.7500
2019-03-01,sz.002580,5.9200,5.9700,5.8200,5.9000,5.9300,9538562,56178484.8900
2019-03-04,sz.002580,5.9600,6.0800,5.8500,5.9900,5.9000,14110791,84487151.0500
2019-03-05,sz.002580,5.9900,6.2500,5.9400,6.2000,5.9900,18720395,115082517.7600
2019-03-06,sz.002580,6.2300,6.3300,6.1000,6.2900,6.2000,18312078,114091814.2100
2019-03-07,sz.002580,6.2900,6.5200,6.2500,6.3800,6.2900,17111557,109280055.1900
2019-03-08,sz.002580,6.2800,6.5000,6.0000,6.0700,6.3800,17133014,106723924.3100
2019-03-11,sz.002580,5.9800,6.6000,5.9800,6.6000,6.0700,23502074,148335934.6800
2019-03-12,sz.002580,6.6000,6.7200,6.4100,6.5900,6.6000,25879815,169409731.4400
2019-03-13,sz.002580,6.7500,7.2500,6.7200,7.0700,6.5900,62817428,445690138.5600
2019-03-14,sz.002580,6.7300,6.7600,6.3600,6.3600,7.0700,38517849,249644227.5200
2019-03-15,sz.002580,6.3700,6.5300,6.3300,6.4600,6.3600,20801311,133510485.5200
2019-03-18,sz.002580,6.4600,6.4900,6.2900,6.4700,6.4600,14409752,92070004.6000
2019-03-19,sz.002580,6.4600,6.5700,6.3600,6.5200,6.4700,16689738,107683678.4100
2019-03-20,sz.002580,6.4800,6.4800,6.3000,6.4000,6.5200,11909968,76130871.1100
2019-03-21,sz.002580,6.4600,6.4700,6.3600,6.4100,6.4000,12992891,83483949.5400
2019-03-22,sz.002580,6.4000,6.4600,6.2900,6.4400,6.4100,10973478,70064437.9700
2019-03-25,sz.002580,6.3500,6.4400,6.2600,6.3900,6.4400,7659104,48813008.3100
2019-03-26,sz.002580,6.4300,6.4800,6.1300,6.2100,6.3900,11359149,71750243.9900
2019-03-27,sz.002580,6.2600,6.2600,5.9700,6.1500,6.2100,8471254,51933368.1000
2019-03-28,sz.002580,6.1200,6.2100,6.0400,6.1100,6.1500,5720085,35115127.7000
2019-03-29,sz.002580,6.1500,6.3200,6.0600,6.2900,6.1100,8417584,52176092.7500
2019-04-01,sz.002580,6.2900,6.4900,6.2900,6.4900,6.2900,11835903,76002532.8000
2019-04-02,sz.002580,6.5000,6.6800,6.4600,6.5300,6.4900,14327880,93886931.6000
2019-04-03,sz.002580,6.5000,6.6600,6.4600,6.6100,6.5300,12130028,80046091.3200
2019-04-04,sz.002580,6.6100,6.7900,6.5200,6.7000,6.6100,15457081,102952982.5300
2019-04-08,sz.002580,6.7000,6.7900,6.4200,6.5300,6.7000,13161094,86780177.7500
2019-04-09,sz.002580,6.5300,6.6100,6.4600,6.6100,6.5300,9036593,59158916.2000
2019-04-10,sz.002580,6.6100,6.6100,6.4500,6.5200,6.6100,8896344,58135060.1400
2019-04-11,sz.002580,6.6400,7.0700,6.6000,6.6400,6.5200,22188995,150337851.4400
2019-04-12,sz.002580,6.5100,6.6300,6.4500,6.6000,6.6400,10830879,70648764.0800
2019-04-15,sz.002580,6.6700,6.9000,6.6000,6.7300,6.6000,18536612,124698068.5200
2019-04-16,sz.002580,6.6500,7.2400,6.6300,7.1400,6.7300,30930838,215454216.1900
2019-04-17,sz.002580,7.0300,7.6600,7.0000,7.1300,7.1400,33288554,242210774.9700
2019-04-18,sz.002580,7.0800,7.1300,6.8600,6.8600,7.1300,18527411,129091415.0000
2019-04-19,sz.002580,6.8900,7.2700,6.8100,7.2500,6.8600,19348290,136431263.3600
2019-04-22,sz.002580,7.1100,7.1800,6.8300,6.8600,7.2500,17473149,122364480.8700
2019-04-23,sz.002580,6.8300,6.9300,6.4800,6.5600,6.8600,13244783,88420688.1000
2019-04-24,sz.002580,6.6100,6.7900,6.5800,6.7600,6.5600,8825459,59119711.7800
2019-04-25,sz.002580,6.7300,6.7300,6.2500,6.2500,6.7600,12272977,79592092.3400
2019-04-26,sz.002580,6.3400,6.3700,6.2100,6.2600,6.2500,5954679,37499724.9900
2019-04-29,sz.002580,6.2500,6.4500,5.8500,5.9100,6.2600,7863085,47453337.1400
2019-04-30,sz.002580,5.9300,6.1300,5.9200,6.0400,5.9100,4900320,29611643.0000
