date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.300217,2.3300,2.3800,2.3200,2.3700,2.3300,7806953,18418254.4800
2019-01-03,sz.300217,2.3700,2.3800,2.3400,2.3600,2.3700,5454850,12859606.0000
2019-01-04,sz.300217,2.3400,2.4200,2.3200,2.4000,2.3600,7647260,18207315.0900
2019-01-07,sz.300217,2.4200,2.6000,2.4000,2.5100,2.4000,17210863,42755695.2000
2019-01-08,sz.300217,2.5000,2.5300,2.4800,2.5100,2.5100,10005221,25087411.9000
2019-01-09,sz.300217,2.5400,2.6400,2.5100,2.5500,2.5100,26875810,69190700.7000
2019-01-10,sz.300217,2.5900,2.7000,2.5600,2.6100,2.5500,32463673,84937619.9900
2019-01-11,sz.300217,2.6500,2.6500,2.5800,2.6300,2.6100,24422264,63806095.0200
2019-01-14,sz.300217,2.6500,2.7300,2.6300,2.7100,2.6300,37032850,99320538.1000
2019-01-15,sz.300217,2.7100,2.7600,2.6500,2.7000,2.7100,29461590,79516895.5500
2019-01-16,sz.300217,2.7100,2.7100,2.6200,2.6300,2.7000,22156062,58995309.0500
2019-01-17,sz.300217,2.6600,2.7900,2.6500,2.7000,2.6300,51322913,139890166.9000
2019-01-18,sz.300217,2.7000,2.7800,2.6400,2.6700,2.7000,29843999,80713832.7300
2019-01-21,sz.300217,2.7200,2.7500,2.6700,2.7200,2.6700,23245343,62942965.5000
2019-01-22,sz.300217,2.7100,2.7200,2.6000,2.6200,2.7200,26182361,69048903.0300
2019-01-23,sz.300217,2.6200,2.6800,2.6100,2.6300,2.6200,16863240,44494108.2000
2019-01-24,sz.300217,2.6200,2.6400,2.5700,2.6000,2.6300,17938660,46865475.6000
2019-01-25,sz.300217,2.6100,2.7200,2.5800,2.6300,2.6000,23072901,60624986.2000
2019-01-28,sz.300217,2.6300,2.6300,2.5500,2.5700,2.6300,19983316,51848550.9600
2019-01-29,sz.300217,2.5500,2.5700,2.4900,2.5200,2.5700,14914298,37645628.9600
2019-01-30,sz.300217,2.5100,2.5500,2.5000,2.5000,2.5200,8356482,21077784.4600
2019-01-31,sz.300217,2.5000,2.5600,2.5000,2.5300,2.5000,10694620,27106078.7400
2019-02-01,sz.300217,2.5500,2.6000,2.5300,2.5900,2.5300,9992664,25637431.9800
2019-02-11,sz.300217,2.6000,2.6600,2.5900,2.6500,2.5900,19980415,52499982.7900
2019-02-12,sz.300217,2.6500,2.6700,2.6300,2.6500,2.6500,18349020,48625239.0000
2019-02-13,sz.300217,2.6500,2.7200,2.6500,2.6900,2.6500,20766180,55693128.4000
2019-02-14,sz.300217,2.6800,2.6900,2.6400,2.6500,2.6900,16970900,45144969.0000
2019-02-15,sz.300217,2.6600,2.6800,2.6400,2.6500,2.6500,13432600,35672603.2000
2019-02-18,sz.300217,2.6700,2.7400,2.6500,2.7300,2.6500,25898819,70107536.0100
2019-02-19,sz.300217,2.7400,2.7800,2.6700,2.7200,2.7300,30376141,82643450.7600
2019-02-20,sz.300217,2.7100,2.7200,2.6600,2.7100,2.7200,18890187,50874506.4000
2019-02-21,sz.300217,2.7100,2.7400,2.6700,2.6800,2.7100,27552624,74467665.0100
