date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002823,10.3300,10.4200,10.2200,10.2700,10.3100,699376,7200595.8100
2019-01-03,sz.002823,10.2600,10.3800,10.1500,10.1600,10.2700,951780,9725791.8800
2019-01-04,sz.002823,10.1000,10.3400,9.9600,10.3300,10.1600,1266366,12943193.4900
2019-01-07,sz.002823,10.4000,10.5500,10.3400,10.4700,10.3300,1556450,16264526.5000
2019-01-08,sz.002823,10.4900,10.4900,10.3600,10.4500,10.4700,1193008,12431334.2200
2019-01-09,sz.002823,10.5600,10.6800,10.4400,10.5000,10.4500,2186574,23147817.4700
2019-01-10,sz.002823,10.5000,10.5800,10.3700,10.4200,10.5000,1339742,14034322.7200
2019-01-11,sz.002823,10.5000,10.7000,10.3800,10.7000,10.4200,2223339,23523867.7700
2019-01-14,sz.002823,10.6800,10.9000,10.5800,10.6600,10.7000,2049027,21965444.2000
2019-01-15,sz.002823,10.5700,10.8900,10.5600,10.8600,10.6600,2793687,30189171.4900
2019-01-16,sz.002823,10.9000,10.9000,10.6800,10.8000,10.8600,1662212,17884151.7800
2019-01-17,sz.002823,10.8000,10.8000,10.4400,10.4500,10.8000,1686784,17893500.1500
2019-01-18,sz.002823,10.4500,10.5600,10.3200,10.5200,10.4500,2047414,21404576.2100
2019-01-21,sz.002823,10.5900,10.6200,10.4500,10.5300,10.5200,1658939,17503845.4400
2019-01-22,sz.002823,10.5800,10.6000,10.3700,10.4200,10.5300,1158532,12108996.2500
2019-01-23,sz.002823,10.4500,10.4500,10.2500,10.3900,10.4200,1517603,15655932.4500
2019-01-24,sz.002823,10.3200,10.4500,10.2700,10.4100,10.3900,717744,7463289.6900
2019-01-25,sz.002823,10.4000,10.6600,10.3300,10.4900,10.4100,1624185,17082406.1700
2019-01-28,sz.002823,10.4700,10.5800,10.2800,10.3500,10.4900,1338397,13888327.1000
2019-01-29,sz.002823,10.3000,10.3800,9.5100,10.0500,10.3500,1369533,13745369.4800
2019-01-30,sz.002823,9.9800,10.0600,9.9000,9.9300,10.0500,863955,8624152.7400
2019-01-31,sz.002823,9.8800,9.9800,9.6800,9.8400,9.9300,1129354,11105036.8600
2019-02-01,sz.002823,9.8200,10.0600,9.8100,10.0100,9.8400,888634,8830620.6300
2019-02-11,sz.002823,10.0500,10.2500,10.0200,10.2000,10.0100,1165335,11817360.1900
2019-02-12,sz.002823,10.2400,10.3000,10.1700,10.2800,10.2000,1091215,11183477.5900
2019-02-13,sz.002823,10.2900,10.4900,10.2400,10.4600,10.2800,1865171,19364853.4900
2019-02-14,sz.002823,10.4700,11.1300,10.4000,10.9600,10.4600,6911017,75064740.3500
2019-02-15,sz.002823,10.9000,10.9200,10.7000,10.8000,10.9600,3038766,32808916.2600
2019-02-18,sz.002823,10.8100,11.0900,10.7800,11.0400,10.8000,3766942,41234974.8700
2019-02-19,sz.002823,11.0800,11.1500,10.8500,11.0000,11.0400,3414217,37510385.4700
2019-02-20,sz.002823,11.1000,11.2800,10.9200,11.0900,11.0000,3283216,36472007.5600
2019-02-21,sz.002823,11.0400,11.2900,10.8800,10.9100,11.0900,3586031,39866386.7900
2019-02-22,sz.002823,10.8900,11.2400,10.8100,11.1900,10.9100,3247332,35928351.2000
2019-02-25,sz.002823,11.2500,11.6200,11.1800,11.5600,11.1900,5927055,67905849.7200
2019-02-26,sz.002823,11.5600,11.8600,11.3000,11.4600,11.5600,5239156,60420597.8800
2019-02-27,sz.002823,11.6800,11.6800,11.1900,11.3800,11.4600,4129795,46996278.1300
2019-02-28,sz.002823,11.3000,11.5400,11.2300,11.3800,11.3800,1955666,22297397.1900
2019-03-01,sz.002823,11.4300,11.5600,11.3600,11.4700,11.3800,2705830,31009245.3300
2019-03-04,sz.002823,11.5000,11.7300,11.4500,11.5600,11.4700,4412175,51157951.2900
2019-03-05,sz.002823,11.6800,11.9900,11.5100,11.9000,11.5600,4350560,51057539.6400
2019-03-06,sz.002823,11.9500,12.1000,11.7500,12.0400,11.9000,4413781,52613060.0000
2019-03-07,sz.002823,12.0900,12.2200,11.8500,12.0600,12.0400,4914142,59132675.6000
2019-03-08,sz.002823,11.7600,12.1200,11.4300,11.7500,12.0600,4415189,52117961.6100
2019-03-11,sz.002823,11.7600,12.9200,11.7600,12.9200,11.7500,7189790,88894686.9300
2019-03-12,sz.002823,12.9500,13.2700,12.5400,12.8500,12.9200,7242102,93196619.7700
2019-03-13,sz.002823,12.8500,12.9300,12.4200,12.5800,12.8500,3831793,48631485.2800
2019-03-14,sz.002823,12.5500,12.7200,12.0700,12.3700,12.5800,3198417,39617890.0900
2019-03-15,sz.002823,12.3700,12.8100,12.3700,12.7800,12.3700,4842086,61259408.1600
2019-03-18,sz.002823,12.7300,12.9200,12.5100,12.8300,12.7800,3447360,44029284.4000
2019-03-19,sz.002823,12.8700,13.1800,12.7300,12.8500,12.8300,3937022,51026681.3400
2019-03-20,sz.002823,12.9800,12.9800,12.5800,12.8200,12.8500,2420833,30918936.0000
2019-03-21,sz.002823,12.8400,13.1600,12.7600,12.8600,12.8200,3291966,42728005.9600
2019-03-22,sz.002823,12.7800,12.9700,12.5000,12.8400,12.8600,2311567,29471030.6800
2019-03-25,sz.002823,12.6500,12.8500,12.4800,12.7900,12.8400,1946567,24696511.4200
2019-03-26,sz.002823,12.6400,12.8300,12.3300,12.4500,12.7900,2038550,25510088.5600
2019-03-27,sz.002823,12.4200,12.5500,12.1700,12.3800,12.4500,1147467,14183166.2100
2019-03-28,sz.002823,12.3800,12.6700,12.3400,12.4600,12.3800,1808321,22709403.8400
