date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600577,2.9700,2.9800,2.9500,2.9500,2.9700,3586900,10626433.0000
2019-01-03,sh.600577,2.9500,2.9800,2.9400,2.9600,2.9500,5472743,16212135.0000
2019-01-04,sh.600577,2.9500,3.0300,2.9200,3.0300,2.9600,12216600,36696856.0000
2019-01-07,sh.600577,3.0400,3.1700,3.0200,3.1200,3.0300,22910195,70738221.0000
2019-01-08,sh.600577,3.1000,3.1200,3.0600,3.1000,3.1200,13615300,42037804.0000
2019-01-09,sh.600577,3.1100,3.1200,3.0700,3.1000,3.1000,13120590,40708923.0000
2019-01-10,sh.600577,3.0900,3.1200,3.0800,3.0900,3.1000,7957400,24646976.0000
2019-01-11,sh.600577,3.0900,3.1000,3.0600,3.1000,3.0900,7927308,24459541.0000
2019-01-14,sh.600577,3.1000,3.1100,3.0800,3.1000,3.1000,6562600,20334770.0000
2019-01-15,sh.600577,3.1100,3.1300,3.0900,3.1200,3.1000,7786002,24229456.0000
2019-01-16,sh.600577,3.1300,3.1400,3.0700,3.0800,3.1200,8145700,25309482.0000
2019-01-17,sh.600577,3.0700,3.1200,3.0600,3.0800,3.0800,6961676,21504248.0000
2019-01-18,sh.600577,3.0800,3.1000,3.0700,3.0900,3.0800,6270290,19346032.0000
2019-01-21,sh.600577,3.1000,3.1100,3.0900,3.1000,3.0900,5273400,16347599.0000
2019-01-22,sh.600577,3.1100,3.1200,3.0700,3.0700,3.1000,4867700,15046976.0000
2019-01-23,sh.600577,3.0700,3.1000,3.0600,3.1000,3.0700,4357501,13418299.0000
2019-01-24,sh.600577,3.1100,3.1300,3.0800,3.0900,3.1000,4826300,14958333.0000
2019-01-25,sh.600577,3.0900,3.1000,3.0600,3.0600,3.0900,6077400,18706675.0000
2019-01-28,sh.600577,3.0700,3.0900,3.0200,3.0200,3.0600,7316300,22334149.0000
2019-01-29,sh.600577,3.0500,3.1700,3.0100,3.1100,3.0200,23262700,71844892.0000
2019-01-30,sh.600577,3.0700,3.1000,3.0200,3.0200,3.1100,14814061,45002248.0000
2019-01-31,sh.600577,3.0100,3.0400,2.9400,2.9500,3.0200,11132868,33170698.0000
2019-02-01,sh.600577,2.9700,3.0200,2.9600,3.0100,2.9500,5812200,17435762.0000
