date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.603897,23.0100,23.2800,22.7400,22.8100,22.7900,2176373,50003632.0000
2019-01-03,sh.603897,22.6800,22.8000,21.9100,21.9300,22.8100,2706376,60266927.0000
2019-01-04,sh.603897,21.6900,22.5000,21.2400,22.4200,21.9300,2383965,52553626.0000
2019-01-07,sh.603897,22.6500,23.1300,22.5100,22.9200,22.4200,2317491,52967729.0000
2019-01-08,sh.603897,22.9300,22.9500,22.5900,22.6000,22.9200,1655388,37608478.0000
2019-01-09,sh.603897,22.8000,23.5000,22.5100,22.8100,22.6000,2703283,62500635.0000
2019-01-10,sh.603897,22.7200,23.1800,22.6600,23.1500,22.8100,2334000,53687084.0000
2019-01-11,sh.603897,23.0400,24.1700,22.9000,24.0300,23.1500,4685269,110533159.0000
2019-01-14,sh.603897,24.1100,24.2400,23.1600,23.4700,24.0300,3257722,76715379.0000
2019-01-15,sh.603897,23.2500,23.7500,23.1300,23.7000,23.4700,2500338,58743800.0000
2019-01-16,sh.603897,23.5600,23.7500,23.2300,23.3100,23.7000,2060778,48342243.0000
2019-01-17,sh.603897,23.3200,23.5300,22.5000,22.5100,23.3100,2102100,48307380.0000
2019-01-18,sh.603897,22.5100,23.0100,22.3000,22.9400,22.5100,2051942,46669424.0000
2019-01-21,sh.603897,22.8000,23.3700,22.6500,22.8500,22.9400,2277714,52391426.0000
2019-01-22,sh.603897,23.0600,23.7500,22.7800,23.6600,22.8500,4960034,116118337.0000
2019-01-23,sh.603897,23.5100,23.9200,23.2500,23.6400,23.6600,4049271,95552221.0000
2019-01-24,sh.603897,23.5800,24.4800,23.2800,24.0600,23.6400,4762734,112845397.0000
2019-01-25,sh.603897,23.7800,23.8700,23.0300,23.0600,24.0600,3359800,78865560.0000
2019-01-28,sh.603897,23.2000,23.4000,22.7100,22.8800,23.0600,1802677,41611341.0000
2019-01-29,sh.603897,22.5800,22.7800,20.5900,21.7300,22.8800,2658796,57944255.0000
2019-01-30,sh.603897,21.5200,21.9800,21.2200,21.3200,21.7300,1346400,29083027.0000
2019-01-31,sh.603897,21.5400,21.5400,20.0500,20.4800,21.3200,2101295,43672977.0000
2019-02-01,sh.603897,20.6800,21.0900,20.6800,20.9100,20.4800,1218650,25441826.0000
2019-02-11,sh.603897,20.9600,21.7000,20.9600,21.6400,20.9100,1440374,30897011.0000
2019-02-12,sh.603897,21.5400,22.1100,21.5400,21.8600,21.6400,1785896,38990927.0000
2019-02-13,sh.603897,21.8700,22.4900,21.7900,22.2900,21.8600,2615600,58024508.0000
2019-02-14,sh.603897,22.3000,22.4600,21.9400,22.2400,22.2900,2405063,53396227.0000
2019-02-15,sh.603897,22.2300,22.4500,22.0000,22.2500,22.2400,2056278,45805365.0000
2019-02-18,sh.603897,22.3700,23.1100,22.3500,23.0700,22.2500,3188332,72704654.0000
2019-02-19,sh.603897,23.0700,23.1200,22.4800,22.8200,23.0700,3414582,77899357.0000
2019-02-20,sh.603897,22.8300,22.8400,22.3000,22.7100,22.8200,2342683,52968334.0000
2019-02-21,sh.603897,22.7200,23.0700,22.5400,22.7100,22.7100,3062282,69799487.0000
2019-02-22,sh.603897,22.6000,23.1200,22.5000,23.1200,22.7100,2947355,67370846.0000
2019-02-25,sh.603897,23.2000,24.1800,23.2000,24.1800,23.1200,5380255,128004473.0000
2019-02-26,sh.603897,24.1300,24.7000,23.7100,24.2400,24.1800,6034871,145932877.0000
2019-02-27,sh.603897,24.3400,24.5700,23.7100,23.9900,24.2400,3977903,96227375.0000
2019-02-28,sh.603897,24.0000,24.6200,23.9100,24.2700,23.9900,3507181,84972802.0000
2019-03-01,sh.603897,24.1300,24.2300,23.5500,24.0000,24.2700,3728497,88869634.0000
