date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002281,26.7400,27.1100,26.5900,26.7200,26.8600,10356217,278118218.1000
2019-01-03,sz.002281,26.6100,26.7500,25.0800,25.4100,26.7200,16038496,413508175.1600
2019-01-04,sz.002281,24.9500,25.9500,24.8000,25.8000,25.4100,8943238,228267021.2000
2019-01-07,sz.002281,26.1000,26.9400,25.8600,26.9300,25.8000,16266306,431015535.9500
2019-01-08,sz.002281,26.8000,27.1500,26.5000,26.7800,26.9300,11048139,296396375.9900
2019-01-09,sz.002281,26.8600,27.3600,26.5200,26.6500,26.7800,13350765,360152648.4900
2019-01-10,sz.002281,26.6600,27.2900,26.4300,26.8000,26.6500,12826923,344614924.2000
2019-01-11,sz.002281,27.2300,28.1900,27.0100,27.0200,26.8000,21379391,588073841.8100
2019-01-14,sz.002281,26.8700,27.2800,26.6000,27.0700,27.0200,11305708,304071713.0100
2019-01-15,sz.002281,26.9700,27.4300,26.6000,27.3300,27.0700,13279769,359119300.5000
2019-01-16,sz.002281,27.2800,27.4800,27.0400,27.0700,27.3300,8457420,229988421.2000
2019-01-17,sz.002281,26.8300,27.3600,26.6500,26.6700,27.0700,8463952,228111027.9000
2019-01-18,sz.002281,26.5700,26.7900,26.1000,26.5100,26.6700,9694253,256389465.8600
2019-01-21,sz.002281,26.5900,27.4500,26.4300,27.1600,26.5100,13314382,360117913.1300
2019-01-22,sz.002281,27.0100,27.1100,26.2200,26.5300,27.1600,10964431,292501678.7500
2019-01-23,sz.002281,26.3000,26.5600,26.0800,26.3500,26.5300,6995430,183793570.0700
2019-01-24,sz.002281,26.4000,27.0000,26.1100,26.5500,26.3500,8942147,238358260.7200
2019-01-25,sz.002281,26.6100,26.7200,26.2000,26.2800,26.5500,6998793,184835425.7700
2019-01-28,sz.002281,26.2500,26.8700,26.2300,26.3100,26.2800,8643987,229428946.0100
2019-01-29,sz.002281,26.2000,26.3000,25.4700,25.9000,26.3100,9849906,254747771.5700
2019-01-30,sz.002281,25.9800,26.4500,25.8000,25.9400,25.9000,7042086,184439888.1700
2019-01-31,sz.002281,25.8100,26.4800,25.8100,26.0000,25.9400,7167901,187535320.6300
2019-02-01,sz.002281,26.1200,26.5900,26.0900,26.5800,26.0000,8320467,219905398.9900
2019-02-11,sz.002281,26.6200,27.3500,26.6200,27.2100,26.5800,12813067,347712038.6400
2019-02-12,sz.002281,27.2100,27.3400,26.9600,27.2300,27.2100,10275549,278744847.5100
2019-02-13,sz.002281,27.3900,28.6300,27.2200,28.2400,27.2300,25329079,711717455.4600
2019-02-14,sz.002281,28.1000,28.1700,27.8100,27.9900,28.2400,14207159,397222732.0500
2019-02-15,sz.002281,28.1700,28.4700,27.7500,27.8700,27.9900,12839037,361163453.8000
2019-02-18,sz.002281,28.2300,29.0900,28.0000,29.0800,27.8700,20768374,592553529.2100
2019-02-19,sz.002281,29.1500,29.2800,28.3900,28.8200,29.0800,15808933,455543617.9600
2019-02-20,sz.002281,28.5000,29.0500,28.0800,28.8300,28.8200,14436384,412157044.0500
2019-02-21,sz.002281,28.5700,31.7100,28.5000,31.1100,28.8300,46010511,1418400062.6400
2019-02-22,sz.002281,30.9500,33.7500,30.5900,32.9400,31.1100,37611802,1192933878.9400
2019-02-25,sz.002281,34.1000,34.4800,33.0200,33.7000,32.9400,43664368,1474461115.9700
