date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002617,4.0100,4.1800,3.9500,4.0600,3.9800,22422440,90999456.6300
2019-01-03,sz.002617,4.0800,4.1500,4.0100,4.0500,4.0600,15408437,62531933.7900
2019-01-04,sz.002617,3.9800,4.1500,3.9300,4.1200,4.0500,26459509,107423622.9900
2019-01-07,sz.002617,4.1500,4.1700,4.1000,4.1500,4.1200,25410834,105198231.6300
2019-01-08,sz.002617,4.1500,4.5700,4.1100,4.3900,4.1500,82515070,362345259.0500
2019-01-09,sz.002617,4.3000,4.4200,4.2400,4.2700,4.3900,67450328,290309097.2600
2019-01-10,sz.002617,4.2400,4.4700,4.2300,4.3200,4.2700,49942106,215465349.3800
2019-01-11,sz.002617,4.2800,4.3100,4.2400,4.2600,4.3200,27986311,119340217.1400
2019-01-14,sz.002617,4.2300,4.2900,4.1800,4.1900,4.2600,19944050,84420592.6900
2019-01-15,sz.002617,4.1600,4.2400,4.1300,4.2000,4.1900,21504906,90023705.7800
2019-01-16,sz.002617,4.1900,4.2100,4.0700,4.0800,4.2000,24482326,101332061.1400
2019-01-17,sz.002617,4.1000,4.1100,4.0000,4.0200,4.0800,20574496,83479270.1600
2019-01-18,sz.002617,4.0300,4.0900,3.9800,4.0500,4.0200,20684910,83462758.9000
2019-01-21,sz.002617,4.0500,4.0900,4.0200,4.0500,4.0500,15684569,63587465.4300
2019-01-22,sz.002617,4.0400,4.0500,3.9800,3.9900,4.0500,14483754,58050043.0800
2019-01-23,sz.002617,3.9800,4.0100,3.9600,3.9700,3.9900,11113996,44235808.1200
2019-01-24,sz.002617,3.9800,4.0000,3.9300,3.9800,3.9700,13005910,51635481.3000
2019-01-25,sz.002617,3.9900,3.9900,3.7200,3.7600,3.9800,33731605,129914151.2000
2019-01-28,sz.002617,3.7700,3.7800,3.6100,3.6400,3.7600,23053482,84685806.9900
2019-01-29,sz.002617,3.6500,3.6500,3.2800,3.4100,3.6400,26766565,91985586.9500
2019-01-30,sz.002617,3.0700,3.3000,3.0700,3.2600,3.4100,40568778,129041943.5400
2019-01-31,sz.002617,3.2200,3.3900,3.2200,3.2900,3.2600,29160102,96113426.1900
2019-02-01,sz.002617,3.3000,3.5000,3.2800,3.5000,3.2900,22221695,75626301.9900
2019-02-11,sz.002617,3.5400,3.7000,3.4900,3.6000,3.5000,26263764,93658610.4000
2019-02-12,sz.002617,3.5900,3.7600,3.5400,3.6300,3.6000,24963025,91056426.5000
2019-02-13,sz.002617,3.6000,3.7200,3.5700,3.6600,3.6300,28326325,103494003.9000
2019-02-14,sz.002617,3.6400,3.9700,3.6300,3.8500,3.6600,48090606,182842398.2000
2019-02-15,sz.002617,3.8300,3.9500,3.7900,3.7900,3.8500,28644585,110369810.2200
2019-02-18,sz.002617,3.8700,4.0600,3.8300,4.0100,3.7900,40400323,159133101.8300
2019-02-19,sz.002617,4.0500,4.4100,3.9900,4.2900,4.0100,95294864,410637961.0500
2019-02-20,sz.002617,4.1500,4.1900,4.0600,4.1400,4.2900,62844363,259208846.1000
2019-02-21,sz.002617,4.1100,4.1500,4.0200,4.0500,4.1400,46316534,189495289.3600
