date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600525,4.3400,4.3500,4.0100,4.0700,4.3800,88469628,365462387.0000
2019-01-03,sh.600525,4.0700,4.1900,4.0400,4.0700,4.0700,69807088,287722376.0000
2019-01-04,sh.600525,4.0100,4.3200,4.0000,4.3100,4.0700,79056528,331645762.0000
2019-01-07,sh.600525,4.3700,4.3800,4.2700,4.3400,4.3100,79298156,342939889.0000
2019-01-08,sh.600525,4.3500,4.7700,4.2900,4.6200,4.3400,153862870,706510581.0000
2019-01-09,sh.600525,4.5200,4.7300,4.4700,4.5800,4.6200,110097596,505964504.0000
2019-01-10,sh.600525,4.5500,4.6900,4.5300,4.6400,4.5800,72218723,333570875.0000
2019-01-11,sh.600525,4.6200,4.6600,4.5700,4.6100,4.6400,45756601,210906758.0000
2019-01-14,sh.600525,4.6300,4.6400,4.4400,4.5100,4.6100,52009254,234631439.0000
2019-01-15,sh.600525,4.5000,4.5800,4.4600,4.5500,4.5100,42508226,192681651.0000
2019-01-16,sh.600525,4.5700,4.9700,4.5700,4.8000,4.5500,111530241,535624921.0000
2019-01-17,sh.600525,4.7700,4.9000,4.6800,4.8100,4.8000,73942599,354054753.0000
2019-01-18,sh.600525,4.8500,4.8800,4.7000,4.8000,4.8100,52448341,250467706.0000
2019-01-21,sh.600525,4.8100,4.8300,4.7400,4.7700,4.8000,41461363,198183068.0000
2019-01-22,sh.600525,4.7800,4.7900,4.5900,4.6300,4.7700,44751005,208398983.0000
2019-01-23,sh.600525,4.6000,4.6800,4.5500,4.6500,4.6300,28958351,133548538.0000
2019-01-24,sh.600525,4.6500,4.6800,4.5600,4.6300,4.6500,30790220,142362413.0000
2019-01-25,sh.600525,4.6400,4.6500,4.4500,4.4500,4.6300,46377322,209547610.0000
2019-01-28,sh.600525,4.4600,4.5200,4.3100,4.3500,4.4500,40946712,180876727.0000
2019-01-29,sh.600525,4.3400,4.3500,4.1600,4.2800,4.3500,41103722,174794702.0000
2019-01-30,sh.600525,4.2800,4.2800,4.1200,4.1400,4.2800,34789442,146128450.0000
2019-01-31,sh.600525,4.0600,4.4000,4.0600,4.2600,4.1400,64800595,276594121.0000
2019-02-01,sh.600525,4.2100,4.3600,4.1800,4.3500,4.2600,42622033,183226622.0000
2019-02-11,sh.600525,4.3600,4.5100,4.3200,4.5100,4.3500,43659247,193736462.0000
2019-02-12,sh.600525,4.5100,4.7100,4.4700,4.7000,4.5100,62119739,287658596.0000
2019-02-13,sh.600525,4.7000,4.8400,4.6300,4.7500,4.7000,72616732,343776604.0000
2019-02-14,sh.600525,4.7400,4.8900,4.7200,4.8500,4.7500,68636676,330144008.0000
