date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002056,5.5600,5.5900,5.4900,5.5200,5.5300,7822452,43340461.7300
2019-01-03,sz.002056,5.5500,5.6100,5.4900,5.5300,5.5200,11534524,64069170.8000
2019-01-04,sz.002056,5.4900,5.7700,5.3800,5.7400,5.5300,22205692,125257231.6000
2019-01-07,sz.002056,5.7500,5.9000,5.7400,5.8800,5.7400,23740952,138601483.6200
2019-01-08,sz.002056,5.8600,6.0400,5.8200,5.8900,5.8800,25266193,150200702.9000
2019-01-09,sz.002056,6.1400,6.1800,5.8800,5.9100,5.8900,32413482,195343228.5500
2019-01-10,sz.002056,5.8900,6.1200,5.8900,5.9800,5.9100,22757495,136635541.8400
2019-01-11,sz.002056,5.9900,6.0100,5.9000,5.9900,5.9800,14950801,89127650.2300
2019-01-14,sz.002056,5.9800,6.0100,5.8600,5.9200,5.9900,11107015,65771534.2000
2019-01-15,sz.002056,5.9100,6.0300,5.8700,6.0300,5.9200,18504886,110218970.8800
2019-01-16,sz.002056,6.0500,6.0500,5.8700,5.9000,6.0300,18142987,107683590.8900
2019-01-17,sz.002056,5.8900,5.9200,5.7500,5.8000,5.9000,16308435,95197572.7600
2019-01-18,sz.002056,5.8000,5.9700,5.8000,5.9200,5.8000,14699706,86651780.1700
2019-01-21,sz.002056,5.9200,5.9700,5.8500,5.9100,5.9200,12622808,74661664.1800
2019-01-22,sz.002056,5.9000,5.9000,5.7300,5.7900,5.9100,12918575,74928420.3600
2019-01-23,sz.002056,5.7700,5.8500,5.7600,5.8100,5.7900,10371000,60228348.0000
2019-01-24,sz.002056,5.8200,5.9100,5.7900,5.8800,5.8100,12651404,74181064.5200
2019-01-25,sz.002056,5.9000,5.9100,5.8000,5.8500,5.8800,10095854,58941859.9600
2019-01-28,sz.002056,5.8600,5.9200,5.7500,5.8000,5.8500,14134458,82590347.1400
2019-01-29,sz.002056,5.7500,5.7800,5.5500,5.7100,5.8000,15431661,87544786.7500
2019-01-30,sz.002056,5.6700,5.8200,5.6600,5.7000,5.7100,8981462,51571816.7500
2019-01-31,sz.002056,5.7900,5.7900,5.6100,5.6600,5.7000,11629551,66037355.1300
2019-02-01,sz.002056,5.6900,6.0000,5.6900,5.9800,5.6600,22475676,131986591.8600
2019-02-11,sz.002056,6.0200,6.1200,5.9400,6.1200,5.9800,29170334,176478910.9400
2019-02-12,sz.002056,6.1200,6.1700,6.0500,6.1000,6.1200,24002780,146534522.0600
2019-02-13,sz.002056,6.1100,6.3900,6.1100,6.3000,6.1000,39548913,248066270.4000
2019-02-14,sz.002056,6.3000,6.5300,6.2200,6.4700,6.3000,44458238,283890806.6700
