date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sh.600330,5.5100,5.5700,5.4800,5.5100,5.5100,5033279,27787118.0000
2019-01-03,sh.600330,5.5000,5.6900,5.4900,5.5600,5.5100,8014060,44958346.0000
2019-01-04,sh.600330,5.5700,5.8300,5.5300,5.8300,5.5600,12320778,70513639.0000
2019-01-07,sh.600330,5.8700,6.0500,5.8300,5.9900,5.8300,16197226,96812135.0000
2019-01-08,sh.600330,6.0000,6.0900,5.9400,6.0200,5.9900,13280383,79841429.0000
2019-01-09,sh.600330,6.0200,6.1100,5.9600,5.9700,6.0200,15859519,95676010.0000
2019-01-10,sh.600330,6.0100,6.1200,5.9800,6.0400,5.9700,13421165,81325244.0000
2019-01-11,sh.600330,6.0700,6.0900,5.9900,6.0400,6.0400,9472812,57178766.0000
2019-01-14,sh.600330,6.0500,6.1800,6.0400,6.0900,6.0400,11135628,68074946.0000
2019-01-15,sh.600330,6.0700,6.1400,6.0400,6.1000,6.0900,8643673,52629815.0000
2019-01-16,sh.600330,6.1100,6.2100,6.0700,6.0900,6.1000,10161621,62350991.0000
2019-01-17,sh.600330,6.0900,6.1300,6.0100,6.0500,6.0900,8301933,50328078.0000
2019-01-18,sh.600330,6.0200,6.0800,5.9300,6.0400,6.0500,8474716,50806594.0000
2019-01-21,sh.600330,6.0600,6.1400,6.0200,6.0800,6.0400,7898607,48057130.0000
2019-01-22,sh.600330,6.0600,6.1900,5.9200,6.0000,6.0800,10174447,61722085.0000
2019-01-23,sh.600330,6.1000,6.3200,6.0400,6.2900,6.0000,29957320,186054215.0000
2019-01-24,sh.600330,6.3900,6.4200,6.1800,6.2900,6.2900,23897427,150167816.0000
2019-01-25,sh.600330,6.2900,6.3700,6.2100,6.2400,6.2900,14520228,91273529.0000
2019-01-28,sh.600330,6.3000,6.3500,6.1200,6.1500,6.2400,13192024,82318107.0000
2019-01-29,sh.600330,6.1200,6.1700,5.8400,5.9700,6.1500,14496142,86722380.0000
2019-01-30,sh.600330,5.9400,6.4000,5.9400,6.2300,5.9700,25616934,159426799.0000
2019-01-31,sh.600330,6.3000,6.3100,6.0000,6.0700,6.2300,21387554,131147898.0000
2019-02-01,sh.600330,6.1100,6.6300,6.0300,6.5400,6.0700,35952058,230337317.0000
2019-02-11,sh.600330,6.5600,6.7500,6.4500,6.6900,6.5400,38305373,253432185.0000
2019-02-12,sh.600330,6.6200,6.8400,6.5900,6.8200,6.6900,34035953,228730287.0000
2019-02-13,sh.600330,6.9200,7.1700,6.8000,7.0900,6.8200,51993792,364785256.0000
2019-02-14,sh.600330,7.0800,7.1300,6.9000,6.9700,7.0900,33606425,234982844.0000
2019-02-15,sh.600330,6.9800,7.3000,6.9400,6.9900,6.9700,37819008,268060164.0000
2019-02-18,sh.600330,7.1100,7.4300,7.0100,7.2900,6.9900,38331638,276667131.0000
2019-02-19,sh.600330,7.2600,7.3500,7.1100,7.1900,7.2900,30666211,221259083.0000
2019-02-20,sh.600330,7.3500,7.6900,7.2500,7.3700,7.1900,42436517,315024753.0000
2019-02-21,sh.600330,7.2900,7.5100,7.0800,7.1900,7.3700,40111721,291688933.0000
2019-02-22,sh.600330,7.6000,7.9100,7.4600,7.6800,7.1900,60209929,462318766.0000
2019-02-25,sh.600330,7.8000,8.4500,7.7700,8.4400,7.6800,85732865,707116263.0000
2019-02-26,sh.600330,8.4300,8.4600,8.0500,8.1500,8.4400,65202720,537613724.0000
2019-02-27,sh.600330,8.0500,8.2100,7.6700,7.8300,8.1500,48262705,383131104.0000
2019-02-28,sh.600330,7.8300,7.9900,7.7800,7.8800,7.8300,22419370,176688894.0000
2019-03-01,sh.600330,7.9000,7.9300,7.6400,7.8100,7.8800,31067492,240593132.0000
2019-03-04,sh.600330,7.8700,8.0700,7.7400,7.8700,7.8100,40768434,322621135.0000
2019-03-05,sh.600330,7.8000,8.1800,7.7700,8.1600,7.8700,38251090,307561963.0000
2019-03-06,sh.600330,8.1900,8.2400,7.9500,8.1000,8.1600,46216717,371893330.0000
2019-03-07,sh.600330,8.1200,8.1700,7.9500,8.0500,8.1000,41662598,335186210.0000
2019-03-08,sh.600330,7.7000,8.1000,7.6800,7.7700,8.0500,45324437,359767591.0000
2019-03-11,sh.600330,7.8000,8.5400,7.7900,8.5300,7.7700,58655319,480253315.0000
2019-03-12,sh.600330,8.4500,8.5000,8.2700,8.4600,8.5300,58180145,487708370.0000
2019-03-13,sh.600330,8.4000,8.4100,8.0500,8.1000,8.4600,34857761,287022025.0000
2019-03-14,sh.600330,8.0300,8.1200,7.6000,7.7100,8.1000,32595503,254291626.0000
2019-03-15,sh.600330,7.7200,7.9500,7.7200,7.8300,7.7100,24450561,191231416.0000
2019-03-18,sh.600330,7.8800,8.4000,7.8600,8.4000,7.8300,37337686,304477146.0000
2019-03-19,sh.600330,8.4900,8.6200,8.2300,8.4900,8.4000,52978530,446982640.0000
2019-03-20,sh.600330,8.5000,8.7900,8.2800,8.5200,8.4900,41644389,356167698.0000
2019-03-21,sh.600330,8.6300,8.6700,8.4000,8.5200,8.5200,37899095,323262671.0000
2019-03-22,sh.600330,8.5000,9.0500,8.3700,8.8600,8.5200,58110374,506269856.0000
2019-03-25,sh.600330,8.6700,9.3000,8.6100,9.0300,8.8600,58677866,526936570.0000
2019-03-26,sh.600330,9.0700,9.1100,8.5600,8.5900,9.0300,42836318,378747541.0000
2019-03-27,sh.600330,8.6900,8.8300,8.4500,8.7200,8.5900,27929037,240784677.0000
2019-03-28,sh.600330,8.6600,8.7400,8.4000,8.4300,8.7200,25860633,222166885.0000
2019-03-29,sh.600330,8.3800,8.7400,8.3700,8.6800,8.4300,31489029,269634322.0000
2019-04-01,sh.600330,8.7200,9.0400,8.7000,8.8800,8.6800,38088809,339018452.0000
2019-04-02,sh.600330,8.9200,9.3800,8.9100,9.0900,8.8800,53318026,487389248.0000
2019-04-03,sh.600330,9.0600,9.0600,8.8500,9.0100,9.0900,32393421,290492093.0000
2019-04-04,sh.600330,9.0100,9.1300,8.6900,8.8800,9.0100,44989672,400161653.0000
2019-04-08,sh.600330,8.8900,9.0200,8.7000,8.9600,8.8800,30663059,272398315.0000
2019-04-09,sh.600330,8.9500,8.9900,8.7000,8.8400,8.9600,24020647,212707841.0000
2019-04-10,sh.600330,8.7700,8.7700,8.4300,8.6100,8.8400,33548334,288730368.0000
2019-04-11,sh.600330,8.5800,8.6900,8.2800,8.4000,8.6100,29294193,248686121.0000
2019-04-12,sh.600330,8.4000,8.4900,8.1200,8.1800,8.4000,21722496,179713359.0000
2019-04-15,sh.600330,8.3200,8.4500,8.1800,8.2100,8.1800,20585793,171842559.0000
2019-04-16,sh.600330,8.1800,8.5200,8.0800,8.5100,8.2100,23222781,193125232.0000
2019-04-17,sh.600330,8.4800,8.5800,8.3600,8.4200,8.5100,20937400,177043355.0000
2019-04-18,sh.600330,8.3700,8.4500,8.2400,8.2800,8.4200,21510667,179068547.0000
2019-04-19,sh.600330,8.2800,8.3400,8.1100,8.3200,8.2800,15569458,128067107.0000
2019-04-22,sh.600330,8.3700,8.7500,8.2700,8.7000,8.3200,43273723,369675410.0000
2019-04-23,sh.600330,8.5000,8.9400,8.3700,8.5700,8.7000,68272508,595179972.0000
2019-04-24,sh.600330,8.6500,8.6800,8.2900,8.5000,8.5700,33330439,281414725.0000
2019-04-25,sh.600330,8.4000,8.4300,8.0200,8.0600,8.5000,28683253,236153758.0000
2019-04-26,sh.600330,7.9500,8.1500,7.9300,8.0200,8.0600,14737654,118575524.0000
2019-04-29,sh.600330,8.0800,8.1200,7.4200,7.4800,8.0200,23400075,180279175.0000
2019-04-30,sh.600330,7.5000,7.6400,7.4700,7.5100,7.4800,10117298,76450926.0000
2019-05-06,sh.600330,7.3000,7.3000,6.7600,6.7600,7.5100,19808834,138845380.0000
2019-05-07,sh.600330,6.7600,6.8600,6.4800,6.7500,6.7600,23007162,154386465.0000
2019-05-08,sh.600330,6.5300,6.8400,6.5000,6.7000,6.7500,13058933,87665157.0000
2019-05-09,sh.600330,6.6000,6.8200,6.6000,6.7100,6.7000,10674376,72049820.0000
2019-05-10,sh.600330,6.7800,7.0400,6.6200,7.0000,6.7100,21127023,145801283.0000
2019-05-13,sh.600330,6.9400,7.1300,6.8800,7.0200,7.0000,15890534,111639244.0000
2019-05-14,sh.600330,6.9100,7.0600,6.9000,6.9300,7.0200,11426356,79771558.0000
2019-05-15,sh.600330,7.0800,7.2000,7.0200,7.1600,6.9300,17304148,123437770.0000
