date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002057,5.8500,5.8700,5.7100,5.8000,5.8200,912900,5280625.0000
2019-01-03,sz.002057,5.7900,5.8800,5.7500,5.8500,5.8000,898960,5243105.8200
2019-01-04,sz.002057,5.8200,6.0900,5.7300,6.0400,5.8500,1634472,9698959.3000
2019-01-07,sz.002057,6.0800,6.1900,6.0100,6.1500,6.0400,2042162,12470069.5800
2019-01-08,sz.002057,6.1100,6.2800,6.1100,6.1500,6.1500,2246250,13912442.5000
2019-01-09,sz.002057,6.1500,6.2200,6.0800,6.0800,6.1500,2124353,13081895.4500
2019-01-10,sz.002057,6.1000,6.1600,6.0500,6.1300,6.0800,2029562,12403565.9800
2019-01-11,sz.002057,6.1000,6.2200,6.1000,6.2100,6.1300,1518215,9372591.8200
2019-01-14,sz.002057,6.1900,6.2400,6.1200,6.1400,6.2100,1438740,8878057.1000
2019-01-15,sz.002057,6.1200,6.2400,6.1100,6.2300,6.1400,1723558,10668662.1000
2019-01-16,sz.002057,6.2100,6.2700,6.1500,6.1800,6.2300,1220900,7574695.5000
2019-01-17,sz.002057,6.1900,6.3100,6.1400,6.1700,6.1800,1930950,12015654.7000
2019-01-18,sz.002057,6.1600,6.2400,6.1300,6.1900,6.1700,1578150,9767969.0000
2019-01-21,sz.002057,6.2000,6.2800,6.1900,6.2400,6.1900,1785035,11136651.6000
2019-01-22,sz.002057,6.2400,6.2900,6.1200,6.1400,6.2400,1512299,9400020.5600
2019-01-23,sz.002057,6.1300,6.2000,6.1000,6.1900,6.1400,1373114,8458634.3200
2019-01-24,sz.002057,6.1800,6.2500,6.1500,6.2200,6.1900,1622932,10070882.2200
2019-01-25,sz.002057,6.2100,6.3000,6.1500,6.1500,6.2200,2000468,12423755.8200
2019-01-28,sz.002057,6.1900,6.2400,6.1300,6.1500,6.1500,1275361,7886679.7400
2019-01-29,sz.002057,6.1600,6.1700,5.9200,5.9800,6.1500,1745944,10505326.1600
2019-01-30,sz.002057,5.9300,5.9700,5.8800,5.8800,5.9800,1271081,7525356.2600
2019-01-31,sz.002057,5.9300,5.9400,5.7300,5.8200,5.8800,1617360,9439880.0000
2019-02-01,sz.002057,5.7800,5.9700,5.7800,5.9400,5.8200,1358722,8009512.0300
2019-02-11,sz.002057,5.9500,6.0800,5.9400,6.0400,5.9400,1643222,9919021.2800
2019-02-12,sz.002057,6.0800,6.1800,6.0800,6.1300,6.0400,1661345,10194414.2200
2019-02-13,sz.002057,6.1300,6.3500,6.1300,6.3000,6.1300,4051677,25324543.6700
2019-02-14,sz.002057,6.2900,6.3200,6.2200,6.2800,6.3000,2441786,15284094.8600
2019-02-15,sz.002057,6.2600,6.3000,6.2200,6.2600,6.2800,1810808,11329063.9200
2019-02-18,sz.002057,6.2900,6.8900,6.2500,6.8900,6.2600,10769086,71593192.4100
2019-02-19,sz.002057,7.1000,7.1300,6.6300,6.7500,6.8900,17020318,117817888.4600
2019-02-20,sz.002057,6.7400,6.7600,6.6000,6.7100,6.7500,7092612,47347782.8800
2019-02-21,sz.002057,6.6800,6.8000,6.5800,6.6300,6.7100,7269842,48737800.4600
2019-02-22,sz.002057,6.5900,6.7700,6.5200,6.7000,6.6300,4778557,31758513.8000
2019-02-25,sz.002057,6.7700,7.0500,6.6900,6.9600,6.7000,11270581,77606891.3000
2019-02-26,sz.002057,6.9300,7.1000,6.8300,6.9700,6.9600,10886291,75933091.3600
2019-02-27,sz.002057,6.9400,6.9800,6.7500,6.8500,6.9700,7337810,50607107.5400
2019-02-28,sz.002057,6.8300,6.9200,6.8000,6.8400,6.8500,3676450,25180202.0000
2019-03-01,sz.002057,6.8400,6.8800,6.6900,6.7900,6.8400,4499923,30444744.6700
2019-03-04,sz.002057,6.8400,7.0400,6.7800,6.8900,6.7900,7625606,52652210.2800
