date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000969,4.5200,4.6100,4.4600,4.5500,4.5500,3310279,15085394.2200
2019-01-03,sz.000969,4.5900,4.7100,4.5700,4.6100,4.5500,4023689,18658716.5300
2019-01-04,sz.000969,4.5900,4.7900,4.5800,4.7500,4.6100,4515692,21235169.3800
2019-01-07,sz.000969,4.7700,4.9200,4.7300,4.9100,4.7500,5009996,24272369.2400
2019-01-08,sz.000969,4.8900,4.9700,4.8700,4.8900,4.9100,3759387,18487703.9400
2019-01-09,sz.000969,4.9500,5.0100,4.8900,4.9200,4.8900,4617740,22898803.5000
2019-01-10,sz.000969,4.9200,5.0500,4.9100,4.9800,4.9200,4920000,24550737.0000
2019-01-11,sz.000969,5.0100,5.2000,4.9800,5.1300,4.9800,7298241,37267845.8900
2019-01-14,sz.000969,5.1100,5.5300,5.1000,5.2900,5.1300,15953749,84702916.9300
2019-01-15,sz.000969,5.2400,5.2900,5.1200,5.1700,5.2900,10419475,53985323.4700
2019-01-16,sz.000969,5.1800,5.2500,5.0500,5.0500,5.1700,8798827,45092893.8800
2019-01-17,sz.000969,5.0900,5.5100,5.0100,5.2900,5.0500,18357435,97095264.0700
2019-01-18,sz.000969,5.3000,5.3900,5.1600,5.2300,5.2900,13549578,71145752.5600
2019-01-21,sz.000969,5.2300,5.5100,5.2000,5.3500,5.2300,13580710,72713358.7400
2019-01-22,sz.000969,5.3200,5.3800,5.1300,5.1700,5.3500,10290833,53959224.8800
2019-01-23,sz.000969,5.2200,5.6900,5.1900,5.6900,5.1700,33183049,184883403.4000
2019-01-24,sz.000969,5.7300,6.1400,5.6400,5.6400,5.6900,47034547,275334823.9200
2019-01-25,sz.000969,5.5200,5.9300,5.5200,5.6300,5.6400,33397128,190820459.8100
2019-01-28,sz.000969,5.6800,5.7500,5.3000,5.3400,5.6300,25192197,137419394.1600
2019-01-29,sz.000969,5.1200,5.1900,4.8200,4.8200,5.3400,24139813,119708291.3100
2019-01-30,sz.000969,4.7700,4.9000,4.7300,4.7500,4.8200,11565500,55821220.4100
2019-01-31,sz.000969,4.8000,4.8000,4.5200,4.6000,4.7500,10224463,47685346.2900
2019-02-01,sz.000969,4.6400,4.8100,4.6400,4.7900,4.6000,6485936,30766685.4500
2019-02-11,sz.000969,4.8400,4.9400,4.8000,4.9200,4.7900,5649456,27639925.8400
2019-02-12,sz.000969,4.9000,5.0300,4.8600,5.0000,4.9200,7262998,36098160.7600
2019-02-13,sz.000969,5.0300,5.1800,4.9500,5.1500,5.0000,10037886,51090906.5000
2019-02-14,sz.000969,5.1500,5.2400,5.1000,5.1800,5.1500,7321700,37903386.0800
2019-02-15,sz.000969,5.1500,5.2400,5.1300,5.1500,5.1800,6934177,35941488.2500
2019-02-18,sz.000969,5.1800,5.3900,5.1800,5.3700,5.1500,10647892,56398131.0800
2019-02-19,sz.000969,5.4100,5.4700,5.2800,5.4100,5.3700,11485033,61576817.6300
2019-02-20,sz.000969,5.4100,5.4800,5.3300,5.4300,5.4100,9559106,51738055.0600
2019-02-21,sz.000969,5.4400,5.5500,5.3700,5.4200,5.4300,11729351,63993935.2700
2019-02-22,sz.000969,5.4600,5.9600,5.3800,5.7500,5.4200,21098952,119809543.3800
2019-02-25,sz.000969,5.7500,5.9900,5.6800,5.9500,5.7500,24949751,146854314.2600
2019-02-26,sz.000969,5.9300,6.2300,5.8500,6.0300,5.9500,24825663,151278753.7700
2019-02-27,sz.000969,5.9700,6.3700,5.9600,6.2300,6.0300,25457969,156435068.7500
2019-02-28,sz.000969,6.2300,6.2400,5.9000,5.9800,6.2300,24487945,148474266.4900
2019-03-01,sz.000969,6.0000,6.0900,5.8800,6.0100,5.9800,16595777,99182016.6100
2019-03-04,sz.000969,6.0100,6.2300,6.0100,6.1600,6.0100,19274527,118624931.2800
2019-03-05,sz.000969,6.1400,6.2900,6.0800,6.2800,6.1600,15043398,93767592.1300
2019-03-06,sz.000969,6.3000,6.4700,6.2900,6.4000,6.2800,17277443,110266094.8500
