date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000795,3.5700,3.6000,3.5400,3.5500,3.5700,2063222,7352837.1200
2019-01-03,sz.000795,3.5700,3.6300,3.5600,3.5800,3.5500,3247834,11665949.7200
2019-01-04,sz.000795,3.5300,3.9400,3.5100,3.8100,3.5800,15916802,60085784.9200
2019-01-07,sz.000795,3.8000,3.9900,3.7700,3.8900,3.8100,18616082,71699057.3200
2019-01-08,sz.000795,3.8300,4.0800,3.8200,3.8700,3.8900,21302420,84088263.4000
2019-01-09,sz.000795,3.8500,3.9100,3.8100,3.8200,3.8700,12621400,48799668.0000
2019-01-10,sz.000795,3.8100,3.9100,3.7800,3.8300,3.8200,7200820,27701687.2200
2019-01-11,sz.000795,3.8200,3.9300,3.8200,3.8900,3.8300,9351912,36336346.7800
2019-01-14,sz.000795,3.8900,4.0200,3.8400,3.9000,3.8900,9981700,39182859.5300
2019-01-15,sz.000795,3.8800,3.9600,3.8700,3.9500,3.9000,8947720,35147743.6000
2019-01-16,sz.000795,3.9600,3.9700,3.8600,3.8900,3.9500,6094200,23770724.0000
2019-01-17,sz.000795,3.8800,4.1200,3.8300,3.9900,3.8900,25606845,102686745.1400
2019-01-18,sz.000795,3.9500,4.0800,3.9100,3.9800,3.9900,19646479,78438142.4900
2019-01-21,sz.000795,3.9500,3.9900,3.9100,3.9200,3.9800,12238147,48218588.7700
2019-01-22,sz.000795,3.8800,3.9200,3.8200,3.8400,3.9200,8370200,32352889.0000
2019-01-23,sz.000795,3.8200,3.9600,3.8200,3.9200,3.8400,10722102,41867114.9600
2019-01-24,sz.000795,3.9100,3.9400,3.8700,3.9000,3.9200,7208328,28145863.2000
2019-01-25,sz.000795,3.8900,3.9200,3.8600,3.8600,3.9000,6675500,25979349.0000
2019-01-28,sz.000795,3.8900,3.9200,3.8400,3.8600,3.8600,5513769,21402272.0200
2019-01-29,sz.000795,3.8400,3.8500,3.5900,3.6700,3.8600,11243392,41535355.3600
2019-01-30,sz.000795,3.6600,3.7300,3.6500,3.6600,3.6700,5015212,18493327.5600
2019-01-31,sz.000795,3.6600,3.7000,3.5500,3.5700,3.6600,5584100,20196046.0000
2019-02-01,sz.000795,3.6100,3.7000,3.5900,3.6800,3.5700,4338239,15842221.4000
2019-02-11,sz.000795,3.7000,3.8100,3.7000,3.8000,3.6800,7010600,26409460.0000
2019-02-12,sz.000795,3.8000,3.8600,3.7800,3.8400,3.8000,7137902,27302247.6400
2019-02-13,sz.000795,3.8400,4.0600,3.8300,3.9600,3.8400,20010060,79122500.2800
2019-02-14,sz.000795,3.9400,4.0000,3.9100,3.9700,3.9600,14872840,58674289.9800
2019-02-15,sz.000795,3.9500,4.0000,3.9100,3.9500,3.9700,10995441,43433236.9600
2019-02-18,sz.000795,3.9600,4.1300,3.9600,4.0700,3.9500,19841750,80095615.5500
2019-02-19,sz.000795,4.0900,4.1700,4.0100,4.1100,4.0700,22400157,91407310.4800
2019-02-20,sz.000795,4.0800,4.2200,4.0500,4.1300,4.1100,23317272,96431548.9800
2019-02-21,sz.000795,4.0900,4.1300,4.0200,4.0400,4.1300,19515352,79486216.6400
2019-02-22,sz.000795,4.0600,4.1400,4.0300,4.1400,4.0400,19394890,79503116.3800
2019-02-25,sz.000795,4.1900,4.4300,4.1500,4.3600,4.1400,38834901,166769192.7200
2019-02-26,sz.000795,4.3500,4.5700,4.2700,4.3100,4.3600,41501587,182429255.0500
2019-02-27,sz.000795,4.3100,4.3800,4.2000,4.2500,4.3100,26304794,112935243.7000
2019-02-28,sz.000795,4.2800,4.3200,4.2200,4.2600,4.2500,12788302,54519289.4600
2019-03-01,sz.000795,4.2800,4.3100,4.1600,4.2500,4.2600,12289926,51872757.8400
2019-03-04,sz.000795,4.2600,4.3900,4.2500,4.3100,4.2500,24831235,107358747.6100
2019-03-05,sz.000795,4.2700,4.4700,4.2700,4.4300,4.3100,28892620,126800888.0200
2019-03-06,sz.000795,4.5100,4.8700,4.4500,4.8700,4.4300,45225871,211722634.6000
2019-03-07,sz.000795,5.0000,5.3600,4.9100,5.3600,4.8700,101934707,531535984.1000
2019-03-08,sz.000795,5.3600,5.7000,5.0400,5.0500,5.3600,109269200,587387678.4100
2019-03-11,sz.000795,5.0900,5.2500,4.9500,5.1900,5.0500,55644420,285202738.5700
2019-03-12,sz.000795,5.1400,5.2700,5.0600,5.1700,5.1900,55594808,286888721.0600
2019-03-13,sz.000795,5.1500,5.4200,5.0000,5.2200,5.1700,65435007,337945256.7600
2019-03-14,sz.000795,5.1000,5.6600,5.0500,5.4400,5.2200,90598912,486992604.6400
2019-03-15,sz.000795,5.4000,5.6500,5.2200,5.6400,5.4400,90670070,495537761.2200
2019-03-18,sz.000795,5.9000,6.1200,5.4500,5.5200,5.6400,87546498,495615492.2200
2019-03-19,sz.000795,5.3300,5.4900,5.3200,5.3900,5.5200,43676629,235222078.7500
2019-03-20,sz.000795,5.3200,5.3400,5.0800,5.1900,5.3900,44101861,229161293.7600
2019-03-21,sz.000795,5.1900,5.3200,5.1500,5.2200,5.1900,31554650,164842864.4800
2019-03-22,sz.000795,5.2100,5.2900,5.1700,5.2500,5.2200,24276281,126964176.0100
2019-03-25,sz.000795,5.1100,5.2000,5.0400,5.1200,5.2500,20624300,105899571.9400
2019-03-26,sz.000795,5.1500,5.1700,5.0000,5.1300,5.1200,24221841,123432778.2000
2019-03-27,sz.000795,5.1300,5.1500,4.9500,5.0000,5.1300,20522425,102963720.2600
2019-03-28,sz.000795,4.9500,5.0600,4.9000,4.9200,5.0000,15812228,78564021.8400
2019-03-29,sz.000795,4.9300,5.0700,4.9000,5.0500,4.9200,20091538,100499448.3200
2019-04-01,sz.000795,5.0500,5.2900,5.0400,5.2300,5.0500,31128910,161711162.5400
2019-04-02,sz.000795,5.2600,5.5700,5.1800,5.5300,5.2300,65941435,354846389.1500
2019-04-03,sz.000795,5.4000,5.4700,5.3400,5.4000,5.5300,37884209,204358265.3700
2019-04-04,sz.000795,5.5600,5.6100,5.3800,5.4500,5.4000,45466569,249121842.2500
2019-04-08,sz.000795,5.4600,5.6500,5.4000,5.5100,5.4500,45640866,251789457.5800
2019-04-09,sz.000795,5.5100,5.5100,5.3100,5.3800,5.5100,29761350,159633017.7800
2019-04-10,sz.000795,5.3100,5.3300,5.1800,5.2400,5.3800,23828524,125021843.0400
2019-04-11,sz.000795,5.2400,5.3100,5.1500,5.1700,5.2400,16906328,88228842.7600
2019-04-12,sz.000795,5.1600,5.2500,5.1300,5.2200,5.1700,12758078,66273027.4400
2019-04-15,sz.000795,5.2700,5.3100,5.0900,5.1000,5.2200,15096102,78901120.3800
2019-04-16,sz.000795,5.0700,5.2800,5.0200,5.2700,5.1000,21383882,111047825.6200
2019-04-17,sz.000795,5.2400,5.3100,5.2200,5.2300,5.2700,17778042,93431001.4000
2019-04-18,sz.000795,5.2400,5.3500,5.2100,5.2700,5.2300,18444382,97419802.0400
2019-04-19,sz.000795,5.2600,5.3900,5.1000,5.3200,5.2700,27760256,145927210.1600
2019-04-22,sz.000795,5.3300,5.4500,5.2700,5.3100,5.3200,28540348,152768663.0600
2019-04-23,sz.000795,5.3000,5.4500,5.1100,5.3100,5.3100,27340008,143878752.3800
2019-04-24,sz.000795,5.2500,5.2700,5.1300,5.2200,5.3100,16553008,86090492.3200
2019-04-25,sz.000795,5.2200,5.3500,5.0700,5.0800,5.2200,24694065,129290231.7800
2019-04-26,sz.000795,5.0000,5.0300,4.8000,4.8000,5.0800,22767507,111583067.3400
2019-04-29,sz.000795,4.8200,4.8600,4.5500,4.5800,4.8000,14105082,65788560.1000
2019-04-30,sz.000795,4.5700,4.7000,4.5600,4.6400,4.5800,7858422,36519700.5000
2019-05-06,sz.000795,4.4900,4.5400,4.1800,4.2000,4.6400,15484736,67196869.0000
2019-05-07,sz.000795,4.2500,4.3000,4.2000,4.2800,4.2000,8855104,37709418.6400
2019-05-08,sz.000795,4.2000,4.3600,4.1600,4.3100,4.2800,9700522,41622749.9400
2019-05-09,sz.000795,4.2600,4.7400,4.2400,4.7400,4.3100,39849531,185638986.9900
2019-05-10,sz.000795,4.7200,4.9300,4.6700,4.8900,4.7400,54461008,262035538.4000
2019-05-13,sz.000795,4.7000,4.8700,4.6700,4.7400,4.8900,25009159,118742864.7800
2019-05-14,sz.000795,4.8400,5.0500,4.7600,4.7700,4.7400,30843195,150293207.0700
2019-05-15,sz.000795,4.7500,5.0500,4.7000,4.9100,4.7700,37872354,184277048.4200
2019-05-16,sz.000795,5.3100,5.4000,5.3100,5.4000,4.9100,20327498,109546460.2000
2019-05-17,sz.000795,5.9400,5.9400,5.9400,5.9400,5.4000,39125042,232402749.4800
2019-05-20,sz.000795,6.0100,6.5300,5.9400,6.5300,5.9400,208447228,1317415385.7500
2019-05-21,sz.000795,6.8900,7.1800,6.5300,7.1800,6.5300,154521715,1082725503.7200
2019-05-22,sz.000795,7.9000,7.9000,7.3300,7.5000,7.1800,197657702,1536284831.6800
2019-05-23,sz.000795,7.7600,8.2500,7.5800,8.2500,7.5000,284141104,2300089130.0800
2019-05-24,sz.000795,7.6500,8.7000,7.4300,7.5500,8.2500,282222144,2250405079.8700
2019-05-27,sz.000795,7.4900,8.0800,7.2400,7.7600,7.5500,214027505,1664233588.1900
2019-05-28,sz.000795,7.5500,8.5400,7.5500,8.5400,7.7600,209518810,1693838547.3300
2019-05-29,sz.000795,9.0000,9.3900,8.7500,9.3900,8.5400,161179251,1499917733.9300
2019-05-30,sz.000795,9.3900,10.3000,8.5600,9.7000,9.3900,306242208,2876604943.9400
2019-05-31,sz.000795,9.0200,9.6500,8.8500,8.8700,9.7000,185657499,1709888742.7500
2019-06-03,sz.000795,8.6900,8.9000,8.0200,8.1200,8.8700,168248302,1407525260.1000
2019-06-04,sz.000795,7.9800,8.4200,7.8400,8.3000,8.1200,154588832,1253434089.3500
2019-06-05,sz.000795,8.4400,8.6600,7.8100,7.9000,8.3000,148535091,1231057905.8400
2019-06-06,sz.000795,7.5800,8.1600,7.3200,7.9300,7.9000,134408155,1062558654.8600
2019-06-10,sz.000795,8.0600,8.1600,7.5000,8.0000,7.9300,127109959,1001379549.7600
2019-06-11,sz.000795,7.8800,8.8000,7.8800,8.8000,8.0000,160581064,1351335564.8400
2019-06-12,sz.000795,9.0000,9.6500,8.5200,8.6400,8.8000,247235143,2271855416.2400
2019-06-13,sz.000795,8.2900,8.5600,7.9300,8.5100,8.6400,138876518,1146647513.3400
2019-06-14,sz.000795,8.3100,8.4200,8.0100,8.1000,8.5100,82059833,671679468.1800
2019-06-17,sz.000795,7.9100,8.2800,7.7800,7.9800,8.1000,70820396,573061401.0300
2019-06-18,sz.000795,7.8100,7.8800,7.3600,7.5700,7.9800,91479820,697550639.4500
2019-06-19,sz.000795,7.5700,7.9400,7.5200,7.6500,7.5700,89595888,690237020.3400
2019-06-20,sz.000795,7.5900,7.6100,7.2500,7.4900,7.6500,82400583,609413383.7800
2019-06-21,sz.000795,7.5100,7.9400,7.4300,7.6400,7.4900,100410718,771007311.8000
2019-06-24,sz.000795,7.5600,8.1100,7.5100,7.8800,7.6400,106528814,838568755.5400
2019-06-25,sz.000795,7.6000,7.6500,7.3000,7.3400,7.8800,84372773,623473472.2400
2019-06-26,sz.000795,7.2400,7.2500,6.8700,7.0800,7.3400,65181285,460422857.6900
2019-06-27,sz.000795,7.0700,7.1500,6.9600,6.9900,7.0800,44300004,311630233.7200
2019-06-28,sz.000795,6.9300,7.4200,6.9100,7.2000,6.9900,77478623,551516413.1900
2019-07-01,sz.000795,6.9900,7.0900,6.6000,7.0700,7.2000,74160835,511401793.4400
2019-07-02,sz.000795,7.0200,7.1400,6.9100,6.9800,7.0700,46416636,325635983.0800
2019-07-03,sz.000795,6.9800,7.0200,6.7200,6.7500,6.9800,43454899,296971377.5500
2019-07-04,sz.000795,6.8100,6.8800,6.6200,6.6800,6.7500,42541451,285070854.6300
2019-07-05,sz.000795,6.7000,6.8000,6.6000,6.7300,6.6800,39907442,266770596.4500
2019-07-08,sz.000795,6.6500,6.6700,6.0700,6.3200,6.7300,54849627,346781685.8300
2019-07-09,sz.000795,6.3800,6.6000,6.2400,6.4000,6.3200,50990663,328012100.7100
2019-07-10,sz.000795,6.3700,6.4900,6.1700,6.2400,6.4000,38667847,244820551.6100
2019-07-11,sz.000795,6.3600,6.4700,6.1900,6.2300,6.2400,30904604,194998292.9600
2019-07-12,sz.000795,6.3900,6.4700,6.3000,6.3100,6.2300,40780378,259668565.5800
2019-07-15,sz.000795,6.3900,6.8500,6.3100,6.6700,6.3100,78129651,514967834.5400
2019-07-16,sz.000795,6.6600,6.7200,6.5500,6.6000,6.6700,48333883,320155465.9400
2019-07-17,sz.000795,6.5800,6.8500,6.5000,6.6900,6.6000,62853471,419265746.5500
2019-07-18,sz.000795,6.7400,7.1600,6.7100,6.8800,6.6900,88954894,615051523.4400
2019-07-19,sz.000795,6.7800,6.8400,6.6600,6.6900,6.8800,47257387,318012229.8800
2019-07-22,sz.000795,6.5700,6.6200,6.0800,6.1000,6.6900,53532402,332961135.9800
2019-07-23,sz.000795,6.1300,6.2100,6.1000,6.1800,6.1000,24115851,148225047.7000
2019-07-24,sz.000795,6.1700,6.2800,6.1700,6.2100,6.1800,26874949,167162925.5000
2019-07-25,sz.000795,6.2200,6.2700,6.1300,6.2300,6.2100,28913683,179012861.4700
2019-07-26,sz.000795,6.1600,6.1900,6.1200,6.1600,6.2300,21042505,129521344.3000
2019-07-29,sz.000795,6.1600,6.2200,6.0500,6.0800,6.1600,27054957,165443854.4800
2019-07-30,sz.000795,6.1000,6.1500,6.0700,6.1000,6.0800,19261600,117664633.6200
2019-07-31,sz.000795,6.1100,6.2200,5.9500,6.1900,6.1000,45009700,275667985.7700
2019-08-01,sz.000795,6.2000,6.3100,6.1400,6.2100,6.1900,42023031,261674539.0400
2019-08-02,sz.000795,6.7700,6.8300,6.4100,6.7200,6.2100,122518297,815717101.0500
2019-08-05,sz.000795,6.6600,7.0500,6.5100,6.8700,6.7200,111742686,765256414.9800
2019-08-06,sz.000795,6.6900,7.0700,6.5500,6.8200,6.8700,111073448,764422508.7500
2019-08-07,sz.000795,6.7500,7.3600,6.6100,7.1200,6.8200,121116329,838599535.6700
2019-08-08,sz.000795,6.9800,7.0200,6.7200,6.7800,7.1200,80454801,552058858.7800
2019-08-09,sz.000795,6.7600,6.9500,6.6600,6.6700,6.7800,58842304,399996134.2300
2019-08-12,sz.000795,6.6500,6.6700,6.1200,6.3700,6.6700,68095874,430189458.1800
2019-08-13,sz.000795,6.3100,6.4700,6.2100,6.3200,6.3700,46039803,292001137.9300
2019-08-14,sz.000795,6.1500,6.3000,6.1000,6.2100,6.3200,43360645,269266331.1600
2019-08-15,sz.000795,6.1200,6.2800,6.0700,6.1700,6.2100,34844725,214866979.6800
2019-08-16,sz.000795,6.2800,6.5700,6.2600,6.5400,6.1700,82765842,533081315.7800
2019-08-19,sz.000795,6.4000,6.6300,6.3200,6.6000,6.5400,65189862,422489136.7800
2019-08-20,sz.000795,6.5400,6.8800,6.5100,6.8400,6.6000,79701970,532201339.9400
2019-08-21,sz.000795,6.7200,6.8300,6.6700,6.7000,6.8400,49407710,332589351.0800
2019-08-22,sz.000795,6.7500,6.8000,6.5600,6.6200,6.7000,42088149,280536821.9000
2019-08-23,sz.000795,6.6300,6.9700,6.6100,6.7600,6.6200,84213510,574246787.3400
2019-08-26,sz.000795,7.0500,7.1500,6.7500,6.7600,6.7600,84574215,584586630.1600
2019-08-27,sz.000795,6.6800,6.8100,6.5100,6.7300,6.7600,63613111,422610624.8500
2019-08-28,sz.000795,6.6800,6.7300,6.5800,6.5900,6.7300,40599300,269511566.9000
2019-08-29,sz.000795,6.5900,6.7000,6.5500,6.6500,6.5900,36085839,239008324.2400
2019-08-30,sz.000795,6.5900,7.1400,6.5100,6.9000,6.6500,98356443,669747893.3700
2019-09-02,sz.000795,6.7500,6.9400,6.7000,6.8600,6.9000,59023580,402688989.7300
2019-09-03,sz.000795,6.8800,7.0100,6.8400,6.8600,6.8600,50794837,350285222.1400
2019-09-04,sz.000795,6.8800,6.9300,6.7600,6.8300,6.8600,44255338,302219672.3800
2019-09-05,sz.000795,6.8000,6.9700,6.7500,6.9200,6.8300,69787366,478879512.1500
2019-09-06,sz.000795,6.9100,6.9100,6.7500,6.7700,6.9200,48762000,332019029.9100
2019-09-09,sz.000795,6.8300,6.8900,6.7500,6.8800,6.7700,49684806,338576870.1800
2019-09-10,sz.000795,6.8900,7.0700,6.8400,7.0300,6.8800,77968823,544187133.6000
2019-09-11,sz.000795,7.0400,7.4800,6.9100,7.3200,7.0300,123379275,891901132.9800
2019-09-12,sz.000795,7.2500,7.2900,7.1500,7.1800,7.3200,72343664,521023037.9300
2019-09-16,sz.000795,7.1800,7.2400,7.1200,7.1600,7.1800,41340533,296205144.5800
2019-09-17,sz.000795,7.1500,7.3500,7.0100,7.0500,7.1600,62483623,448696173.2600
2019-09-18,sz.000795,7.0500,7.0700,6.8100,6.8300,7.0500,45773634,315510192.2800
2019-09-19,sz.000795,6.8400,6.8900,6.7700,6.8500,6.8300,30394114,207451781.9000
2019-09-20,sz.000795,6.8400,6.8600,6.7700,6.8100,6.8500,26630012,181307761.5400
2019-09-23,sz.000795,6.7900,6.7900,6.5000,6.5400,6.8100,36630944,240937209.8600
2019-09-24,sz.000795,6.5500,6.5900,6.4200,6.5200,6.5400,24658285,160734467.8000
2019-09-25,sz.000795,6.4500,6.4500,6.2800,6.3600,6.5200,26673779,169586774.9700
2019-09-26,sz.000795,6.3500,6.4000,6.0500,6.0800,6.3600,29815300,184320793.1000
2019-09-27,sz.000795,6.0800,6.1700,6.0700,6.1300,6.0800,16171208,99273670.5200
2019-09-30,sz.000795,6.1500,6.2600,6.1500,6.2000,6.1300,13940539,86511076.2100
2019-10-08,sz.000795,6.2300,6.4500,6.1800,6.4200,6.2000,25829697,162918424.1000
2019-10-09,sz.000795,6.3700,6.5900,6.2900,6.4700,6.4200,36684578,237466730.0500
2019-10-10,sz.000795,6.4200,6.4600,6.3500,6.4100,6.4700,23730552,151443321.7200
2019-10-11,sz.000795,6.3600,6.3900,6.3000,6.3300,6.4100,17610277,111600161.4400
2019-10-14,sz.000795,6.2300,6.3800,6.2000,6.3500,6.3300,21312290,134118083.5800
2019-10-15,sz.000795,6.3100,6.3700,6.2000,6.2000,6.3500,16071874,100849354.1800
2019-10-16,sz.000795,6.2200,6.2400,6.1500,6.1500,6.2000,11910000,73767153.0000
2019-10-17,sz.000795,6.1500,6.2100,6.1100,6.1300,6.1500,9115828,56004435.7600
2019-10-18,sz.000795,6.1400,6.1800,6.0100,6.0400,6.1300,13561100,82246305.0000
2019-10-21,sz.000795,6.0500,6.0700,5.8500,5.9800,6.0400,14300061,85205049.4900
2019-10-22,sz.000795,5.9800,6.0600,5.9700,6.0200,5.9800,9765654,58703065.9600
2019-10-23,sz.000795,6.0300,6.0300,5.9200,5.9300,6.0200,9255200,55263322.0000
2019-10-24,sz.000795,5.9400,5.9500,5.8200,5.8300,5.9300,13665100,80113896.0000
2019-10-25,sz.000795,5.8100,5.8300,5.6500,5.8000,5.8300,17191994,98690496.2200
2019-10-28,sz.000795,5.8300,5.9800,5.7800,5.9500,5.8000,17360483,102360385.3100
2019-10-29,sz.000795,5.9900,5.9900,5.8700,5.8700,5.9500,15645663,92591489.4300
2019-10-30,sz.000795,5.8600,5.8700,5.6800,5.6800,5.8700,14011729,80305529.3000
2019-10-31,sz.000795,5.6600,5.7200,5.4800,5.5100,5.6800,15889080,88954411.5700
2019-11-01,sz.000795,5.5100,5.9500,5.5000,5.7600,5.5100,32727380,188752069.9700
2019-11-04,sz.000795,5.7400,5.7800,5.6300,5.6400,5.7600,16401509,93193639.0300
2019-11-05,sz.000795,5.6500,5.6900,5.5500,5.6300,5.6400,12251091,68780041.2200
2019-11-06,sz.000795,5.6300,5.7800,5.5800,5.6600,5.6300,15191202,86199302.1800
2019-11-07,sz.000795,5.6400,5.6500,5.5600,5.6300,5.6600,11282602,63173193.1800
2019-11-08,sz.000795,5.6100,5.6500,5.5700,5.6200,5.6300,12496738,70127567.8200
2019-11-11,sz.000795,5.6300,5.7500,5.5500,5.5700,5.6200,18256435,103177876.1800
2019-11-12,sz.000795,5.5200,5.5800,5.2900,5.4100,5.5700,19168617,103564073.2000
2019-11-13,sz.000795,5.4100,5.4100,5.3000,5.3300,5.4100,9039760,48336776.4000
2019-11-14,sz.000795,5.3300,5.3700,5.2900,5.3500,5.3300,9471802,50524403.6800
2019-11-15,sz.000795,5.3400,5.6800,5.3300,5.4300,5.3500,23635411,129982133.2300
2019-11-18,sz.000795,5.3500,5.4500,5.2600,5.4000,5.4300,14011254,75036988.7400
2019-11-19,sz.000795,5.4100,5.4600,5.3800,5.4600,5.4000,12718603,69078964.1300
