date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002326,6.9900,7.0900,6.9000,6.9700,6.9900,2514586,17521777.9800
2019-01-03,sz.002326,6.9400,7.0600,6.9000,6.9800,6.9700,2865361,20077171.3900
2019-01-04,sz.002326,6.9300,7.1700,6.8900,7.1400,6.9800,4419150,31299520.5000
2019-01-07,sz.002326,7.1600,7.2700,7.1300,7.2400,7.1400,4512880,32541580.1000
2019-01-08,sz.002326,7.2200,7.2900,7.1800,7.2100,7.2400,2843100,20545968.0000
2019-01-09,sz.002326,7.2100,7.3300,7.1900,7.2100,7.2100,4167980,30322140.4000
2019-01-10,sz.002326,7.2600,7.2800,7.1300,7.1600,7.2100,3380463,24376859.1200
2019-01-11,sz.002326,7.1600,7.3600,7.1400,7.3200,7.1600,6449970,46962287.1100
2019-01-14,sz.002326,7.3400,7.3400,7.2300,7.3100,7.3200,3429900,24947270.0000
2019-01-15,sz.002326,7.3000,7.9900,7.2600,7.6600,7.3100,14396198,109240120.2700
2019-01-16,sz.002326,7.6100,7.7600,7.5200,7.5500,7.6600,6048903,46095614.8600
2019-01-17,sz.002326,7.4800,8.2500,7.4300,7.6900,7.5500,17379296,135578108.7600
2019-01-18,sz.002326,7.6500,7.7800,7.5500,7.6800,7.6900,8944698,68330124.5300
2019-01-21,sz.002326,7.6400,7.7800,7.5500,7.5600,7.6800,6700001,51227484.5200
2019-01-22,sz.002326,7.4900,7.6500,7.4300,7.5300,7.5600,5226467,39304783.4000
2019-01-23,sz.002326,7.5000,7.5800,7.4500,7.5800,7.5300,3395980,25601410.2000
2019-01-24,sz.002326,7.5400,7.6700,7.5000,7.5800,7.5800,4195600,31824726.0000
2019-01-25,sz.002326,7.5400,7.7600,7.5300,7.6500,7.5800,8724956,66838522.6300
2019-01-28,sz.002326,7.6800,7.7500,7.4600,7.4800,7.6500,4522214,34403667.3600
2019-01-29,sz.002326,7.4200,7.5400,7.1200,7.2500,7.4800,4718664,34272119.4400
2019-01-30,sz.002326,7.2600,7.3400,7.1600,7.2500,7.2500,2745900,19906578.0000
2019-01-31,sz.002326,7.2500,7.3000,7.0100,7.1300,7.2500,5441267,38938136.3700
2019-02-01,sz.002326,7.1600,7.3200,7.1600,7.3000,7.1300,3135528,22729523.1200
2019-02-11,sz.002326,7.3200,7.5500,7.3100,7.4700,7.3000,5498990,41093556.4200
2019-02-12,sz.002326,7.5000,7.9600,7.4400,7.8500,7.4700,16996771,131739273.1300
2019-02-13,sz.002326,8.0200,8.6400,7.8600,8.6400,7.8500,49322557,412359107.3200
2019-02-14,sz.002326,8.9200,9.1500,8.4800,8.7900,8.6400,60451174,533228740.7000
2019-02-15,sz.002326,8.6400,8.7700,8.5400,8.6100,8.7900,29066801,251507409.1500
2019-02-18,sz.002326,8.6500,8.9800,8.5800,8.9200,8.6100,37675517,330891310.0600
2019-02-19,sz.002326,8.8200,8.9300,8.6300,8.9300,8.9200,30480094,267530409.9800
2019-02-20,sz.002326,8.8200,8.9000,8.6700,8.7800,8.9300,17187032,150749948.2400
2019-02-21,sz.002326,8.7400,8.8600,8.5400,8.5500,8.7800,22239294,193462687.4700
2019-02-22,sz.002326,8.5500,9.1700,8.5300,8.9000,8.5500,33110201,294632632.2500
2019-02-25,sz.002326,8.9800,9.3800,8.8000,9.3300,8.9000,38914903,355784223.8700
2019-02-26,sz.002326,9.2400,9.2400,8.9100,8.9600,9.3300,31734101,288018260.1400
2019-02-27,sz.002326,8.8600,9.0600,8.6500,8.7500,8.9600,17723665,156670692.5700
2019-02-28,sz.002326,8.8500,8.9900,8.7900,8.9600,8.7500,13208887,117541307.8800
2019-03-01,sz.002326,9.0000,9.0700,8.7600,8.9100,8.9600,9509767,84541922.2800
2019-03-04,sz.002326,9.0300,9.3300,8.9100,9.1000,8.9100,26261238,239407842.2700
2019-03-05,sz.002326,9.0100,9.4300,8.9600,9.3500,9.1000,28455591,263505567.3300
2019-03-06,sz.002326,9.4400,9.5300,9.1600,9.3700,9.3500,28270687,262586520.1000
2019-03-07,sz.002326,9.3800,9.7500,9.2700,9.5600,9.3700,32704882,312962713.9600
2019-03-08,sz.002326,9.1800,9.4200,8.9000,8.9000,9.5600,27048152,248199097.0200
2019-03-11,sz.002326,8.8900,9.6900,8.8600,9.6100,8.9000,26426162,246296199.2500
2019-03-12,sz.002326,9.6800,9.7600,9.4000,9.6600,9.6100,31477912,302022081.1200
2019-03-13,sz.002326,9.6600,10.4600,9.4800,9.8900,9.6600,36516106,366753472.6800
2019-03-14,sz.002326,9.7900,9.8600,9.2700,9.4100,9.8900,23021815,218776077.3700
2019-03-15,sz.002326,9.4300,9.5700,9.3000,9.4600,9.4100,14566498,137670388.0300
2019-03-18,sz.002326,9.4800,9.6800,9.3100,9.6600,9.4600,16209933,153972123.8100
2019-03-19,sz.002326,9.7100,9.7100,9.4400,9.5700,9.6600,12161281,116431893.7900
2019-03-20,sz.002326,9.5600,9.6000,9.2600,9.3900,9.5700,14115710,132538071.3400
2019-03-21,sz.002326,9.4500,9.7800,9.4100,9.6800,9.3900,23416964,224999572.2900
2019-03-22,sz.002326,9.8000,9.8600,9.3700,9.5900,9.6800,19426469,186282141.1700
2019-03-25,sz.002326,9.3500,9.5400,9.2500,9.3700,9.5900,13177218,123915516.1500
2019-03-26,sz.002326,9.4000,9.4600,8.9800,9.0300,9.3700,13942307,128257381.2400
2019-03-27,sz.002326,9.0900,9.1400,8.8300,8.9800,9.0300,11166400,100078480.0000
2019-03-28,sz.002326,8.9800,9.1500,8.8800,8.8900,8.9800,8793185,79420103.5000
2019-03-29,sz.002326,8.8400,9.1400,8.7600,9.1400,8.8900,10400293,93546771.1900
2019-04-01,sz.002326,9.2700,9.6300,9.2500,9.5900,9.1400,18821607,178502887.3400
2019-04-02,sz.002326,9.6200,9.7900,9.5000,9.5900,9.5900,16620141,160241032.2500
2019-04-03,sz.002326,9.5200,10.1800,9.4700,10.1700,9.5900,31200531,310192147.5600
2019-04-04,sz.002326,10.0600,10.3700,9.8400,10.3500,10.1700,29822927,299845462.4300
2019-04-08,sz.002326,10.8000,11.1000,10.3600,10.4300,10.3500,39048500,416937407.0000
2019-04-09,sz.002326,10.2400,10.3500,9.9800,10.1200,10.4300,20272683,205284233.1400
2019-04-10,sz.002326,10.1200,10.2700,9.8800,10.0900,10.1200,17170949,173059214.3400
2019-04-11,sz.002326,10.0200,10.1800,9.8000,9.8600,10.0900,13904453,138669480.7800
2019-04-12,sz.002326,9.8400,9.9600,9.7500,9.9300,9.8600,8440040,83259747.9000
