date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002340,3.8400,3.8700,3.8300,3.8500,3.8400,17302392,66576118.4900
2019-01-03,sz.002340,3.8500,3.8900,3.8200,3.8500,3.8500,19496546,75248449.2900
2019-01-04,sz.002340,3.8200,3.9600,3.7900,3.9600,3.8500,33977125,132421390.2100
2019-01-07,sz.002340,3.9900,4.0300,3.9500,4.0200,3.9600,42431430,169148935.2300
2019-01-08,sz.002340,4.0100,4.0200,3.9700,3.9900,4.0200,23994714,95912373.6600
2019-01-09,sz.002340,4.0100,4.0500,3.9800,3.9800,3.9900,40459437,162735286.0900
2019-01-10,sz.002340,3.9800,4.0100,3.9600,3.9700,3.9800,22169742,88327670.2200
2019-01-11,sz.002340,3.9800,4.0900,3.9500,4.0500,3.9700,42818036,172914126.9400
2019-01-14,sz.002340,4.0700,4.1000,4.0000,4.0100,4.0500,40181510,162535019.7100
2019-01-15,sz.002340,4.0100,4.0400,3.9800,4.0300,4.0100,28012727,112449038.2400
2019-01-16,sz.002340,4.0300,4.0500,4.0100,4.0300,4.0300,25064201,100953954.4200
2019-01-17,sz.002340,4.0200,4.0900,3.9600,4.0000,4.0300,35878573,144103347.5700
2019-01-18,sz.002340,3.9900,4.0700,3.9800,4.0600,4.0000,45281493,183050213.3700
2019-01-21,sz.002340,4.0600,4.0900,4.0400,4.0700,4.0600,38286099,155462957.7700
2019-01-22,sz.002340,4.0800,4.1100,4.0000,4.0200,4.0700,36618156,148465302.6600
2019-01-23,sz.002340,3.9900,4.0500,3.9800,4.0100,4.0200,28129364,112586853.3200
2019-01-24,sz.002340,3.9900,4.0000,3.9200,3.9700,4.0100,35524836,140866274.0000
2019-01-25,sz.002340,3.9700,4.0200,3.9400,3.9800,3.9700,33786699,134487701.8000
2019-01-28,sz.002340,4.0100,4.0400,3.9600,3.9900,3.9800,29790141,119211199.9500
2019-01-29,sz.002340,3.9900,4.0000,3.8300,3.8900,3.9900,31257600,122089120.6300
2019-01-30,sz.002340,3.8800,3.9200,3.8500,3.8600,3.8900,20404247,79298777.1200
2019-01-31,sz.002340,3.8700,3.9100,3.8100,3.8100,3.8600,34310091,132356284.1000
