date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.000066,4.7700,4.7800,4.7000,4.7100,4.7400,10054828,47537050.2400
2019-01-03,sz.000066,4.7300,4.8800,4.6300,4.7800,4.7100,18648381,89374180.7100
2019-01-04,sz.000066,4.7300,5.0300,4.7100,4.9500,4.7800,26126560,127832594.4200
2019-01-07,sz.000066,4.9700,5.0500,4.9100,5.0300,4.9500,26865334,134348171.2500
2019-01-08,sz.000066,5.0200,5.0200,4.9500,4.9700,5.0300,18787418,93596771.9400
2019-01-09,sz.000066,4.9700,5.1300,4.9500,5.0000,4.9700,28094740,141671184.0400
2019-01-10,sz.000066,4.9700,5.0900,4.9600,4.9800,5.0000,19319372,96775930.3100
2019-01-11,sz.000066,4.9800,5.0600,4.9600,5.0200,4.9800,15878620,79446557.9200
2019-01-14,sz.000066,5.0200,5.0400,4.9300,4.9500,5.0200,12362983,61458880.8100
2019-01-15,sz.000066,4.9500,5.0300,4.9200,5.0200,4.9500,17233896,86221009.2100
2019-01-16,sz.000066,5.0100,5.2200,4.9900,5.0700,5.0200,38932059,199858828.2300
2019-01-17,sz.000066,5.0600,5.0600,4.9500,5.0300,5.0700,25650867,128283529.5500
2019-01-18,sz.000066,5.0100,5.1500,4.9900,5.1400,5.0300,27542295,140150081.6800
2019-01-21,sz.000066,5.3300,5.4900,5.2200,5.4100,5.1400,67142941,359554219.3800
2019-01-22,sz.000066,5.3900,5.4100,5.2700,5.2700,5.4100,31239964,166156240.4400
2019-01-23,sz.000066,5.3000,5.3700,5.2700,5.2700,5.2700,22053297,117217036.2200
2019-01-24,sz.000066,5.2700,5.6300,5.2200,5.4800,5.2700,49333534,269742594.8000
2019-01-25,sz.000066,5.4700,5.5800,5.4300,5.4400,5.4800,30575972,168299730.8500
2019-01-28,sz.000066,5.5200,5.5400,5.3600,5.3800,5.4400,22788815,124032301.6700
2019-01-29,sz.000066,5.3800,5.4600,5.2400,5.4100,5.3800,25713546,137885833.2100
2019-01-30,sz.000066,5.3700,5.5500,5.3600,5.4000,5.4100,22794874,124466626.5500
2019-01-31,sz.000066,5.3900,5.4800,5.2700,5.3600,5.4000,23072211,124110997.2900
2019-02-01,sz.000066,5.3900,5.5400,5.3700,5.5300,5.3600,25815798,141573114.2400
2019-02-11,sz.000066,5.5500,5.6800,5.5000,5.6700,5.5300,37639095,211085549.4100
2019-02-12,sz.000066,5.6600,5.7000,5.5500,5.6000,5.6700,36530325,205384142.3300
2019-02-13,sz.000066,5.5900,5.8400,5.5700,5.7800,5.6000,51163141,293930178.7600
2019-02-14,sz.000066,5.7500,5.8200,5.7000,5.7800,5.7800,33218859,191440290.6100
2019-02-15,sz.000066,5.7700,5.9900,5.7500,5.9000,5.7800,53098554,313883505.4200
2019-02-18,sz.000066,5.9600,6.2300,5.8900,6.2200,5.9000,59457517,361851255.7800
2019-02-19,sz.000066,6.2500,6.3700,6.1200,6.2900,6.2200,60873954,380360512.2300
2019-02-20,sz.000066,6.2600,6.4600,6.2000,6.3500,6.2900,45343232,287414806.7200
2019-02-21,sz.000066,6.3800,6.7200,6.2800,6.4400,6.3500,71501601,464730859.4900
2019-02-22,sz.000066,6.4300,7.0600,6.3900,7.0200,6.4400,96431644,655260895.0400
2019-02-25,sz.000066,7.1200,7.5000,7.0400,7.2700,7.0200,136676997,993576567.5100
2019-02-26,sz.000066,7.2500,7.2500,7.0000,7.1200,7.2700,92289222,658752504.0300
2019-02-27,sz.000066,7.0100,7.3000,6.8900,7.0400,7.1200,81621757,581986131.9000
2019-02-28,sz.000066,7.0200,7.1300,6.8700,6.9200,7.0400,54844404,382226614.6200
2019-03-01,sz.000066,6.9800,7.0400,6.8200,6.9900,6.9200,46507297,321854951.4300
2019-03-04,sz.000066,7.1200,7.3500,7.0000,7.0900,6.9900,91679985,655728635.5400
2019-03-05,sz.000066,7.0400,7.7800,7.0000,7.7800,7.0900,126179117,927081714.8500
2019-03-06,sz.000066,7.7000,7.8300,7.4000,7.6900,7.7800,109281614,831258318.5000
2019-03-07,sz.000066,7.6600,8.0900,7.5200,7.8800,7.6900,104677748,824679061.5600
2019-03-08,sz.000066,7.8200,8.6700,7.6000,8.3300,7.8800,243401146,2059831780.0900
2019-03-11,sz.000066,8.8000,8.8000,7.9100,8.4000,8.3300,165667609,1378154202.0100
2019-03-12,sz.000066,8.3000,8.6500,8.1800,8.4700,8.4000,116466749,977347057.1000
2019-03-13,sz.000066,8.5200,8.5200,7.6200,7.7700,8.4700,136457547,1097901354.2500
2019-03-14,sz.000066,7.6200,7.8500,7.3300,7.5800,7.7700,87498035,660800558.0000
2019-03-15,sz.000066,7.6500,7.7900,7.4200,7.4900,7.5800,80042899,606600115.6600
2019-03-18,sz.000066,7.5500,8.2400,7.3800,8.2400,7.4900,127889447,1022534310.4100
2019-03-19,sz.000066,8.5700,9.0600,8.4900,9.0600,8.2400,89519406,792206153.2600
2019-03-20,sz.000066,9.9700,9.9700,9.1000,9.6000,9.0600,364648528,3510911661.9800
2019-03-21,sz.000066,9.8200,10.5600,9.4800,10.1900,9.6000,286229024,2924814261.3300
2019-03-22,sz.000066,10.6600,11.0000,10.0500,10.2500,10.1900,273971856,2871580881.8400
