date,code,open,high,low,close,preclose,volume,amount
2019-01-02,sz.002407,11.0300,11.2700,11.0200,11.0900,10.9600,7892191,87881557.4500
2019-01-03,sz.002407,11.1000,11.7600,10.9000,11.2700,11.0900,14234874,160370500.3800
2019-01-04,sz.002407,11.0500,11.5000,10.9700,11.4600,11.2700,14983724,169920849.7100
2019-01-07,sz.002407,11.5900,11.7500,11.4000,11.6700,11.4600,16483970,190885174.3400
2019-01-08,sz.002407,11.6200,11.8800,11.5700,11.7100,11.6700,14304046,167837040.6700
2019-01-09,sz.002407,11.7800,11.8500,11.4200,11.5400,11.7100,16364253,190517094.8000
2019-01-10,sz.002407,11.4800,11.6100,11.3100,11.3300,11.5400,9512740,109066361.3400
2019-01-11,sz.002407,11.3300,11.4700,11.2100,11.3900,11.3300,7643764,86859033.8700
2019-01-14,sz.002407,11.3400,11.5800,11.3400,11.3900,11.3900,7836594,89759604.4100
2019-01-15,sz.002407,11.3000,11.6000,11.2800,11.6000,11.3900,9621403,110279263.8100
2019-01-16,sz.002407,11.6800,11.6800,11.4400,11.4500,11.6000,7670748,88409285.4700
2019-01-17,sz.002407,11.5000,11.5300,11.1300,11.1600,11.4500,9156037,103059752.3000
2019-01-18,sz.002407,11.1600,11.2900,11.1000,11.2200,11.1600,6036634,67652155.1400
2019-01-21,sz.002407,11.2300,11.3800,11.2100,11.2500,11.2200,5901003,66639711.1100
2019-01-22,sz.002407,11.2300,11.4500,11.1900,11.2300,11.2500,9016998,102055804.2000
2019-01-23,sz.002407,11.1200,12.3500,11.1100,12.3500,11.2300,42575950,508750548.7800
2019-01-24,sz.002407,12.4500,12.6900,12.1000,12.2700,12.3500,41496136,513417124.9700
2019-01-25,sz.002407,12.1800,12.7400,12.0300,12.3900,12.2700,34065828,424212871.4000
2019-01-28,sz.002407,12.4200,12.5800,12.1800,12.3100,12.3900,18037955,222194535.1800
2019-01-29,sz.002407,12.3400,12.3500,11.3800,11.8000,12.3100,19336984,228745343.6200
2019-01-30,sz.002407,11.8100,11.9400,11.3200,11.3200,11.8000,14117068,164636190.1800
2019-01-31,sz.002407,11.3000,11.4600,10.7800,10.9700,11.3200,17029531,189462817.8500
2019-02-01,sz.002407,11.0600,11.3800,11.0600,11.3000,10.9700,10879834,122741028.9600
2019-02-11,sz.002407,11.3700,11.7900,11.3700,11.7600,11.3000,12044562,139849858.2800
2019-02-12,sz.002407,11.7600,12.4700,11.6500,12.0800,11.7600,22196119,268933278.2100
2019-02-13,sz.002407,12.1900,12.6600,12.0200,12.3900,12.0800,27892036,345224474.1200
2019-02-14,sz.002407,12.4100,13.1700,12.2400,12.7100,12.3900,34519804,440143330.3400
2019-02-15,sz.002407,12.6100,12.7500,12.4100,12.4200,12.7100,21504779,269593097.6000
2019-02-18,sz.002407,12.5800,12.8800,12.4500,12.8700,12.4200,26330247,333770213.9800
2019-02-19,sz.002407,13.2200,13.6600,12.7000,13.0100,12.8700,38367588,504811330.9400
2019-02-20,sz.002407,12.9600,13.4800,12.8200,13.1300,13.0100,28868390,381209174.6500
2019-02-21,sz.002407,13.0800,13.2500,12.7600,12.8100,13.1300,28660442,371743486.6700
2019-02-22,sz.002407,12.7300,13.0800,12.6800,13.0500,12.8100,21640105,279788721.5900
2019-02-25,sz.002407,13.1000,14.1600,13.1000,14.0000,13.0500,49445769,679671266.7400
2019-02-26,sz.002407,13.9000,15.0500,13.7000,14.5900,14.0000,54230356,788495873.7800
2019-02-27,sz.002407,14.4800,15.1500,14.0800,14.4900,14.5900,39976207,590828174.1100
2019-02-28,sz.002407,14.5500,15.1300,14.5500,14.9300,14.4900,30295995,450076568.5100
2019-03-01,sz.002407,15.1300,15.2700,14.6100,14.7900,14.9300,25789676,384302266.1400
